Date,Verastem
2011-05-01,35
2011-05-02,35
2011-05-03,35
2011-05-04,35
2011-05-05,35
2011-05-06,35
2011-05-07,35
2011-05-08,36
2011-05-09,36
2011-05-10,36
2011-05-11,36
2011-05-12,36
2011-05-13,36
2011-05-14,37
2011-05-15,37
2011-05-16,37
2011-05-17,37
2011-05-18,37
2011-05-19,37
2011-05-20,38
2011-05-21,38
2011-05-22,38
2011-05-23,38
2011-05-24,38
2011-05-25,38
2011-05-26,39
2011-05-27,39
2011-05-28,39
2011-05-29,39
2011-05-30,39
2011-05-31,39
2011-06-01,40
2011-06-02,39
2011-06-03,39
2011-06-04,39
2011-06-05,39
2011-06-06,39
2011-06-07,39
2011-06-08,39
2011-06-09,39
2011-06-10,39
2011-06-11,39
2011-06-12,39
2011-06-13,39
2011-06-14,39
2011-06-15,39
2011-06-16,39
2011-06-17,38
2011-06-18,38
2011-06-19,38
2011-06-20,38
2011-06-21,38
2011-06-22,38
2011-06-23,38
2011-06-24,38
2011-06-25,38
2011-06-26,38
2011-06-27,38
2011-06-28,38
2011-06-29,38
2011-06-30,38
2011-07-01,38
2011-07-02,37
2011-07-03,37
2011-07-04,36
2011-07-05,36
2011-07-06,36
2011-07-07,35
2011-07-08,35
2011-07-09,35
2011-07-10,34
2011-07-11,34
2011-07-12,34
2011-07-13,33
2011-07-14,33
2011-07-15,33
2011-07-16,32
2011-07-17,32
2011-07-18,31
2011-07-19,31
2011-07-20,31
2011-07-21,30
2011-07-22,30
2011-07-23,30
2011-07-24,29
2011-07-25,29
2011-07-26,29
2011-07-27,28
2011-07-28,28
2011-07-29,28
2011-07-30,27
2011-07-31,27
2011-08-01,27
2011-08-02,26
2011-08-03,26
2011-08-04,26
2011-08-05,26
2011-08-06,26
2011-08-07,25
2011-08-08,25
2011-08-09,25
2011-08-10,25
2011-08-11,25
2011-08-12,24
2011-08-13,24
2011-08-14,24
2011-08-15,24
2011-08-16,24
2011-08-17,23
2011-08-18,23
2011-08-19,23
2011-08-20,23
2011-08-21,23
2011-08-22,22
2011-08-23,22
2011-08-24,22
2011-08-25,22
2011-08-26,22
2011-08-27,21
