Date,Drivetime Automotive
2010-03-13,45
2010-03-14,44
2010-03-15,43
2010-03-16,42
2010-03-17,42
2010-03-18,40
2010-03-19,39
2010-03-20,39
2010-03-21,41
2010-03-22,41
2010-03-23,43
2010-03-24,44
2010-03-25,48
2010-03-26,46
2010-03-27,50
2010-03-28,47
2010-03-29,47
2010-03-30,51
2010-03-31,46
2010-04-01,46
2010-04-02,46
2010-04-03,46
2010-04-04,45
2010-04-05,44
2010-04-06,46
2010-04-07,42
2010-04-08,43
2010-04-09,40
2010-04-10,40
2010-04-11,41
2010-04-12,42
2010-04-13,44
2010-04-14,46
2010-04-15,48
2010-04-16,48
2010-04-17,53
2010-04-18,49
2010-04-19,49
2010-04-20,48
2010-04-21,49
2010-04-22,47
2010-04-23,49
2010-04-24,47
2010-04-25,49
2010-04-26,46
2010-04-27,46
2010-04-28,50
2010-04-29,48
2010-04-30,46
2010-05-01,46
2010-05-02,48
2010-05-03,44
2010-05-04,43
2010-05-05,42
2010-05-06,44
2010-05-07,42
2010-05-08,40
2010-05-09,41
2010-05-10,42
2010-05-11,48
2010-05-12,45
2010-05-13,46
2010-05-14,49
2010-05-15,49
2010-05-16,47
2010-05-17,46
2010-05-18,45
2010-05-19,44
2010-05-20,43
2010-05-21,42
2010-05-22,42
2010-05-23,42
2010-05-24,43
2010-05-25,49
2010-05-26,46
2010-05-27,52
2010-05-28,49
2010-05-29,52
2010-05-30,51
2010-05-31,51
2010-06-01,51
2010-06-02,55
2010-06-03,51
2010-06-04,51
2010-06-05,53
2010-06-06,49
2010-06-07,48
2010-06-08,49
2010-06-09,46
2010-06-10,45
2010-06-11,44
2010-06-12,43
2010-06-13,43
2010-06-14,44
2010-06-15,45
2010-06-16,45
2010-06-17,51
2010-06-18,47
2010-06-19,48
2010-06-20,49
2010-06-21,49
2010-06-22,50
2010-06-23,52
2010-06-24,52
2010-06-25,53
2010-06-26,58
2010-06-27,55
2010-06-28,56
2010-06-29,57
2010-06-30,58
2010-07-01,59
2010-07-02,60
2010-07-03,65
2010-07-04,61
2010-07-05,61
2010-07-06,61
2010-07-07,63
2010-07-08,62
2010-07-09,71
2010-07-10,63
2010-07-11,62
2010-07-12,62
2010-07-13,63
2010-07-14,66
2010-07-15,62
2010-07-16,62
2010-07-17,68
2010-07-18,61
2010-07-19,61
2010-07-20,65
2010-07-21,62
2010-07-22,61
2010-07-23,61
2010-07-24,61
2010-07-25,62
2010-07-26,67
2010-07-27,65
2010-07-28,67
2010-07-29,76
2010-07-30,70
2010-07-31,72
2010-08-01,75
2010-08-02,68
2010-08-03,69
2010-08-04,67
2010-08-05,62
2010-08-06,61
2010-08-07,59
2010-08-08,62
2010-08-09,57
2010-08-10,57
2010-08-11,56
2010-08-12,58
2010-08-13,55
2010-08-14,59
2010-08-15,56
2010-08-16,58
2010-08-17,62
2010-08-18,68
2010-08-19,64
2010-08-20,66
2010-08-21,68
2010-08-22,66
2010-08-23,65
2010-08-24,69
2010-08-25,63
2010-08-26,62
2010-08-27,61
2010-08-28,60
2010-08-29,61
2010-08-30,62
2010-08-31,65
2010-09-01,65
2010-09-02,69
2010-09-03,68
2010-09-04,76
2010-09-05,71
2010-09-06,70
2010-09-07,65
2010-09-08,64
2010-09-09,66
2010-09-10,61
2010-09-11,61
2010-09-12,60
2010-09-13,60
2010-09-14,64
2010-09-15,60
2010-09-16,60
2010-09-17,64
2010-09-18,60
2010-09-19,63
2010-09-20,58
2010-09-21,60
2010-09-22,56
2010-09-23,55
2010-09-24,57
2010-09-25,54
2010-09-26,57
2010-09-27,56
2010-09-28,57
2010-09-29,58
2010-09-30,59
2010-10-01,66
2010-10-02,61
2010-10-03,60
2010-10-04,60
2010-10-05,62
2010-10-06,63
2010-10-07,60
2010-10-08,62
2010-10-09,61
2010-10-10,59
2010-10-11,55
2010-10-12,56
2010-10-13,50
2010-10-14,51
2010-10-15,45
2010-10-16,45
2010-10-17,44
2010-10-18,46
2010-10-19,50
2010-10-20,50
