Date,Quintiles Transnational
2012-08-11,68
2012-08-12,62
2012-08-13,63
2012-08-14,64
2012-08-15,69
2012-08-16,67
2012-08-17,69
2012-08-18,81
2012-08-19,71
2012-08-20,72
2012-08-21,73
2012-08-22,74
2012-08-23,75
2012-08-24,76
2012-08-25,88
2012-08-26,81
2012-08-27,76
2012-08-28,75
2012-08-29,80
2012-08-30,74
2012-08-31,77
2012-09-01,84
2012-09-02,73
2012-09-03,73
2012-09-04,73
2012-09-05,76
2012-09-06,75
2012-09-07,74
2012-09-08,77
2012-09-09,75
2012-09-10,75
2012-09-11,76
2012-09-12,79
2012-09-13,79
2012-09-14,83
2012-09-15,93
2012-09-16,82
2012-09-17,82
2012-09-18,82
2012-09-19,82
2012-09-20,84
2012-09-21,83
2012-09-22,89
2012-09-23,80
2012-09-24,78
2012-09-25,76
2012-09-26,76
2012-09-27,73
2012-09-28,72
2012-09-29,73
2012-09-30,69
2012-10-01,70
2012-10-02,72
2012-10-03,74
2012-10-04,75
2012-10-05,77
2012-10-06,90
2012-10-07,77
2012-10-08,77
2012-10-09,77
2012-10-10,78
2012-10-11,78
2012-10-12,77
2012-10-13,87
2012-10-14,77
2012-10-15,78
2012-10-16,80
2012-10-17,80
2012-10-18,84
2012-10-19,87
2012-10-20,91
2012-10-21,83
2012-10-22,83
2012-10-23,83
2012-10-24,84
2012-10-25,85
2012-10-26,85
2012-10-27,98
2012-10-28,84
2012-10-29,83
2012-10-30,83
2012-10-31,85
2012-11-01,82
2012-11-02,83
2012-11-03,87
2012-11-04,82
2012-11-05,83
2012-11-06,86
2012-11-07,86
2012-11-08,86
2012-11-09,91
2012-11-10,94
2012-11-11,94
2012-11-12,85
2012-11-13,84
2012-11-14,82
2012-11-15,81
2012-11-16,84
2012-11-17,86
2012-11-18,79
2012-11-19,80
2012-11-20,81
2012-11-21,82
2012-11-22,89
2012-11-23,83
2012-11-24,89
2012-11-25,84
2012-11-26,85
2012-11-27,85
2012-11-28,87
2012-11-29,86
2012-11-30,92
2012-12-01,93
2012-12-02,89
2012-12-03,85
2012-12-04,84
2012-12-05,82
2012-12-06,84
2012-12-07,85
2012-12-08,83
2012-12-09,78
2012-12-10,77
2012-12-11,76
2012-12-12,75
2012-12-13,74
2012-12-14,79
2012-12-15,73
2012-12-16,77
2012-12-17,69
2012-12-18,71
2012-12-19,67
2012-12-20,66
2012-12-21,70
2012-12-22,69
2012-12-23,61
2012-12-24,59
2012-12-25,55
2012-12-26,52
2012-12-27,49
2012-12-28,46
2012-12-29,46
2012-12-30,51
2012-12-31,47
2013-01-01,53
2013-01-02,51
2013-01-03,53
2013-01-04,55
2013-01-05,61
2013-01-06,60
2013-01-07,62
2013-01-08,65
2013-01-09,70
2013-01-10,71
2013-01-11,74
2013-01-12,85
2013-01-13,79
2013-01-14,77
2013-01-15,77
2013-01-16,79
2013-01-17,79
2013-01-18,78
2013-01-19,86
2013-01-20,78
2013-01-21,77
2013-01-22,76
2013-01-23,76
2013-01-24,74
2013-01-25,76
2013-01-26,80
2013-01-27,73
2013-01-28,74
2013-01-29,76
2013-01-30,82
2013-01-31,79
2013-02-01,80
2013-02-02,88
2013-02-03,83
2013-02-04,80
2013-02-05,79
2013-02-06,80
2013-02-07,79
2013-02-08,76
2013-02-09,84
2013-02-10,75
2013-02-11,74
2013-02-12,73
2013-02-13,72
2013-02-14,73
2013-02-15,70
2013-02-16,74
2013-02-17,70
2013-02-18,70
2013-02-19,70
2013-02-20,72
2013-02-21,71
2013-02-22,70
2013-02-23,79
2013-02-24,71
2013-02-25,72
2013-02-26,74
2013-02-27,74
2013-02-28,75
2013-03-01,79
2013-03-02,84
2013-03-03,76
2013-03-04,75
2013-03-05,76
2013-03-06,74
2013-03-07,74
2013-03-08,78
2013-03-09,81
2013-03-10,72
2013-03-11,72
2013-03-12,72
2013-03-13,71
2013-03-14,73
2013-03-15,71
2013-03-16,76
2013-03-17,73
2013-03-18,75
2013-03-19,77
2013-03-20,80
2013-03-21,81
2013-03-22,87
2013-03-23,93
2013-03-24,87
2013-03-25,79
2013-03-26,77
2013-03-27,74
2013-03-28,77
2013-03-29,71
2013-03-30,73
2013-03-31,66
2013-05-01,72
2013-05-02,72
2013-05-03,77
2013-05-04,82
2013-05-05,78
2013-05-06,81
2013-05-07,85
2013-05-08,89
2013-05-09,92
2013-05-10,103
2013-05-11,118
2013-05-12,96
2013-05-13,93
2013-05-14,90
2013-05-15,86
2013-05-16,85
2013-05-17,82
2013-05-18,87
2013-05-19,75
2013-05-20,74
2013-05-21,72
2013-05-22,71
2013-05-23,73
2013-05-24,69
2013-05-25,76
2013-05-26,67
2013-05-27,67
2013-05-28,67
2013-05-29,68
2013-05-30,68
2013-05-31,74
2013-06-01,72
2013-06-02,71
2013-06-03,68
2013-06-04,68
2013-06-05,69
2013-06-06,68
2013-06-07,71
2013-06-08,72
2013-06-09,68
2013-06-10,67
2013-06-11,67
2013-06-12,67
2013-06-13,69
2013-06-14,66
2013-06-15,72
2013-06-16,66
2013-06-17,65
2013-06-18,65
2013-06-19,64
2013-06-20,66
2013-06-21,64
2013-06-22,72
2013-06-23,64
2013-06-24,65
2013-06-25,65
2013-06-26,68
2013-06-27,67
2013-06-28,69
2013-06-29,73
2013-06-30,66
2013-07-01,65
2013-07-02,64
2013-07-03,62
2013-07-04,64
2013-07-05,60
2013-07-06,67
2013-07-07,62
2013-07-08,60
2013-07-09,62
2013-07-10,62
2013-07-11,63
2013-07-12,67
2013-07-13,71
2013-07-14,67
2013-07-15,65
2013-07-16,69
2013-07-17,66
2013-07-18,68
2013-07-19,69
