Date,Regulus Therapeutics
2012-02-01,25
2012-02-02,25
2012-02-03,25
2012-02-04,26
2012-02-05,26
2012-02-06,26
2012-02-07,27
2012-02-08,27
2012-02-09,28
2012-02-10,28
2012-02-11,28
2012-02-12,29
2012-02-13,29
2012-02-14,29
2012-02-15,30
2012-02-16,30
2012-02-17,31
2012-02-18,31
2012-02-19,31
2012-02-20,32
2012-02-21,32
2012-02-22,32
2012-02-23,33
2012-02-24,33
2012-02-25,34
2012-02-26,34
2012-02-27,34
2012-02-28,35
2012-02-29,35
2012-03-01,36
2012-03-02,35
2012-03-03,35
2012-03-04,35
2012-03-05,35
2012-03-06,35
2012-03-07,34
2012-03-08,34
2012-03-09,34
2012-03-10,34
2012-03-11,34
2012-03-12,33
2012-03-13,33
2012-03-14,33
2012-03-15,33
2012-03-16,33
2012-03-17,32
2012-03-18,32
2012-03-19,32
2012-03-20,32
2012-03-21,32
2012-03-22,31
2012-03-23,31
2012-03-24,31
2012-03-25,31
2012-03-26,31
2012-03-27,30
2012-03-28,30
2012-03-29,30
2012-03-30,30
2012-03-31,30
2012-04-01,30
2012-04-02,29
2012-04-03,29
2012-04-04,29
2012-04-05,29
2012-04-06,29
2012-04-07,29
2012-04-08,29
2012-04-09,29
2012-04-10,29
2012-04-11,29
2012-04-12,29
2012-04-13,29
2012-04-14,29
2012-04-15,29
2012-04-16,29
2012-04-17,28
2012-04-18,28
2012-04-19,28
2012-04-20,28
2012-04-21,28
2012-04-22,28
2012-04-23,28
2012-04-24,28
2012-04-25,28
2012-04-26,28
2012-04-27,28
2012-04-28,28
2012-04-29,28
2012-04-30,28
2012-05-01,28
2012-05-02,27
2012-05-03,27
2012-05-04,27
2012-05-05,27
2012-05-06,27
2012-05-07,27
2012-05-08,27
2012-05-09,27
2012-05-10,27
2012-05-11,27
2012-05-12,27
2012-05-13,27
2012-05-14,27
2012-05-15,27
2012-05-16,27
2012-05-17,27
2012-05-18,27
2012-05-19,27
2012-05-20,27
2012-05-21,27
2012-05-22,27
2012-05-23,27
2012-05-24,27
2012-05-25,27
2012-05-26,27
2012-05-27,27
2012-05-28,27
2012-05-29,27
2012-05-30,27
2012-05-31,27
2012-06-01,27
2012-06-02,27
2012-06-03,27
2012-06-04,28
2012-06-05,28
2012-06-06,28
2012-06-07,29
2012-06-08,29
2012-06-09,29
2012-06-10,30
2012-06-11,30
2012-06-12,30
2012-06-13,31
2012-06-14,31
2012-06-15,31
2012-06-16,32
2012-06-17,32
2012-06-18,32
2012-06-19,33
2012-06-20,33
2012-06-21,33
2012-06-22,34
2012-06-23,34
2012-06-24,34
2012-06-25,35
2012-06-26,35
2012-06-27,35
2012-06-28,36
2012-06-29,36
2012-06-30,36
2012-07-01,37
2012-07-02,37
2012-07-03,37
2012-07-04,37
2012-07-05,38
