Date,Tumi Inc
2011-06-01,73
2011-06-02,73
2011-06-03,73
2011-06-04,73
2011-06-05,76
2011-06-06,73
2011-06-07,76
2011-06-08,74
2011-06-09,74
2011-06-10,75
2011-06-11,75
2011-06-12,75
2011-06-13,76
2011-06-14,80
2011-06-15,77
2011-06-16,78
2011-06-17,79
2011-06-18,80
2011-06-19,79
2011-06-20,84
2011-06-21,77
2011-06-22,77
2011-06-23,79
2011-06-24,75
2011-06-25,75
2011-06-26,74
2011-06-27,77
2011-06-28,74
2011-06-29,73
2011-06-30,73
2011-07-01,72
2011-07-02,72
2011-07-03,73
2011-07-04,71
2011-07-05,72
2011-07-06,72
2011-07-07,71
2011-07-08,71
2011-07-09,71
2011-07-10,71
2011-07-11,76
2011-07-12,72
2011-07-13,72
2011-07-14,73
2011-07-15,75
2011-07-16,74
2011-07-17,75
2011-07-18,76
2011-07-19,73
2011-07-20,72
2011-07-21,72
2011-07-22,73
2011-07-23,72
2011-07-24,72
2011-07-25,76
2011-07-26,73
2011-07-27,75
2011-07-28,74
2011-07-29,74
2011-07-30,75
2011-07-31,74
2011-08-01,76
2011-08-02,73
2011-08-03,73
2011-08-04,72
2011-08-05,71
2011-08-06,71
2011-08-07,70
2011-08-08,72
2011-08-09,71
2011-08-10,69
2011-08-11,70
2011-08-12,70
2011-08-13,69
2011-08-14,69
2011-08-15,71
2011-08-16,71
2011-08-17,74
2011-08-18,72
2011-08-19,73
2011-08-20,74
2011-08-21,76
2011-08-22,75
2011-08-23,75
2011-08-24,72
2011-08-25,72
2011-08-26,72
2011-08-27,72
2011-08-28,71
2011-08-29,72
2011-08-30,71
2011-08-31,69
2011-09-01,68
2011-09-02,67
2011-09-03,67
2011-09-04,70
2011-09-05,68
2011-09-06,70
2011-09-07,70
2011-09-08,70
2011-09-09,71
2011-09-10,72
2011-09-11,72
2011-09-12,71
2011-09-13,69
2011-09-14,68
2011-09-15,67
2011-09-16,66
2011-09-17,66
2011-09-18,68
2011-09-19,69
2011-09-20,71
2011-09-21,73
2011-09-22,74
2011-09-23,77
2011-09-24,78
2011-09-25,77
2011-09-26,78
2011-09-27,78
2011-09-28,74
2011-09-29,73
2011-09-30,72
2011-10-01,72
2011-10-02,72
2011-10-03,75
2011-10-04,72
2011-10-05,72
2011-10-06,72
2011-10-07,72
2011-10-08,72
2011-10-09,71
2011-10-10,76
2011-10-11,71
2011-10-12,71
2011-10-13,74
2011-10-14,71
2011-10-15,71
2011-10-16,71
2011-10-17,70
2011-10-18,71
2011-10-19,68
2011-10-20,68
2011-10-21,67
2011-10-22,67
2011-10-23,67
2011-10-24,68
2011-10-25,67
2011-10-26,68
2011-10-27,69
2011-10-28,67
2011-10-29,68
2011-10-30,69
2011-10-31,69
2011-11-01,73
2011-11-02,70
2011-11-03,73
2011-11-04,72
2011-11-05,73
2011-11-06,74
2011-11-07,73
2011-11-08,72
2011-11-09,72
2011-11-10,72
2011-11-11,72
2011-11-12,72
2011-11-13,74
2011-11-14,78
2011-11-15,78
2011-11-16,80
2011-11-17,83
2011-11-18,84
2011-11-19,86
2011-11-20,86
2011-11-21,90
2011-11-22,87
2011-11-23,90
2011-11-24,88
2011-11-25,89
2011-11-26,92
2011-11-27,90
2011-11-28,93
2011-11-29,96
2011-11-30,93
2011-12-01,94
2011-12-02,95
2011-12-03,96
2011-12-04,96
2011-12-05,100
2011-12-06,96
2011-12-07,96
2011-12-08,99
2011-12-09,97
2011-12-10,96
2011-12-11,96
2011-12-12,99
2011-12-13,97
2011-12-14,99
2011-12-15,98
2011-12-16,99
2011-12-17,100
2011-12-18,99
2011-12-19,102
2011-12-20,98
2011-12-21,97
2011-12-22,99
2011-12-23,96
2011-12-24,97
2011-12-25,95
2011-12-26,96
2011-12-27,94
2011-12-28,94
2011-12-29,95
2011-12-30,95
2011-12-31,93
2012-01-01,91
2012-01-02,90
2012-01-03,88
2012-01-04,85
2012-01-05,84
2012-01-06,81
2012-01-07,80
2012-01-08,79
2012-01-09,79
2012-01-10,80
2012-01-11,78
2012-01-12,76
2012-01-13,75
2012-01-14,75
2012-01-15,74
2012-01-16,77
2012-01-17,74
2012-01-18,74
2012-01-19,73
2012-01-20,73
2012-01-21,73
2012-01-22,73
2012-01-23,76
2012-01-24,72
2012-01-25,72
2012-01-26,72
2012-01-27,72
2012-01-28,72
2012-01-29,72
2012-01-30,74
2012-01-31,74
2012-02-01,74
2012-02-02,74
2012-02-03,75
2012-02-04,75
2012-02-05,74
2012-02-06,78
2012-02-07,74
2012-02-08,74
2012-02-09,74
2012-02-10,74
2012-02-11,74
2012-02-12,74
2012-02-13,78
2012-02-14,75
2012-02-15,76
2012-02-16,77
2012-02-17,79
2012-02-18,78
2012-02-19,78
2012-02-20,79
2012-02-21,77
2012-02-22,77
2012-02-23,78
2012-02-24,76
2012-02-25,76
2012-02-26,76
2012-02-27,77
2012-02-28,75
2012-02-29,74
2012-03-01,73
2012-03-02,73
