Date,Ambit Biosciences
2013-07-12,73
2013-07-13,72
2013-07-14,72
2013-07-15,71
2013-07-16,70
2013-07-17,69
2013-07-18,68
2013-07-19,67
2013-07-20,67
2013-07-21,66
2013-07-22,65
2013-07-23,64
2013-07-24,63
2013-07-25,62
2013-07-26,62
2013-07-27,61
2013-07-28,60
2013-07-29,59
2013-07-30,58
2013-07-31,57
2013-08-01,57
2013-08-02,57
2013-08-03,57
2013-08-04,57
2013-08-05,57
2013-08-06,57
2013-08-07,57
2013-08-08,57
2013-08-09,57
2013-08-10,57
2013-08-11,57
2013-08-12,58
2013-08-13,58
2013-08-14,58
2013-08-15,58
2013-08-16,58
2013-08-17,58
2013-08-18,58
2013-08-19,58
2013-08-20,58
2013-08-21,58
2013-08-22,59
2013-08-23,59
2013-08-24,59
2013-08-25,59
2013-08-26,59
2013-08-27,59
2013-08-28,59
2013-08-29,59
2013-08-30,59
2013-08-31,59
2013-09-01,60
2013-09-02,59
2013-09-03,59
2013-09-04,59
2013-09-05,59
2013-09-06,58
2013-09-07,58
2013-09-08,58
2013-09-09,58
2013-09-10,57
2013-09-11,57
2013-09-12,57
2013-09-13,57
2013-09-14,56
2013-09-15,56
2013-09-16,56
2013-09-17,56
2013-09-18,56
2013-09-19,55
2013-09-20,55
2013-09-21,55
2013-09-22,55
2013-09-23,54
2013-09-24,54
2013-09-25,54
2013-09-26,54
2013-09-27,53
2013-09-28,53
2013-09-29,53
2013-09-30,53
2013-10-01,53
2013-10-02,54
2013-10-03,56
2013-10-04,57
2013-10-05,59
2013-10-06,60
2013-10-07,62
2013-10-08,63
2013-10-09,65
2013-10-10,66
2013-10-11,68
2013-10-12,69
2013-10-13,71
2013-10-14,72
2013-10-15,74
2013-10-16,75
2013-10-17,77
2013-10-18,78
2013-10-19,80
2013-10-20,81
2013-10-21,83
2013-10-22,84
2013-10-23,86
2013-10-24,87
2013-10-25,89
2013-10-26,90
2013-10-27,92
2013-10-28,93
2013-10-29,95
2013-10-30,96
2013-10-31,98
2013-11-01,100
2013-11-02,99
2013-11-03,99
2013-11-04,98
2013-11-05,98
2013-11-06,97
2013-11-07,97
2013-11-08,96
2013-11-09,96
2013-11-10,96
2013-11-11,95
2013-11-12,95
2013-11-13,94
2013-11-14,94
2013-11-15,93
2013-11-16,93
2013-11-17,93
2013-11-18,92
2013-11-19,92
2013-11-20,91
2013-11-21,91
2013-11-22,90
2013-11-23,90
2013-11-24,90
2013-11-25,89
2013-11-26,89
2013-11-27,88
2013-11-28,88
2013-11-29,87
2013-11-30,87
2013-12-01,87
2013-12-02,86
2013-12-03,85
2013-12-04,84
2013-12-05,84
2013-12-06,83
2013-12-07,82
2013-12-08,82
2013-12-09,81
2013-12-10,80
2013-12-11,80
2013-12-12,79
2013-12-13,78
2013-12-14,78
2013-12-15,77
2013-12-16,76
2013-12-17,76
2013-12-18,75
2013-12-19,74
2013-12-20,74
2013-12-21,73
2013-12-22,72
2013-12-23,72
2013-12-24,71
2013-12-25,70
2013-12-26,70
2013-12-27,69
2013-12-28,68
2013-12-29,68
2013-12-30,67
2013-12-31,66
2014-01-01,66
2014-01-02,65
2014-01-03,64
2014-01-04,64
2014-01-05,63
2014-01-06,62
2014-01-07,62
2014-01-08,61
2014-01-09,61
2014-01-10,60
2014-01-11,59
2014-01-12,59
2014-01-13,58
2014-01-14,58
2014-01-15,57
2014-01-16,56
2014-01-17,56
2014-01-18,55
2014-01-19,54
2014-01-20,54
2014-01-21,53
2014-01-22,53
2014-01-23,52
2014-01-24,51
2014-01-25,51
2014-01-26,50
2014-01-27,50
2014-01-28,49
2014-01-29,48
2014-01-30,48
2014-01-31,47
2014-02-01,47
