Date,WageWorks
2010-10-09,65
2010-10-10,57
2010-10-11,55
2010-10-12,54
2010-10-13,54
2010-10-14,51
2010-10-15,49
2010-10-16,49
2010-10-17,50
2010-10-18,52
2010-10-19,57
2010-10-20,57
2010-10-21,60
2010-10-22,61
2010-10-23,70
2010-10-24,63
2010-10-25,62
2010-10-26,61
2010-10-27,61
2010-10-28,67
2010-10-29,59
2010-10-30,61
2010-10-31,61
2010-11-01,63
2010-11-02,72
2010-11-03,68
2010-11-04,71
2010-11-05,73
2010-11-06,86
2010-11-07,75
2010-11-08,74
2010-11-09,75
2010-11-10,72
2010-11-11,72
2010-11-12,77
2010-11-13,69
2010-11-14,68
2010-11-15,68
2010-11-16,68
2010-11-17,70
2010-11-18,68
2010-11-19,67
2010-11-20,70
2010-11-21,63
2010-11-22,60
2010-11-23,61
2010-11-24,54
2010-11-25,56
2010-11-26,48
2010-11-27,45
2010-11-28,49
2010-11-29,53
2010-11-30,58
2010-12-01,63
2010-12-02,67
2010-12-03,74
2010-12-04,80
2010-12-05,74
2010-12-06,73
2010-12-07,76
2010-12-08,70
2010-12-09,70
2010-12-10,69
2010-12-11,67
2010-12-12,70
2010-12-13,71
2010-12-14,73
2010-12-15,77
2010-12-16,77
2010-12-17,79
2010-12-18,90
2010-12-19,79
2010-12-20,77
2010-12-21,75
2010-12-22,76
2010-12-23,72
2010-12-24,74
2010-12-25,68
2010-12-26,72
2010-12-27,76
2010-12-28,80
2010-12-29,85
2010-12-30,89
2010-12-31,94
2011-01-01,98
2011-01-02,102
2011-01-03,97
2011-01-04,100
2011-01-05,98
2011-01-06,107
2011-01-07,97
2011-01-08,101
2011-01-09,105
2011-01-10,95
2011-01-11,94
2011-01-12,96
2011-01-13,93
2011-01-14,91
2011-01-15,102
2011-01-16,92
2011-01-17,83
2011-01-18,80
2011-01-19,77
2011-01-20,73
2011-01-21,69
2011-01-22,74
2011-01-23,66
2011-01-24,67
2011-01-25,68
2011-01-26,70
2011-01-27,72
2011-01-28,70
2011-01-29,73
2011-01-30,76
2011-01-31,70
2011-02-01,70
2011-02-02,69
2011-02-03,70
2011-02-04,69
2011-02-05,75
2011-02-06,69
2011-02-07,69
2011-02-08,74
2011-02-09,72
2011-02-10,70
2011-02-11,74
2011-02-12,76
2011-02-13,69
2011-02-14,67
2011-02-15,68
2011-02-16,66
2011-02-17,61
2011-02-18,60
2011-02-19,58
2011-02-20,57
2011-02-21,58
2011-02-22,59
2011-02-23,59
2011-02-24,60
2011-02-25,61
2011-02-26,66
2011-02-27,67
2011-02-28,65
2011-03-01,67
2011-03-02,72
2011-03-03,71
2011-03-04,73
2011-03-05,79
2011-03-06,74
2011-03-07,73
2011-03-08,79
2011-03-09,72
2011-03-10,71
2011-03-11,73
2011-03-12,75
2011-03-13,69
2011-03-14,67
2011-03-15,66
2011-03-16,65
2011-03-17,67
2011-03-18,63
2011-03-19,66
2011-03-20,61
2011-03-21,61
2011-03-22,63
2011-03-23,67
2011-03-24,60
2011-03-25,60
2011-03-26,66
2011-03-27,62
2011-03-28,64
2011-03-29,68
2011-03-30,69
2011-03-31,72
2011-04-01,74
2011-04-02,84
2011-04-03,78
2011-04-04,71
2011-04-05,74
2011-04-06,66
2011-04-07,64
2011-04-08,63
2011-04-09,61
2011-04-10,56
2011-04-11,55
2011-04-12,54
2011-04-13,56
2011-04-14,51
2011-04-15,50
2011-04-16,49
2011-04-17,48
2011-04-18,47
2011-04-19,46
2011-04-20,47
2011-04-21,45
2011-04-22,46
2011-04-23,44
2011-04-24,46
2011-04-25,48
2011-04-26,50
2011-04-27,54
2011-04-28,54
2011-04-29,58
2011-04-30,62
2011-05-01,58
2011-05-02,58
2011-05-03,59
2011-05-04,59
2011-05-05,60
2011-05-06,63
2011-05-07,62
2011-05-08,60
2011-05-09,60
2011-05-10,59
2011-05-11,62
2011-05-12,59
2011-05-13,61
2011-05-14,60
2011-05-15,57
2011-05-16,57
2011-05-17,59
2011-05-18,58
2011-05-19,58
2011-05-20,59
2011-05-21,58
2011-05-22,55
2011-05-23,53
2011-05-24,51
2011-05-25,52
2011-05-26,51
2011-05-27,46
2011-05-28,45
2011-05-29,45
2011-05-30,46
2011-05-31,47
2011-06-01,48
2011-06-02,51
2011-06-03,50
2011-06-04,54
2011-06-05,50
2011-06-06,51
2011-06-07,52
2011-06-08,57
2011-06-09,54
2011-06-10,54
2011-06-11,58
2011-06-12,54
2011-06-13,54
2011-06-14,54
2011-06-15,57
2011-06-16,53
2011-06-17,59
2011-06-18,53
2011-06-19,53
2011-06-20,53
2011-06-21,54
2011-06-22,56
2011-06-23,55
2011-06-24,58
2011-06-25,56
2011-06-26,57
2011-06-27,58
2011-06-28,63
2011-06-29,60
2011-06-30,61
2011-07-01,62
2011-07-02,64
2011-07-03,66
2011-07-04,61
2011-07-05,59
2011-07-06,58
2011-07-07,56
2011-07-08,60
2011-07-09,54
2011-07-10,53
2011-07-11,53
2011-07-12,55
2011-07-13,54
2011-07-14,53
2011-07-15,54
2011-07-16,57
2011-07-17,52
2011-07-18,52
2011-07-19,52
2011-07-20,53
2011-07-21,52
2011-07-22,58
2011-07-23,52
2011-07-24,53
2011-07-25,55
2011-07-26,60
2011-07-27,59
2011-07-28,62
2011-07-29,63
2011-07-30,70
2011-07-31,63
2011-08-01,62
2011-08-02,61
2011-08-03,60
2011-08-04,59
2011-08-05,60
2011-08-06,60
2011-08-07,58
2011-08-08,59
2011-08-09,60
2011-08-10,61
2011-08-11,63
2011-08-12,64
2011-08-13,64
2011-08-14,61
2011-08-15,59
2011-08-16,62
2011-08-17,59
2011-08-18,53
2011-08-19,51
2011-08-20,53
2011-08-21,49
2011-08-22,49
2011-08-23,49
2011-08-24,51
2011-08-25,49
2011-08-26,49
2011-08-27,50
2011-08-28,50
2011-08-29,52
2011-08-30,57
2011-08-31,55
2011-09-01,56
2011-09-02,58
2011-09-03,71
2011-09-04,56
2011-09-05,53
2011-09-06,50
2011-09-07,47
2011-09-08,49
2011-09-09,41
2011-09-10,41
2011-09-11,39
2011-09-12,41
2011-09-13,44
2011-09-14,47
2011-09-15,46
2011-09-16,51
2011-09-17,53
2011-09-18,50
2011-09-19,50
2011-09-20,55
2011-09-21,51
2011-09-22,51
2011-09-23,53
2011-09-24,52
2011-09-25,53
2011-09-26,54
2011-09-27,55
2011-09-28,61
2011-09-29,57
2011-09-30,59
2011-10-01,60
2011-10-02,61
2011-10-03,61
2011-10-04,62
2011-10-05,65
2011-10-06,65
2011-10-07,64
2011-10-08,67
2011-10-09,67
2011-10-10,61
2011-10-11,62
2011-10-12,58
2011-10-13,60
2011-10-14,55
2011-10-15,60
2011-10-16,53
2011-10-17,52
2011-10-18,54
2011-10-19,50
2011-10-20,49
2011-10-21,50
2011-10-22,50
2011-10-23,52
2011-10-24,54
2011-10-25,59
2011-10-26,62
2011-10-27,63
2011-10-28,66
2011-10-29,73
2011-10-30,69
2011-10-31,70
2011-11-01,71
2011-11-02,76
2011-11-03,72
2011-11-04,73
2011-11-05,80
2011-11-06,73
2011-11-07,72
2011-11-08,72
2011-11-09,73
2011-11-10,71
2011-11-11,70
2011-11-12,79
2011-11-13,70
2011-11-14,71
2011-11-15,73
2011-11-16,74
2011-11-17,73
2011-11-18,79
2011-11-19,78
2011-11-20,70
2011-11-21,66
2011-11-22,62
2011-11-23,61
2011-11-24,59
2011-11-25,50
2011-11-26,46
2011-11-27,54
2011-11-28,55
2011-11-29,60
2011-11-30,64
2011-12-01,73
2011-12-02,75
2011-12-03,81
2011-12-04,77
2011-12-05,75
2011-12-06,73
2011-12-07,71
2011-12-08,69
2011-12-09,73
2011-12-10,70
2011-12-11,67
2011-12-12,67
2011-12-13,68
2011-12-14,74
2011-12-15,69
2011-12-16,70
2011-12-17,78
2011-12-18,72
2011-12-19,70
2011-12-20,71
2011-12-21,72
2011-12-22,71
2011-12-23,75
2011-12-24,70
2011-12-25,72
2011-12-26,75
2011-12-27,78
2011-12-28,80
2011-12-29,83
2011-12-30,88
2011-12-31,93
2012-01-01,90
2012-01-02,92
2012-01-03,93
2012-01-04,103
2012-01-05,96
2012-01-06,98
2012-01-07,108
2012-01-08,112
2012-01-09,94
2012-01-10,94
2012-01-11,91
2012-01-12,89
2012-01-13,84
2012-01-14,89
2012-01-15,80
2012-01-16,79
2012-01-17,78
2012-01-18,81
2012-01-19,76
2012-01-20,75
2012-01-21,86
2012-01-22,74
2012-01-23,74
2012-01-24,76
2012-01-25,77
2012-01-26,76
2012-01-27,80
2012-01-28,79
2012-01-29,81
2012-01-30,76
2012-01-31,76
2012-02-01,75
2012-02-02,75
2012-02-03,77
2012-02-04,83
2012-02-05,75
2012-02-06,75
2012-02-07,77
2012-02-08,76
2012-02-09,77
2012-02-10,80
2012-02-11,85
2012-02-12,78
2012-02-13,77
2012-02-14,79
2012-02-15,76
2012-02-16,76
2012-02-17,77
2012-02-18,84
2012-02-19,75
2012-02-20,75
2012-02-21,74
2012-02-22,74
2012-02-23,76
2012-02-24,75
2012-02-25,79
2012-02-26,74
2012-02-27,75
2012-02-28,80
2012-02-29,78
2012-03-01,79
2012-03-02,85
2012-03-03,87
2012-03-04,83
2012-03-05,85
2012-03-06,86
2012-03-07,90
2012-03-08,89
2012-03-09,93
2012-03-10,101
2012-03-11,102
2012-03-12,90
2012-03-13,88
2012-03-14,90
2012-03-15,85
2012-03-16,90
2012-03-17,91
2012-03-18,80
2012-03-19,77
2012-03-20,75
2012-03-21,73
2012-03-22,71
2012-03-23,65
2012-03-24,70
2012-03-25,66
2012-03-26,69
2012-03-27,75
2012-03-28,76
2012-03-29,82
2012-03-30,82
2012-03-31,99
2012-04-01,82
2012-04-02,79
2012-04-03,81
2012-04-04,73
2012-04-05,69
2012-04-06,68
2012-04-07,69
2012-04-08,63
2012-04-09,63
2012-04-10,64
2012-04-11,63
2012-04-12,68
2012-04-13,63
2012-04-14,72
2012-04-15,62
2012-04-16,61
2012-04-17,64
2012-04-18,60
2012-04-19,59
2012-04-20,59
2012-04-21,65
2012-04-22,58
2012-04-23,59
2012-04-24,61
2012-04-25,60
2012-04-26,62
2012-04-27,62
2012-04-28,74
2012-04-29,62
2012-04-30,61
2012-05-01,60
2012-05-02,64
2012-05-03,58
2012-05-04,57
2012-05-05,63
2012-05-06,61
2012-05-07,60
2012-05-08,62
2012-05-09,64
2012-05-10,65
2012-05-11,69
2012-05-12,78
2012-05-13,68
2012-05-14,67
2012-05-15,70
2012-05-16,66
2012-05-17,65
2012-05-18,66
2012-05-19,70
2012-05-20,63
2012-05-21,63
2012-05-22,64
2012-05-23,62
2012-05-24,62
2012-05-25,64
2012-05-26,65
2012-05-27,61
2012-05-28,64
2012-05-29,61
2012-05-30,62
2012-05-31,61
2012-06-01,61
2012-06-02,66
2012-06-03,64
2012-06-04,62
2012-06-05,65
2012-06-06,67
2012-06-07,65
2012-06-08,68
2012-06-09,70
2012-06-10,65
2012-06-11,64
2012-06-12,62
2012-06-13,61
2012-06-14,59
2012-06-15,62
2012-06-16,63
2012-06-17,57
2012-06-18,57
2012-06-19,59
2012-06-20,60
2012-06-21,59
2012-06-22,64
2012-06-23,63
2012-06-24,64
2012-06-25,64
2012-06-26,66
2012-06-27,69
2012-06-28,71
2012-06-29,72
2012-06-30,86
2012-07-01,72
2012-07-02,69
2012-07-03,70
2012-07-04,72
2012-07-05,60
2012-07-06,62
2012-07-07,59
2012-07-08,59
2012-07-09,60
2012-07-10,63
2012-07-11,66
2012-07-12,71
2012-07-13,72
2012-07-14,82
2012-07-15,73
2012-07-16,71
2012-07-17,69
2012-07-18,67
2012-07-19,68
2012-07-20,64
2012-07-21,62
2012-07-22,69
2012-07-23,60
2012-07-24,64
2012-07-25,62
2012-07-26,58
2012-07-27,59
2012-07-28,61
2012-07-29,59
2012-07-30,62
2012-07-31,64
2012-08-01,67
2012-08-02,69
2012-08-03,72
2012-08-04,82
2012-08-05,73
2012-08-06,72
2012-08-07,72
2012-08-08,71
2012-08-09,68
2012-08-10,68
2012-08-11,72
2012-08-12,66
2012-08-13,67
2012-08-14,70
2012-08-15,68
2012-08-16,69
2012-08-17,71
2012-08-18,77
2012-08-19,73
2012-08-20,72
