Date,MAKO Surgical
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,1
2007-04-03,2
2007-04-04,3
2007-04-05,4
2007-04-06,5
2007-04-07,6
2007-04-08,7
2007-04-09,8
2007-04-10,9
2007-04-11,11
2007-04-12,12
2007-04-13,13
2007-04-14,14
2007-04-15,15
2007-04-16,16
2007-04-17,17
2007-04-18,18
2007-04-19,19
2007-04-20,20
2007-04-21,22
2007-04-22,23
2007-04-23,24
2007-04-24,25
2007-04-25,26
2007-04-26,27
2007-04-27,28
2007-04-28,29
2007-04-29,30
2007-04-30,31
2007-05-01,33
2007-05-02,32
2007-05-03,32
2007-05-04,32
2007-05-05,32
2007-05-06,32
2007-05-07,32
2007-05-08,32
2007-05-09,32
2007-05-10,32
2007-05-11,32
2007-05-12,32
2007-05-13,32
2007-05-14,32
2007-05-15,32
2007-05-16,32
2007-05-17,32
2007-05-18,32
2007-05-19,32
2007-05-20,32
2007-05-21,32
2007-05-22,32
2007-05-23,32
2007-05-24,32
2007-05-25,32
2007-05-26,32
2007-05-27,32
2007-05-28,32
2007-05-29,32
2007-05-30,32
2007-05-31,32
2007-06-01,32
2007-06-02,32
2007-06-03,32
2007-06-04,32
2007-06-05,32
2007-06-06,32
2007-06-07,32
2007-06-08,32
2007-06-09,32
2007-06-10,32
2007-06-11,32
2007-06-12,32
2007-06-13,32
2007-06-14,32
2007-06-15,32
2007-06-16,33
2007-06-17,33
2007-06-18,33
2007-06-19,33
2007-06-20,33
2007-06-21,33
2007-06-22,33
2007-06-23,33
2007-06-24,33
2007-06-25,33
2007-06-26,33
2007-06-27,33
2007-06-28,33
2007-06-29,33
2007-06-30,33
2007-07-01,34
2007-07-02,34
2007-07-03,34
2007-07-04,34
2007-07-05,34
2007-07-06,34
2007-07-07,34
2007-07-08,34
2007-07-09,34
2007-07-10,34
2007-07-11,34
2007-07-12,35
2007-07-13,35
2007-07-14,35
2007-07-15,35
2007-07-16,35
2007-07-17,35
2007-07-18,35
2007-07-19,35
2007-07-20,35
2007-07-21,35
2007-07-22,36
2007-07-23,36
2007-07-24,36
2007-07-25,36
2007-07-26,36
2007-07-27,36
2007-07-28,36
2007-07-29,36
2007-07-30,36
2007-07-31,36
2007-08-01,37
2007-08-02,37
2007-08-03,37
2007-08-04,37
2007-08-05,37
2007-08-06,37
2007-08-07,37
2007-08-08,37
2007-08-09,37
2007-08-10,37
2007-08-11,37
2007-08-12,38
2007-08-13,38
2007-08-14,38
2007-08-15,38
2007-08-16,38
2007-08-17,38
2007-08-18,38
2007-08-19,38
2007-08-20,38
2007-08-21,38
2007-08-22,39
2007-08-23,39
2007-08-24,39
2007-08-25,39
2007-08-26,39
2007-08-27,39
2007-08-28,39
2007-08-29,39
2007-08-30,39
2007-08-31,39
2007-09-01,40
2007-09-02,40
2007-09-03,40
2007-09-04,40
2007-09-05,40
2007-09-06,40
2007-09-07,40
2007-09-08,40
2007-09-09,40
2007-09-10,40
2007-09-11,41
2007-09-12,41
2007-09-13,41
2007-09-14,41
2007-09-15,41
2007-09-16,41
2007-09-17,41
2007-09-18,41
2007-09-19,41
2007-09-20,41
2007-09-21,42
2007-09-22,42
2007-09-23,42
2007-09-24,42
2007-09-25,42
2007-09-26,42
2007-09-27,42
2007-09-28,42
2007-09-29,42
2007-09-30,42
2007-10-01,43
2007-10-02,42
2007-10-03,41
2007-10-04,41
2007-10-05,40
2007-10-06,40
2007-10-07,39
2007-10-08,38
2007-10-09,38
2007-10-10,37
2007-10-11,37
2007-10-12,36
2007-10-13,36
2007-10-14,35
2007-10-15,34
2007-10-16,34
2007-10-17,33
2007-10-18,33
2007-10-19,32
2007-10-20,31
2007-10-21,31
2007-10-22,30
2007-10-23,30
2007-10-24,29
2007-10-25,29
2007-10-26,28
2007-10-27,27
2007-10-28,27
2007-10-29,26
2007-10-30,26
2007-10-31,25
2007-11-01,25
2007-11-02,25
2007-11-03,25
2007-11-04,26
2007-11-05,26
2007-11-06,27
2007-11-07,27
2007-11-08,27
2007-11-09,28
2007-11-10,28
2007-11-11,29
2007-11-12,29
2007-11-13,29
2007-11-14,30
2007-11-15,30
2007-11-16,31
2007-11-17,31
2007-11-18,31
2007-11-19,32
2007-11-20,32
2007-11-21,33
2007-11-22,33
2007-11-23,33
2007-11-24,34
2007-11-25,34
2007-11-26,35
2007-11-27,35
2007-11-28,35
2007-11-29,36
2007-11-30,36
2007-12-01,37
2007-12-02,37
2007-12-03,37
2007-12-04,38
2007-12-05,38
2007-12-06,38
2007-12-07,39
2007-12-08,39
2007-12-09,40
2007-12-10,40
2007-12-11,40
2007-12-12,41
2007-12-13,41
2007-12-14,42
2007-12-15,42
2007-12-16,42
2007-12-17,43
2007-12-18,43
2007-12-19,43
2007-12-20,44
2007-12-21,44
2007-12-22,45
2007-12-23,45
2007-12-24,45
2007-12-25,46
2007-12-26,46
2007-12-27,47
2007-12-28,47
2007-12-29,47
2007-12-30,48
2007-12-31,48
2008-01-01,49
2008-01-02,50
2008-01-03,52
2008-01-04,53
2008-01-05,55
2008-01-06,57
2008-01-07,58
2008-01-08,60
2008-01-09,62
2008-01-10,63
2008-01-11,65
2008-01-12,67
2008-01-13,68
2008-01-14,70
2008-01-15,72
2008-01-16,73
2008-01-17,75
2008-01-18,76
2008-01-19,78
2008-01-20,80
2008-01-21,81
2008-01-22,83
2008-01-23,85
2008-01-24,86
2008-01-25,88
2008-01-26,90
2008-01-27,91
2008-01-28,93
2008-01-29,95
2008-01-30,96
2008-01-31,98
2008-02-01,100
2008-02-02,97
2008-02-03,95
2008-02-04,92
2008-02-05,90
2008-02-06,88
2008-02-07,85
2008-02-08,83
2008-02-09,80
2008-02-10,78
2008-02-11,76
2008-02-12,73
2008-02-13,71
2008-02-14,69
2008-02-15,66
2008-02-16,64
2008-02-17,61
2008-02-18,59
2008-02-19,57
2008-02-20,54
2008-02-21,52
2008-02-22,50
2008-02-23,47
2008-02-24,45
2008-02-25,42
2008-02-26,40
2008-02-27,38
2008-02-28,35
2008-02-29,33
2008-03-01,31
2008-03-02,30
2008-03-03,30
2008-03-04,30
2008-03-05,30
2008-03-06,30
2008-03-07,29
2008-03-08,29
2008-03-09,29
2008-03-10,29
2008-03-11,29
2008-03-12,28
2008-03-13,28
2008-03-14,28
2008-03-15,28
2008-03-16,28
2008-03-17,27
2008-03-18,27
2008-03-19,27
2008-03-20,27
2008-03-21,27
2008-03-22,26
2008-03-23,26
2008-03-24,26
2008-03-25,26
2008-03-26,26
2008-03-27,25
2008-03-28,25
2008-03-29,25
2008-03-30,25
2008-03-31,25
2008-04-01,25
2008-04-02,25
2008-04-03,26
2008-04-04,27
2008-04-05,28
2008-04-06,29
2008-04-07,30
2008-04-08,30
2008-04-09,31
2008-04-10,32
2008-04-11,33
2008-04-12,34
2008-04-13,35
2008-04-14,35
2008-04-15,36
2008-04-16,37
2008-04-17,38
2008-04-18,39
2008-04-19,40
2008-04-20,40
2008-04-21,41
2008-04-22,42
2008-04-23,43
2008-04-24,44
2008-04-25,45
2008-04-26,45
2008-04-27,46
2008-04-28,47
2008-04-29,48
2008-04-30,49
2008-05-01,50
2008-05-02,49
2008-05-03,49
2008-05-04,49
2008-05-05,49
2008-05-06,48
2008-05-07,48
2008-05-08,48
2008-05-09,48
