Date,Onconova
2012-12-01,28
2012-12-02,28
2012-12-03,29
2012-12-04,30
2012-12-05,31
2012-12-06,32
2012-12-07,33
2012-12-08,34
2012-12-09,35
2012-12-10,36
2012-12-11,37
2012-12-12,37
2012-12-13,38
2012-12-14,39
2012-12-15,40
2012-12-16,41
2012-12-17,42
2012-12-18,43
2012-12-19,44
2012-12-20,45
2012-12-21,46
2012-12-22,46
2012-12-23,47
2012-12-24,48
2012-12-25,49
2012-12-26,50
2012-12-27,51
2012-12-28,52
2012-12-29,53
2012-12-30,54
2012-12-31,55
2013-01-01,56
2013-01-02,55
2013-01-03,55
2013-01-04,54
2013-01-05,54
2013-01-06,54
2013-01-07,53
2013-01-08,53
2013-01-09,52
2013-01-10,52
2013-01-11,52
2013-01-12,51
2013-01-13,51
2013-01-14,50
2013-01-15,50
2013-01-16,50
2013-01-17,49
2013-01-18,49
2013-01-19,49
2013-01-20,48
2013-01-21,48
2013-01-22,47
2013-01-23,47
2013-01-24,47
2013-01-25,46
2013-01-26,46
2013-01-27,45
2013-01-28,45
2013-01-29,45
2013-01-30,44
2013-01-31,44
2013-02-01,44
2013-02-02,44
2013-02-03,44
2013-02-04,44
2013-02-05,44
2013-02-06,45
2013-02-07,45
2013-02-08,45
2013-02-09,45
2013-02-10,45
2013-02-11,46
2013-02-12,46
2013-02-13,46
2013-02-14,46
2013-02-15,47
2013-02-16,47
2013-02-17,47
2013-02-18,47
2013-02-19,47
2013-02-20,48
2013-02-21,48
2013-02-22,48
2013-02-23,48
2013-02-24,48
2013-02-25,49
2013-02-26,49
2013-02-27,49
2013-02-28,49
2013-03-01,50
2013-03-02,49
2013-03-03,49
2013-03-04,49
2013-03-05,49
2013-03-06,48
2013-03-07,48
2013-03-08,48
2013-03-09,48
2013-03-10,47
2013-03-11,47
2013-03-12,47
2013-03-13,47
2013-03-14,47
2013-03-15,46
2013-03-16,46
2013-03-17,46
2013-03-18,46
2013-03-19,45
2013-03-20,45
2013-03-21,45
2013-03-22,45
2013-03-23,45
2013-03-24,44
2013-03-25,44
2013-03-26,44
2013-03-27,44
2013-03-28,43
2013-03-29,43
2013-03-30,43
2013-03-31,43
2013-04-01,43
2013-04-02,42
2013-04-03,42
2013-04-04,41
2013-04-05,41
2013-04-06,40
2013-04-07,40
2013-04-08,39
2013-04-09,39
2013-04-10,38
2013-04-11,38
2013-04-12,37
2013-04-13,37
2013-04-14,36
2013-04-15,36
2013-04-16,35
2013-04-17,35
2013-04-18,34
2013-04-19,34
2013-04-20,33
2013-04-21,33
2013-04-22,32
2013-04-23,32
2013-04-24,31
2013-04-25,31
2013-04-26,30
2013-04-27,30
2013-04-28,29
2013-04-29,29
2013-04-30,28
2013-05-01,28
2013-05-02,29
2013-05-03,30
2013-05-04,31
2013-05-05,32
2013-05-06,33
2013-05-07,34
2013-05-08,35
2013-05-09,36
2013-05-10,37
2013-05-11,38
2013-05-12,39
2013-05-13,40
2013-05-14,41
2013-05-15,42
2013-05-16,43
2013-05-17,44
2013-05-18,45
2013-05-19,46
2013-05-20,47
2013-05-21,48
2013-05-22,49
2013-05-23,50
2013-05-24,51
2013-05-25,52
2013-05-26,53
2013-05-27,54
2013-05-28,55
2013-05-29,56
2013-05-30,57
2013-05-31,58
2013-06-02,61
2013-06-03,62
2013-06-04,64
2013-06-05,65
2013-06-06,66
2013-06-07,68
2013-06-08,69
2013-06-09,70
2013-06-10,90
2013-06-11,73
2013-06-12,74
2013-06-13,76
2013-06-14,77
2013-06-15,78
2013-06-16,80
2013-06-17,81
2013-06-18,82
2013-06-19,84
2013-06-20,85
2013-06-21,86
2013-06-22,88
2013-06-23,89
2013-06-24,90
2013-06-25,92
2013-06-26,93
2013-06-27,94
2013-06-28,96
2013-06-29,97
2013-06-30,98
2013-07-01,100
2013-07-02,99
2013-07-03,98
2013-07-04,97
2013-07-05,96
2013-07-06,95
2013-07-07,94
2013-07-08,93
2013-07-09,92
2013-07-10,91
2013-07-11,90
2013-07-12,90
2013-07-13,89
2013-07-14,88
2013-07-15,87
2013-07-16,86
2013-07-17,85
2013-07-18,84
2013-07-19,83
2013-07-20,82
2013-07-21,81
2013-07-22,81
2013-07-23,80
2013-07-24,79
2013-07-25,78
2013-07-26,78
2013-07-27,77
2013-07-28,76
2013-07-29,75
2013-07-30,74
2013-07-31,73
2013-08-01,72
2013-08-02,71
2013-08-03,71
2013-08-04,70
2013-08-05,70
2013-08-06,70
2013-08-07,69
2013-08-08,69
2013-08-09,69
2013-08-10,71
2013-08-11,63
2013-08-12,62
2013-08-13,61
2013-08-14,61
2013-08-15,60
2013-08-16,59
2013-08-17,58
2013-08-18,57
2013-08-19,56
2013-08-20,56
2013-08-21,55
2013-08-22,54
2013-08-23,53
2013-08-24,52
2013-08-25,51
2013-09-01,46
2013-09-02,46
2013-09-03,47
2013-09-04,48
2013-09-05,48
2013-09-06,49
2013-09-07,50
2013-09-08,51
2013-09-09,51
2013-09-10,52
2013-09-11,53
2013-09-12,54
2013-09-13,54
2013-09-14,55
2013-09-15,56
2013-09-16,57
2013-09-17,57
2013-09-18,58
2013-09-19,59
2013-09-20,59
2013-09-21,60
2013-09-22,61
2013-09-23,62
2013-09-24,62
2013-09-25,63
2013-09-26,64
2013-09-27,65
2013-09-28,65
2013-09-29,66
2013-09-30,67
2013-10-01,68
2013-10-02,67
2013-10-03,66
2013-10-04,65
2013-10-05,64
2013-10-06,63
2013-10-07,62
2013-10-08,61
2013-10-09,60
2013-10-10,59
2013-10-11,58
2013-10-12,58
2013-10-13,57
2013-10-14,56
2013-10-15,55
2013-10-16,54
2013-10-17,53
2013-10-18,52
2013-10-19,51
2013-10-20,50
2013-10-21,49
2013-10-22,49
2013-10-23,48
2013-10-24,47
2013-10-25,46
2013-10-26,45
2013-10-27,44
2013-10-28,43
2013-10-29,42
2013-10-30,41
2013-10-31,40
2013-11-01,40
2013-11-02,40
2013-11-03,41
2013-11-04,42
2013-11-05,43
2013-11-06,44
2013-11-07,45
2013-11-08,46
2013-11-09,46
2013-11-10,47
2013-11-11,48
2013-11-12,49
2013-11-13,50
2013-11-14,51
2013-11-15,52
2013-11-16,53
2013-11-17,53
2013-11-18,54
2013-11-19,55
2013-11-20,56
2013-11-21,57
2013-11-22,58
2013-11-23,59
2013-11-24,59
2013-11-25,60
2013-11-26,61
2013-11-27,62
2013-11-28,63
2013-11-29,64
2013-11-30,65
2013-12-01,66
2013-12-02,66
2013-12-03,66
2013-12-04,67
2013-12-05,67
2013-12-06,67
2013-12-07,68
2013-12-08,68
2013-12-09,69
2013-12-10,69
2013-12-11,69
2013-12-12,70
2013-12-13,70
2013-12-14,71
2013-12-15,71
2013-12-16,72
2013-12-17,72
2013-12-18,72
2013-12-19,73
2013-12-20,73
2013-12-21,74
2013-12-22,74
2013-12-23,74
2013-12-24,74
2013-12-25,75
2013-12-26,75
2013-12-27,76
2013-12-28,76
2013-12-29,76
2013-12-30,77
2013-12-31,77
2014-01-01,78
