Date,Envivio
2012-09-18,25
2012-09-19,22
2012-09-20,19
2012-09-21,16
2012-09-22,14
2012-09-23,15
2012-09-24,17
2012-09-25,19
2012-09-26,21
2012-09-27,23
2012-09-28,25
2012-09-29,27
2012-09-30,26
