Date,Jones Energy
2012-11-10,52
2012-11-11,51
2012-11-12,50
2012-11-13,49
2012-11-14,48
2012-11-15,47
2012-11-16,46
2012-11-17,46
2012-11-18,44
2012-11-19,43
2012-11-20,42
2012-11-21,42
2012-11-22,41
2012-11-23,40
2012-11-24,40
2012-11-25,40
2012-11-26,40
2012-11-27,40
2012-11-28,43
2012-11-29,41
2012-11-30,41
2012-12-01,42
2012-12-02,41
2012-12-03,40
2012-12-04,39
2012-12-05,39
2012-12-06,38
2012-12-07,37
2012-12-08,37
2012-12-09,37
2012-12-10,37
2012-12-11,39
2012-12-12,38
2012-12-13,39
2012-12-14,39
2012-12-15,40
2012-12-16,39
2012-12-17,39
2012-12-18,39
2012-12-19,41
2012-12-20,39
2012-12-21,39
2012-12-22,39
2012-12-23,38
2012-12-24,37
2012-12-25,36
2012-12-26,35
2012-12-27,34
2012-12-28,33
2012-12-29,32
2012-12-30,32
2012-12-31,33
2013-01-01,34
2013-01-02,34
2013-01-03,35
2013-01-04,36
2013-01-05,38
2013-01-06,37
2013-01-07,37
2013-01-08,38
2013-01-09,38
2013-01-10,39
2013-01-11,39
2013-01-12,40
2013-01-13,39
2013-01-14,39
2013-01-15,39
2013-01-16,39
2013-01-17,39
2013-01-18,39
2013-01-19,39
2013-01-20,38
2013-01-21,38
2013-01-22,39
2013-01-23,38
2013-01-24,37
2013-01-25,37
2013-01-26,37
2013-01-27,38
2013-01-28,39
2013-01-29,41
2013-01-30,46
2013-01-31,44
2013-02-01,45
2013-02-02,47
2013-02-03,46
2013-02-04,45
2013-02-05,46
2013-02-06,44
2013-02-07,43
2013-02-08,43
2013-02-09,42
2013-02-10,41
2013-02-11,41
2013-02-12,41
2013-02-13,41
2013-02-14,42
2013-02-15,42
2013-02-16,41
2013-02-17,41
2013-02-18,41
2013-02-19,42
2013-02-20,42
2013-02-21,43
2013-02-22,43
2013-02-23,44
2013-02-24,43
2013-02-25,43
2013-02-26,43
2013-02-27,45
2013-02-28,42
2013-03-01,43
2013-03-02,42
2013-03-03,40
2013-03-04,39
2013-03-05,38
2013-03-06,37
2013-03-07,36
2013-03-08,35
2013-03-09,34
2013-03-10,33
2013-03-11,33
2013-03-12,32
2013-03-13,32
2013-03-14,31
2013-03-15,31
2013-03-16,31
2013-03-17,32
2013-03-18,34
2013-03-19,37
2013-03-20,37
2013-03-21,40
2013-03-22,41
2013-03-23,43
2013-03-24,42
2013-03-25,42
2013-03-26,42
2013-03-27,42
2013-03-28,42
2013-03-29,42
2013-03-30,42
2013-03-31,40
2013-05-01,43
2013-05-02,43
2013-05-03,44
2013-05-04,44
2013-05-05,44
2013-05-06,44
2013-05-07,45
2013-05-08,45
2013-05-09,46
2013-05-10,46
2013-05-11,47
2013-05-12,46
2013-05-13,45
2013-05-14,47
2013-05-15,43
2013-05-16,42
2013-05-17,41
2013-05-18,42
2013-05-19,39
2013-05-20,38
2013-05-21,36
2013-05-22,35
2013-05-23,33
2013-05-24,32
2013-05-25,31
2013-05-26,32
2013-05-27,33
2013-05-28,34
