Date,Financial Engines
2009-06-07,10
2009-06-08,11
2009-06-09,12
2009-06-10,13
2009-06-11,14
2009-06-12,15
2009-06-13,16
2009-06-14,15
2009-06-15,14
2009-06-16,13
2009-06-17,12
2009-06-18,11
2009-06-19,10
2009-06-20,9
2009-06-21,9
2009-06-22,9
2009-06-23,9
2009-06-24,9
2009-06-25,9
2009-06-26,9
2009-06-27,9
2009-06-28,9
2009-06-29,9
2009-06-30,9
2009-07-01,9
2009-07-02,9
2009-07-03,9
2009-07-04,9
2009-07-05,9
2009-07-06,9
2009-07-07,9
2009-07-08,9
2009-07-09,9
2009-07-10,9
2009-07-11,9
2009-07-12,9
2009-07-13,10
2009-07-14,10
2009-07-15,11
2009-07-16,11
2009-07-17,12
2009-07-18,13
2009-07-19,12
2009-07-20,12
2009-07-21,12
2009-07-22,11
2009-07-23,11
2009-07-24,11
2009-07-25,11
2009-07-26,10
2009-07-27,10
2009-07-28,10
2009-07-29,10
2009-07-30,10
2009-07-31,10
2009-08-01,10
2009-08-02,10
2009-08-03,11
2009-08-04,12
2009-08-05,12
2009-08-06,13
2009-08-07,14
2009-08-08,15
2009-08-09,14
2009-08-10,14
2009-08-11,14
2009-08-12,14
2009-08-13,13
2009-08-14,13
2009-08-15,13
2009-08-16,13
2009-08-17,12
2009-08-18,12
2009-08-19,12
2009-08-20,12
2009-08-21,12
2009-08-22,12
2009-08-23,11
2009-08-24,11
2009-08-25,11
2009-08-26,10
2009-08-27,10
2009-08-28,10
2009-08-29,9
2009-08-30,9
2009-09-06,9
2009-09-07,10
2009-09-08,10
2009-09-09,11
2009-09-10,11
2009-09-11,12
2009-09-12,13
2009-09-13,13
2009-09-14,13
2009-09-15,13
2009-09-16,14
2009-09-17,14
2009-09-18,14
2009-09-19,15
2009-09-20,15
2009-09-21,15
2009-09-22,15
2009-09-23,15
2009-09-24,15
2009-09-25,15
2009-09-26,16
2009-09-27,15
2009-09-28,14
2009-09-29,13
2009-09-30,12
2009-10-01,11
2009-10-02,10
2009-10-03,9
2009-10-04,10
2009-10-05,11
2009-10-06,12
2009-10-07,13
2009-10-08,14
2009-10-09,15
2009-10-10,16
2009-10-11,15
2009-10-12,14
2009-10-13,13
2009-10-14,13
2009-10-15,12
2009-10-16,11
2009-10-17,11
2009-10-18,10
2009-10-19,10
2009-10-20,10
2009-10-21,10
2009-10-22,10
2009-10-23,10
2009-10-24,10
2009-10-25,11
2009-10-26,12
2009-10-27,13
2009-10-28,14
2009-10-29,15
2009-10-30,16
2009-10-31,17
2009-11-01,16
2009-11-02,14
2009-11-03,13
2009-11-04,11
2009-11-05,10
2009-11-06,9
2009-11-07,8
2009-11-08,8
2009-11-09,8
2009-11-10,8
2009-11-11,8
2009-11-12,8
2009-11-13,8
2009-11-14,8
2009-11-15,8
2009-11-16,8
2009-11-17,9
2009-11-18,9
2009-11-19,10
2009-11-20,10
2009-11-21,11
2009-11-22,10
2009-11-23,10
