Date,Vitamin Cottage Natural Grocers
2011-12-10,62
2011-12-11,59
2011-12-12,60
2011-12-13,61
2011-12-14,66
2011-12-15,67
2011-12-16,64
2011-12-17,67
2011-12-18,66
2011-12-19,68
2011-12-20,69
2011-12-21,69
2011-12-22,74
2011-12-23,71
2011-12-24,73
2011-12-25,80
2011-12-26,70
2011-12-27,69
2011-12-28,68
2011-12-29,67
2011-12-30,66
2011-12-31,65
2012-01-01,67
2012-01-02,73
2012-01-03,75
2012-01-04,75
2012-01-05,78
2012-01-06,81
2012-01-07,84
2012-01-08,88
2012-01-09,79
2012-01-10,73
2012-01-11,71
2012-01-12,67
2012-01-13,62
2012-01-14,59
2012-01-15,62
2012-01-16,66
2012-01-17,75
2012-01-18,73
2012-01-19,78
2012-01-20,80
2012-01-21,91
2012-01-22,83
2012-01-23,89
2012-01-24,83
2012-01-25,82
2012-01-26,81
2012-01-27,81
2012-01-28,89
2012-01-29,80
2012-01-30,81
2012-01-31,85
2012-02-01,78
2012-02-02,80
2012-02-03,76
2012-02-04,76
2012-02-05,80
2012-02-06,79
2012-02-07,81
2012-02-08,82
2012-02-09,87
2012-02-10,96
2012-02-11,88
2012-02-12,85
2012-02-13,83
2012-02-14,85
2012-02-15,80
2012-02-16,75
2012-02-17,73
2012-02-18,73
2012-02-19,74
2012-02-20,78
2012-02-21,82
2012-02-22,85
2012-02-23,94
2012-02-24,93
2012-02-25,97
2012-02-26,96
2012-02-27,95
2012-02-28,94
2012-02-29,97
2012-03-01,92
2012-03-02,91
2012-03-03,91
2012-03-04,96
2012-03-05,88
2012-03-06,84
2012-03-07,90
2012-03-08,80
2012-03-09,85
2012-03-10,76
2012-03-11,74
2012-03-12,73
2012-03-13,75
2012-03-14,70
2012-03-15,69
2012-03-16,68
2012-03-17,66
2012-03-18,68
2012-03-19,76
2012-03-20,73
2012-03-21,79
2012-03-22,81
2012-03-23,81
2012-03-24,90
2012-03-25,82
2012-03-26,84
2012-03-27,80
2012-03-28,78
2012-03-29,81
2012-03-30,81
2012-03-31,75
2012-04-01,73
2012-04-02,71
2012-04-03,80
2012-04-04,68
2012-04-05,67
2012-04-06,64
2012-04-07,63
2012-04-08,62
2012-04-09,68
2012-04-10,61
2012-04-11,65
2012-04-12,62
2012-04-13,59
2012-04-14,60
2012-04-15,60
2012-04-16,63
2012-04-17,67
2012-04-18,63
2012-04-19,64
2012-04-20,65
2012-04-21,66
2012-04-22,69
2012-04-23,70
2012-04-24,81
2012-04-25,74
2012-04-26,76
2012-04-27,82
2012-04-28,81
2012-04-29,83
2012-04-30,78
2012-05-01,80
2012-05-02,81
2012-05-03,75
2012-05-04,74
2012-05-05,78
2012-05-06,70
2012-05-07,70
2012-05-08,66
2012-05-09,69
2012-05-10,61
2012-05-11,63
2012-05-12,57
2012-05-13,58
2012-05-14,58
2012-05-15,58
2012-05-16,60
2012-05-17,59
2012-05-18,61
2012-05-19,61
2012-05-20,62
2012-05-21,72
2012-05-22,68
2012-05-23,67
2012-05-24,68
2012-05-25,70
2012-05-26,75
2012-05-27,71
2012-05-28,72
2012-05-29,69
2012-05-30,72
2012-05-31,67
2012-06-01,66
2012-06-02,65
2012-06-03,65
2012-06-04,70
2012-06-05,67
2012-06-06,69
2012-06-07,74
2012-06-08,70
2012-06-09,71
2012-06-10,70
2012-06-11,76
2012-06-12,65
2012-06-13,68
2012-06-14,62
2012-06-15,60
2012-06-16,59
2012-06-17,60
2012-06-18,62
2012-06-19,69
2012-06-20,69
2012-06-21,68
2012-06-22,70
2012-06-23,78
2012-06-24,72
2012-06-25,74
2012-06-26,72
2012-06-27,76
2012-06-28,72
2012-06-29,72
2012-06-30,74
2012-07-01,73
2012-07-02,82
2012-07-03,75
2012-07-04,77
2012-07-05,84
2012-07-06,81
2012-07-07,81
2012-07-08,81
2012-07-09,83
2012-07-10,81
2012-07-11,83
2012-07-12,81
2012-07-13,86
2012-07-14,81
2012-07-15,79
2012-07-16,85
2012-07-17,78
2012-07-18,74
2012-07-19,73
2012-07-20,72
2012-07-21,72
2012-07-22,74
2012-07-23,73
2012-07-24,75
2012-07-25,77
2012-07-26,88
2012-07-27,81
2012-07-28,83
2012-07-29,82
2012-07-30,89
2012-07-31,80
2012-08-01,80
2012-08-02,78
2012-08-03,77
2012-08-04,76
2012-08-05,77
2012-08-06,77
2012-08-07,78
2012-08-08,75
2012-08-09,83
2012-08-10,75
2012-08-11,75
2012-08-12,74
2012-08-13,76
2012-08-14,72
2012-08-15,71
2012-08-16,76
2012-08-17,69
2012-08-18,69
2012-08-19,69
2012-08-20,75
2012-08-21,71
2012-08-22,73
2012-08-23,76
2012-08-24,78
2012-08-25,77
2012-08-26,76
2012-08-27,78
2012-08-28,74
2012-08-29,76
2012-08-30,76
2012-08-31,71
2012-09-01,71
2012-09-02,72
2012-09-03,73
2012-09-04,80
2012-09-05,76
2012-09-06,82
2012-09-07,78
2012-09-08,80
2012-09-09,82
2012-09-10,77
2012-09-11,77
2012-09-12,80
2012-09-13,74
2012-09-14,72
2012-09-15,71
2012-09-16,72
2012-09-17,75
2012-09-18,77
2012-09-19,79
2012-09-20,76
2012-09-21,79
2012-09-22,79
2012-09-23,77
2012-09-24,78
2012-09-25,77
2012-09-26,71
2012-09-27,73
2012-09-28,68
2012-09-29,66
2012-09-30,67
2012-10-01,76
2012-10-02,69
2012-10-03,73
2012-10-04,76
2012-10-05,73
2012-10-06,77
2012-10-07,74
2012-10-08,75
2012-10-09,72
2012-10-10,77
2012-10-11,71
2012-10-12,71
2012-10-13,70
2012-10-14,71
2012-10-15,74
2012-10-16,73
2012-10-17,76
2012-10-18,75
2012-10-19,76
2012-10-20,81
2012-10-21,77
2012-10-22,79
2012-10-23,75
2012-10-24,74
2012-10-25,74
2012-10-26,73
2012-10-27,72
2012-10-28,78
2012-10-29,75
2012-10-30,77
2012-10-31,80
2012-11-01,81
2012-11-02,83
2012-11-03,85
2012-11-04,86
2012-11-05,83
2012-11-06,89
2012-11-07,82
2012-11-08,81
2012-11-09,84
2012-11-10,85
2012-11-11,79
2012-11-12,79
2012-11-13,78
2012-11-14,78
2012-11-15,82
2012-11-16,76
2012-11-17,82
2012-11-18,75
2012-11-19,78
2012-11-20,73
2012-11-21,75
2012-11-22,77
2012-11-23,76
2012-11-24,69
2012-11-25,69
2012-11-26,66
2012-11-27,65
2012-11-28,64
2012-11-29,65
2012-11-30,62
2012-12-01,61
2012-12-02,61
2012-12-03,66
2012-12-04,61
2012-12-05,70
2012-12-06,62
2012-12-07,62
2012-12-08,67
2012-12-09,63
2012-12-10,64
2012-12-11,71
2012-12-12,66
2012-12-13,67
2012-12-14,74
2012-12-15,69
2012-12-16,68
2012-12-17,72
2012-12-18,66
2012-12-19,65
2012-12-20,68
2012-12-21,63
2012-12-22,62
2012-12-23,62
2012-12-24,62
2012-12-25,73
2012-12-26,63
2012-12-27,64
2012-12-28,64
2012-12-29,65
2012-12-30,70
2012-12-31,75
2013-01-01,80
2013-01-02,93
2013-01-03,90
2013-01-04,95
2013-01-05,106
2013-01-06,98
2013-01-07,101
2013-01-08,100
2013-01-09,96
2013-01-10,92
2013-01-11,93
2013-01-12,89
2013-01-13,87
2013-01-14,98
2013-01-15,83
2013-01-16,81
2013-01-17,83
2013-01-18,77
2013-01-19,75
2013-01-20,77
2013-01-21,79
2013-01-22,90
2013-01-23,85
2013-01-24,87
2013-01-25,89
2013-01-26,96
2013-01-27,91
2013-01-28,93
2013-01-29,91
2013-01-30,89
2013-01-31,89
2013-02-01,88
2013-02-02,88
2013-02-03,87
2013-02-04,89
2013-02-05,88
2013-02-06,85
2013-02-07,85
2013-02-08,85
2013-02-09,84
2013-02-10,81
2013-02-11,86
2013-02-12,77
2013-02-13,75
2013-02-14,73
2013-02-15,80
2013-02-16,69
2013-02-17,70
2013-02-18,71
2013-02-19,73
2013-02-20,73
2013-02-21,79
2013-02-22,78
2013-02-23,78
2013-02-24,76
2013-02-25,77
2013-02-26,76
2013-02-27,76
2013-02-28,78
2013-03-01,76
2013-03-02,76
2013-03-03,76
2013-03-04,80
2013-03-05,81
2013-03-06,78
2013-03-07,79
2013-03-08,83
2013-03-09,87
2013-03-10,81
2013-03-11,82
2013-03-12,82
2013-03-13,85
2013-03-14,83
2013-03-15,83
2013-03-16,84
2013-03-17,83
2013-03-18,82
2013-03-19,84
2013-03-20,80
2013-03-21,79
2013-03-22,82
2013-03-23,77
2013-03-24,77
2013-03-25,77
2013-03-26,79
2013-03-27,81
2013-03-28,79
2013-03-29,79
2013-03-30,80
2013-03-31,80
2013-04-01,78
2013-04-02,76
2013-04-03,72
2013-04-04,71
2013-04-05,68
2013-04-06,67
2013-04-07,71
2013-04-08,75
2013-04-09,91
2013-04-10,84
2013-04-11,89
2013-04-12,97
2013-04-13,98
2013-04-14,99
2013-04-15,89
2013-04-16,84
2013-04-17,80
2013-04-18,78
2013-04-19,73
2013-04-20,67
2013-04-21,69
2013-04-22,74
2013-04-23,73
2013-04-24,76
2013-04-25,77
2013-04-26,82
2013-04-27,82
2013-04-28,82
2013-04-29,86
2013-04-30,82
2013-05-01,82
2013-05-02,82
2013-05-03,86
2013-05-04,82
2013-05-05,82
2013-05-06,91
2013-05-07,82
2013-05-08,82
2013-05-09,88
2013-05-10,82
2013-05-11,88
2013-05-12,80
2013-05-13,80
2013-05-14,76
2013-05-15,75
2013-05-16,74
2013-05-17,75
2013-05-18,70
2013-05-19,70
2013-05-20,75
2013-05-21,74
2013-05-22,70
2013-05-23,73
2013-05-24,70
2013-05-25,74
2013-05-26,72
2013-05-27,82
2013-05-28,74
2013-05-29,75
2013-05-30,76
2013-05-31,80
2013-06-01,78
2013-06-02,78
2013-06-03,83
2013-06-04,83
2013-06-05,83
2013-06-06,81
2013-06-07,84
2013-06-08,83
2013-06-09,83
2013-06-10,86
2013-06-11,78
2013-06-12,85
2013-06-13,75
2013-06-14,74
2013-06-15,74
2013-06-16,73
2013-06-17,74
2013-06-18,78
2013-06-19,74
2013-06-20,80
2013-06-21,75
2013-06-22,76
2013-06-23,80
2013-06-24,76
2013-06-25,78
2013-06-26,76
2013-06-27,80
2013-06-28,76
2013-06-29,77
2013-06-30,80
2013-07-01,84
2013-07-02,91
2013-07-03,89
2013-07-04,93
2013-07-05,101
2013-07-06,99
2013-07-07,102
2013-07-08,95
2013-07-09,87
2013-07-10,85
2013-07-11,79
2013-07-12,75
2013-07-13,71
2013-07-14,73
2013-07-15,79
2013-07-16,79
2013-07-17,83
2013-07-18,85
2013-07-19,88
2013-07-20,92
2013-07-21,89
2013-07-22,93
2013-07-23,87
2013-07-24,90
2013-07-25,89
2013-07-26,84
2013-07-27,83
2013-07-28,84
2013-07-29,92
2013-07-30,91
2013-07-31,87
2013-08-01,88
2013-08-02,93
2013-08-03,91
2013-08-04,89
2013-08-05,93
2013-08-06,86
2013-08-07,84
2013-08-08,85
2013-08-09,80
2013-08-10,82
2013-08-11,80
2013-08-12,87
2013-08-13,82
2013-08-14,84
2013-08-15,87
2013-08-16,86
2013-08-17,92
2013-08-18,86
2013-08-19,85
2013-08-20,85
2013-08-21,83
2013-08-22,82
2013-08-23,87
2013-08-24,80
2013-08-25,81
2013-08-26,88
2013-08-27,89
2013-08-28,85
2013-08-29,86
2013-08-30,87
2013-08-31,89
2013-09-01,87
2013-09-02,86
2013-09-03,93
2013-09-04,84
2013-09-05,82
2013-09-06,80
2013-09-07,80
2013-09-08,80
2013-09-09,87
2013-09-10,83
2013-09-11,83
2013-09-12,87
2013-09-13,87
2013-09-14,87
2013-09-15,84
2013-09-16,93
2013-09-17,80
2013-09-18,77
2013-09-19,76
2013-09-20,78
2013-09-21,71
2013-09-22,71
2013-09-23,78
2013-09-24,72
2013-09-25,76
2013-09-26,73
2013-09-27,73
2013-09-28,74
2013-09-29,74
2013-09-30,76
2013-10-01,78
2013-10-02,74
2013-10-03,80
2013-10-04,74
2013-10-05,75
2013-10-06,75
2013-10-07,80
2013-10-08,80
2013-10-09,77
2013-10-10,78
2013-10-11,80
2013-10-12,80
2013-10-13,78
2013-10-14,77
2013-10-15,80
2013-10-16,75
2013-10-17,79
2013-10-18,73
2013-10-19,72
2013-10-20,72
2013-10-21,72
2013-10-22,72
2013-10-23,76
2013-10-24,73
2013-10-25,72
2013-10-26,72
2013-10-27,72
2013-10-28,77
2013-10-29,73
2013-10-30,73
2013-10-31,78
2013-11-01,74
2013-11-02,75
2013-11-03,75
2013-11-04,79
2013-11-05,78
2013-11-06,77
2013-11-07,84
2013-11-08,78
2013-11-09,79
2013-11-10,79
2013-11-11,80
2013-11-12,83
2013-11-13,82
2013-11-14,82
2013-11-15,85
2013-11-16,84
2013-11-17,82
2013-11-18,83
2013-11-19,79
2013-11-20,76
2013-11-21,85
2013-11-22,72
2013-11-23,71
2013-11-24,72
2013-11-25,74
2013-11-26,74
2013-11-27,75
2013-11-28,82
2013-11-29,79
2013-11-30,79
