Date,RE/MAX
2013-02-09,91
2013-02-10,87
2013-02-11,86
2013-02-12,85
2013-02-13,92
2013-02-14,84
2013-02-15,83
2013-02-16,89
2013-02-17,83
2013-02-18,83
2013-02-19,84
2013-02-20,84
2013-02-21,90
2013-02-22,85
2013-02-23,92
2013-02-24,88
2013-02-25,90
2013-02-26,92
2013-02-27,94
2013-02-28,96
2013-03-01,98
2013-03-02,104
2013-03-03,103
2013-03-04,97
2013-03-05,95
2013-03-06,94
2013-03-07,94
2013-03-08,91
2013-03-09,90
2013-03-10,94
2013-03-11,89
2013-03-12,93
2013-03-13,89
2013-03-14,90
2013-03-15,89
2013-03-16,94
2013-03-17,93
2013-03-18,90
2013-03-19,90
2013-03-20,92
2013-03-21,91
2013-03-22,92
2013-03-23,93
2013-03-24,96
2013-03-25,91
2013-03-26,91
2013-03-27,92
2013-03-28,91
2013-03-29,92
2013-03-30,90
2013-03-31,88
2013-05-01,87
2013-05-02,86
2013-05-03,88
2013-05-04,89
2013-05-05,87
2013-05-06,84
2013-05-07,84
2013-05-08,87
2013-05-09,84
2013-05-10,84
2013-05-11,90
2013-05-12,87
2013-05-13,84
2013-05-14,87
2013-05-15,86
2013-05-16,85
2013-05-17,91
2013-05-18,86
2013-05-19,88
2013-05-20,82
2013-05-21,80
2013-05-22,78
2013-05-23,76
2013-05-24,74
2013-05-25,78
2013-05-26,73
2013-05-27,74
2013-05-28,76
2013-05-29,78
2013-05-30,81
2013-05-31,80
2013-06-01,91
2013-06-02,82
2013-06-03,83
2013-06-04,84
2013-06-05,86
2013-06-06,86
2013-06-07,87
2013-06-08,94
2013-06-09,90
2013-06-10,87
2013-06-11,90
2013-06-12,86
2013-06-13,88
2013-06-14,86
2013-06-15,92
2013-06-16,88
2013-06-17,84
2013-06-18,83
2013-06-19,83
2013-06-20,87
2013-06-21,82
2013-06-22,81
2013-06-23,81
2013-06-24,80
2013-06-25,80
2013-06-26,79
2013-06-27,79
2013-06-28,79
2013-06-29,79
2013-06-30,81
2013-07-01,76
2013-07-02,78
2013-07-03,75
2013-07-04,75
2013-07-05,75
2013-07-06,73
2013-07-07,82
2013-07-08,76
2013-07-09,78
2013-07-10,81
2013-07-11,82
2013-07-12,86
2013-07-13,88
2013-07-14,86
2013-07-15,84
2013-07-16,87
2013-07-17,83
2013-07-18,82
2013-07-19,81
2013-07-20,86
2013-07-21,82
2013-07-22,80
2013-07-23,82
