Date,Thermage
2006-02-01,36
2006-02-02,36
2006-02-03,38
2006-02-04,36
2006-02-05,33
2006-02-06,31
2006-02-07,29
2006-02-08,28
2006-02-09,25
2006-02-10,23
2006-02-11,21
2006-02-12,21
2006-02-13,22
2006-02-14,22
2006-02-15,23
2006-02-16,23
2006-02-17,26
2006-02-18,25
2006-02-19,26
2006-02-20,27
2006-02-21,28
2006-02-22,29
2006-02-23,30
2006-02-24,31
2006-02-25,32
2006-02-26,31
2006-02-27,31
2006-02-28,33
2006-03-01,30
2006-03-02,30
2006-03-03,30
2006-03-04,30
2006-03-05,29
2006-03-06,29
2006-03-07,28
2006-03-08,28
2006-03-09,27
2006-03-10,27
2006-03-11,27
2006-03-12,27
2006-03-13,28
2006-03-14,27
2006-03-15,26
2006-03-16,26
2006-03-17,26
2006-03-18,26
2006-03-19,26
2006-03-20,26
2006-03-21,26
2006-03-22,28
2006-03-23,27
2006-03-24,27
2006-03-25,29
2006-03-26,28
2006-03-27,28
2006-03-28,28
2006-03-29,29
2006-03-30,28
2006-03-31,28
2006-05-01,23
2006-05-02,23
2006-05-03,23
2006-05-04,23
2006-05-05,23
2006-05-06,23
2006-05-07,22
2006-05-08,22
2006-05-09,21
2006-05-10,20
2006-05-11,20
2006-05-12,19
2006-05-13,20
2006-05-14,19
2006-05-15,19
2006-05-16,19
2006-05-17,20
2006-05-18,20
2006-05-19,20
2006-05-20,21
2006-05-21,21
2006-05-22,22
2006-05-23,22
2006-05-24,24
2006-05-25,23
2006-05-26,24
2006-05-27,25
2006-05-28,24
2006-05-29,23
2006-05-30,22
2006-05-31,21
2006-06-01,20
2006-06-02,19
2006-06-03,19
2006-06-04,19
2006-06-05,19
2006-06-06,19
2006-06-07,20
2006-06-08,21
2006-06-09,20
2006-06-10,21
2006-06-11,22
2006-06-12,23
2006-06-13,24
2006-06-14,26
2006-06-15,27
2006-06-16,30
2006-06-17,30
2006-06-18,28
2006-06-19,26
2006-06-20,24
2006-06-21,23
2006-06-22,21
2006-06-23,19
2006-06-24,18
2006-06-25,18
2006-06-26,19
2006-06-27,20
2006-06-28,21
2006-06-29,21
2006-06-30,22
2006-07-01,23
2006-07-02,22
2006-07-03,21
2006-07-04,20
2006-07-05,19
2006-07-06,18
2006-07-07,17
2006-07-08,17
2006-07-09,17
2006-07-10,18
2006-07-11,18
2006-07-12,19
2006-07-13,19
2006-07-14,20
2006-07-15,21
2006-07-16,20
2006-07-17,20
2006-07-18,20
2006-07-19,19
2006-07-20,20
2006-07-21,19
2006-07-22,19
2006-07-23,19
2006-07-24,20
2006-07-25,21
2006-07-26,21
