Date,Eyeblaster
2008-06-07,46
2008-06-08,47
2008-06-09,49
2008-06-10,51
2008-06-11,52
2008-06-12,54
2008-06-13,56
2008-06-14,58
2008-06-15,61
2008-06-16,64
2008-06-17,67
2008-06-18,70
2008-06-19,73
2008-06-20,76
2008-06-21,79
2008-06-22,80
2008-06-23,80
2008-06-24,81
2008-06-25,81
2008-06-26,82
2008-06-27,82
2008-06-28,83
2008-06-29,78
2008-06-30,73
2008-07-01,68
2008-07-02,64
2008-07-03,59
2008-07-04,54
2008-07-05,50
2008-07-06,54
2008-07-07,59
2008-07-08,64
2008-07-09,68
2008-07-10,73
2008-07-11,78
2008-07-12,83
2008-07-13,83
2008-07-14,84
2008-07-15,84
2008-07-16,85
2008-07-17,85
2008-07-18,85
2008-07-19,86
2008-07-20,80
2008-07-21,74
2008-07-22,67
2008-07-23,61
2008-07-24,55
2008-07-25,48
2008-07-26,42
2008-07-27,42
2008-07-28,42
2008-07-29,42
2008-07-30,43
2008-07-31,43
2008-08-01,43
2008-08-02,44
2008-08-03,44
2008-08-04,45
2008-08-05,46
2008-08-06,46
2008-08-07,47
2008-08-08,48
2008-08-09,49
2008-08-10,54
2008-08-11,60
2008-08-12,65
2008-08-13,71
2008-08-14,76
2008-08-15,82
2008-08-16,88
2008-08-17,82
2008-08-18,77
2008-08-19,72
2008-08-20,67
2008-08-21,61
2008-08-22,56
2008-08-23,51
2008-08-24,52
2008-08-25,53
2008-08-26,54
2008-08-27,55
2008-08-28,56
2008-08-29,57
2008-08-30,59
2008-08-31,63
2008-09-07,83
2008-09-08,79
2008-09-09,74
2008-09-10,69
2008-09-11,64
2008-09-12,60
2008-09-13,55
2008-09-14,53
2008-09-15,51
2008-09-16,49
2008-09-17,48
2008-09-18,46
2008-09-19,44
2008-09-20,43
2008-09-21,45
2008-09-22,47
2008-09-23,49
2008-09-24,51
2008-09-25,53
2008-09-26,55
2008-09-27,58
2008-09-28,61
2008-09-29,66
2008-09-30,69
2008-10-01,73
2008-10-02,77
2008-10-03,81
2008-10-04,85
2008-10-05,81
2008-10-06,75
2008-10-07,71
2008-10-08,67
2008-10-09,63
2008-10-10,59
2008-10-11,56
2008-10-12,58
2008-10-13,60
2008-10-14,62
2008-10-15,64
2008-10-16,66
2008-10-17,68
2008-10-18,71
2008-10-19,73
2008-10-20,75
2008-10-21,77
2008-10-22,79
2008-10-23,81
2008-10-24,83
2008-10-25,85
2008-10-26,85
2008-10-27,85
2008-10-28,85
2008-10-29,84
2008-10-30,84
2008-10-31,84
2008-11-01,84
2008-11-02,80
2008-11-03,74
2008-11-04,70
2008-11-05,66
2008-11-06,62
2008-11-07,58
2008-11-08,54
2008-11-09,55
2008-11-10,57
2008-11-11,58
2008-11-12,60
2008-11-13,61
2008-11-14,63
2008-11-15,65
2008-11-16,63
2008-11-17,62
2008-11-18,61
2008-11-19,60
2008-11-20,59
2008-11-21,57
2008-11-22,56
2008-11-23,55
2008-11-24,54
2008-11-25,54
2008-11-26,53
2008-11-27,53
2008-11-28,52
2008-11-29,52
2008-11-30,52
2008-12-07,55
2008-12-08,54
2008-12-09,53
2008-12-10,52
2008-12-11,51
2008-12-12,50
2008-12-13,49
2008-12-14,49
2008-12-15,49
2008-12-16,49
2008-12-17,49
2008-12-18,49
2008-12-19,49
2008-12-20,49
2008-12-21,47
2008-12-22,45
2008-12-23,44
2008-12-24,42
2008-12-25,41
2008-12-26,39
2008-12-27,38
2008-12-28,38
2008-12-29,39
2008-12-30,40
2008-12-31,41
2009-01-01,42
2009-01-02,43
2009-01-03,44
2009-01-04,47
2009-01-05,50
2009-01-06,53
2009-01-07,56
2009-01-08,59
2009-01-09,62
2009-01-10,66
2009-01-11,67
2009-01-12,68
2009-01-13,69
2009-01-14,70
2009-01-15,71
2009-01-16,72
2009-01-17,73
2009-01-18,73
2009-01-19,73
2009-01-20,74
2009-01-21,74
2009-01-22,74
2009-01-23,75
2009-01-24,75
2009-01-25,73
2009-01-26,72
2009-01-27,70
2009-01-28,69
2009-01-29,67
2009-01-30,66
2009-01-31,64
2009-02-01,59
2009-02-02,53
2009-02-03,48
2009-02-04,43
2009-02-05,38
2009-02-06,33
2009-02-07,28
2009-02-08,32
2009-02-09,37
2009-02-10,42
2009-02-11,47
2009-02-12,52
2009-02-13,57
2009-02-14,62
2009-02-15,64
2009-02-16,66
2009-02-17,68
2009-02-18,70
2009-02-19,72
2009-02-20,74
2009-02-21,77
2009-02-22,72
2009-03-01,47
2009-03-02,50
2009-03-03,53
2009-03-04,57
2009-03-05,60
2009-03-06,63
2009-03-07,67
2009-03-08,66
2009-03-09,65
2009-03-10,64
2009-03-11,63
2009-03-12,62
2009-03-13,62
2009-03-14,61
2009-03-15,60
2009-03-16,60
2009-03-17,60
2009-03-18,59
2009-03-19,59
2009-03-20,59
2009-03-21,59
2009-03-22,57
2009-03-23,56
2009-03-24,55
2009-03-25,53
2009-03-26,52
2009-03-27,51
2009-03-28,50
2009-03-29,52
2009-03-30,55
2009-03-31,58
2009-04-01,61
2009-04-02,64
2009-04-03,67
2009-04-04,69
2009-04-05,69
2009-04-06,68
2009-04-07,68
2009-04-08,68
2009-04-09,68
2009-04-10,68
2009-04-11,68
2009-04-12,66
2009-04-13,65
2009-04-14,63
2009-04-15,62
2009-04-16,60
2009-04-17,59
2009-04-18,58
2009-04-19,57
2009-04-20,56
2009-04-21,55
2009-04-22,54
2009-04-23,53
2009-04-24,52
2009-04-25,51
2009-04-26,49
2009-04-27,48
2009-04-28,46
2009-04-29,45
2009-04-30,43
2009-05-01,42
2009-05-02,41
2009-05-03,43
2009-05-04,46
2009-05-05,49
2009-05-06,52
2009-05-07,55
2009-05-08,58
2009-05-09,61
2009-05-10,63
2009-05-11,66
2009-05-12,68
2009-05-13,70
2009-05-14,73
2009-05-15,75
2009-05-16,77
2009-05-17,73
2009-05-18,68
2009-05-19,63
2009-05-20,58
2009-05-21,54
2009-05-22,49
2009-05-23,45
2009-05-24,45
2009-05-25,46
2009-05-26,46
2009-05-27,47
2009-05-28,47
2009-05-29,48
2009-05-30,49
2009-05-31,53
2009-06-07,78
2009-06-08,77
2009-06-09,77
2009-06-10,76
2009-06-11,76
2009-06-12,75
2009-06-13,75
2009-06-14,73
2009-06-15,71
2009-06-16,69
2009-06-17,67
2009-06-18,65
2009-06-19,63
2009-06-20,61
2009-06-21,59
2009-06-22,57
2009-06-23,55
2009-06-24,53
2009-06-25,51
2009-06-26,49
2009-06-27,48
2009-06-28,52
2009-06-29,56
2009-06-30,60
2009-07-01,64
2009-07-02,68
2009-07-03,72
2009-07-04,76
2009-07-05,73
2009-07-06,70
2009-07-07,67
2009-07-08,64
2009-07-09,61
2009-07-10,58
2009-07-11,55
2009-07-12,54
2009-07-13,54
2009-07-14,54
2009-07-15,53
2009-07-16,53
2009-07-17,53
2009-07-18,53
2009-07-19,53
2009-07-20,54
2009-07-21,54
2009-07-22,54
2009-07-23,55
2009-07-24,55
2009-07-25,56
2009-07-26,55
2009-07-27,54
2009-07-28,53
2009-07-29,53
2009-07-30,52
2009-07-31,51
2009-08-01,51
2009-08-02,52
2009-08-03,53
2009-08-04,54
2009-08-05,55
2009-08-06,56
2009-08-07,58
2009-08-08,59
2009-08-09,56
2009-08-10,53
2009-08-11,50
2009-08-12,48
2009-08-13,45
2009-08-14,42
2009-08-15,40
2009-08-16,41
2009-08-17,42
2009-08-18,43
2009-08-19,44
2009-08-20,45
2009-08-21,46
2009-08-22,48
2009-08-23,51
2009-08-24,56
2009-08-25,60
2009-08-26,64
2009-08-27,68
2009-08-28,72
2009-08-29,76
2009-08-30,73
2009-09-06,55
2009-09-07,56
2009-09-08,57
2009-09-09,59
2009-09-10,60
2009-09-11,61
2009-09-12,63
2009-09-13,62
2009-09-14,61
2009-09-15,60
2009-09-16,59
2009-09-17,58
2009-09-18,58
2009-09-19,57
2009-09-20,57
2009-09-21,57
2009-09-22,57
2009-09-23,57
2009-09-24,57
2009-09-25,57
2009-09-26,57
2009-09-27,56
2009-09-28,56
2009-09-29,55
2009-09-30,55
2009-10-01,54
2009-10-02,54
2009-10-03,54
2009-10-04,55
2009-10-05,57
2009-10-06,59
2009-10-07,61
2009-10-08,63
2009-10-09,65
2009-10-10,67
2009-10-11,66
2009-10-12,66
2009-10-13,66
2009-10-14,65
2009-10-15,65
