Date,EPAM Systems
2010-12-01,21
2010-12-02,22
2010-12-03,21
2010-12-04,22
2010-12-05,21
2010-12-06,21
2010-12-07,21
2010-12-08,21
2010-12-09,21
2010-12-10,23
2010-12-11,21
2010-12-12,20
2010-12-13,20
2010-12-14,20
2010-12-15,20
2010-12-16,20
2010-12-17,20
2010-12-18,20
2010-12-19,20
2010-12-20,20
2010-12-21,20
2010-12-22,21
2010-12-23,21
2010-12-24,21
2010-12-25,22
2010-12-26,20
2010-12-27,19
2010-12-28,18
2010-12-29,16
2010-12-30,15
2010-12-31,14
2011-01-01,13
2011-01-02,14
2011-01-03,15
2011-01-04,16
2011-01-05,17
2011-01-06,18
2011-01-07,19
2011-01-08,21
2011-01-09,21
2011-01-10,22
2011-01-11,23
2011-01-12,23
2011-01-13,24
2011-01-14,26
2011-01-15,26
2011-01-16,25
2011-01-17,25
2011-01-18,25
2011-01-19,24
2011-01-20,25
2011-01-21,24
2011-01-22,25
2011-01-23,23
2011-01-24,22
2011-01-25,21
2011-01-26,20
2011-01-27,19
2011-01-28,18
2011-01-29,17
2011-01-30,17
2011-01-31,18
2011-02-01,18
2011-02-02,19
2011-02-03,19
2011-02-04,20
2011-02-05,22
2011-02-06,20
2011-02-07,20
2011-02-08,19
2011-02-09,19
2011-02-10,18
2011-02-11,18
2011-02-12,18
2011-02-13,18
2011-02-14,18
2011-02-15,18
2011-02-16,19
2011-02-17,19
2011-02-18,19
2011-02-19,20
2011-02-20,20
2011-02-21,20
2011-02-22,21
2011-02-23,20
2011-02-24,20
2011-02-25,20
2011-02-26,21
2011-02-27,20
2011-02-28,20
2011-03-01,20
2011-03-02,20
2011-03-03,19
2011-03-04,19
2011-03-05,19
2011-03-06,18
2011-03-07,18
2011-03-08,18
2011-03-09,17
2011-03-10,17
2011-03-11,17
2011-03-12,17
2011-03-13,17
2011-03-14,17
2011-03-15,17
2011-03-16,17
2011-03-17,17
2011-03-18,17
2011-03-19,18
2011-03-20,19
