Date,Healthport
2009-07-11,40
2009-07-12,42
2009-07-13,44
2009-07-14,46
2009-07-15,49
2009-07-16,51
2009-07-17,53
2009-07-18,56
2009-07-19,55
2009-07-20,54
2009-07-21,54
2009-07-22,53
2009-07-23,53
2009-07-24,52
2009-07-25,52
2009-07-26,51
2009-07-27,51
2009-07-28,50
2009-07-29,50
2009-07-30,50
2009-07-31,49
2009-08-01,49
2009-08-02,47
2009-08-03,45
2009-08-04,43
2009-08-05,41
2009-08-06,39
2009-08-07,37
2009-08-08,35
2009-08-09,35
2009-08-10,35
2009-08-11,35
2009-08-12,35
2009-08-13,35
2009-08-14,35
2009-08-15,36
2009-08-16,39
2009-08-17,42
2009-08-18,45
2009-08-19,49
2009-08-20,52
2009-08-21,55
2009-08-22,59
2009-08-23,57
2009-08-24,56
2009-08-25,55
2009-08-26,53
2009-08-27,52
2009-08-28,50
2009-08-29,49
2009-08-30,48
2009-08-31,46
2009-09-01,45
2009-09-02,44
2009-09-03,43
2009-09-04,42
2009-09-05,41
2009-09-06,39
2009-09-07,38
2009-09-08,37
2009-09-09,35
2009-09-10,34
2009-09-11,33
2009-09-12,32
2009-09-13,33
2009-09-14,36
2009-09-15,37
2009-09-16,39
2009-09-17,41
2009-09-18,43
2009-09-19,45
2009-09-20,44
2009-09-21,42
2009-09-22,41
2009-09-23,39
2009-09-24,38
2009-09-25,37
2009-09-26,36
2009-09-27,36
2009-10-04,39
2009-10-05,39
2009-10-06,38
2009-10-07,38
2009-10-08,37
2009-10-09,36
2009-10-10,36
2009-10-11,33
2009-10-12,31
2009-10-13,28
2009-10-14,26
2009-10-15,23
2009-10-16,21
2009-10-17,19
2009-10-18,22
2009-10-19,25
2009-10-20,29
2009-10-21,32
2009-10-22,35
2009-10-23,39
2009-10-24,42
2009-10-25,41
2009-10-26,40
2009-10-27,39
2009-10-28,38
2009-10-29,37
2009-10-30,36
2009-10-31,36
2009-11-01,38
2009-11-02,40
2009-11-03,42
2009-11-04,44
2009-11-05,46
2009-11-06,48
2009-11-07,51
2009-11-08,51
2009-11-09,51
2009-11-10,51
2009-11-11,51
2009-11-12,51
2009-11-13,51
2009-11-14,52
2009-11-15,55
2009-11-16,60
2009-11-17,63
2009-11-18,67
2009-11-19,71
2009-11-20,75
2009-11-21,79
2009-11-22,74
2009-11-23,69
2009-11-24,64
2009-11-25,60
2009-11-26,55
2009-11-27,50
2009-11-28,46
2009-11-29,44
2009-11-30,42
2009-12-01,40
2009-12-02,38
2009-12-03,36
2009-12-04,34
2009-12-05,32
2009-12-06,32
2009-12-07,33
2009-12-08,34
2009-12-09,35
2009-12-10,36
2009-12-11,36
2009-12-12,37
2009-12-13,38
2009-12-14,37
2009-12-15,37
2009-12-16,38
2009-12-17,38
2009-12-18,38
2009-12-19,39
2009-12-20,38
2009-12-21,38
2009-12-22,37
2009-12-23,37
