Date,Tetraphase
2013-07-21,42
2013-07-22,42
2013-07-23,42
2013-07-24,42
2013-07-25,43
2013-07-26,43
2013-07-27,43
2013-07-28,43
2013-07-29,44
2013-07-30,44
2013-07-31,44
2013-08-01,45
2013-08-02,45
2013-08-03,45
2013-08-04,45
2013-08-05,46
2013-08-06,46
2013-08-07,46
2013-08-08,46
2013-08-09,47
2013-08-10,47
2013-08-11,47
2013-08-12,47
2013-08-13,48
2013-08-14,48
2013-08-15,48
2013-08-16,48
2013-08-17,49
2013-08-18,49
2013-08-19,49
2013-08-20,49
2013-08-21,50
2013-08-22,50
2013-08-23,50
2013-08-24,50
2013-08-25,51
2013-08-26,51
2013-08-27,51
2013-08-28,51
2013-08-29,52
2013-08-30,52
2013-08-31,52
2013-09-01,53
2013-09-02,52
2013-09-03,52
2013-09-04,51
2013-09-05,51
2013-09-06,51
2013-09-07,50
2013-09-08,50
2013-09-09,50
2013-09-10,49
2013-09-11,49
2013-09-12,48
2013-09-13,48
2013-09-14,48
2013-09-15,47
2013-09-16,47
2013-09-17,47
2013-09-18,46
2013-09-19,46
2013-09-20,46
2013-09-21,45
2013-09-22,45
2013-09-23,44
2013-09-24,44
2013-09-25,44
2013-09-26,43
2013-09-27,43
2013-09-28,43
2013-09-29,42
2013-09-30,42
2013-10-01,42
2013-10-02,42
2013-10-03,43
2013-10-04,44
2013-10-05,44
2013-10-06,45
2013-10-07,46
2013-10-08,46
2013-10-09,47
2013-10-10,48
2013-10-11,48
2013-10-12,49
2013-10-13,50
2013-10-14,50
2013-10-15,51
2013-10-16,52
2013-10-17,52
2013-10-18,53
2013-10-19,54
2013-10-20,54
2013-10-21,55
2013-10-22,56
2013-10-23,56
2013-10-24,57
2013-10-25,58
2013-10-26,58
2013-10-27,59
2013-10-28,60
2013-10-29,60
2013-10-30,61
2013-10-31,62
2013-11-01,63
2013-11-02,61
2013-11-03,60
2013-11-04,58
2013-11-05,57
2013-11-06,56
2013-11-07,54
2013-11-08,53
2013-11-09,52
2013-11-10,50
2013-11-11,49
2013-11-12,47
2013-11-13,46
2013-11-14,45
2013-11-15,43
2013-11-16,42
2013-11-17,41
2013-11-18,39
2013-11-19,38
2013-11-20,37
2013-11-21,35
2013-11-22,34
2013-11-23,32
2013-11-24,31
2013-11-25,30
2013-11-26,28
2013-11-27,27
2013-11-28,26
2013-11-29,24
2013-11-30,23
2013-12-01,22
2013-12-02,22
2013-12-03,22
2013-12-04,23
2013-12-05,23
2013-12-06,24
2013-12-07,24
2013-12-08,25
2013-12-09,25
2013-12-10,26
2013-12-11,26
2013-12-12,26
2013-12-13,27
2013-12-14,27
2013-12-15,28
2013-12-16,28
2013-12-17,29
2013-12-18,29
2013-12-19,30
2013-12-20,30
2013-12-21,31
2013-12-22,31
2013-12-23,31
2013-12-24,32
2013-12-25,32
2013-12-26,33
2013-12-27,33
2013-12-28,34
2013-12-29,34
2013-12-30,35
2013-12-31,35
2014-01-01,36
