Date,Sige Semiconductor
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,0
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,0
2010-01-19,0
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,0
2010-01-25,0
2010-01-26,0
2010-01-27,0
2010-01-28,0
2010-01-29,0
2010-01-30,0
2010-01-31,0
2010-02-01,0
2010-02-02,2
2010-02-03,4
2010-02-04,7
2010-02-05,9
2010-02-06,11
2010-02-07,14
2010-02-08,16
2010-02-09,18
2010-02-10,21
2010-02-11,23
2010-02-12,25
2010-02-13,28
2010-02-14,30
2010-02-15,33
2010-02-16,35
2010-02-17,37
2010-02-18,40
2010-02-19,42
2010-02-20,44
2010-02-21,47
2010-02-22,49
2010-02-23,51
2010-02-24,54
2010-02-25,56
2010-02-26,58
2010-02-27,61
2010-02-28,63
2010-03-01,66
2010-03-02,66
2010-03-03,67
2010-03-04,67
2010-03-05,68
2010-03-06,68
2010-03-07,69
2010-03-08,69
2010-03-09,70
2010-03-10,70
2010-03-11,71
2010-03-12,72
2010-03-13,72
2010-03-14,73
2010-03-15,73
2010-03-16,74
2010-03-17,74
2010-03-18,75
2010-03-19,75
2010-03-20,76
2010-03-21,76
2010-03-22,77
2010-03-23,78
2010-03-24,78
2010-03-25,79
2010-03-26,79
2010-03-27,80
2010-03-28,80
2010-03-29,81
2010-03-30,81
2010-03-31,82
2010-04-01,83
2010-04-02,83
2010-04-03,83
2010-04-04,83
2010-04-05,83
2010-04-06,83
2010-04-07,84
2010-04-08,84
2010-04-09,84
2010-04-10,84
2010-04-11,84
2010-04-12,84
2010-04-13,85
2010-04-14,85
2010-04-15,85
2010-04-16,85
2010-04-17,85
2010-04-18,85
2010-04-19,86
2010-04-20,86
2010-04-21,86
2010-04-22,86
2010-04-23,86
2010-04-24,86
2010-04-25,87
2010-04-26,87
2010-04-27,87
2010-04-28,87
2010-04-29,87
2010-04-30,87
2010-05-01,88
2010-05-02,88
2010-05-03,88
2010-05-04,88
2010-05-05,88
2010-05-06,88
2010-05-07,88
2010-05-08,89
2010-05-09,89
2010-05-10,89
2010-05-11,89
2010-05-12,89
2010-05-13,89
2010-05-14,90
2010-05-15,90
2010-05-16,90
2010-05-17,90
2010-05-18,90
2010-05-19,90
2010-05-20,91
2010-05-21,91
2010-05-22,91
2010-05-23,91
2010-05-24,91
2010-05-25,91
2010-05-26,92
2010-05-27,92
2010-05-28,92
2010-05-29,92
2010-05-30,92
2010-05-31,92
2010-06-01,93
2010-06-02,93
2010-06-03,93
2010-06-04,93
2010-06-05,93
2010-06-06,93
2010-06-07,94
2010-06-08,94
2010-06-09,94
2010-06-10,94
2010-06-11,94
2010-06-12,94
2010-06-13,95
2010-06-14,95
2010-06-15,95
2010-06-16,95
2010-06-17,95
2010-06-18,95
2010-06-19,96
2010-06-20,96
2010-06-21,96
2010-06-22,96
2010-06-23,96
2010-06-24,96
2010-06-25,97
2010-06-26,97
2010-06-27,97
2010-06-28,97
2010-06-29,97
2010-06-30,97
2010-07-01,98
2010-07-02,97
2010-07-03,97
2010-07-04,96
2010-07-05,96
2010-07-06,95
2010-07-07,95
2010-07-08,94
2010-07-09,94
2010-07-10,93
2010-07-11,93
2010-07-12,92
2010-07-13,92
2010-07-14,91
2010-07-15,91
2010-07-16,90
2010-07-17,90
2010-07-18,89
2010-07-19,89
2010-07-20,88
2010-07-21,88
2010-07-22,87
2010-07-23,87
2010-07-24,86
2010-07-25,86
2010-07-26,85
2010-07-27,85
2010-07-28,84
2010-07-29,84
2010-07-30,83
2010-07-31,83
2010-08-01,83
2010-08-02,82
2010-08-03,81
2010-08-04,81
2010-08-05,80
2010-08-06,80
2010-08-07,79
2010-08-08,79
2010-08-09,78
2010-08-10,78
2010-08-11,77
2010-08-12,77
2010-08-13,76
2010-08-14,76
2010-08-15,75
2010-08-16,75
2010-08-17,74
2010-08-18,74
2010-08-19,73
2010-08-20,73
2010-08-21,72
2010-08-22,72
2010-08-23,71
2010-08-24,71
2010-08-25,70
2010-08-26,70
2010-08-27,69
2010-08-28,69
2010-08-29,68
2010-08-30,68
2010-08-31,67
2010-09-01,67
2010-09-02,67
2010-09-03,67
2010-09-04,67
2010-09-05,68
2010-09-06,68
2010-09-07,68
2010-09-08,69
2010-09-09,69
2010-09-10,69
2010-09-11,70
2010-09-12,70
2010-09-13,70
2010-09-14,70
2010-09-15,71
2010-09-16,71
2010-09-17,71
2010-09-18,72
2010-09-19,72
2010-09-20,72
2010-09-21,73
2010-09-22,73
2010-09-23,73
2010-09-24,73
2010-09-25,74
2010-09-26,74
2010-09-27,74
2010-09-28,75
2010-09-29,75
2010-09-30,75
2010-10-01,76
2010-10-02,76
2010-10-03,76
2010-10-04,76
2010-10-05,77
2010-10-06,77
2010-10-07,77
2010-10-08,78
2010-10-09,78
2010-10-10,78
2010-10-11,78
2010-10-12,79
2010-10-13,79
2010-10-14,79
2010-10-15,80
2010-10-16,80
2010-10-17,80
2010-10-18,80
2010-10-19,81
2010-10-20,81
2010-10-21,81
2010-10-22,82
2010-10-23,82
2010-10-24,82
2010-10-25,82
2010-10-26,83
2010-10-27,83
2010-10-28,83
2010-10-29,84
2010-10-30,84
2010-10-31,84
2010-11-01,85
2010-11-02,84
2010-11-03,83
2010-11-04,82
2010-11-05,81
2010-11-06,80
2010-11-07,79
2010-11-08,78
2010-11-09,77
2010-11-10,76
2010-11-11,75
2010-11-12,74
2010-11-13,73
2010-11-14,72
2010-11-15,71
2010-11-16,71
2010-11-17,70
2010-11-18,69
2010-11-19,68
2010-11-20,67
2010-11-21,66
2010-11-22,65
2010-11-23,64
2010-11-24,63
2010-11-25,62
2010-11-26,61
2010-11-27,60
2010-11-28,59
2010-11-29,58
2010-11-30,57
2010-12-01,57
2010-12-02,57
2010-12-03,58
2010-12-04,58
2010-12-05,59
2010-12-06,59
2010-12-07,60
2010-12-08,60
2010-12-09,61
2010-12-10,61
2010-12-11,62
2010-12-12,62
2010-12-13,63
2010-12-14,63
2010-12-15,64
2010-12-16,64
2010-12-17,65
2010-12-18,65
2010-12-19,66
2010-12-20,66
2010-12-21,67
2010-12-22,67
2010-12-23,68
2010-12-24,68
2010-12-25,69
2010-12-26,69
2010-12-27,70
2010-12-28,70
2010-12-29,71
2010-12-30,71
2010-12-31,72
2011-01-01,73
2011-01-02,73
2011-01-03,73
2011-01-04,74
2011-01-05,74
2011-01-06,75
2011-01-07,75
2011-01-08,76
2011-01-09,76
2011-01-10,77
2011-01-11,77
2011-01-12,78
2011-01-13,78
2011-01-14,79
2011-01-15,79
2011-01-16,80
2011-01-17,80
2011-01-18,81
2011-01-19,81
2011-01-20,82
2011-01-21,82
2011-01-22,83
2011-01-23,83
2011-01-24,84
2011-01-25,84
2011-01-26,85
2011-01-27,85
2011-01-28,86
2011-01-29,86
2011-01-30,87
2011-01-31,87
2011-02-01,88
2011-02-02,87
2011-02-03,87
2011-02-04,87
2011-02-05,87
2011-02-06,87
2011-02-07,87
2011-02-08,87
2011-02-09,86
2011-02-10,86
2011-02-11,86
2011-02-12,86
2011-02-13,86
2011-02-14,86
2011-02-15,86
2011-02-16,85
2011-02-17,85
2011-02-18,85
2011-02-19,85
2011-02-20,85
2011-02-21,85
2011-02-22,85
2011-02-23,84
2011-02-24,84
2011-02-25,84
2011-02-26,84
2011-02-27,84
2011-02-28,84
2011-03-01,84
2011-03-02,83
2011-03-03,83
2011-03-04,83
2011-03-05,82
2011-03-06,82
2011-03-07,82
2011-03-08,81
2011-03-09,81
2011-03-10,81
2011-03-11,81
2011-03-12,80
2011-03-13,80
2011-03-14,80
2011-03-15,79
2011-03-16,79
2011-03-17,79
2011-03-18,79
2011-03-19,78
2011-03-20,78
2011-03-21,78
2011-03-22,77
2011-03-23,77
2011-03-24,77
2011-03-25,77
2011-03-26,76
2011-03-27,76
2011-03-28,76
2011-03-29,75
2011-03-30,75
2011-03-31,75
2011-04-01,75
2011-04-02,75
2011-04-03,76
2011-04-04,77
2011-04-05,78
2011-04-06,79
2011-04-07,80
2011-04-08,80
2011-04-09,81
2011-04-10,82
2011-04-11,83
2011-04-12,84
2011-04-13,85
2011-04-14,85
2011-04-15,86
2011-04-16,87
2011-04-17,88
2011-04-18,89
2011-04-19,90
2011-04-20,90
2011-04-21,91
2011-04-22,92
2011-04-23,93
2011-04-24,94
2011-04-25,95
2011-04-26,95
2011-04-27,96
2011-04-28,97
2011-04-29,98
2011-04-30,99
2011-05-01,100
2011-05-02,98
2011-05-03,96
2011-05-04,95
2011-05-05,93
2011-05-06,92
2011-05-07,90
2011-05-08,88
2011-05-09,87
2011-05-10,85
2011-05-11,84
2011-05-12,82
2011-05-13,81
2011-05-14,79
2011-05-15,77
2011-05-16,76
2011-05-17,74
2011-05-18,73
2011-05-19,71
2011-05-20,69
2011-05-21,68
2011-05-22,66
2011-05-23,65
2011-05-24,63
2011-05-25,62
2011-05-26,60
2011-05-27,58
2011-05-28,57
2011-05-29,55
2011-05-30,54
2011-05-31,52
2011-06-01,51
2011-06-02,51
2011-06-03,51
2011-06-04,51
2011-06-05,51
2011-06-06,51
2011-06-07,52
2011-06-08,52
2011-06-09,52
2011-06-10,52
2011-06-11,52
2011-06-12,52
2011-06-13,53
2011-06-14,53
2011-06-15,53
