Date,Endurance International Group
2013-03-03,41
2013-03-04,41
2013-03-05,41
2013-03-06,41
2013-03-07,41
2013-03-08,41
2013-03-09,41
2013-03-10,41
2013-03-11,41
2013-03-12,41
2013-03-13,41
2013-03-14,41
2013-03-15,41
2013-03-16,41
2013-03-17,42
2013-03-18,44
2013-03-19,45
2013-03-20,47
2013-03-21,49
2013-03-22,50
2013-03-23,52
2013-03-24,50
2013-03-25,48
2013-03-26,46
2013-03-27,44
2013-03-28,42
2013-03-29,40
2013-03-30,39
2013-03-31,38
2013-04-01,37
2013-04-02,37
2013-04-03,36
2013-04-04,36
2013-04-05,35
2013-04-06,35
2013-04-07,35
2013-04-08,35
2013-04-09,35
2013-04-10,35
2013-04-11,35
2013-04-12,35
2013-04-13,35
2013-04-14,35
2013-04-15,35
2013-04-16,36
2013-04-17,36
2013-04-18,37
2013-04-19,37
2013-04-20,38
2013-04-21,38
2013-04-22,40
2013-04-23,40
2013-04-24,41
2013-04-25,42
2013-04-26,43
2013-04-27,44
2013-04-28,42
2013-04-29,40
2013-04-30,39
2013-05-01,37
2013-05-02,36
2013-05-03,34
2013-05-04,33
2013-05-05,32
2013-05-06,32
2013-05-07,32
2013-05-08,32
2013-05-09,32
2013-05-10,32
2013-05-11,32
2013-05-12,33
2013-05-13,35
2013-05-14,37
2013-05-15,38
2013-05-16,40
2013-05-17,42
2013-05-18,44
2013-05-19,42
2013-05-20,40
2013-05-21,38
2013-05-22,37
2013-05-23,35
2013-05-24,33
2013-05-25,32
2013-05-26,34
2013-06-02,44
2013-06-03,42
2013-06-04,40
2013-06-05,38
2013-06-06,36
2013-06-07,34
2013-06-08,32
2013-06-09,33
2013-06-10,35
2013-06-11,37
2013-06-12,38
2013-06-13,40
2013-06-14,42
2013-06-15,44
2013-06-16,42
2013-06-17,41
2013-06-18,40
2013-06-19,38
2013-06-20,37
2013-06-21,36
2013-06-22,35
2013-06-23,35
2013-06-24,35
2013-06-25,35
2013-06-26,35
2013-06-27,35
2013-06-28,35
2013-06-29,35
2013-06-30,35
2013-07-01,35
2013-07-02,35
2013-07-03,35
2013-07-04,35
2013-07-05,35
2013-07-06,36
2013-07-07,35
2013-07-08,34
2013-07-09,33
2013-07-10,32
2013-07-11,31
2013-07-12,30
2013-07-13,30
2013-07-14,33
2013-07-15,37
2013-07-16,40
2013-07-17,44
2013-07-18,47
2013-07-19,51
2013-07-20,55
2013-07-21,52
2013-07-22,49
2013-07-23,46
2013-07-24,44
2013-07-25,41
