Date,Iggys House
2007-07-01,0
2007-07-02,1
2007-07-03,3
2007-07-04,4
2007-07-05,6
2007-07-06,8
2007-07-07,9
2007-07-08,11
2007-07-09,12
2007-07-10,14
2007-07-11,16
2007-07-12,17
2007-07-13,19
2007-07-14,20
2007-07-15,22
2007-07-16,24
2007-07-17,25
2007-07-18,27
2007-07-19,29
2007-07-20,30
2007-07-21,32
2007-07-22,33
2007-07-23,35
2007-07-24,37
2007-07-25,38
2007-07-26,40
2007-07-27,41
2007-07-28,43
2007-07-29,45
2007-07-30,46
2007-07-31,48
2007-08-01,50
2007-08-02,51
2007-08-03,52
2007-08-04,53
2007-08-05,54
2007-08-06,55
2007-08-07,56
2007-08-08,57
2007-08-09,59
2007-08-10,60
2007-08-11,61
2007-08-12,62
2007-08-13,63
2007-08-14,64
2007-08-15,65
2007-08-16,66
2007-08-17,68
2007-08-18,69
2007-08-19,70
2007-08-20,71
2007-08-21,72
2007-08-22,73
2007-08-23,74
2007-08-24,75
2007-08-25,77
2007-08-26,78
2007-08-27,79
2007-08-28,80
2007-08-29,81
2007-08-30,82
2007-08-31,83
2007-09-01,85
2007-09-02,84
2007-09-03,83
2007-09-04,82
2007-09-05,81
2007-09-06,80
2007-09-07,79
2007-09-08,78
2007-09-09,77
2007-09-10,76
2007-09-11,76
2007-09-12,75
2007-09-13,74
2007-09-14,73
2007-09-15,72
2007-09-16,71
2007-09-17,70
2007-09-18,69
2007-09-19,68
2007-09-20,67
2007-09-21,67
2007-09-22,66
2007-09-23,65
2007-09-24,64
2007-09-25,63
2007-09-26,62
2007-09-27,61
2007-09-28,60
2007-09-29,59
2007-09-30,58
2007-10-01,58
2007-10-02,59
2007-10-03,60
2007-10-04,62
2007-10-05,63
2007-10-06,64
2007-10-07,66
2007-10-08,67
2007-10-09,68
2007-10-10,70
2007-10-11,71
2007-10-12,72
2007-10-13,74
2007-10-14,75
2007-10-15,76
2007-10-16,78
2007-10-17,79
2007-10-18,81
2007-10-19,82
2007-10-20,83
2007-10-21,85
2007-10-22,86
2007-10-23,87
2007-10-24,89
2007-10-25,90
2007-10-26,91
2007-10-27,93
2007-10-28,94
2007-10-29,95
2007-10-30,97
2007-10-31,98
2007-11-01,100
2007-11-02,98
2007-11-03,97
2007-11-04,95
2007-11-05,94
2007-11-06,92
2007-11-07,91
2007-11-08,89
2007-11-09,88
2007-11-10,87
2007-11-11,85
2007-11-12,84
2007-11-13,82
2007-11-14,81
2007-11-15,79
2007-11-16,78
2007-11-17,77
2007-11-18,75
2007-11-19,74
2007-11-20,72
2007-11-21,71
2007-11-22,69
2007-11-23,68
2007-11-24,67
2007-11-25,65
2007-11-26,64
2007-11-27,62
2007-11-28,61
2007-11-29,59
2007-11-30,58
2007-12-01,57
2007-12-02,56
2007-12-03,56
2007-12-04,56
2007-12-05,56
2007-12-06,56
2007-12-07,56
2007-12-08,56
2007-12-09,56
2007-12-10,56
2007-12-11,56
2007-12-12,56
2007-12-13,56
2007-12-14,56
2007-12-15,56
2007-12-16,56
2007-12-17,56
2007-12-18,56
2007-12-19,56
2007-12-20,56
2007-12-21,56
2007-12-22,56
2007-12-23,56
2007-12-24,56
2007-12-25,56
2007-12-26,56
2007-12-27,56
2007-12-28,56
2007-12-29,56
2007-12-30,56
2007-12-31,56
2008-01-01,56
2008-01-02,56
2008-01-03,56
2008-01-04,56
2008-01-05,56
2008-01-06,56
2008-01-07,56
2008-01-08,56
2008-01-09,56
2008-01-10,56
2008-01-11,56
2008-01-12,56
2008-01-13,56
2008-01-14,56
2008-01-15,56
2008-01-16,56
2008-01-17,56
2008-01-18,56
2008-01-19,56
2008-01-20,56
2008-01-21,56
2008-01-22,56
2008-01-23,56
2008-01-24,56
2008-01-25,56
2008-01-26,56
2008-01-27,56
2008-01-28,56
2008-01-29,56
2008-01-30,56
2008-01-31,56
2008-02-01,56
2008-02-02,55
2008-02-03,55
2008-02-04,54
2008-02-05,54
2008-02-06,53
2008-02-07,53
2008-02-08,53
2008-02-09,52
2008-02-10,52
2008-02-11,51
2008-02-12,51
2008-02-13,51
2008-02-14,50
2008-02-15,50
2008-02-16,49
2008-02-17,49
2008-02-18,48
2008-02-19,48
2008-02-20,48
2008-02-21,47
2008-02-22,47
2008-02-23,46
2008-02-24,46
2008-02-25,46
2008-02-26,45
2008-02-27,45
2008-02-28,44
2008-02-29,44
2008-03-01,44
2008-03-02,44
2008-03-03,44
2008-03-04,45
2008-03-05,45
2008-03-06,46
2008-03-07,46
2008-03-08,46
2008-03-09,47
2008-03-10,47
