Date,SunCoke Energy
2010-09-01,39
2010-09-02,39
2010-09-03,39
2010-09-04,39
2010-09-05,39
2010-09-06,39
2010-09-07,39
2010-09-08,39
2010-09-09,39
2010-09-10,39
2010-09-11,40
2010-09-12,40
2010-09-13,40
2010-09-14,40
2010-09-15,40
2010-09-16,40
2010-09-17,40
2010-09-18,40
2010-09-19,40
2010-09-20,40
2010-09-21,41
2010-09-22,41
2010-09-23,41
2010-09-24,41
2010-09-25,41
2010-09-26,41
2010-09-27,41
2010-09-28,41
2010-09-29,41
2010-09-30,41
2010-10-01,42
2010-10-02,41
2010-10-03,40
2010-10-04,40
2010-10-05,39
2010-10-06,39
2010-10-07,38
2010-10-08,37
2010-10-09,37
2010-10-10,36
2010-10-11,36
2010-10-12,35
2010-10-13,35
2010-10-14,34
2010-10-15,33
2010-10-16,33
2010-10-17,32
2010-10-18,32
2010-10-19,31
2010-10-20,30
2010-10-21,30
2010-10-22,29
2010-10-23,29
2010-10-24,28
2010-10-25,28
2010-10-26,27
2010-10-27,26
2010-10-28,26
2010-10-29,25
2010-10-30,25
2010-10-31,24
2010-11-01,24
2010-11-02,24
2010-11-03,24
2010-11-04,24
2010-11-05,25
2010-11-06,25
2010-11-07,25
2010-11-08,25
2010-11-09,26
2010-11-10,26
2010-11-11,26
2010-11-12,26
2010-11-13,27
2010-11-14,27
2010-11-15,27
2010-11-16,28
2010-11-17,28
2010-11-18,28
2010-11-19,28
2010-11-20,29
2010-11-21,29
2010-11-22,29
2010-11-23,29
2010-11-24,30
2010-11-25,30
2010-11-26,30
2010-11-27,30
2010-11-28,31
2010-11-29,31
2010-11-30,31
2010-12-01,32
2010-12-02,32
2010-12-03,32
2010-12-04,33
2010-12-05,33
2010-12-06,33
2010-12-07,34
2010-12-08,34
2010-12-09,34
2010-12-10,35
2010-12-11,35
2010-12-12,35
2010-12-13,36
2010-12-14,36
2010-12-15,36
2010-12-16,37
2010-12-17,37
2010-12-18,38
2010-12-19,38
2010-12-20,38
2010-12-21,39
2010-12-22,39
2010-12-23,39
2010-12-24,40
2010-12-25,40
2010-12-26,40
2010-12-27,41
2010-12-28,41
2010-12-29,41
2010-12-30,42
2010-12-31,42
2011-01-01,43
2011-01-02,42
2011-01-03,42
2011-01-04,41
2011-01-05,41
2011-01-06,40
2011-01-07,40
2011-01-08,40
2011-01-09,39
2011-01-10,39
2011-01-11,38
2011-01-12,38
2011-01-13,37
2011-01-14,37
2011-01-15,37
2011-01-16,36
2011-01-17,36
2011-01-18,35
2011-01-19,35
2011-01-20,35
2011-01-21,34
2011-01-22,34
2011-01-23,33
2011-01-24,33
2011-01-25,32
2011-01-26,32
2011-01-27,32
2011-01-28,31
2011-01-29,31
2011-01-30,30
2011-01-31,30
2011-02-01,30
2011-02-02,30
2011-02-03,30
2011-02-04,30
2011-02-05,30
2011-02-06,30
2011-02-07,30
2011-02-08,31
2011-02-09,31
2011-02-10,31
2011-02-11,31
2011-02-12,31
2011-02-13,31
2011-02-14,31
2011-02-15,32
2011-02-16,32
2011-02-17,32
2011-02-18,32
2011-02-19,32
2011-02-20,32
2011-02-21,32
2011-02-22,33
2011-02-23,33
2011-02-24,33
2011-02-25,33
2011-02-26,33
2011-02-27,33
2011-02-28,33
2011-03-01,34
2011-03-02,33
2011-03-03,33
2011-03-04,33
2011-03-05,33
2011-03-06,33
2011-03-07,33
2011-03-08,33
2011-03-09,32
2011-03-10,32
2011-03-11,32
2011-03-12,32
2011-03-13,32
2011-03-14,32
2011-03-15,32
2011-03-16,32
2011-03-17,31
2011-03-18,31
2011-03-19,31
2011-03-20,31
2011-03-21,31
2011-03-22,31
2011-03-23,31
2011-03-24,31
2011-03-25,30
2011-03-26,30
2011-03-27,30
2011-03-28,30
2011-03-29,30
2011-03-30,30
2011-03-31,30
2011-04-01,30
2011-04-02,31
2011-04-03,32
2011-04-04,33
2011-04-05,34
2011-04-06,35
2011-04-07,36
2011-04-08,37
2011-04-09,38
2011-04-10,39
2011-04-11,40
2011-04-12,41
2011-04-13,42
2011-04-14,43
2011-04-15,44
2011-04-16,45
2011-04-17,46
2011-04-18,47
2011-04-19,48
2011-04-20,49
2011-04-21,50
2011-04-22,51
2011-04-23,52
2011-04-24,53
2011-04-25,54
2011-04-26,55
2011-04-27,56
2011-04-28,57
2011-04-29,58
2011-04-30,59
2011-05-01,60
2011-05-02,59
2011-05-03,59
2011-05-04,59
2011-05-05,58
2011-05-06,58
2011-05-07,58
2011-05-08,57
2011-05-09,57
2011-05-10,57
2011-05-11,56
2011-05-12,56
2011-05-13,56
2011-05-14,55
2011-05-15,55
2011-05-16,55
2011-05-17,54
2011-05-18,54
2011-05-19,54
2011-05-20,53
2011-05-21,53
2011-05-22,53
2011-05-23,52
2011-05-24,52
2011-05-25,52
2011-05-26,51
2011-05-27,51
2011-05-28,51
2011-05-29,50
2011-05-30,50
2011-05-31,50
2011-06-05,56
2011-06-06,58
2011-06-07,60
2011-06-08,61
2011-06-09,63
2011-06-10,65
2011-06-11,66
2011-06-12,68
2011-06-13,70
2011-06-14,71
2011-06-15,73
2011-06-16,75
2011-06-17,76
2011-06-18,78
2011-06-19,80
2011-06-20,81
2011-06-21,83
2011-06-22,85
2011-06-23,86
2011-06-24,88
2011-06-25,90
2011-06-26,91
2011-06-27,93
2011-06-28,95
2011-06-29,96
2011-06-30,98
2011-07-01,100
2011-07-02,98
2011-07-03,97
2011-07-04,109
2011-07-05,94
2011-07-06,93
2011-07-07,91
2011-07-08,90
2011-07-09,88
2011-07-10,87
2011-07-11,86
2011-07-12,84
2011-07-13,83
2011-07-14,81
2011-07-15,80
2011-07-16,79
2011-07-17,77
2011-07-18,77
2011-07-19,76
2011-07-20,74
2011-07-21,73
2011-07-22,72
2011-07-23,70
2011-07-24,69
2011-07-25,66
2011-07-26,65
2011-07-27,63
2011-07-28,62
2011-07-29,61
2011-07-30,59
2011-07-31,58
2011-08-01,58
2011-08-02,58
2011-08-03,57
2011-08-04,57
2011-08-05,57
2011-08-06,59
2011-08-07,52
2011-08-08,52
2011-08-09,51
2011-08-10,50
2011-08-11,50
2011-08-12,49
2011-08-13,48
2011-08-14,48
2011-08-15,47
2011-08-16,46
2011-08-17,46
2011-08-18,45
2011-08-19,44
2011-08-20,44
2011-08-21,43
2011-08-22,42
2011-08-23,42
2011-08-24,41
2011-08-25,40
2011-08-26,40
2011-08-27,39
2011-08-28,38
2011-09-01,36
2011-09-02,36
2011-09-03,36
2011-09-04,36
2011-09-05,36
2011-09-06,37
2011-09-07,37
2011-09-08,37
2011-09-09,37
2011-09-10,38
2011-09-11,38
2011-09-12,38
2011-09-13,38
2011-09-14,39
2011-09-15,39
2011-09-16,39
2011-09-17,39
2011-09-18,39
2011-09-19,40
2011-09-20,40
2011-09-21,40
2011-09-22,40
2011-09-23,41
2011-09-24,41
2011-09-25,41
2011-09-26,41
2011-09-27,42
2011-09-28,42
2011-09-29,42
2011-09-30,42
2011-10-01,43
2011-10-02,43
2011-10-03,43
2011-10-04,43
2011-10-05,43
2011-10-06,43
2011-10-07,43
2011-10-08,43
2011-10-09,44
2011-10-10,44
2011-10-11,44
2011-10-12,44
2011-10-13,44
2011-10-14,44
2011-10-15,44
2011-10-16,44
2011-10-17,45
2011-10-18,45
2011-10-19,45
2011-10-20,45
2011-10-21,45
2011-10-22,45
2011-10-23,45
2011-10-24,45
2011-10-25,46
2011-10-26,46
2011-10-27,46
2011-10-28,46
2011-10-29,46
2011-10-30,46
2011-10-31,46
2011-11-01,47
2011-11-02,47
2011-11-03,47
2011-11-04,48
2011-11-05,48
2011-11-06,48
2011-11-07,49
2011-11-08,49
2011-11-09,49
2011-11-10,50
2011-11-11,50
2011-11-12,50
2011-11-13,51
2011-11-14,51
2011-11-15,51
2011-11-16,52
2011-11-17,52
2011-11-18,52
2011-11-19,53
2011-11-20,53
2011-11-21,53
2011-11-22,54
2011-11-23,54
2011-11-24,54
2011-11-25,55
2011-11-26,55
2011-11-27,55
2011-11-28,56
2011-11-29,56
2011-11-30,56
2011-12-01,57
2011-12-02,57
2011-12-03,57
2011-12-04,57
2011-12-05,58
2011-12-06,58
2011-12-07,58
2011-12-08,59
2011-12-09,59
2011-12-10,59
2011-12-11,60
2011-12-12,60
2011-12-13,60
2011-12-14,61
2011-12-15,61
2011-12-16,61
2011-12-17,62
2011-12-18,62
2011-12-19,62
2011-12-20,63
2011-12-21,63
2011-12-22,63
2011-12-23,64
2011-12-24,64
2011-12-25,64
2011-12-26,65
2011-12-27,65
2011-12-28,65
2011-12-29,66
2011-12-30,66
2011-12-31,66
2012-01-01,67
2012-01-02,66
2012-01-03,66
2012-01-04,65
2012-01-05,65
2012-01-06,64
2012-01-07,64
2012-01-08,64
2012-01-09,63
2012-01-10,63
2012-01-11,62
2012-01-12,62
2012-01-13,61
2012-01-14,61
2012-01-15,61
2012-01-16,60
2012-01-17,60
2012-01-18,59
2012-01-19,59
2012-01-20,59
2012-01-21,58
2012-01-22,58
2012-01-23,57
2012-01-24,57
2012-01-25,56
2012-01-26,56
2012-01-27,56
2012-01-28,55
2012-01-29,55
2012-01-30,54
