Date,Marcus & Millichap
2013-03-09,70
2013-03-10,71
2013-03-11,72
2013-03-12,73
2013-03-13,74
2013-03-14,75
2013-03-15,76
2013-03-16,77
2013-03-17,75
2013-03-18,73
2013-03-19,71
2013-03-20,69
2013-03-21,67
2013-03-22,66
2013-03-23,64
2013-03-24,69
2013-03-25,73
2013-03-26,78
2013-03-27,83
2013-03-28,88
2013-03-29,93
2013-03-30,98
2013-03-31,96
2013-04-01,95
2013-04-02,93
2013-04-03,92
2013-04-04,90
2013-04-05,88
2013-04-06,87
2013-04-07,85
2013-04-08,82
2013-04-09,80
2013-04-10,78
2013-04-11,76
2013-04-12,74
2013-04-13,72
2013-04-14,72
2013-04-15,72
2013-04-16,72
2013-04-17,72
2013-04-18,72
2013-04-19,73
2013-04-20,73
2013-04-21,74
2013-04-22,75
2013-04-23,76
2013-04-24,77
2013-04-25,78
2013-04-26,79
2013-04-27,80
2013-04-28,76
2013-04-29,70
2013-04-30,65
2013-05-01,61
2013-05-02,56
2013-05-03,51
2013-05-04,47
2013-05-05,49
2013-05-06,51
2013-05-07,53
2013-05-08,56
2013-05-09,58
2013-05-10,60
2013-05-11,63
2013-05-12,63
2013-05-13,64
2013-05-14,64
2013-05-15,65
2013-05-16,65
2013-05-17,66
2013-05-18,67
2013-05-19,66
2013-05-20,66
2013-05-21,66
2013-05-22,65
2013-05-23,65
2013-05-24,64
2013-05-25,64
2013-05-26,62
2013-06-02,47
2013-06-03,49
2013-06-04,51
2013-06-05,53
2013-06-06,55
2013-06-07,57
2013-06-08,59
2013-06-09,57
2013-06-10,55
2013-06-11,53
2013-06-12,52
2013-06-13,50
2013-06-14,48
2013-06-15,47
2013-06-16,47
2013-06-17,48
2013-06-18,49
2013-06-19,50
2013-06-20,50
2013-06-21,51
2013-06-22,52
2013-06-23,53
2013-06-24,54
2013-06-25,55
2013-06-26,56
2013-06-27,57
2013-06-28,58
2013-06-29,59
2013-06-30,60
2013-07-01,61
2013-07-02,63
2013-07-03,64
2013-07-04,66
2013-07-05,67
2013-07-06,69
2013-07-07,67
2013-07-08,66
2013-07-09,65
2013-07-10,63
2013-07-11,62
2013-07-12,61
2013-07-13,60
2013-07-14,59
2013-07-15,59
2013-07-16,59
2013-07-17,59
2013-07-18,59
2013-07-19,59
2013-07-20,59
2013-07-21,60
2013-07-22,61
2013-07-23,63
2013-07-24,64
2013-07-25,66
2013-07-26,67
2013-07-27,69
2013-07-28,69
2013-07-29,69
2013-07-30,70
2013-07-31,70
2013-08-01,70
2013-08-02,71
2013-08-03,71
2013-08-04,73
2013-08-05,75
2013-08-06,77
2013-08-07,80
2013-08-08,82
2013-08-09,84
2013-08-10,87
2013-08-11,86
2013-08-12,86
2013-08-13,85
2013-08-14,84
