Date,Mavenir Systems
2013-04-01,40
2013-04-02,39
2013-04-03,39
2013-04-04,39
2013-04-05,39
2013-04-06,39
2013-04-07,39
2013-04-08,38
2013-04-09,38
2013-04-10,38
2013-04-11,38
2013-04-12,38
2013-04-13,38
2013-04-14,37
2013-04-15,37
2013-04-16,37
2013-04-17,37
2013-04-18,37
2013-04-19,37
2013-04-20,36
2013-04-21,36
2013-04-22,36
2013-04-23,36
2013-04-24,36
2013-04-25,36
2013-04-26,35
2013-04-27,35
2013-04-28,35
2013-04-29,35
2013-04-30,35
2013-05-01,35
2013-05-02,35
2013-05-03,36
2013-05-04,36
2013-05-05,37
2013-05-06,37
2013-05-07,38
2013-05-08,38
2013-05-09,39
2013-05-10,39
2013-05-11,40
2013-05-12,41
2013-05-13,41
2013-05-14,42
2013-05-15,42
2013-05-16,43
2013-05-17,43
2013-05-18,44
2013-05-19,44
2013-05-20,45
2013-05-21,45
2013-05-22,46
2013-05-23,47
2013-05-24,47
2013-05-25,48
2013-05-26,48
2013-05-27,49
2013-05-28,49
2013-05-29,50
2013-05-30,50
2013-05-31,51
2013-06-01,52
2013-06-02,53
2013-06-03,55
2013-06-04,56
2013-06-05,58
2013-06-06,60
2013-06-07,61
2013-06-08,63
2013-06-09,64
2013-06-10,66
2013-06-11,68
2013-06-12,69
2013-06-13,71
2013-06-14,72
2013-06-15,74
2013-06-16,76
2013-06-17,77
2013-06-18,79
2013-06-19,80
2013-06-20,82
2013-06-21,84
2013-06-22,85
2013-06-23,87
2013-06-24,88
2013-06-25,90
2013-06-26,92
2013-06-27,93
2013-06-28,95
2013-06-29,96
2013-06-30,98
2013-07-07,87
2013-07-08,85
2013-07-09,83
2013-07-10,81
2013-07-11,79
2013-07-12,76
2013-07-13,74
2013-07-14,72
2013-07-15,72
2013-07-16,70
2013-07-17,69
2013-07-18,67
2013-07-19,66
2013-07-20,66
2013-07-21,58
2013-07-22,55
2013-07-23,53
2013-07-24,51
2013-07-25,49
2013-07-26,47
2013-07-27,45
2013-07-28,43
2013-07-29,41
2013-07-30,39
2013-07-31,37
2013-08-01,35
2013-08-02,35
2013-08-03,36
2013-08-04,37
2013-08-05,37
2013-08-06,38
2013-08-07,39
2013-08-08,39
2013-08-09,40
2013-08-10,41
2013-08-11,41
2013-08-12,42
2013-08-13,43
2013-08-14,43
2013-08-15,44
2013-08-16,45
2013-08-17,45
2013-08-18,46
2013-08-19,47
2013-08-20,47
2013-08-21,48
2013-08-22,49
2013-08-23,49
2013-08-24,50
2013-08-25,51
2013-08-26,51
2013-08-27,52
2013-08-28,53
2013-08-29,53
2013-08-30,54
2013-08-31,55
2013-09-01,56
2013-09-02,55
2013-09-03,55
2013-09-04,55
2013-09-05,55
2013-09-06,55
2013-09-07,54
2013-09-08,54
2013-09-09,54
2013-09-10,54
2013-09-11,54
2013-09-12,53
2013-09-13,53
2013-09-14,53
2013-09-15,53
2013-09-16,57
2013-09-17,52
2013-09-18,52
2013-09-19,52
2013-09-20,52
2013-09-21,52
2013-09-22,51
2013-09-23,53
2013-09-24,53
2013-09-25,53
2013-09-26,53
2013-09-27,54
2013-09-28,55
2013-09-29,50
2013-10-06,57
2013-10-07,58
2013-10-08,60
2013-10-09,61
2013-10-10,63
2013-10-11,64
2013-10-12,66
2013-10-13,67
2013-10-14,82
2013-10-15,70
2013-10-16,72
2013-10-17,73
2013-10-18,75
2013-10-19,76
2013-10-20,78
2013-10-21,79
2013-10-22,81
2013-10-23,82
2013-10-24,84
2013-10-25,85
2013-10-26,87
2013-10-27,88
2013-10-28,90
2013-10-29,91
2013-10-30,93
2013-10-31,94
2013-11-01,96
2013-11-02,94
2013-11-03,93
2013-11-04,92
2013-11-05,91
2013-11-06,90
2013-11-07,88
2013-11-08,87
2013-11-09,86
2013-11-10,85
2013-11-11,81
2013-11-12,79
2013-11-13,78
2013-11-14,76
2013-11-15,75
2013-11-16,73
2013-11-17,72
2013-11-18,70
2013-11-19,69
2013-11-20,67
2013-11-21,66
2013-11-22,64
2013-11-23,63
2013-11-24,61
2013-11-25,61
2013-11-26,60
2013-11-27,59
2013-11-28,58
2013-11-29,57
2013-11-30,57
2013-12-01,51
2013-12-02,51
2013-12-03,51
2013-12-04,51
2013-12-05,51
2013-12-06,51
2013-12-07,51
2013-12-08,51
2013-12-09,51
2013-12-10,51
2013-12-11,51
2013-12-12,51
2013-12-13,51
2013-12-14,51
2013-12-15,51
2013-12-16,51
2013-12-17,51
2013-12-18,51
2013-12-19,51
2013-12-20,51
2013-12-21,51
2013-12-22,51
2013-12-23,51
2013-12-24,51
2013-12-25,51
2013-12-26,51
2013-12-27,51
2013-12-28,51
2013-12-29,51
2014-01-01,51
2014-01-02,50
2014-01-03,49
2014-01-04,49
2014-01-05,48
2014-01-06,47
2014-01-07,47
2014-01-08,46
2014-01-09,46
2014-01-10,45
2014-01-11,44
2014-01-12,44
2014-01-13,43
2014-01-14,43
2014-01-15,42
2014-01-16,41
2014-01-17,41
2014-01-18,40
2014-01-19,39
2014-01-20,39
2014-01-21,38
2014-01-22,38
2014-01-23,37
2014-01-24,36
2014-01-25,36
2014-01-26,35
2014-01-27,35
2014-01-28,34
2014-01-29,33
2014-01-30,33
2014-01-31,32
2014-02-01,32
