Date,Cellu Tissue
2009-04-01,44
2009-04-02,44
2009-04-03,45
2009-04-04,45
2009-04-05,46
2009-04-06,47
2009-04-07,47
2009-04-08,48
2009-04-09,49
2009-04-10,49
2009-04-11,50
2009-04-12,50
2009-04-13,51
2009-04-14,52
2009-04-15,52
2009-04-16,53
2009-04-17,54
2009-04-18,54
2009-04-19,55
2009-04-20,56
2009-04-21,56
2009-04-22,57
2009-04-23,57
2009-04-24,58
2009-04-25,59
2009-04-26,59
2009-04-27,60
2009-04-28,61
2009-04-29,61
2009-04-30,62
2009-05-01,63
2009-05-02,62
2009-05-03,62
2009-05-04,62
2009-05-05,62
2009-05-06,62
2009-05-07,62
2009-05-08,62
2009-05-09,62
2009-05-10,62
2009-05-11,62
2009-05-12,62
2009-05-13,62
2009-05-14,62
2009-05-15,62
2009-05-16,62
2009-05-17,61
2009-05-18,61
2009-05-19,61
2009-05-20,61
2009-05-21,61
2009-05-22,61
2009-05-23,61
2009-05-24,61
2009-05-25,61
2009-05-26,61
2009-05-27,61
2009-05-28,61
2009-05-29,61
2009-05-30,61
2009-05-31,61
2009-06-01,61
2009-06-02,60
2009-06-03,60
2009-06-04,60
2009-06-05,60
2009-06-06,60
2009-06-07,60
2009-06-08,60
2009-06-09,59
2009-06-10,59
2009-06-11,59
2009-06-12,59
2009-06-13,59
2009-06-14,59
2009-06-15,59
2009-06-16,59
2009-06-17,58
2009-06-18,58
2009-06-19,58
2009-06-20,58
2009-06-21,58
2009-06-22,58
2009-06-23,58
2009-06-24,57
2009-06-25,57
2009-06-26,57
2009-06-27,57
2009-06-28,57
2009-06-29,57
2009-06-30,57
2009-07-01,57
2009-07-02,57
2009-07-03,57
2009-07-04,57
2009-07-05,57
2009-07-06,57
2009-07-07,57
2009-07-08,57
2009-07-09,58
2009-07-10,58
2009-07-11,58
2009-07-12,58
2009-07-13,58
2009-07-14,58
2009-07-15,58
2009-07-16,58
2009-07-17,59
2009-07-18,59
2009-07-19,59
2009-07-20,59
2009-07-21,59
2009-07-22,59
2009-07-23,59
2009-07-24,59
2009-07-25,60
2009-07-26,60
2009-07-27,60
2009-07-28,60
2009-07-29,60
2009-07-30,60
2009-07-31,60
2009-08-01,61
2009-08-02,60
2009-08-03,59
2009-08-04,58
2009-08-05,58
2009-08-06,57
2009-08-07,56
2009-08-08,55
2009-08-09,55
2009-08-10,54
2009-08-11,53
2009-08-12,52
2009-08-13,52
2009-08-14,51
2009-08-15,50
2009-08-16,49
2009-08-17,49
2009-08-18,48
2009-08-19,47
2009-08-20,46
2009-08-21,46
2009-08-22,45
2009-08-23,44
2009-08-24,43
2009-08-25,43
2009-08-26,42
2009-08-27,41
2009-08-28,40
2009-08-29,40
2009-08-30,39
2009-08-31,38
2009-09-01,38
2009-09-02,39
2009-09-03,40
2009-09-04,41
2009-09-05,42
2009-09-06,43
2009-09-07,44
2009-09-08,45
2009-09-09,46
2009-09-10,47
2009-09-11,48
2009-09-12,49
2009-09-13,50
2009-09-14,51
2009-09-15,52
2009-09-16,53
2009-09-17,54
2009-09-18,55
2009-09-19,56
2009-09-20,57
2009-09-21,58
2009-09-22,59
2009-09-23,60
2009-09-24,61
2009-09-25,62
2009-09-26,63
2009-09-27,64
2009-09-28,65
2009-09-29,66
2009-09-30,67
2009-10-01,68
2009-10-02,67
2009-10-03,66
2009-10-04,65
2009-10-05,65
