Date,Global Defense Technology
2010-03-25,79
2010-03-26,78
2010-03-27,77
2010-03-28,76
2010-03-29,75
2010-03-30,74
2010-03-31,73
2010-04-01,73
2010-04-02,73
2010-04-03,73
2010-04-04,73
2010-04-05,73
2010-04-06,73
2010-04-07,73
2010-04-08,73
2010-04-09,73
2010-04-10,73
2010-04-11,73
2010-04-12,73
2010-04-13,73
2010-04-14,73
2010-04-15,73
2010-04-16,73
2010-04-17,73
2010-04-18,73
2010-04-19,73
2010-04-20,73
2010-04-21,73
2010-04-22,73
2010-04-23,73
2010-04-24,73
2010-04-25,73
2010-04-26,73
2010-04-27,73
2010-04-28,73
2010-04-29,73
2010-04-30,73
2010-05-01,73
2010-05-02,73
2010-05-03,73
2010-05-04,73
2010-05-05,73
2010-05-06,73
2010-05-07,73
2010-05-08,73
2010-05-09,74
2010-05-10,74
2010-05-11,74
2010-05-12,74
2010-05-13,74
2010-05-14,74
2010-05-15,74
2010-05-16,74
2010-05-17,75
2010-05-18,75
2010-05-19,75
2010-05-20,75
2010-05-21,75
2010-05-22,75
2010-05-23,75
2010-05-24,75
2010-05-25,76
2010-05-26,76
2010-05-27,76
2010-05-28,76
2010-05-29,76
2010-05-30,76
2010-05-31,76
2010-06-01,77
2010-06-02,77
2010-06-03,77
2010-06-04,77
2010-06-05,77
2010-06-06,77
2010-06-07,78
2010-06-08,78
2010-06-09,78
2010-06-10,78
2010-06-11,78
2010-06-12,78
2010-06-13,79
2010-06-14,79
2010-06-15,79
2010-06-16,79
2010-06-17,79
2010-06-18,79
2010-06-19,80
2010-06-20,80
2010-06-21,80
2010-06-22,80
2010-06-23,80
2010-06-24,80
2010-06-25,81
2010-06-26,81
2010-06-27,81
2010-06-28,81
2010-06-29,81
2010-06-30,81
2010-07-01,82
2010-07-02,82
2010-07-03,82
2010-07-04,82
2010-07-05,82
2010-07-06,82
2010-07-07,82
2010-07-08,83
2010-07-09,83
2010-07-10,83
2010-07-11,83
2010-07-12,83
2010-07-13,83
2010-07-14,84
2010-07-15,84
2010-07-16,84
2010-07-17,84
2010-07-18,84
2010-07-19,84
2010-07-20,85
2010-07-21,85
2010-07-22,85
2010-07-23,85
2010-07-24,85
2010-07-25,85
2010-07-26,86
2010-07-27,86
2010-07-28,86
2010-07-29,86
2010-07-30,86
2010-07-31,86
2010-08-01,87
2010-08-02,87
2010-08-03,87
2010-08-04,87
2010-08-05,87
2010-08-06,87
2010-08-07,88
2010-08-08,88
2010-08-09,88
2010-08-10,88
2010-08-11,88
2010-08-12,89
2010-08-13,89
2010-08-14,89
2010-08-15,89
2010-08-16,89
2010-08-17,90
2010-08-18,90
2010-08-19,90
2010-08-20,90
2010-08-21,90
2010-08-22,91
2010-08-23,91
2010-08-24,91
2010-08-25,91
2010-08-26,91
2010-08-27,92
2010-08-28,92
2010-08-29,92
2010-08-30,92
2010-08-31,92
2010-09-01,93
2010-09-02,92
2010-09-03,91
2010-09-04,90
2010-09-05,89
2010-09-06,88
2010-09-07,87
2010-09-08,86
2010-09-09,86
2010-09-10,85
2010-09-11,84
2010-09-12,83
2010-09-13,82
2010-09-14,81
2010-09-15,80
2010-09-16,80
2010-09-17,79
2010-09-18,78
2010-09-19,77
2010-09-20,76
2010-09-21,75
2010-09-22,74
2010-09-23,73
2010-09-24,73
2010-09-25,72
2010-09-26,71
2010-09-27,70
2010-09-28,69
2010-09-29,68
2010-09-30,67
2010-10-01,67
2010-10-02,66
2010-10-03,65
2010-10-04,65
2010-10-05,64
2010-10-06,64
2010-10-07,63
2010-10-08,63
2010-10-09,62
2010-10-10,62
2010-10-11,61
2010-10-12,60
2010-10-13,60
2010-10-14,59
2010-10-15,59
2010-10-16,58
2010-10-17,58
2010-10-18,57
2010-10-19,57
2010-10-20,56
2010-10-21,56
2010-10-22,55
2010-10-23,54
2010-10-24,54
2010-10-25,53
2010-10-26,53
2010-10-27,52
2010-10-28,52
2010-10-29,51
2010-10-30,51
2010-10-31,50
2010-11-01,50
2010-11-02,50
2010-11-03,50
2010-11-04,50
2010-11-05,51
2010-11-06,51
2010-11-07,51
2010-11-08,51
2010-11-09,52
2010-11-10,52
2010-11-11,52
2010-11-12,52
2010-11-13,53
2010-11-14,53
2010-11-15,53
2010-11-16,54
2010-11-17,54
2010-11-18,54
2010-11-19,54
2010-11-20,55
2010-11-21,55
2010-11-22,55
2010-11-23,55
2010-11-24,56
2010-11-25,56
2010-11-26,56
2010-11-27,56
2010-11-28,57
2010-11-29,57
2010-11-30,57
2010-12-01,58
2010-12-02,58
2010-12-03,58
2010-12-04,58
2010-12-05,59
2010-12-06,59
2010-12-07,59
2010-12-08,59
2010-12-09,60
2010-12-10,60
2010-12-11,60
2010-12-12,60
2010-12-13,61
2010-12-14,61
2010-12-15,61
2010-12-16,61
2010-12-17,62
2010-12-18,62
2010-12-19,62
2010-12-20,62
2010-12-21,63
2010-12-22,63
2010-12-23,63
2010-12-24,63
2010-12-25,64
2010-12-26,64
2010-12-27,64
2010-12-28,64
2010-12-29,65
2010-12-30,65
2010-12-31,65
2011-01-01,66
2011-01-02,65
2011-01-03,65
2011-01-04,65
2011-01-05,65
2011-01-06,65
2011-01-07,65
2011-01-08,65
2011-01-09,65
2011-01-10,65
2011-01-11,65
2011-01-12,65
2011-01-13,65
2011-01-14,65
2011-01-15,65
2011-01-16,65
2011-01-17,64
2011-01-18,64
2011-01-19,64
2011-01-20,64
2011-01-21,64
2011-01-22,64
2011-01-23,64
2011-01-24,64
2011-01-25,64
2011-01-26,64
2011-01-27,64
2011-01-28,64
2011-01-29,64
2011-01-30,64
2011-01-31,64
2011-02-01,64
