Date,Medidata
2008-07-12,30
2008-07-13,31
2008-07-14,32
2008-07-15,34
2008-07-16,35
2008-07-17,36
2008-07-18,37
2008-07-19,39
2008-07-20,37
2008-07-21,35
2008-07-22,33
2008-07-23,31
2008-07-24,29
2008-07-25,27
2008-07-26,25
2008-07-27,26
2008-07-28,27
2008-07-29,28
2008-07-30,29
2008-07-31,30
2008-08-01,31
2008-08-02,32
2008-08-03,30
2008-08-04,28
2008-08-05,27
2008-08-06,25
2008-08-07,24
2008-08-08,22
2008-08-09,21
2008-08-10,22
2008-08-11,23
2008-08-12,25
2008-08-13,26
2008-08-14,28
2008-08-15,29
2008-08-16,31
2008-08-17,32
2008-08-18,34
2008-08-19,35
2008-08-20,37
2008-08-21,38
2008-08-22,40
2008-08-23,42
2008-08-24,40
2008-08-25,39
2008-08-26,37
2008-08-27,36
2008-08-28,35
2008-08-29,33
2008-08-30,32
2008-08-31,31
2008-09-01,31
2008-09-02,30
2008-09-03,29
2008-09-04,29
2008-09-05,28
2008-09-06,28
2008-09-07,27
2008-09-08,26
2008-09-09,26
2008-09-10,25
2008-09-11,25
2008-09-12,24
2008-09-13,24
2008-09-14,23
2008-09-15,23
2008-09-16,23
2008-09-17,22
2008-09-18,22
2008-09-19,22
2008-09-20,22
2008-09-21,22
2008-09-22,22
2008-09-23,22
2008-09-24,22
2008-09-25,22
2008-09-26,22
2008-09-27,22
2008-09-28,25
2008-10-05,43
2008-10-06,40
2008-10-07,37
2008-10-08,34
2008-10-09,31
2008-10-10,28
2008-10-11,26
2008-10-12,26
2008-10-13,26
2008-10-14,27
2008-10-15,27
2008-10-16,28
2008-10-17,28
2008-10-18,29
2008-10-19,29
2008-10-20,29
2008-10-21,29
2008-10-22,29
2008-10-23,29
2008-10-24,29
2008-10-25,30
2008-10-26,30
2008-10-27,31
2008-10-28,32
2008-10-29,33
2008-10-30,34
2008-10-31,35
2008-11-01,36
2008-11-02,35
2008-11-03,34
2008-11-04,34
2008-11-05,33
2008-11-06,32
2008-11-07,32
2008-11-08,31
2008-11-09,30
2008-11-10,29
2008-11-11,28
2008-11-12,28
2008-11-13,27
2008-11-14,26
2008-11-15,26
2008-11-16,28
2008-11-17,30
2008-11-18,32
2008-11-19,35
2008-11-20,37
2008-11-21,39
2008-11-22,41
2008-11-23,41
2008-11-24,39
2008-11-25,39
2008-11-26,38
2008-11-27,38
2008-11-28,37
2008-11-29,37
2008-11-30,37
2008-12-01,37
2008-12-02,37
2008-12-03,37
2008-12-04,37
2008-12-05,37
2008-12-06,38
2008-12-07,38
2008-12-08,39
2008-12-09,39
2008-12-10,39
2008-12-11,39
2008-12-12,40
2008-12-13,40
2008-12-14,37
2008-12-15,33
2008-12-16,29
2008-12-17,26
2008-12-18,22
2008-12-19,19
2008-12-20,16
2008-12-21,17
2008-12-22,18
2008-12-23,19
2008-12-24,20
2008-12-25,21
2008-12-26,22
2008-12-27,23
2008-12-28,24
2009-01-04,35
2009-01-05,37
2009-01-06,38
2009-01-07,40
2009-01-08,41
2009-01-09,42
2009-01-10,44
2009-01-11,42
2009-01-12,40
2009-01-13,39
2009-01-14,37
2009-01-15,36
2009-01-16,34
2009-01-17,33
2009-01-18,33
2009-01-19,33
2009-01-20,33
2009-01-21,33
2009-01-22,33
2009-01-23,33
2009-01-24,34
2009-01-25,36
2009-01-26,39
2009-01-27,42
2009-01-28,45
2009-01-29,47
2009-01-30,50
2009-01-31,53
2009-02-01,51
2009-02-02,50
2009-02-03,48
2009-02-04,47
2009-02-05,46
2009-02-06,44
2009-02-07,43
2009-02-08,41
2009-02-09,40
2009-02-10,39
2009-02-11,37
2009-02-12,36
2009-02-13,35
2009-02-14,33
2009-02-15,31
2009-02-16,27
2009-02-17,25
2009-02-18,22
2009-02-19,20
2009-02-20,17
2009-02-21,15
2009-02-22,15
2009-02-23,15
2009-02-24,15
2009-02-25,15
2009-02-26,15
2009-02-27,15
2009-02-28,16
2009-03-01,18
2009-03-02,20
2009-03-03,23
2009-03-04,25
2009-03-05,28
2009-03-06,30
2009-03-07,33
2009-03-08,34
2009-03-09,36
2009-03-10,38
2009-03-11,40
2009-03-12,42
2009-03-13,43
2009-03-14,45
2009-03-15,42
2009-03-16,39
2009-03-17,36
2009-03-18,33
2009-03-19,30
2009-03-20,27
2009-03-21,24
2009-03-22,25
2009-03-23,27
2009-03-24,29
2009-03-25,30
2009-03-26,32
2009-03-27,34
2009-03-28,36
2009-03-29,34
2009-04-05,23
2009-04-06,23
2009-04-07,22
2009-04-08,22
2009-04-09,21
2009-04-10,21
2009-04-11,21
2009-04-12,23
2009-04-13,25
2009-04-14,27
2009-04-15,30
2009-04-16,32
2009-04-17,34
2009-04-18,37
2009-04-19,35
2009-04-20,33
2009-04-21,31
2009-04-22,29
2009-04-23,27
2009-04-24,25
2009-04-25,23
2009-04-26,24
2009-04-27,25
2009-04-28,26
2009-04-29,28
2009-04-30,29
2009-05-01,30
2009-05-02,32
2009-05-03,33
2009-05-04,34
2009-05-05,35
2009-05-06,36
2009-05-07,37
2009-05-08,39
2009-05-09,40
2009-05-10,38
2009-05-11,37
2009-05-12,36
2009-05-13,34
2009-05-14,33
2009-05-15,32
2009-05-16,31
2009-05-17,31
2009-05-18,32
2009-05-19,32
2009-05-20,33
2009-05-21,33
2009-05-22,34
2009-05-23,34
2009-05-24,33
2009-05-25,30
2009-05-26,28
2009-05-27,26
2009-05-28,24
2009-05-29,22
2009-05-30,20
2009-05-31,23
2009-06-01,26
2009-06-02,29
2009-06-03,32
2009-06-04,35
2009-06-05,38
2009-06-06,42
2009-06-07,42
2009-06-08,42
2009-06-09,43
2009-06-10,43
2009-06-11,44
2009-06-12,44
2009-06-13,45
2009-06-14,45
2009-06-15,46
2009-06-16,47
2009-06-17,48
2009-06-18,49
2009-06-19,50
2009-06-20,51
2009-06-21,58
2009-06-22,66
2009-06-23,73
2009-06-24,80
2009-06-25,88
2009-06-26,95
2009-06-27,103
2009-06-28,93
2009-07-05,31
2009-07-06,33
2009-07-07,35
2009-07-08,38
2009-07-09,40
2009-07-10,42
2009-07-11,45
2009-07-12,44
2009-07-13,44
2009-07-14,43
2009-07-15,43
2009-07-16,42
2009-07-17,41
2009-07-18,41
2009-07-19,38
2009-07-20,33
2009-07-21,30
2009-07-22,27
2009-07-23,24
2009-07-24,21
2009-07-25,18
2009-07-26,19
2009-07-27,21
2009-07-28,23
2009-07-29,25
2009-07-30,27
2009-07-31,29
2009-08-01,31
2009-08-02,31
2009-08-03,32
2009-08-04,33
2009-08-05,34
2009-08-06,35
2009-08-07,36
2009-08-08,37
2009-08-09,37
2009-08-10,38
2009-08-11,38
2009-08-12,38
2009-08-13,39
2009-08-14,39
2009-08-15,40
2009-08-16,38
2009-08-17,37
2009-08-18,36
2009-08-19,35
2009-08-20,33
2009-08-21,32
2009-08-22,31
2009-08-23,30
2009-08-24,29
2009-08-25,28
2009-08-26,27
2009-08-27,26
2009-08-28,25
2009-08-29,25
2009-08-30,24
2009-08-31,24
2009-09-01,24
2009-09-02,23
2009-09-03,23
2009-09-04,23
2009-09-05,23
2009-09-06,23
2009-09-07,23
2009-09-08,23
2009-09-09,23
2009-09-10,23
2009-09-11,23
