Date,Responsys
2010-06-12,0
2010-06-13,3
2010-06-14,7
2010-06-15,10
2010-06-16,14
2010-06-17,17
2010-06-18,21
2010-06-19,25
2010-06-20,25
2010-06-21,26
2010-06-22,27
2010-06-23,28
2010-06-24,29
2010-06-25,30
2010-06-26,31
2010-06-27,31
2010-06-28,32
2010-06-29,33
2010-06-30,34
2010-07-01,35
2010-07-02,36
2010-07-03,37
2010-07-04,37
2010-07-05,38
2010-07-06,38
2010-07-07,39
2010-07-08,40
2010-07-09,40
2010-07-10,41
2010-07-11,40
2010-07-12,38
2010-07-13,37
2010-07-14,36
2010-07-15,35
2010-07-16,34
2010-07-17,33
2010-07-18,33
2010-07-19,34
2010-07-20,34
2010-07-21,35
2010-07-22,35
2010-07-23,36
2010-07-24,37
2010-07-25,36
2010-07-26,36
2010-07-27,35
2010-07-28,34
2010-07-29,34
2010-07-30,33
2010-07-31,33
2010-08-01,32
2010-08-02,32
2010-08-03,32
2010-08-04,31
2010-08-05,31
2010-08-06,31
2010-08-07,31
2010-08-08,31
2010-08-09,32
2010-08-10,32
2010-08-11,33
2010-08-12,33
2010-08-13,34
2010-08-14,35
2010-08-15,35
2010-08-16,36
2010-08-17,37
2010-08-18,37
2010-08-19,38
2010-08-20,39
2010-08-21,40
2010-08-22,39
2010-08-23,40
2010-08-24,39
2010-08-25,39
2010-08-26,39
2010-08-27,39
2010-08-28,39
2010-08-29,40
2010-09-05,43
2010-09-06,43
2010-09-07,43
2010-09-08,42
2010-09-09,42
2010-09-10,42
2010-09-11,42
2010-09-12,41
2010-09-13,41
2010-09-14,40
2010-09-15,40
2010-09-16,39
2010-09-17,39
2010-09-18,39
2010-09-19,39
2010-09-20,40
2010-09-21,40
2010-09-22,41
2010-09-23,41
2010-09-24,42
2010-09-25,43
2010-09-26,42
2010-09-27,41
2010-09-28,40
2010-09-29,40
2010-09-30,39
2010-10-01,38
2010-10-02,38
2010-10-03,38
2010-10-04,39
2010-10-05,40
2010-10-06,41
2010-10-07,42
2010-10-08,43
2010-10-09,44
2010-10-10,44
2010-10-11,44
2010-10-12,44
2010-10-13,44
2010-10-14,44
2010-10-15,44
2010-10-16,44
2010-10-17,42
2010-10-18,40
2010-10-19,38
2010-10-20,37
2010-10-21,35
2010-10-22,33
2010-10-23,31
2010-10-24,30
2010-10-25,29
2010-10-26,29
2010-10-27,28
2010-10-28,28
2010-10-29,27
2010-10-30,27
2010-10-31,29
2010-11-01,32
2010-11-02,34
2010-11-03,37
2010-11-04,39
2010-11-05,42
2010-11-06,45
2010-11-07,45
2010-11-08,46
2010-11-09,47
2010-11-10,47
2010-11-11,48
2010-11-12,48
2010-11-13,49
2010-11-14,47
2010-11-15,44
2010-11-16,42
2010-11-17,40
2010-11-18,38
2010-11-19,36
2010-11-20,34
2010-11-21,32
2010-11-22,31
2010-11-23,29
2010-11-24,28
2010-11-25,26
2010-11-26,25
2010-11-27,24
2010-11-28,24
2010-12-05,31
2010-12-06,33
2010-12-07,34
2010-12-08,36
2010-12-09,37
2010-12-10,38
2010-12-11,40
2010-12-12,39
2010-12-13,37
2010-12-14,36
2010-12-15,35
2010-12-16,34
2010-12-17,33
2010-12-18,32
2010-12-19,34
2010-12-20,37
2010-12-21,40
2010-12-22,42
2010-12-23,45
2010-12-24,48
2010-12-25,51
2010-12-26,47
2010-12-27,43
2010-12-28,39
2010-12-29,36
2010-12-30,32
2010-12-31,28
2011-01-01,25
2011-01-02,25
2011-01-03,26
2011-01-04,27
2011-01-05,27
2011-01-06,28
2011-01-07,29
2011-01-08,30
2011-01-09,31
2011-01-10,33
2011-01-11,35
2011-01-12,36
2011-01-13,38
2011-01-14,40
2011-01-15,42
2011-01-16,41
2011-01-17,41
2011-01-18,41
2011-01-19,41
2011-01-20,41
2011-01-21,41
2011-01-22,41
2011-01-23,40
2011-01-24,38
2011-01-25,37
2011-01-26,36
2011-01-27,35
2011-01-28,34
2011-01-29,33
2011-01-30,36
2011-01-31,40
2011-02-01,43
2011-02-02,47
2011-02-03,50
2011-02-04,54
2011-02-05,57
2011-02-06,55
2011-02-07,52
2011-02-08,49
2011-02-09,47
2011-02-10,44
2011-02-11,42
2011-02-12,40
2011-02-13,40
2011-02-14,42
2011-02-15,42
2011-02-16,43
2011-02-17,44
2011-02-18,45
2011-02-19,46
2011-02-20,45
2011-02-21,43
2011-02-22,41
2011-02-23,40
2011-02-24,38
2011-02-25,37
2011-02-26,36
2011-02-27,37
2011-03-06,47
2011-03-07,45
2011-03-08,43
2011-03-09,41
2011-03-10,39
2011-03-11,38
2011-03-12,36
2011-03-13,38
2011-03-14,39
2011-03-15,41
2011-03-16,43
2011-03-17,45
2011-03-18,47
2011-03-19,49
2011-03-20,45
2011-03-21,42
2011-03-22,39
2011-03-23,36
2011-03-24,33
2011-03-25,30
2011-03-26,27
2011-03-27,29
2011-03-28,31
2011-03-29,33
2011-03-30,35
2011-03-31,37
2011-04-01,39
2011-04-02,42
2011-04-03,42
2011-04-04,42
2011-04-05,42
2011-04-06,42
2011-04-07,42
2011-04-08,42
2011-04-09,42
2011-04-10,42
2011-04-11,43
2011-04-12,43
2011-04-13,44
2011-04-14,44
2011-04-15,45
2011-04-16,46
2011-04-17,53
2011-04-18,61
2011-04-19,69
2011-04-20,76
2011-04-21,84
2011-04-22,92
2011-04-23,100
2011-04-24,98
2011-04-25,96
2011-04-26,95
2011-04-27,93
2011-04-28,91
2011-04-29,89
2011-04-30,87
2011-05-01,84
2011-05-02,80
2011-05-03,77
2011-05-04,73
2011-05-05,70
2011-05-06,66
2011-05-07,63
2011-05-08,61
2011-05-09,58
2011-05-10,56
2011-05-11,54
2011-05-12,52
2011-05-13,50
2011-05-14,49
2011-05-15,48
2011-05-16,48
2011-05-17,48
2011-05-18,48
2011-05-19,48
2011-05-20,47
2011-05-21,47
2011-05-22,47
2011-05-23,47
2011-05-24,47
2011-05-25,47
2011-05-26,47
2011-05-27,47
2011-05-28,47
2011-05-29,47
2011-06-05,52
2011-06-06,52
2011-06-07,52
2011-06-08,53
2011-06-09,53
2011-06-10,53
2011-06-11,54
2011-06-12,50
2011-06-13,46
2011-06-14,42
2011-06-15,38
2011-06-16,34
2011-06-17,30
2011-06-18,27
2011-06-19,27
2011-06-20,28
2011-06-21,29
2011-06-22,30
2011-06-23,31
2011-06-24,32
2011-06-25,33
2011-06-26,35
2011-06-27,37
2011-06-28,39
2011-06-29,41
2011-06-30,43
2011-07-01,45
2011-07-02,47
2011-07-03,46
2011-07-04,45
2011-07-05,44
2011-07-06,44
2011-07-07,43
2011-07-08,42
2011-07-09,42
2011-07-10,45
2011-07-11,49
2011-07-12,52
2011-07-13,56
2011-07-14,59
2011-07-15,63
2011-07-16,66
2011-07-17,65
2011-07-18,62
2011-07-19,60
2011-07-20,59
2011-07-21,57
2011-07-22,55
2011-07-23,54
2011-07-24,53
2011-07-25,53
2011-07-26,52
2011-07-27,52
2011-07-28,52
2011-07-29,51
2011-07-30,51
2011-07-31,50
2011-08-01,48
2011-08-02,47
2011-08-03,46
2011-08-04,45
2011-08-05,44
2011-08-06,43
2011-08-07,47
2011-08-08,52
2011-08-09,56
2011-08-10,60
2011-08-11,65
2011-08-12,69
2011-08-13,74
2011-08-14,70
2011-08-15,65
2011-08-16,62
2011-08-17,58
2011-08-18,55
2011-08-19,51
2011-08-20,48
2011-08-21,49
2011-08-22,50
2011-08-23,52
2011-08-24,53
2011-08-25,55
2011-08-26,56
2011-08-27,58
2011-08-28,57
2011-09-04,52
2011-09-05,52
2011-09-06,52
2011-09-07,51
2011-09-08,51
2011-09-09,51
2011-09-10,51
2011-09-11,52
2011-09-12,53
2011-09-13,55
2011-09-14,56
2011-09-15,57
2011-09-16,59
2011-09-17,60
2011-09-18,57
2011-09-19,55
2011-09-20,52
2011-09-21,50
2011-09-22,47
2011-09-23,45
2011-09-24,42
2011-09-25,40
2011-09-26,36
2011-09-27,34
2011-09-28,31
2011-09-29,29
2011-09-30,26
2011-10-01,24
2011-10-02,25
2011-10-03,26
2011-10-04,27
2011-10-05,28
2011-10-06,29
2011-10-07,31
2011-10-08,32
2011-10-09,31
2011-10-10,30
2011-10-11,29
2011-10-12,29
2011-10-13,28
2011-10-14,27
2011-10-15,27
2011-10-16,30
2011-10-17,33
2011-10-18,36
2011-10-19,39
2011-10-20,42
2011-10-21,45
2011-10-22,48
2011-10-23,48
2011-10-24,47
2011-10-25,47
2011-10-26,47
2011-10-27,47
2011-10-28,47
2011-10-29,47
2011-10-30,45
2011-10-31,44
2011-11-01,42
2011-11-02,41
2011-11-03,39
2011-11-04,38
2011-11-05,37
2011-11-06,39
2011-11-07,42
2011-11-08,45
2011-11-09,48
2011-11-10,51
2011-11-11,54
2011-11-12,56
2011-11-13,53
2011-11-14,48
2011-11-15,45
2011-11-16,41
2011-11-17,38
2011-11-18,34
2011-11-19,31
2011-11-20,31
2011-11-21,32
2011-11-22,32
2011-11-23,33
2011-11-24,33
2011-11-25,34
2011-11-26,35
2011-11-27,37
2011-12-04,44
2011-12-05,41
2011-12-06,38
2011-12-07,35
2011-12-08,32
2011-12-09,29
2011-12-10,26
2011-12-11,27
2011-12-12,29
2011-12-13,31
2011-12-14,33
2011-12-15,34
2011-12-16,36
2011-12-17,38
2011-12-18,37
2011-12-19,37
2011-12-20,36
2011-12-21,36
2011-12-22,35
2011-12-23,35
