Date,Viewsonic
2007-01-01,95
2007-01-02,92
2007-01-03,90
2007-01-04,90
2007-01-05,85
2007-01-06,83
2007-01-07,82
2007-01-08,83
2007-01-09,81
2007-01-10,80
2007-01-11,82
2007-01-12,79
2007-01-13,79
2007-01-14,79
2007-01-15,79
2007-01-16,81
2007-01-17,79
2007-01-18,79
2007-01-19,79
2007-01-20,80
2007-01-21,79
2007-01-22,82
2007-01-23,79
2007-01-24,82
2007-01-25,80
2007-01-26,80
2007-01-27,81
2007-01-28,84
2007-01-29,80
2007-01-30,82
2007-01-31,80
2007-02-01,83
2007-02-02,80
2007-02-03,80
2007-02-04,79
2007-02-05,80
2007-02-06,78
2007-02-07,81
2007-02-08,77
2007-02-09,77
2007-02-10,76
2007-02-11,77
2007-02-12,76
2007-02-13,78
2007-02-14,76
2007-02-15,76
2007-02-16,77
2007-02-17,77
2007-02-18,74
2007-02-19,73
2007-02-20,73
2007-02-21,73
2007-02-22,70
2007-02-23,71
2007-02-24,68
2007-02-25,68
2007-02-26,69
2007-02-27,72
2007-02-28,71
2007-03-01,74
2007-03-02,73
2007-03-03,74
2007-03-04,73
2007-03-05,76
2007-03-06,72
2007-03-07,74
2007-03-08,71
2007-03-09,71
2007-03-10,73
2007-03-11,71
2007-03-12,70
2007-03-13,73
2007-03-14,69
2007-03-15,69
2007-03-16,72
2007-03-17,69
2007-03-18,69
2007-03-19,69
2007-03-20,67
2007-03-21,68
2007-03-22,66
2007-03-23,67
2007-03-24,65
2007-03-25,67
2007-03-26,65
2007-03-27,66
2007-03-28,66
2007-03-29,68
2007-03-30,68
2007-03-31,68
2007-04-01,68
2007-04-02,70
2007-04-03,68
2007-04-04,68
2007-04-05,68
2007-04-06,68
2007-04-07,68
2007-04-08,70
2007-04-09,66
2007-04-10,65
2007-04-11,67
2007-04-12,64
2007-04-13,64
2007-04-14,63
2007-04-15,62
2007-04-16,63
2007-04-17,62
2007-04-18,63
2007-04-19,61
2007-04-20,61
2007-04-21,62
2007-04-22,61
2007-04-23,61
2007-04-24,62
2007-04-25,61
2007-04-26,62
2007-04-27,62
2007-04-28,62
2007-04-29,61
2007-04-30,60
2007-05-01,60
2007-05-02,58
2007-05-03,57
2007-05-04,59
2007-05-05,56
2007-05-06,56
2007-05-07,57
