Date,International Decision Systems
2008-07-20,78
2008-07-21,78
2008-07-22,78
2008-07-23,78
2008-07-24,78
2008-07-25,78
2008-07-26,79
2008-07-27,79
2008-07-28,79
2008-07-29,79
2008-07-30,79
2008-07-31,79
2008-08-01,80
2008-08-02,79
2008-08-03,78
2008-08-04,77
2008-08-05,76
2008-08-06,75
2008-08-07,75
2008-08-08,74
2008-08-09,73
2008-08-10,72
2008-08-11,71
2008-08-12,71
2008-08-13,70
2008-08-14,69
2008-08-15,68
2008-08-16,67
2008-08-17,67
2008-08-18,66
2008-08-19,65
2008-08-20,64
2008-08-21,63
2008-08-22,63
2008-08-23,62
2008-08-24,61
2008-08-25,60
2008-08-26,59
2008-08-27,59
2008-08-28,58
2008-08-29,57
2008-08-30,56
2008-08-31,55
2008-09-01,55
2008-09-02,55
2008-09-03,55
2008-09-04,55
2008-09-05,55
2008-09-06,55
2008-09-07,55
2008-09-08,55
2008-09-09,55
2008-09-10,55
2008-09-11,55
2008-09-12,55
2008-09-13,55
2008-09-14,55
2008-09-15,55
2008-09-16,55
2008-09-17,55
2008-09-18,55
2008-09-19,55
2008-09-20,55
2008-09-21,55
2008-09-22,55
2008-09-23,55
2008-09-24,55
2008-09-25,55
2008-09-26,55
2008-09-27,55
2008-09-28,55
2008-09-29,55
2008-09-30,55
2008-10-01,55
2008-10-02,55
2008-10-03,55
2008-10-04,55
2008-10-05,55
2008-10-06,55
2008-10-07,55
2008-10-08,55
2008-10-09,55
2008-10-10,55
2008-10-11,55
2008-10-12,55
2008-10-13,55
2008-10-14,55
2008-10-15,55
2008-10-16,55
2008-10-17,55
2008-10-18,55
2008-10-19,55
2008-10-20,55
2008-10-21,55
2008-10-22,55
2008-10-23,55
2008-10-24,55
2008-10-25,55
2008-10-26,55
2008-10-27,55
2008-10-28,55
2008-10-29,55
2008-10-30,55
2008-10-31,55
2008-11-01,55
2008-11-02,55
2008-11-03,55
2008-11-04,56
2008-11-05,56
2008-11-06,56
2008-11-07,57
2008-11-08,57
2008-11-09,57
2008-11-10,58
2008-11-11,58
2008-11-12,58
2008-11-13,59
2008-11-14,59
2008-11-15,59
2008-11-16,60
2008-11-17,60
2008-11-18,60
2008-11-19,61
2008-11-20,61
2008-11-21,61
2008-11-22,62
2008-11-23,62
2008-11-24,62
2008-11-25,63
2008-11-26,63
2008-11-27,63
2008-11-28,64
2008-11-29,64
2008-11-30,64
2008-12-01,65
2008-12-02,64
2008-12-03,64
2008-12-04,64
2008-12-05,64
2008-12-06,64
2008-12-07,64
2008-12-08,64
2008-12-09,64
2008-12-10,64
2008-12-11,64
2008-12-12,64
2008-12-13,64
2008-12-14,64
2008-12-15,64
2008-12-16,64
2008-12-17,63
2008-12-18,63
2008-12-19,63
2008-12-20,63
2008-12-21,63
2008-12-22,63
2008-12-23,63
2008-12-24,63
2008-12-25,63
2008-12-26,63
2008-12-27,63
2008-12-28,63
2008-12-29,63
2008-12-30,63
2008-12-31,63
2009-01-01,63
2009-01-02,63
2009-01-03,63
2009-01-04,63
2009-01-05,63
2009-01-06,63
2009-01-07,63
2009-01-08,63
2009-01-09,63
2009-01-10,63
2009-01-11,63
2009-01-12,63
2009-01-13,63
2009-01-14,63
2009-01-15,63
2009-01-16,63
2009-01-17,63
2009-01-18,63
2009-01-19,63
2009-01-20,63
2009-01-21,63
2009-01-22,63
2009-01-23,63
2009-01-24,63
2009-01-25,63
2009-01-26,63
2009-01-27,63
2009-01-28,63
2009-01-29,63
2009-01-30,63
2009-01-31,63
2009-02-01,63
2009-02-02,62
2009-02-03,61
2009-02-04,60
2009-02-05,60
2009-02-06,59
2009-02-07,58
2009-02-08,57
