Date,Tableau Software
2013-09-20,52
2013-09-21,55
2013-09-22,49
2013-09-23,48
2013-09-24,48
2013-09-25,46
2013-09-26,45
2013-09-27,46
2013-09-28,43
2013-09-29,42
2013-09-30,42
2013-10-01,42
2013-10-02,41
2013-10-03,43
2013-10-04,41
2013-10-05,42
2013-10-06,42
2013-10-07,43
2013-10-08,45
2013-10-09,46
2013-10-10,48
2013-10-11,52
2013-10-12,51
2013-10-13,50
2013-10-14,49
2013-10-15,51
2013-10-16,47
2013-10-17,51
2013-10-18,45
2013-10-19,44
2013-10-20,44
2013-10-21,44
2013-10-22,45
2013-10-23,44
2013-10-24,47
2013-10-25,44
2013-10-26,44
2013-10-27,44
2013-10-28,45
2013-10-29,45
2013-10-30,48
2013-10-31,49
2013-11-01,47
2013-11-02,51
2013-11-03,48
2013-11-04,48
2013-11-05,48
2013-11-06,49
2013-11-07,49
2013-11-08,51
2013-11-09,50
2013-11-10,49
2013-11-11,49
2013-11-12,50
2013-11-13,48
2013-11-14,50
2013-11-15,48
2013-11-16,48
2013-11-17,47
2013-11-18,47
2013-11-19,47
2013-11-20,47
2013-11-21,47
2013-11-22,48
2013-11-23,47
2013-11-24,46
2013-11-25,45
2013-11-26,46
2013-11-27,43
2013-11-28,43
2013-11-29,41
2013-11-30,41
2013-12-01,42
2013-12-02,43
2013-12-03,44
2013-12-04,47
2013-12-05,46
2013-12-06,49
2013-12-07,49
2013-12-08,48
2013-12-09,47
2013-12-10,46
2013-12-11,46
2013-12-12,44
2013-12-13,48
2013-12-14,43
2013-12-15,43
2013-12-16,43
2013-12-17,44
2013-12-18,43
2013-12-19,45
2013-12-20,45
2013-12-21,44
2013-12-22,41
2013-12-23,38
2013-12-24,35
2013-12-25,33
2013-12-26,29
2013-12-27,26
2013-12-28,23
2013-12-29,22
2013-12-30,22
2013-12-31,22
2014-01-01,22
2014-01-02,24
2014-01-03,22
2014-01-04,22
2014-01-05,26
2014-01-06,30
2014-01-07,34
2014-01-08,38
2014-01-09,42
2014-01-10,49
2014-01-11,53
2014-01-12,49
2014-01-13,49
2014-01-14,48
2014-01-15,49
2014-01-16,50
2014-01-17,47
2014-01-18,48
2014-01-19,46
2014-01-20,46
2014-01-21,47
2014-01-22,45
2014-01-23,45
2014-01-24,51
2014-01-25,46
2014-01-26,46
2014-01-27,47
2014-01-28,48
2014-01-29,50
2014-01-30,50
2014-01-31,51
2014-02-01,58
2014-02-02,52
2014-02-03,52
2014-02-04,52
2014-02-05,52
2014-02-06,54
2014-02-07,54
2014-02-08,57
2014-02-09,50
2014-02-10,49
2014-02-11,48
2014-02-12,47
2014-02-13,45
2014-02-14,45
2014-02-15,43
2014-02-16,45
2014-02-17,47
2014-02-18,51
2014-02-19,52
2014-02-20,57
2014-02-21,56
2014-02-22,62
2014-02-23,58
2014-02-24,58
2014-02-25,58
2014-02-26,64
2014-02-27,57
2014-02-28,58
