Date,O'Gara
2008-02-09,63
2008-02-10,64
2008-02-11,66
2008-02-12,68
2008-02-13,69
2008-02-14,71
2008-02-15,72
2008-02-16,74
2008-02-17,71
2008-02-18,69
2008-02-19,66
2008-02-20,64
2008-02-21,61
2008-02-22,58
2008-02-23,56
2008-02-24,54
2008-02-25,53
2008-02-26,51
2008-02-27,50
2008-02-28,48
2008-02-29,47
2008-03-01,46
2008-03-02,52
2008-03-03,59
2008-03-04,66
2008-03-05,72
2008-03-06,79
2008-03-07,86
2008-03-08,93
2008-03-09,94
2008-03-10,94
2008-03-11,95
2008-03-12,96
2008-03-13,97
2008-03-14,98
2008-03-15,100
2008-03-16,96
2008-03-17,93
2008-03-18,90
2008-03-19,87
2008-03-20,83
2008-03-21,80
2008-03-22,76
2008-03-23,75
2008-03-24,72
2008-03-25,71
2008-03-26,69
2008-03-27,67
2008-03-28,65
2008-03-29,64
2008-03-30,63
2008-03-31,62
2008-04-01,61
2008-04-02,60
2008-04-03,59
2008-04-04,58
2008-04-05,58
2008-04-06,58
2008-04-07,58
2008-04-08,58
2008-04-09,58
2008-04-10,58
2008-04-11,58
2008-04-12,58
2008-04-13,56
2008-04-14,54
2008-04-15,52
2008-04-16,50
2008-04-17,48
2008-04-18,46
2008-04-19,45
2008-04-20,45
2008-04-21,46
2008-04-22,47
2008-04-23,48
2008-04-24,49
2008-04-25,50
2008-04-26,51
2008-04-27,52
2008-05-04,57
2008-05-05,58
2008-05-06,59
2008-05-07,60
2008-05-08,61
2008-05-09,62
2008-05-10,63
2008-05-11,64
2008-05-12,66
2008-05-13,67
2008-05-14,69
2008-05-15,70
2008-05-16,72
2008-05-17,74
2008-05-18,71
2008-05-19,69
2008-05-20,67
2008-05-21,64
2008-05-22,62
2008-05-23,59
2008-05-24,57
2008-05-25,55
2008-05-26,52
2008-05-27,50
2008-05-28,47
2008-05-29,45
2008-05-30,43
2008-05-31,41
2008-06-01,46
2008-06-02,51
2008-06-03,56
2008-06-04,61
2008-06-05,66
2008-06-06,71
2008-06-07,76
2008-06-08,72
2008-06-09,68
2008-06-10,64
2008-06-11,61
2008-06-12,57
2008-06-13,53
2008-06-14,50
2008-06-15,53
2008-06-16,56
2008-06-17,59
2008-06-18,62
2008-06-19,65
2008-06-20,68
2008-06-21,71
2008-06-22,67
2008-06-23,63
2008-06-24,60
2008-06-25,56
2008-06-26,53
2008-06-27,49
2008-06-28,46
2008-06-29,46
2008-06-30,47
2008-07-01,48
2008-07-02,49
2008-07-03,50
2008-07-04,51
2008-07-05,52
2008-07-06,56
2008-07-07,60
2008-07-08,64
2008-07-09,68
2008-07-10,72
2008-07-11,76
2008-07-12,80
2008-07-13,79
2008-07-14,79
2008-07-15,78
2008-07-16,78
2008-07-17,77
2008-07-18,77
2008-07-19,77
2008-07-20,75
2008-07-21,74
2008-07-22,73
2008-07-23,72
2008-07-24,71
2008-07-25,69
2008-07-26,68
2008-07-27,66
2008-08-03,56
2008-08-04,59
2008-08-05,61
2008-08-06,64
2008-08-07,67
2008-08-08,69
2008-08-09,72
2008-08-10,73
2008-08-11,73
2008-08-12,74
2008-08-13,75
2008-08-14,76
2008-08-15,77
2008-08-16,78
2008-08-17,80
2008-08-18,83
2008-08-19,85
2008-08-20,88
2008-08-21,90
2008-08-22,93
2008-08-23,95
2008-08-24,91
2008-08-25,87
2008-08-26,82
2008-08-27,77
2008-08-28,73
2008-08-29,68
2008-08-30,64
2008-08-31,63
2008-09-01,61
2008-09-02,60
2008-09-03,59
2008-09-04,58
2008-09-05,57
2008-09-06,56
2008-09-07,56
2008-09-08,56
2008-09-09,56
2008-09-10,56
2008-09-11,56
2008-09-12,56
2008-09-13,56
2008-09-14,54
2008-09-15,52
2008-09-16,51
2008-09-17,49
2008-09-18,48
2008-09-19,46
2008-09-20,45
2008-09-21,47
2008-09-22,49
2008-09-23,51
2008-09-24,53
2008-09-25,55
2008-09-26,57
2008-09-27,60
2008-09-28,61
2008-09-29,63
2008-09-30,65
2008-10-01,67
2008-10-02,68
2008-10-03,70
2008-10-04,71
2008-10-05,71
2008-10-06,69
2008-10-07,68
2008-10-08,68
2008-10-09,67
2008-10-10,66
2008-10-11,66
2008-10-12,64
2008-10-13,64
