Date,O'Gara
2008-10-14,63
2008-10-15,61
2008-10-16,60
2008-10-17,59
2008-10-18,58
2008-10-19,59
2008-10-20,58
2008-10-21,59
2008-10-22,59
2008-10-23,60
2008-10-24,60
2008-10-25,61
2008-10-26,61
2008-11-02,61
2008-11-03,61
2008-11-04,61
2008-11-05,61
2008-11-06,61
2008-11-07,61
2008-11-08,62
2008-11-09,63
2008-11-10,64
2008-11-11,66
2008-11-12,67
2008-11-13,68
2008-11-14,69
2008-11-15,70
2008-11-16,67
2008-11-17,63
2008-11-18,60
2008-11-19,57
2008-11-20,54
2008-11-21,51
2008-11-22,49
2008-11-23,51
2008-11-24,53
2008-11-25,55
2008-11-26,57
2008-11-27,59
2008-11-28,61
2008-11-29,63
2008-11-30,61
2008-12-01,59
2008-12-02,57
2008-12-03,55
2008-12-04,53
2008-12-05,51
2008-12-06,49
2008-12-07,49
2008-12-08,49
2008-12-09,49
2008-12-10,49
2008-12-11,49
2008-12-12,49
2008-12-13,49
2008-12-14,47
2008-12-15,45
2008-12-16,43
2008-12-17,41
2008-12-18,39
2008-12-19,37
2008-12-20,35
2008-12-21,36
2008-12-22,38
2008-12-23,40
2008-12-24,41
2008-12-25,43
2008-12-26,45
2008-12-27,47
2008-12-28,48
2008-12-29,50
2008-12-30,52
2008-12-31,54
2009-01-01,55
2009-01-02,57
2009-01-03,59
2009-01-04,59
2009-01-05,59
2009-01-06,58
2009-01-07,58
2009-01-08,58
2009-01-09,58
2009-01-10,58
2009-01-11,54
2009-01-12,51
2009-01-13,47
2009-01-14,43
2009-01-15,40
2009-01-16,36
2009-01-17,33
2009-01-18,33
2009-01-19,33
2009-01-20,33
2009-01-21,33
2009-01-22,33
2009-01-23,33
2009-01-24,33
2009-01-25,36
2009-02-01,54
2009-02-02,53
2009-02-03,53
2009-02-04,52
2009-02-05,52
2009-02-06,51
2009-02-07,51
2009-02-08,52
2009-02-09,55
2009-02-10,57
2009-02-11,58
2009-02-12,60
2009-02-13,62
2009-02-14,64
2009-02-15,62
2009-02-16,60
2009-02-17,58
2009-02-18,56
2009-02-19,54
2009-02-20,52
2009-02-21,51
2009-02-22,51
2009-02-23,52
2009-02-24,53
2009-02-25,54
2009-02-26,54
2009-02-27,55
2009-02-28,56
2009-03-01,53
2009-03-02,50
2009-03-03,48
2009-03-04,46
2009-03-05,44
2009-03-06,42
2009-03-07,40
2009-03-08,41
2009-03-09,42
2009-03-10,44
2009-03-11,45
2009-03-12,47
2009-03-13,48
2009-03-14,50
2009-03-15,55
2009-03-16,60
2009-03-17,65
2009-03-18,70
2009-03-19,75
2009-03-20,80
2009-03-21,85
2009-03-22,86
2009-03-23,88
2009-03-24,89
2009-03-25,91
2009-03-26,92
2009-03-27,93
2009-03-28,95
2009-03-29,89
2009-05-03,53
2009-05-04,53
2009-05-05,53
2009-05-06,53
2009-05-07,53
2009-05-08,53
2009-05-09,53
2009-05-10,57
2009-05-11,62
2009-05-12,66
2009-05-13,71
2009-05-14,75
2009-05-15,79
2009-05-16,84
2009-05-17,80
2009-05-18,74
2009-05-19,70
2009-05-20,66
2009-05-21,62
2009-05-22,58
2009-05-23,54
2009-05-24,54
2009-05-25,54
2009-05-26,54
2009-05-27,54
2009-05-28,54
2009-05-29,54
2009-05-30,54
2009-05-31,54
2009-06-01,54
2009-06-02,54
2009-06-03,54
2009-06-04,54
2009-06-05,54
2009-06-06,54
2009-06-07,54
2009-06-08,55
2009-06-09,56
2009-06-10,57
2009-06-11,58
2009-06-12,59
2009-06-13,60
2009-06-14,61
2009-06-15,63
2009-06-16,64
2009-06-17,66
2009-06-18,68
2009-06-19,69
2009-06-20,71
2009-06-21,69
2009-06-22,66
2009-06-23,64
2009-06-24,62
2009-06-25,60
2009-06-26,58
2009-06-27,56
2009-06-28,58
2009-06-29,60
2009-06-30,63
2009-07-01,65
2009-07-02,68
2009-07-03,70
2009-07-04,73
2009-07-05,69
2009-07-06,66
2009-07-07,63
2009-07-08,60
2009-07-09,56
2009-07-10,53
2009-07-11,49
2009-07-12,47
2009-07-13,43
2009-07-14,41
2009-07-15,38
2009-07-16,36
2009-07-17,33
2009-07-18,31
2009-07-19,33
2009-07-20,35
2009-07-21,37
2009-07-22,39
2009-07-23,41
2009-07-24,44
2009-07-25,46
2009-07-26,46
2009-08-02,46
2009-08-03,44
2009-08-04,42
2009-08-05,40
2009-08-06,38
2009-08-07,36
2009-08-08,34
2009-08-09,40
2009-08-10,46
2009-08-11,52
2009-08-12,58
2009-08-13,64
2009-08-14,71
2009-08-15,77
2009-08-16,74
2009-08-17,70
2009-08-18,67
2009-08-19,64
2009-08-20,61
2009-08-21,58
2009-08-22,55
2009-08-23,52
2009-08-24,49
2009-08-25,46
2009-08-26,43
2009-08-27,40
2009-08-28,37
2009-08-29,35
2009-08-30,38
2009-08-31,42
2009-09-01,45
2009-09-02,48
2009-09-03,52
2009-09-04,55
2009-09-05,58
2009-09-06,58
2009-09-07,58
2009-09-08,58
2009-09-09,58
2009-09-10,58
2009-09-11,58
2009-09-12,58
2009-09-13,58
2009-09-14,58
2009-09-15,58
2009-09-16,58
2009-09-17,59
2009-09-18,59
2009-09-19,59
2009-09-20,59
2009-09-21,59
2009-09-22,59
2009-09-23,59
2009-09-24,59
2009-09-25,59
2009-09-26,59
2009-09-27,59
2009-09-28,60
2009-09-29,61
2009-09-30,62
2009-10-01,62
2009-10-02,63
2009-10-03,64
2009-10-04,60
2009-10-05,55
2009-10-06,51
2009-10-07,47
2009-10-08,43
2009-10-09,39
2009-10-10,36
2009-10-11,34
2009-10-12,33
2009-10-13,32
2009-10-14,30
2009-10-15,29
2009-10-16,28
2009-10-17,27
2009-10-18,29
2009-10-19,31
2009-10-20,33
2009-10-21,35
2009-10-22,37
2009-10-23,40
2009-10-24,42
2009-10-25,41
2009-11-01,37
2009-11-02,37
2009-11-03,37
2009-11-04,37
2009-11-05,37
2009-11-06,37
2009-11-07,37
2009-11-08,37
2009-11-09,38
2009-11-10,38
2009-11-11,39
2009-11-12,39
2009-11-13,40
2009-11-14,41
2009-11-15,41
2009-11-16,42
2009-11-17,43
2009-11-18,43
2009-11-19,44
2009-11-20,45
2009-11-21,46
2009-11-22,47
2009-11-23,49
2009-11-24,51
2009-11-25,52
2009-11-26,54
2009-11-27,55
2009-11-28,57
2009-11-29,53
2009-11-30,48
2009-12-01,43
2009-12-02,39
2009-12-03,34
2009-12-04,30
2009-12-05,26
2009-12-06,26
2009-12-07,27
2009-12-08,27
2009-12-09,28
2009-12-10,28
2009-12-11,29
2009-12-12,30
2009-12-13,30
2009-12-14,31
2009-12-15,31
2009-12-16,32
2009-12-17,32
2009-12-18,33
2009-12-19,34
2009-12-20,33
2009-12-21,33
2009-12-22,32
2009-12-23,32
2009-12-24,31
2009-12-25,31
2009-12-26,31
2009-12-27,30
2009-12-28,30
2009-12-29,30
2009-12-30,30
2009-12-31,30
2010-01-01,30
2010-01-02,30
2010-01-03,29
2010-01-04,28
2010-01-05,27
2010-01-06,27
2010-01-07,26
2010-01-08,25
2010-01-09,25
2010-01-10,26
2010-01-11,28
2010-01-12,30
2010-01-13,31
2010-01-14,33
2010-01-15,35
2010-01-16,37
2010-01-17,35
2010-01-18,34
2010-01-19,32
2010-01-20,31
2010-01-21,29
2010-01-22,28
2010-01-23,27
2010-01-24,28
2010-01-25,30
2010-01-26,32
2010-01-27,34
2010-01-28,36
2010-01-29,38
2010-01-30,40
2010-01-31,41
