Date,ComScore
2006-10-01,46
2006-10-02,45
2006-10-03,45
2006-10-04,44
2006-10-05,44
2006-10-06,43
2006-10-07,43
2006-10-08,48
2006-10-09,53
2006-10-10,58
2006-10-11,63
2006-10-12,68
2006-10-13,73
2006-10-14,78
2006-10-15,78
2006-10-16,79
2006-10-17,80
2006-10-18,81
2006-10-19,81
2006-10-20,82
2006-10-21,83
2006-10-22,83
2006-10-23,83
2006-10-24,83
2006-10-25,83
2006-10-26,83
2006-10-27,83
2006-10-28,84
2006-10-29,82
2006-10-30,80
2006-10-31,78
2006-11-01,76
2006-11-02,74
2006-11-03,72
2006-11-04,70
2006-11-05,69
2006-11-06,68
2006-11-07,67
2006-11-08,67
2006-11-09,66
2006-11-10,65
2006-11-11,65
2006-11-12,65
2006-11-13,66
2006-11-14,66
2006-11-15,67
2006-11-16,67
2006-11-17,68
2006-11-18,69
2006-11-19,67
2006-11-20,65
2006-11-21,63
2006-11-22,61
2006-11-23,59
2006-11-24,57
2006-11-25,55
2006-11-26,55
2006-11-27,56
2006-11-28,57
2006-11-29,57
2006-11-30,58
2006-12-01,59
2006-12-02,60
2006-12-03,59
2006-12-04,59
2006-12-05,59
2006-12-06,58
2006-12-07,58
2006-12-08,58
2006-12-09,58
2006-12-10,60
2006-12-11,63
2006-12-12,66
2006-12-13,69
2006-12-14,71
2006-12-15,74
2006-12-16,77
2006-12-17,75
2006-12-18,73
2006-12-19,72
2006-12-20,70
2006-12-21,69
2006-12-22,67
2006-12-23,66
2006-12-24,66
2006-12-25,66
2006-12-26,67
2006-12-27,67
2006-12-28,67
2006-12-29,67
2006-12-30,67
2006-12-31,64
2007-01-07,45
2007-01-08,44
2007-01-09,43
2007-01-10,42
2007-01-11,41
2007-01-12,40
2007-01-13,39
2007-01-14,41
2007-01-15,44
2007-01-16,47
2007-01-17,50
2007-01-18,52
2007-01-19,55
2007-01-20,58
2007-01-21,57
2007-01-22,56
2007-01-23,55
2007-01-24,54
2007-01-25,53
2007-01-26,52
2007-01-27,52
2007-01-28,54
2007-01-29,56
2007-01-30,58
2007-01-31,60
2007-02-01,62
2007-02-02,65
2007-02-03,67
2007-02-04,66
2007-02-05,65
2007-02-06,64
2007-02-07,63
2007-02-08,62
2007-02-09,61
2007-02-10,60
2007-02-11,58
2007-02-12,56
2007-02-13,54
2007-02-14,53
2007-02-15,51
2007-02-16,49
2007-02-17,48
2007-02-18,52
2007-02-19,58
2007-02-20,63
2007-02-21,68
2007-02-22,73
2007-02-23,78
2007-02-24,83
2007-02-25,79
2007-02-26,72
2007-02-27,67
2007-02-28,62
2007-03-01,57
2007-03-02,52
2007-03-03,48
2007-03-04,49
2007-03-05,51
2007-03-06,52
2007-03-07,53
2007-03-08,55
2007-03-09,56
2007-03-10,58
2007-03-11,59
2007-03-12,61
2007-03-13,62
2007-03-14,64
2007-03-15,66
2007-03-16,67
2007-03-17,69
2007-03-18,66
2007-03-19,63
2007-03-20,60
2007-03-21,58
2007-03-22,55
2007-03-23,52
2007-03-24,50
2007-03-25,50
2007-04-01,51
2007-04-02,51
2007-04-03,51
2007-04-04,51
2007-04-05,51
2007-04-06,51
2007-04-07,51
2007-04-08,52
2007-04-09,54
2007-04-10,58
2007-04-11,58
2007-04-12,61
2007-04-13,62
2007-04-14,64
2007-04-15,64
2007-04-16,64
2007-04-17,65
2007-04-18,65
2007-04-19,66
2007-04-20,68
2007-04-21,67
2007-04-22,68
2007-04-23,70
2007-04-24,71
2007-04-25,73
2007-04-26,74
2007-04-27,84
2007-04-28,80
2007-04-29,75
2007-04-30,72
2007-05-01,70
2007-05-02,67
2007-05-03,67
2007-05-04,62
2007-05-05,60
2007-05-06,59
2007-05-07,59
2007-05-08,59
2007-05-09,58
2007-05-10,58
2007-05-11,61
2007-05-12,58
2007-05-13,57
2007-05-14,56
2007-05-15,56
2007-05-16,56
2007-05-17,55
2007-05-18,54
2007-05-19,54
2007-05-20,55
2007-05-21,57
2007-05-22,59
2007-05-23,63
2007-05-24,62
2007-05-25,64
2007-05-26,66
2007-05-27,63
2007-05-28,61
2007-05-29,59
2007-05-30,61
2007-05-31,55
2007-06-01,53
2007-06-02,51
2007-06-03,54
2007-06-04,57
2007-06-05,60
2007-06-06,64
2007-06-07,66
2007-06-08,69
2007-06-09,73
2007-06-10,70
2007-06-11,68
2007-06-12,66
2007-06-13,63
2007-06-14,65
2007-06-15,59
2007-06-16,57
2007-06-17,59
2007-06-18,61
2007-06-19,63
2007-06-20,66
2007-06-21,67
2007-06-22,72
2007-06-23,72
2007-06-24,74
2007-06-25,77
2007-06-26,79
2007-06-27,82
2007-06-28,88
2007-06-29,87
2007-06-30,90
2007-07-01,84
2007-07-02,81
2007-07-03,72
2007-07-04,67
2007-07-05,61
2007-07-06,55
2007-07-07,50
2007-07-08,54
2007-07-09,59
2007-07-10,64
2007-07-11,73
2007-07-12,74
2007-07-13,83
2007-07-14,84
2007-07-15,82
2007-07-16,80
2007-07-17,79
2007-07-18,80
2007-07-19,76
2007-07-20,74
2007-07-21,73
2007-07-22,71
2007-07-23,70
2007-07-24,71
2007-07-25,67
2007-07-26,65
2007-07-27,70
2007-07-28,63
2007-07-29,62
2007-07-30,62
2007-07-31,62
2007-08-01,61
2007-08-02,61
2007-08-03,61
2007-08-04,61
2007-08-05,60
2007-08-06,60
2007-08-07,60
2007-08-08,59
2007-08-09,58
2007-08-10,58
2007-08-11,61
2007-08-12,63
2007-08-13,68
2007-08-14,73
2007-08-15,83
2007-08-16,94
2007-08-17,88
2007-08-18,94
2007-08-19,90
2007-08-20,87
2007-08-21,89
2007-08-22,81
2007-08-23,78
2007-08-24,80
2007-08-25,74
2007-08-26,70
2007-08-27,69
2007-08-28,68
2007-08-29,66
2007-08-30,69
2007-08-31,64
2007-09-01,69
2007-09-02,63
2007-09-03,63
2007-09-04,63
2007-09-05,63
2007-09-06,68
2007-09-07,63
2007-09-08,64
2007-09-09,65
2007-09-10,66
2007-09-11,67
2007-09-12,68
2007-09-13,69
2007-09-14,70
2007-09-15,72
2007-09-16,72
2007-09-17,72
2007-09-18,76
2007-09-19,75
2007-09-20,73
2007-09-21,73
2007-09-22,76
2007-09-23,71
2007-09-24,68
2007-09-25,67
2007-09-26,63
2007-09-27,60
2007-09-28,60
2007-09-29,55
2007-09-30,57
2007-10-01,59
2007-10-02,63
2007-10-03,64
2007-10-04,73
2007-10-05,70
2007-10-06,73
2007-10-07,72
2007-10-08,73
2007-10-09,73
2007-10-10,74
2007-10-11,78
2007-10-12,77
2007-10-13,76
2007-10-14,74
2007-10-15,72
2007-10-16,78
2007-10-17,69
2007-10-18,67
2007-10-19,65
2007-10-20,64
2007-10-21,63
2007-10-22,63
2007-10-23,62
2007-10-24,65
2007-10-25,61
2007-10-26,66
2007-10-27,61
2007-10-28,62
2007-10-29,63
2007-10-30,64
2007-10-31,67
2007-11-01,66
2007-11-02,69
2007-11-03,69
2007-11-04,71
2007-11-05,73
2007-11-06,81
2007-11-07,77
2007-11-08,79
2007-11-09,90
2007-11-10,84
2007-11-11,82
2007-11-12,79
2007-11-13,77
2007-11-14,74
2007-11-15,76
2007-11-16,70
2007-11-17,69
2007-11-18,66
2007-11-19,64
2007-11-20,62
2007-11-21,60
2007-11-22,58
2007-11-23,56
2007-11-24,54
2007-11-25,60
2007-11-26,67
2007-11-27,84
2007-11-28,80
2007-11-29,89
2007-11-30,94
2007-12-01,108
2007-12-02,96
2007-12-03,92
2007-12-04,88
2007-12-05,84
2007-12-06,82
2007-12-07,76
2007-12-08,73
2007-12-09,70
2007-12-10,69
2007-12-11,68
2007-12-12,67
2007-12-13,70
2007-12-14,65
2007-12-15,64
2007-12-16,62
2007-12-17,60
2007-12-18,59
2007-12-19,57
2007-12-20,56
2007-12-21,57
2007-12-22,53
2007-12-23,51
2007-12-24,49
2007-12-25,48
2007-12-26,46
2007-12-27,46
2007-12-28,43
2007-12-29,42
2007-12-30,44
2007-12-31,47
2008-01-01,50
2008-01-02,53
2008-01-03,56
2008-01-04,62
2008-01-05,66
2008-01-06,63
2008-01-07,64
2008-01-08,65
2008-01-09,66
2008-01-10,67
2008-01-11,69
2008-01-12,69
2008-01-13,69
2008-01-14,69
2008-01-15,69
2008-01-16,74
2008-01-17,73
2008-01-18,70
2008-01-19,78
2008-01-20,70
2008-01-21,70
2008-01-22,69
2008-01-23,72
2008-01-24,68
2008-01-25,68
2008-01-26,68
2008-01-27,67
2008-01-28,67
2008-01-29,67
2008-01-30,73
2008-01-31,67
2008-02-01,67
2008-02-02,70
2008-02-03,68
2008-02-04,69
2008-02-05,70
2008-02-06,78
2008-02-07,72
2008-02-08,79
2008-02-09,79
2008-02-10,74
2008-02-11,73
2008-02-12,73
2008-02-13,77
2008-02-14,72
2008-02-15,80
2008-02-16,71
2008-02-17,68
2008-02-18,66
2008-02-19,64
2008-02-20,62
2008-02-21,65
2008-02-22,58
2008-02-23,56
2008-02-24,60
2008-02-25,65
2008-02-26,70
2008-02-27,77
2008-02-28,87
2008-02-29,84
2008-03-01,96
2008-03-02,86
2008-03-03,83
2008-03-04,80
2008-03-05,77
2008-03-06,78
2008-03-07,71
2008-03-08,68
2008-03-09,67
2008-03-10,66
2008-03-11,65
2008-03-12,67
2008-03-13,63
2008-03-14,65
2008-03-15,61
2008-03-16,63
2008-03-17,66
2008-03-18,69
2008-03-19,78
2008-03-20,74
2008-03-21,80
2008-03-22,80
2008-03-23,80
2008-03-24,80
2008-03-25,80
2008-03-26,80
2008-03-27,80
2008-03-28,84
2008-03-29,84
2008-03-30,79
2008-03-31,77
