Date,ULTA Salon
2007-01-07,52
2007-01-08,56
2007-01-09,60
2007-01-10,64
2007-01-11,69
2007-01-12,73
2007-01-13,77
2007-01-14,75
2007-01-15,73
2007-01-16,71
2007-01-17,69
2007-01-18,67
2007-01-19,65
2007-01-20,64
2007-01-21,62
2007-01-22,61
2007-01-23,59
2007-01-24,57
2007-01-25,55
2007-01-26,54
2007-01-27,52
2007-01-28,50
2007-01-29,48
2007-01-30,46
2007-01-31,45
2007-02-01,43
2007-02-02,41
2007-02-03,40
2007-02-04,43
2007-02-05,46
2007-02-06,49
2007-02-07,52
2007-02-08,55
2007-02-09,59
2007-02-10,62
2007-02-11,62
2007-02-12,62
2007-02-13,63
2007-02-14,63
2007-02-15,63
2007-02-16,63
2007-02-17,64
2007-02-18,61
2007-02-19,58
2007-02-20,55
2007-02-21,52
2007-02-22,49
2007-02-23,46
2007-02-24,44
2007-02-25,44
2007-02-26,45
2007-02-27,46
2007-02-28,46
2007-03-01,47
2007-03-02,48
2007-03-03,49
2007-03-04,48
2007-03-05,47
2007-03-06,46
2007-03-07,45
2007-03-08,44
2007-03-09,43
2007-03-10,42
2007-03-11,42
2007-03-12,43
2007-03-13,43
2007-03-14,44
2007-03-15,44
2007-03-16,45
2007-03-17,46
2007-03-18,48
2007-03-19,50
2007-03-20,52
2007-03-21,54
2007-03-22,56
2007-03-23,58
2007-03-24,60
2007-03-25,58
2007-04-01,49
2007-04-02,50
2007-04-03,50
2007-04-04,51
2007-04-05,51
2007-04-06,52
2007-04-07,52
2007-04-08,52
2007-04-09,52
2007-04-10,52
2007-04-11,53
2007-04-12,53
2007-04-13,53
2007-04-14,54
2007-04-15,53
2007-04-16,53
2007-04-17,53
2007-04-18,52
2007-04-19,52
2007-04-20,52
2007-04-21,52
2007-04-22,51
2007-04-23,50
2007-04-24,50
2007-04-25,49
2007-04-26,49
2007-04-27,48
2007-04-28,48
2007-04-29,49
2007-04-30,51
2007-05-01,53
2007-05-02,54
2007-05-03,56
2007-05-04,58
2007-05-05,60
2007-05-06,58
2007-05-07,57
2007-05-08,56
2007-05-09,55
2007-05-10,54
2007-05-11,52
2007-05-12,51
2007-05-13,51
2007-05-14,51
2007-05-15,51
2007-05-16,51
2007-05-17,51
2007-05-18,51
2007-05-19,51
2007-05-20,51
2007-05-21,51
2007-05-22,51
2007-05-23,51
2007-05-24,51
2007-05-25,51
2007-05-26,51
2007-05-27,51
2007-05-28,51
2007-05-29,51
2007-05-30,51
2007-05-31,51
2007-06-01,51
2007-06-02,51
2007-06-03,51
2007-06-04,50
2007-06-05,49
2007-06-06,49
2007-06-07,48
2007-06-08,48
2007-06-09,48
2007-06-10,47
2007-06-11,46
2007-06-12,45
2007-06-13,44
2007-06-14,43
2007-06-15,42
2007-06-16,41
2007-06-17,42
2007-06-18,44
2007-06-19,45
2007-06-20,47
2007-06-21,48
2007-06-22,50
2007-06-23,52
2007-06-24,53
2007-07-01,61
2007-07-02,58
2007-07-03,55
2007-07-04,51
2007-07-05,48
2007-07-06,45
2007-07-07,42
2007-07-08,41
2007-07-09,41
2007-07-10,41
2007-07-11,41
2007-07-12,41
2007-07-13,41
2007-07-14,41
2007-07-15,42
2007-07-16,44
2007-07-17,46
2007-07-18,47
2007-07-19,49
2007-07-20,51
2007-07-21,53
2007-07-22,52
2007-07-23,52
2007-07-24,52
2007-07-25,51
2007-07-26,51
2007-07-27,51
2007-07-28,51
2007-07-29,57
2007-07-30,64
2007-07-31,70
2007-08-01,77
2007-08-02,83
2007-08-03,90
2007-08-04,97
2007-08-05,96
2007-08-06,96
2007-08-07,96
2007-08-08,95
2007-08-09,95
2007-08-10,94
2007-08-11,94
2007-08-12,89
2007-08-13,83
2007-08-14,78
2007-08-15,73
2007-08-16,68
2007-08-17,63
2007-08-18,58
2007-08-19,58
2007-08-20,59
2007-08-21,59
2007-08-22,60
2007-08-23,61
2007-08-24,61
2007-08-25,62
2007-08-26,58
2007-08-27,55
2007-08-28,52
2007-08-29,48
2007-08-30,45
2007-08-31,42
2007-09-01,39
2007-09-02,40
2007-09-03,42
2007-09-04,44
2007-09-05,45
2007-09-06,47
2007-09-07,49
2007-09-08,51
2007-09-09,52
2007-09-10,53
2007-09-11,55
2007-09-12,56
2007-09-13,58
2007-09-14,59
2007-09-15,61
2007-09-16,59
2007-09-17,57
2007-09-18,55
2007-09-19,54
2007-09-20,52
2007-09-21,50
2007-09-22,49
2007-09-23,49
2007-09-24,50
2007-09-25,51
2007-09-26,51
2007-09-27,52
2007-09-28,53
2007-09-29,54
2007-09-30,52
2007-10-07,45
2007-10-08,46
2007-10-09,47
2007-10-10,48
2007-10-11,49
2007-10-12,50
2007-10-13,51
2007-10-14,52
2007-10-15,54
2007-10-16,56
2007-10-17,58
2007-10-18,60
2007-10-19,62
2007-10-20,64
2007-10-21,65
2007-10-22,66
2007-10-23,68
2007-10-24,69
2007-10-25,71
2007-10-26,72
2007-10-27,74
2007-10-28,72
2007-10-29,70
2007-10-30,68
2007-10-31,67
2007-11-01,65
2007-11-02,63
2007-11-03,62
2007-11-04,63
2007-11-05,64
2007-11-06,65
2007-11-07,66
2007-11-08,68
2007-11-09,69
2007-11-10,70
2007-11-11,69
2007-11-12,68
2007-11-13,67
2007-11-14,66
2007-11-15,66
2007-11-16,65
2007-11-17,64
2007-11-18,59
2007-11-19,54
2007-11-20,49
2007-11-21,45
2007-11-22,40
2007-11-23,35
2007-11-24,31
2007-11-25,34
2007-11-26,38
2007-11-27,42
2007-11-28,46
2007-11-29,50
2007-11-30,53
2007-12-01,57
2007-12-02,57
2007-12-03,56
2007-12-04,56
2007-12-05,55
2007-12-06,55
2007-12-07,55
2007-12-08,55
2007-12-09,59
2007-12-10,64
2007-12-11,69
2007-12-12,74
2007-12-13,79
2007-12-14,83
2007-12-15,88
2007-12-16,85
2007-12-17,81
2007-12-18,77
2007-12-19,74
2007-12-20,71
2007-12-21,67
2007-12-22,64
2007-12-23,60
2007-12-24,56
2007-12-25,53
2007-12-26,49
2007-12-27,46
2007-12-28,42
2007-12-29,39
2007-12-30,44
2008-01-06,76
2008-01-07,79
2008-01-08,81
2008-01-09,84
2008-01-10,86
2008-01-11,89
2008-01-12,91
2008-01-13,88
2008-01-14,85
2008-01-15,82
2008-01-16,79
2008-01-17,76
2008-01-18,74
2008-01-19,71
2008-01-20,69
2008-01-21,67
2008-01-22,65
2008-01-23,64
2008-01-24,62
2008-01-25,61
2008-01-26,60
2008-01-27,60
2008-01-28,60
2008-01-29,60
2008-01-30,60
2008-01-31,60
2008-02-01,60
2008-02-02,60
2008-02-03,57
2008-02-04,54
2008-02-05,51
2008-02-06,48
2008-02-07,45
2008-02-08,42
2008-02-09,40
2008-02-10,39
2008-02-11,39
2008-02-12,39
2008-02-13,39
2008-02-14,39
2008-02-15,39
2008-02-16,39
2008-02-17,44
2008-02-18,50
2008-02-19,56
2008-02-20,61
2008-02-21,67
2008-02-22,73
2008-02-23,79
2008-02-24,77
2008-02-25,76
2008-02-26,74
2008-02-27,73
2008-02-28,71
2008-02-29,70
2008-03-01,68
2008-03-02,65
2008-03-03,62
2008-03-04,59
2008-03-05,57
2008-03-06,54
2008-03-07,51
2008-03-08,49
2008-03-09,49
2008-03-10,50
2008-03-11,51
2008-03-12,51
2008-03-13,52
2008-03-14,53
2008-03-15,54
2008-03-16,60
2008-03-17,67
2008-03-18,74
2008-03-19,80
2008-03-20,87
2008-03-21,94
