Date,Allison Transmission
2010-09-11,73
2010-09-12,74
2010-09-13,76
2010-09-14,79
2010-09-15,82
2010-09-16,81
2010-09-17,87
2010-09-18,86
2010-09-19,86
2010-09-20,88
2010-09-21,89
2010-09-22,94
2010-09-23,92
2010-09-24,94
2010-09-25,104
2010-09-26,97
2010-09-27,88
2010-09-28,88
2010-09-29,80
2010-09-30,76
2010-10-01,72
2010-10-02,69
2010-10-03,70
2010-10-04,71
2010-10-05,78
2010-10-06,75
2010-10-07,77
2010-10-08,80
2010-10-09,77
2010-10-10,74
2010-10-11,72
2010-10-12,69
2010-10-13,70
2010-10-14,64
2010-10-15,64
2010-10-16,63
2010-10-17,63
2010-10-18,67
2010-10-19,71
2010-10-20,76
2010-10-21,80
2010-10-22,85
2010-10-23,86
2010-10-24,88
2010-10-25,84
2010-10-26,83
2010-10-27,87
2010-10-28,85
2010-10-29,82
2010-10-30,81
2010-10-31,78
2010-11-01,75
2010-11-02,71
2010-11-03,68
2010-11-04,68
2010-11-05,65
2010-11-06,59
2010-11-07,60
2010-11-08,62
2010-11-09,68
2010-11-10,66
2010-11-11,73
2010-11-12,70
2010-11-13,72
2010-11-14,72
2010-11-15,78
2010-11-16,74
2010-11-17,76
2010-11-18,75
2010-11-19,76
2010-11-20,85
2010-11-21,75
2010-11-22,73
2010-11-23,72
2010-11-24,70
2010-11-25,69
2010-11-26,67
2010-11-27,73
2010-11-28,68
2010-11-29,67
2010-11-30,69
2010-12-01,68
2010-12-02,72
2010-12-03,74
2010-12-04,71
2010-12-05,71
2010-12-06,73
2010-12-07,71
2010-12-08,72
2010-12-09,74
2010-12-10,72
2010-12-11,75
2010-12-12,76
2010-12-13,72
2010-12-14,72
2010-12-15,71
2010-12-16,71
2010-12-17,73
2010-12-18,76
2010-12-19,71
2010-12-20,69
2010-12-21,69
2010-12-22,71
2010-12-23,66
2010-12-24,65
2010-12-25,65
2010-12-26,65
2010-12-27,65
2010-12-28,65
2010-12-29,65
2010-12-30,66
2010-12-31,66
2011-01-01,66
2011-01-02,66
2011-01-03,69
2011-01-04,68
2011-01-05,73
2011-01-06,74
2011-01-07,71
2011-01-08,74
2011-01-09,77
2011-01-10,75
2011-01-11,79
2011-01-12,80
2011-01-13,80
2011-01-14,82
2011-01-15,91
2011-01-16,84
2011-01-17,85
2011-01-18,87
2011-01-19,86
2011-01-20,89
2011-01-21,88
2011-01-22,100
2011-01-23,87
2011-01-24,85
2011-01-25,86
2011-01-26,85
2011-01-27,86
2011-01-28,79
2011-01-29,84
2011-01-30,78
2011-01-31,78
2011-02-01,81
2011-02-02,79
2011-02-03,79
2011-02-04,80
2011-02-05,89
2011-02-06,79
2011-02-07,78
2011-02-08,80
2011-02-09,76
2011-02-10,85
2011-02-11,74
2011-02-12,74
2011-02-13,75
2011-02-14,74
2011-02-15,79
