Date,hhgregg
2006-10-07,28
2006-10-08,28
2006-10-09,29
2006-10-10,29
2006-10-11,29
2006-10-12,29
2006-10-13,29
2006-10-14,31
2006-10-15,30
2006-10-16,28
2006-10-17,27
2006-10-18,26
2006-10-19,25
2006-10-20,25
2006-10-21,24
2006-10-22,24
2006-10-23,24
2006-10-24,24
2006-10-25,26
2006-10-26,24
2006-10-27,24
2006-10-28,24
2006-10-29,25
2006-10-30,26
2006-10-31,26
2006-11-01,29
2006-11-02,28
2006-11-03,29
2006-11-04,30
2006-11-05,30
2006-11-06,30
2006-11-07,30
2006-11-08,28
2006-11-09,29
2006-11-10,28
2006-11-11,28
2006-11-12,30
2006-11-13,29
2006-11-14,30
2006-11-15,31
2006-11-16,31
2006-11-17,32
2006-11-18,33
2006-11-19,36
2006-11-20,41
2006-11-21,44
2006-11-22,48
2006-11-23,52
2006-11-24,56
2006-11-25,65
2006-11-26,60
2006-11-27,55
2006-11-28,57
2006-11-29,50
2006-11-30,48
2006-12-01,46
2006-12-02,44
2006-12-03,43
2006-12-04,46
2006-12-05,43
2006-12-06,42
2006-12-07,43
2006-12-08,42
2006-12-09,42
2006-12-10,43
2006-12-11,41
2006-12-12,43
2006-12-13,40
2006-12-14,39
2006-12-15,39
2006-12-16,40
2006-12-17,40
2006-12-18,42
2006-12-19,43
2006-12-20,44
2006-12-21,47
2006-12-22,47
2006-12-23,49
2006-12-24,52
2006-12-25,49
2006-12-26,49
2006-12-27,52
2006-12-28,51
2006-12-29,49
2006-12-30,51
2006-12-31,51
2007-01-01,47
2007-01-02,46
2007-01-03,45
2007-01-04,44
2007-01-05,42
2007-01-06,41
2007-01-07,40
2007-01-08,40
2007-01-09,38
2007-01-10,35
2007-01-11,37
2007-01-12,33
2007-01-13,32
2007-01-14,32
2007-01-15,33
2007-01-16,32
2007-01-17,34
2007-01-18,32
2007-01-19,35
2007-01-20,33
2007-01-21,33
2007-01-22,34
2007-01-23,32
2007-01-24,32
2007-01-25,33
2007-01-26,32
2007-01-27,33
2007-01-28,32
2007-01-29,32
2007-01-30,32
2007-01-31,32
2007-02-01,32
2007-02-02,32
2007-02-03,34
2007-02-04,32
2007-02-05,31
2007-02-06,32
2007-02-07,30
2007-02-08,29
2007-02-09,28
2007-02-10,28
2007-02-11,29
2007-02-12,30
2007-02-13,28
2007-02-14,28
2007-02-15,29
2007-02-16,28
2007-02-17,29
2007-02-18,29
2007-02-19,30
2007-02-20,33
2007-02-21,31
2007-02-22,31
2007-02-23,32
2007-02-24,34
2007-02-25,33
2007-02-26,31
2007-02-27,30
2007-02-28,30
2007-03-01,28
2007-03-02,27
2007-03-03,26
2007-03-04,26
2007-03-05,27
2007-03-06,27
2007-03-07,30
2007-03-08,27
2007-03-09,27
2007-03-10,28
2007-03-11,27
2007-03-12,28
2007-03-13,27
2007-03-14,26
2007-03-15,26
2007-03-16,26
2007-03-17,25
2007-03-18,25
2007-03-19,25
2007-03-20,24
2007-03-21,23
2007-03-22,23
2007-03-23,23
2007-03-24,23
2007-03-25,23
2007-03-26,23
2007-03-27,23
2007-03-28,24
2007-03-29,23
2007-03-30,23
2007-03-31,23
2007-04-01,22
2007-04-02,23
2007-04-03,21
2007-04-04,21
2007-04-05,21
2007-04-06,20
2007-04-07,20
2007-04-08,22
2007-04-09,21
2007-04-10,24
2007-04-11,23
2007-04-12,24
2007-04-13,25
2007-04-14,26
2007-04-15,26
2007-04-16,27
2007-04-17,28
2007-04-18,26
2007-04-19,27
2007-04-20,27
2007-04-21,26
2007-04-22,25
2007-04-23,25
2007-04-24,24
2007-04-25,24
2007-04-26,24
2007-04-27,23
2007-04-28,23
2007-04-29,26
2007-04-30,23
2007-05-01,24
2007-05-02,26
2007-05-03,25
2007-05-04,25
2007-05-05,26
2007-05-06,26
2007-05-07,25
2007-05-08,25
2007-05-09,25
2007-05-10,24
2007-05-11,24
2007-05-12,24
2007-05-13,25
2007-05-14,23
2007-05-15,24
2007-05-16,22
2007-05-17,23
2007-05-18,21
2007-05-19,21
2007-05-20,22
2007-05-21,21
2007-05-22,23
2007-05-23,22
2007-05-24,23
2007-05-25,23
2007-05-26,24
2007-05-27,24
2007-05-28,25
2007-05-29,24
2007-05-30,24
2007-05-31,24
2007-06-01,24
2007-06-02,24
2007-06-03,24
2007-06-04,25
2007-06-05,25
2007-06-06,24
2007-06-07,24
2007-06-08,26
2007-06-09,25
2007-06-10,24
2007-06-11,24
2007-06-12,25
2007-06-13,24
2007-06-14,24
2007-06-15,24
2007-06-16,24
2007-06-17,24
2007-06-18,24
2007-06-19,24
2007-06-20,24
2007-06-21,24
2007-06-22,24
2007-06-23,24
2007-06-24,24
2007-06-25,25
2007-06-26,27
2007-06-27,26
2007-06-28,26
2007-06-29,29
2007-06-30,28
2007-07-01,28
2007-07-02,28
2007-07-03,29
2007-07-04,30
2007-07-05,28
2007-07-06,28
2007-07-07,29
2007-07-08,28
2007-07-09,29
2007-07-10,29
2007-07-11,28
2007-07-12,28
2007-07-13,28
2007-07-14,28
2007-07-15,28
2007-07-16,32
2007-07-17,29
2007-07-18,29
2007-07-19,30
2007-07-20,31
2007-07-21,31
2007-07-22,31
2007-07-23,32
2007-07-24,31
2007-07-25,34
2007-07-26,32
2007-07-27,32
2007-07-28,33
2007-07-29,34
2007-07-30,32
2007-07-31,32
2007-08-01,31
2007-08-02,33
2007-08-03,31
2007-08-04,32
2007-08-05,31
2007-08-06,31
2007-08-07,34
2007-08-08,32
2007-08-09,33
2007-08-10,33
2007-08-11,34
2007-08-12,34
2007-08-13,34
2007-08-14,33
2007-08-15,32
2007-08-16,34
2007-08-17,32
2007-08-18,32
2007-08-19,33
2007-08-20,31
2007-08-21,33
2007-08-22,32
2007-08-23,31
2007-08-24,31
2007-08-25,31
2007-08-26,30
2007-08-27,31
2007-08-28,30
2007-08-29,30
2007-08-30,29
2007-08-31,29
2007-09-01,29
2007-09-02,29
2007-09-03,29
2007-09-04,32
2007-09-05,31
2007-09-06,30
2007-09-07,30
2007-09-08,31
2007-09-09,31
2007-09-10,30
2007-09-11,30
2007-09-12,30
2007-09-13,28
2007-09-14,28
2007-09-15,28
2007-09-16,28
2007-09-17,28
2007-09-18,25
2007-09-19,25
2007-09-20,24
2007-09-21,24
2007-09-22,23
2007-09-23,23
2007-09-24,24
2007-09-25,24
2007-09-26,23
2007-09-27,24
2007-09-28,24
2007-09-29,24
2007-09-30,25
2007-10-01,25
2007-10-02,26
2007-10-03,26
2007-10-04,26
2007-10-05,27
2007-10-06,28
2007-10-07,28
2007-10-08,29
2007-10-09,29
2007-10-10,29
2007-10-11,30
2007-10-12,30
2007-10-13,32
2007-10-14,30
2007-10-15,32
2007-10-16,29
2007-10-17,30
2007-10-18,28
2007-10-19,30
2007-10-20,29
2007-10-21,28
2007-10-22,30
2007-10-23,29
2007-10-24,30
2007-10-25,30
2007-10-26,31
2007-10-27,31
2007-10-28,31
2007-10-29,33
2007-10-30,31
2007-10-31,31
2007-11-01,31
2007-11-02,31
2007-11-03,32
2007-11-04,33
2007-11-05,36
2007-11-06,35
2007-11-07,38
2007-11-08,37
2007-11-09,40
2007-11-10,40
2007-11-11,41
2007-11-12,41
2007-11-13,42
2007-11-14,43
2007-11-15,42
2007-11-16,44
2007-11-17,44
2007-11-18,53
2007-11-19,60
2007-11-20,68
2007-11-21,76
2007-11-22,84
2007-11-23,92
2007-11-24,111
2007-11-25,96
2007-11-26,91
2007-11-27,87
