Date,CardTronics
2007-03-01,68
2007-03-02,67
2007-03-03,66
2007-03-04,65
2007-03-05,65
2007-03-06,64
2007-03-07,63
2007-03-08,63
2007-03-09,62
2007-03-10,61
2007-03-11,60
2007-03-12,60
2007-03-13,59
2007-03-14,58
2007-03-15,58
2007-03-16,57
2007-03-17,56
2007-03-18,55
2007-03-19,55
2007-03-20,54
2007-03-21,53
2007-03-22,53
2007-03-23,52
2007-03-24,51
2007-03-25,50
2007-03-26,50
2007-03-27,49
2007-03-28,48
2007-03-29,48
2007-03-30,47
2007-03-31,46
2007-04-01,46
2007-04-02,46
2007-04-03,46
2007-04-04,46
2007-04-05,46
2007-04-06,47
2007-04-07,47
2007-04-08,47
2007-04-09,47
2007-04-10,48
2007-04-11,48
2007-04-12,48
2007-04-13,48
2007-04-14,49
2007-04-15,49
2007-04-16,49
2007-04-17,49
2007-04-18,49
2007-04-19,50
2007-04-20,50
2007-04-21,50
2007-04-22,50
2007-04-23,51
2007-04-24,51
2007-04-25,51
2007-04-26,51
2007-04-27,52
2007-04-28,52
2007-04-29,52
2007-04-30,52
2007-05-01,53
2007-05-02,53
2007-05-03,53
2007-05-04,53
2007-05-05,53
2007-05-06,53
2007-05-07,53
2007-05-08,53
2007-05-09,53
2007-05-10,53
2007-05-11,53
2007-05-12,54
2007-05-13,54
2007-05-14,54
2007-05-15,54
2007-05-16,54
2007-05-17,54
2007-05-18,54
2007-05-19,54
2007-05-20,54
2007-05-21,54
2007-05-22,55
2007-05-23,55
2007-05-24,55
2007-05-25,55
2007-05-26,55
2007-05-27,55
2007-05-28,55
2007-05-29,55
2007-05-30,55
2007-05-31,55
2007-06-01,56
2007-06-02,55
2007-06-03,55
2007-06-04,55
2007-06-05,54
2007-06-06,54
2007-06-07,54
2007-06-08,54
2007-06-09,53
2007-06-10,53
2007-06-11,53
2007-06-12,53
2007-06-13,52
2007-06-14,52
2007-06-15,52
2007-06-16,52
2007-06-17,51
2007-06-18,51
2007-06-19,51
2007-06-20,50
2007-06-21,50
2007-06-22,50
2007-06-23,50
2007-06-24,49
2007-06-25,49
2007-06-26,49
2007-06-27,49
2007-06-28,48
2007-06-29,48
2007-06-30,48
2007-07-01,48
2007-07-02,48
2007-07-03,48
2007-07-04,49
2007-07-05,49
2007-07-06,50
2007-07-07,50
2007-07-08,50
2007-07-09,51
2007-07-10,51
2007-07-11,52
2007-07-12,52
2007-07-13,53
2007-07-14,53
2007-07-15,53
2007-07-16,54
2007-07-17,54
2007-07-18,55
2007-07-19,55
2007-07-20,55
2007-07-21,56
2007-07-22,56
2007-07-23,57
2007-07-24,57
2007-07-25,58
2007-07-26,58
2007-07-27,58
2007-07-28,59
2007-07-29,59
2007-07-30,60
2007-07-31,60
2007-08-01,61
2007-08-02,60
2007-08-03,60
2007-08-04,59
2007-08-05,59
2007-08-06,58
2007-08-07,58
2007-08-08,58
2007-08-09,57
2007-08-10,57
2007-08-11,56
2007-08-12,56
2007-08-13,55
2007-08-14,55
2007-08-15,55
2007-08-16,54
2007-08-17,54
2007-08-18,53
2007-08-19,53
2007-08-20,53
2007-08-21,52
2007-08-22,52
2007-08-23,51
2007-08-24,51
2007-08-25,50
2007-08-26,50
2007-08-27,50
2007-08-28,49
2007-08-29,49
2007-08-30,48
2007-08-31,48
2007-09-01,48
2007-09-02,48
2007-09-03,49
2007-09-04,50
2007-09-05,50
2007-09-06,51
2007-09-07,52
2007-09-08,52
2007-09-09,53
2007-09-10,54
2007-09-11,54
2007-09-12,55
2007-09-13,56
2007-09-14,56
2007-09-15,57
2007-09-16,58
2007-09-17,58
2007-09-18,59
2007-09-19,60
2007-09-20,60
2007-09-21,61
2007-09-22,62
2007-09-23,62
2007-09-24,63
2007-09-25,64
2007-09-26,64
2007-09-27,65
2007-09-28,66
2007-09-29,66
2007-09-30,67
2007-10-01,68
2007-10-02,68
2007-10-03,68
2007-10-04,69
2007-10-05,69
2007-10-06,69
2007-10-07,70
2007-10-08,70
2007-10-09,70
2007-10-10,71
2007-10-11,71
2007-10-12,71
2007-10-13,72
2007-10-14,72
2007-10-15,72
2007-10-16,73
2007-10-17,73
2007-10-18,74
2007-10-19,74
2007-10-20,74
2007-10-21,75
2007-10-22,75
2007-10-23,75
2007-10-24,76
2007-10-25,76
2007-10-26,76
2007-10-27,77
2007-10-28,77
2007-10-29,77
2007-10-30,78
2007-10-31,78
2007-11-01,79
2007-11-02,79
2007-11-03,80
2007-11-04,81
2007-11-05,81
2007-11-06,82
2007-11-07,83
2007-11-08,83
2007-11-09,84
2007-11-10,85
2007-11-11,86
2007-11-12,86
2007-11-13,87
2007-11-14,88
2007-11-15,88
2007-11-16,89
2007-11-17,90
2007-11-18,90
2007-11-19,91
2007-11-20,92
2007-11-21,93
2007-11-22,93
2007-11-23,94
2007-11-24,95
2007-11-25,95
2007-11-26,96
2007-11-27,97
2007-11-28,97
2007-11-29,98
2007-11-30,99
2007-12-02,98
2007-12-03,97
2007-12-04,96
2007-12-05,95
2007-12-06,93
2007-12-07,92
2007-12-08,91
2007-12-09,90
2007-12-10,89
2007-12-11,88
2007-12-12,87
2007-12-13,85
2007-12-14,84
2007-12-15,83
2007-12-16,82
2007-12-17,82
2007-12-18,81
2007-12-19,81
2007-12-20,80
2007-12-21,80
2007-12-22,82
2007-12-23,73
2007-12-24,71
2007-12-25,70
2007-12-26,69
2007-12-27,68
2007-12-28,66
2007-12-29,65
2007-12-30,64
2007-12-31,63
2008-01-01,62
2008-01-02,61
2008-01-03,61
2008-01-04,61
2008-01-05,61
2008-01-06,61
2008-01-07,61
2008-01-08,60
2008-01-09,60
2008-01-10,60
2008-01-11,60
2008-01-12,60
2008-01-13,60
2008-01-14,59
2008-01-15,59
2008-01-16,59
2008-01-17,59
2008-01-18,59
2008-01-19,59
2008-01-20,58
2008-01-21,58
2008-01-22,58
2008-01-23,58
2008-01-24,58
2008-01-25,58
2008-01-26,57
