Date,Ikaria
2010-05-01,52
2010-05-02,57
2010-05-03,56
2010-05-04,58
2010-05-05,62
2010-05-06,66
2010-05-07,65
2010-05-08,68
2010-05-09,67
2010-05-10,69
2010-05-11,65
2010-05-12,66
2010-05-13,65
2010-05-14,63
2010-05-15,63
2010-05-16,69
2010-05-17,64
2010-05-18,66
2010-05-19,69
2010-05-20,66
2010-05-21,69
2010-05-22,68
2010-05-23,71
2010-05-24,68
2010-05-25,72
2010-05-26,68
2010-05-27,68
2010-05-28,70
2010-05-29,68
2010-05-30,71
2010-05-31,71
2010-06-01,71
2010-06-02,72
2010-06-03,73
2010-06-04,76
2010-06-05,78
2010-06-06,76
2010-06-07,83
2010-06-08,78
2010-06-09,79
2010-06-10,83
2010-06-11,81
2010-06-12,82
2010-06-13,84
2010-06-14,86
2010-06-15,94
2010-06-16,91
2010-06-17,102
2010-06-18,96
2010-06-19,101
2010-06-20,99
2010-06-21,99
2010-06-22,99
2010-06-23,99
2010-06-24,105
2010-06-25,99
2010-06-26,102
2010-06-27,98
2010-06-28,99
2010-06-29,96
2010-06-30,94
2010-07-01,93
2010-07-02,96
2010-07-03,91
2010-07-04,95
2010-07-05,89
2010-07-06,88
2010-07-07,100
2010-07-08,86
2010-07-09,85
2010-07-10,85
2010-07-11,86
2010-07-12,92
2010-07-13,92
2010-07-14,91
2010-07-15,93
2010-07-16,99
2010-07-17,97
2010-07-18,94
2010-07-19,94
2010-07-20,94
2010-07-21,92
2010-07-22,86
2010-07-23,88
2010-07-24,87
2010-07-25,81
2010-07-26,81
2010-07-27,83
2010-07-28,81
2010-07-29,83
2010-07-30,82
2010-07-31,84
2010-08-01,80
2010-08-02,79
2010-08-03,80
2010-08-04,79
2010-08-05,76
2010-08-06,76
2010-08-07,76
2010-08-08,76
2010-08-09,77
2010-08-10,75
2010-08-11,84
2010-08-12,76
2010-08-13,76
2010-08-14,77
2010-08-15,79
2010-08-16,73
2010-08-17,71
2010-08-18,71
2010-08-19,68
2010-08-20,67
2010-08-21,66
2010-08-22,64
2010-08-23,64
2010-08-24,62
2010-08-25,64
2010-08-26,60
2010-08-27,66
2010-08-28,59
2010-08-29,58
2010-08-30,58
2010-08-31,60
2010-09-01,60
2010-09-02,58
2010-09-03,59
2010-09-04,58
2010-09-05,58
2010-09-06,63
2010-09-07,59
2010-09-08,59
2010-09-09,59
2010-09-10,61
2010-09-11,60
2010-09-12,63
2010-09-13,59
2010-09-14,61
2010-09-15,60
2010-09-16,59
2010-09-17,59
2010-09-18,59
2010-09-19,62
2010-09-20,58
2010-09-21,60
2010-09-22,58
2010-09-23,61
2010-09-24,58
2010-09-25,58
2010-09-26,62
2010-09-27,56
2010-09-28,58
2010-09-29,57
2010-09-30,53
2010-10-01,52
2010-10-02,52
2010-10-03,51
2010-10-04,54
2010-10-05,49
2010-10-06,48
2010-10-07,47
2010-10-08,46
2010-10-09,45
2010-10-10,46
2010-10-11,48
2010-10-12,51
2010-10-13,49
2010-10-14,52
2010-10-15,51
2010-10-16,52
2010-10-17,55
2010-10-18,52
2010-10-19,52
2010-10-20,52
2010-10-21,52
2010-10-22,53
2010-10-23,54
2010-10-24,51
2010-10-25,50
2010-10-26,49
2010-10-27,48
2010-10-28,50
2010-10-29,46
2010-10-30,45
2010-10-31,45
2010-11-01,45
2010-11-02,49
2010-11-03,46
2010-11-04,50
2010-11-05,47
2010-11-06,50
2010-11-07,49
2010-11-08,51
2010-11-09,53
2010-11-10,56
2010-11-11,57
2010-11-12,63
2010-11-13,61
2010-11-14,59
2010-11-15,57
2010-11-16,61
2010-11-17,54
2010-11-18,54
2010-11-19,51
2010-11-20,53
2010-11-21,50
2010-11-22,48
2010-11-23,47
2010-11-24,48
2010-11-25,46
2010-11-26,49
2010-11-27,45
2010-11-28,48
2010-11-29,43
2010-11-30,46
2010-12-01,42
2010-12-02,41
2010-12-03,40
2010-12-04,41
2010-12-05,40
2010-12-06,43
2010-12-07,42
2010-12-08,43
2010-12-09,44
2010-12-10,48
2010-12-11,46
2010-12-12,44
2010-12-13,42
2010-12-14,42
2010-12-15,38
2010-12-16,36
2010-12-17,36
2010-12-18,32
2010-12-19,32
2010-12-20,32
2010-12-21,33
2010-12-22,35
2010-12-23,34
2010-12-24,34
2010-12-25,35
2010-12-26,37
2010-12-27,36
2010-12-28,37
2010-12-29,39
2010-12-30,38
2010-12-31,39
2011-01-01,40
2011-01-02,41
2011-01-03,42
2011-01-04,48
2011-01-05,45
2011-01-06,47
2011-01-07,51
2011-01-08,50
2011-01-09,47
2011-01-10,47
2011-01-11,42
2011-01-12,42
2011-01-13,38
2011-01-14,36
2011-01-15,33
2011-01-16,34
2011-01-17,35
2011-01-18,37
2011-01-19,37
2011-01-20,41
2011-01-21,39
2011-01-22,43
2011-01-23,41
2011-01-24,43
2011-01-25,43
2011-01-26,49
2011-01-27,45
2011-01-28,47
2011-01-29,48
2011-01-30,49
2011-01-31,46
2011-02-01,45
2011-02-02,47
2011-02-03,43
2011-02-04,43
2011-02-05,41
2011-02-06,45
2011-02-07,54
2011-02-08,59
2011-02-09,57
2011-02-10,66
2011-02-11,65
2011-02-12,69
2011-02-13,71
2011-02-14,64
2011-02-15,66
2011-02-16,61
