Date,Brightcove
2011-02-12,55
2011-02-13,54
2011-02-14,53
2011-02-15,52
2011-02-16,55
2011-02-17,53
2011-02-18,50
2011-02-19,51
2011-02-20,50
2011-02-21,50
2011-02-22,50
2011-02-23,52
2011-02-24,50
2011-02-25,54
2011-02-26,51
2011-02-27,50
2011-02-28,50
2011-03-01,50
2011-03-02,51
2011-03-03,49
2011-03-04,52
2011-03-05,49
2011-03-06,49
2011-03-07,49
2011-03-08,49
2011-03-09,51
2011-03-10,52
2011-03-11,51
2011-03-12,53
2011-03-13,51
2011-03-14,52
2011-03-15,53
2011-03-16,54
2011-03-17,54
2011-03-18,57
2011-03-19,60
2011-03-20,54
2011-03-21,53
2011-03-22,53
2011-03-23,50
2011-03-24,48
2011-03-25,50
2011-03-26,46
2011-03-27,46
2011-03-28,46
2011-03-29,46
2011-03-30,52
2011-03-31,47
2011-05-01,43
2011-05-02,45
2011-05-03,47
2011-05-04,52
2011-05-05,54
2011-05-06,54
2011-05-07,65
2011-05-08,56
2011-05-09,56
2011-05-10,56
2011-05-11,57
2011-05-12,59
2011-05-13,55
2011-05-14,60
2011-05-15,54
2011-05-16,54
2011-05-17,54
2011-05-18,58
2011-05-19,53
2011-05-20,58
2011-05-21,53
2011-05-22,58
2011-05-23,57
2011-05-24,59
2011-05-25,62
2011-05-26,65
2011-05-27,68
2011-05-28,75
2011-05-29,67
2011-05-30,65
2011-05-31,63
2011-06-01,63
2011-06-02,60
2011-06-03,61
2011-06-04,58
2011-06-05,56
2011-06-06,56
2011-06-07,55
2011-06-08,55
2011-06-09,56
2011-06-10,59
2011-06-11,54
2011-06-12,53
2011-06-13,52
2011-06-14,51
2011-06-15,50
2011-06-16,50
2011-06-17,52
2011-06-18,48
2011-06-19,49
2011-06-20,50
2011-06-21,53
2011-06-22,53
2011-06-23,56
2011-06-24,58
2011-06-25,57
2011-06-26,55
2011-06-27,53
2011-06-28,53
2011-06-29,50
2011-06-30,48
2011-07-01,52
2011-07-02,45
2011-07-03,48
2011-07-04,49
2011-07-05,51
2011-07-06,55
2011-07-07,56
2011-07-08,61
2011-07-09,61
2011-07-10,59
2011-07-11,58
2011-07-12,57
2011-07-13,57
2011-07-14,53
2011-07-15,57
2011-07-16,51
2011-07-17,52
2011-07-18,53
2011-07-19,54
2011-07-20,59
2011-07-21,56
2011-07-22,57
2011-07-23,63
2011-07-24,58
2011-07-25,57
2011-07-26,56
2011-07-27,56
2011-07-28,58
2011-07-29,57
2011-07-30,54
2011-07-31,53
2011-08-01,52
2011-08-02,52
2011-08-03,54
2011-08-04,51
2011-08-05,55
2011-08-06,50
2011-08-07,49
2011-08-08,48
2011-08-09,47
2011-08-10,48
2011-08-11,46
2011-08-12,46
2011-08-13,47
2011-08-14,47
2011-08-15,47
2011-08-16,48
2011-08-17,49
2011-08-18,50
2011-08-19,52
2011-08-20,55
2011-08-21,55
2011-08-22,58
2011-08-23,60
2011-08-24,63
2011-08-25,67
2011-08-26,69
2011-08-27,78
2011-08-28,67
2011-08-29,64
2011-08-30,61
2011-08-31,59
2011-09-01,54
2011-09-02,51
2011-09-03,50
2011-09-04,47
2011-09-05,47
2011-09-06,47
2011-09-07,47
2011-09-08,48
2011-09-09,47
2011-09-10,47
2011-09-11,48
2011-09-12,49
2011-09-13,52
2011-09-14,52
2011-09-15,59
2011-09-16,56
2011-09-17,56
2011-09-18,55
2011-09-19,54
2011-09-20,54
2011-09-21,53
2011-09-22,54
2011-09-23,54
2011-09-24,56
2011-09-25,51
2011-09-26,50
2011-09-27,49
2011-09-28,48
2011-09-29,49
2011-09-30,47
2011-10-01,45
2011-10-02,46
2011-10-03,48
2011-10-04,52
2011-10-05,54
2011-10-06,54
2011-10-07,59
2011-10-08,63
2011-10-09,56
2011-10-10,54
2011-10-11,55
2011-10-12,54
2011-10-13,50
2011-10-14,48
2011-10-15,51
2011-10-16,48
2011-10-17,48
2011-10-18,48
2011-10-19,51
2011-10-20,50
2011-10-21,52
2011-10-22,52
2011-10-23,52
2011-10-24,50
2011-10-25,55
2011-10-26,49
2011-10-27,54
2011-10-28,50
2011-10-29,49
2011-10-30,51
2011-10-31,47
2011-11-01,46
2011-11-02,46
2011-11-03,44
2011-11-04,43
2011-11-05,43
2011-11-06,44
2011-11-07,45
2011-11-08,47
2011-11-09,47
2011-11-10,49
2011-11-11,49
2011-11-12,52
2011-11-13,51
2011-11-14,52
2011-11-15,53
2011-11-16,55
2011-11-17,55
2011-11-18,56
2011-11-19,63
2011-11-20,54
2011-11-21,52
2011-11-22,49
2011-11-23,51
2011-11-24,46
2011-11-25,42
2011-11-26,40
2011-11-27,41
2011-11-28,43
2011-11-29,45
2011-11-30,47
2011-12-01,49
2011-12-02,55
2011-12-03,53
2011-12-04,51
2011-12-05,50
2011-12-06,49
2011-12-07,49
2011-12-08,47
2011-12-09,50
2011-12-10,46
2011-12-11,45
2011-12-12,45
2011-12-13,46
2011-12-14,46
2011-12-15,49
