Date,Elixir Pharmaceuticals
2007-11-01,0
2007-11-02,0
2007-11-03,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,3
2007-12-03,6
2007-12-04,9
2007-12-05,12
2007-12-06,16
2007-12-07,19
2007-12-08,22
2007-12-09,25
2007-12-10,29
2007-12-11,32
2007-12-12,35
2007-12-13,38
2007-12-14,41
2007-12-15,45
2007-12-16,48
2007-12-17,51
2007-12-18,54
2007-12-19,58
2007-12-20,61
2007-12-21,64
2007-12-22,67
2007-12-23,70
2007-12-24,74
2007-12-25,77
2007-12-26,80
2007-12-27,83
2007-12-28,87
2007-12-29,90
2007-12-30,93
2007-12-31,96
2008-01-01,100
2008-01-02,98
2008-01-03,96
2008-01-04,94
2008-01-05,93
2008-01-06,91
2008-01-07,89
2008-01-08,88
2008-01-09,86
2008-01-10,84
2008-01-11,83
2008-01-12,81
2008-01-13,79
2008-01-14,78
2008-01-15,76
2008-01-16,74
2008-01-17,73
2008-01-18,71
2008-01-19,69
2008-01-20,68
2008-01-21,66
2008-01-22,64
2008-01-23,63
2008-01-24,61
2008-01-25,59
2008-01-26,58
2008-01-27,56
2008-01-28,54
2008-01-29,53
2008-01-30,51
2008-01-31,49
2008-02-01,48
2008-02-02,48
2008-02-03,48
2008-02-04,48
2008-02-05,48
2008-02-06,48
2008-02-07,48
2008-02-08,48
2008-02-09,48
2008-02-10,48
2008-02-11,48
2008-02-12,48
2008-02-13,48
2008-02-14,48
2008-02-15,48
2008-02-16,48
2008-02-17,48
2008-02-18,48
2008-02-19,48
2008-02-20,48
2008-02-21,48
2008-02-22,48
2008-02-23,48
2008-02-24,48
2008-02-25,48
2008-02-26,48
2008-02-27,48
2008-02-28,48
2008-02-29,48
2008-03-01,48
2008-03-02,48
2008-03-03,49
