Date,Supernus
2010-06-01,0
2010-06-02,0
2010-06-03,1
2010-06-04,2
2010-06-05,3
2010-06-06,4
2010-06-07,4
2010-06-08,5
2010-06-09,6
2010-06-10,7
2010-06-11,8
2010-06-12,8
2010-06-13,9
2010-06-14,10
2010-06-15,11
2010-06-16,12
2010-06-17,12
2010-06-18,13
2010-06-19,14
2010-06-20,15
2010-06-21,16
2010-06-22,16
2010-06-23,17
2010-06-24,18
2010-06-25,19
2010-06-26,20
2010-06-27,20
2010-06-28,21
2010-06-29,22
2010-06-30,23
2010-07-01,24
2010-07-02,23
2010-07-03,23
2010-07-04,23
2010-07-05,23
2010-07-06,23
2010-07-07,23
2010-07-08,23
2010-07-09,22
2010-07-10,22
2010-07-11,22
2010-07-12,22
2010-07-13,22
2010-07-14,22
2010-07-15,22
2010-07-16,22
2010-07-17,21
2010-07-18,21
2010-07-19,21
2010-07-20,21
2010-07-21,21
2010-07-22,21
2010-07-23,21
2010-07-24,21
2010-07-25,20
2010-07-26,20
2010-07-27,20
2010-07-28,20
2010-07-29,20
2010-07-30,20
2010-07-31,20
2010-08-01,20
2010-08-02,20
2010-08-03,20
2010-08-04,20
2010-08-05,20
2010-08-06,20
2010-08-07,21
2010-08-08,21
2010-08-09,21
2010-08-10,21
2010-08-11,21
2010-08-12,22
2010-08-13,22
2010-08-14,22
2010-08-15,22
2010-08-16,22
2010-08-17,23
2010-08-18,23
2010-08-19,23
2010-08-20,23
2010-08-21,23
2010-08-22,24
2010-08-23,24
2010-08-24,24
2010-08-25,24
2010-08-26,24
2010-08-27,25
2010-08-28,25
2010-08-29,25
2010-08-30,25
2010-08-31,25
2010-09-01,26
2010-09-02,25
2010-09-03,25
2010-09-04,25
2010-09-05,24
2010-09-06,24
2010-09-07,24
2010-09-08,24
2010-09-09,23
2010-09-10,23
2010-09-11,23
2010-09-12,23
2010-09-13,22
2010-09-14,22
2010-09-15,22
2010-09-16,22
2010-09-17,21
2010-09-18,21
2010-09-19,21
2010-09-20,20
2010-09-21,20
2010-09-22,20
2010-09-23,20
2010-09-24,19
2010-09-25,19
2010-09-26,19
2010-09-27,19
2010-09-28,18
2010-09-29,18
2010-09-30,18
2010-10-01,18
2010-10-02,18
2010-10-03,18
2010-10-04,18
2010-10-05,18
2010-10-06,18
2010-10-07,19
2010-10-08,19
2010-10-09,19
2010-10-10,19
2010-10-11,19
2010-10-12,20
2010-10-13,20
2010-10-14,20
2010-10-15,20
2010-10-16,20
2010-10-17,21
2010-10-18,21
2010-10-19,21
2010-10-20,21
2010-10-21,21
2010-10-22,22
2010-10-23,22
2010-10-24,22
2010-10-25,22
2010-10-26,22
2010-10-27,23
2010-10-28,23
2010-10-29,23
2010-10-30,23
2010-10-31,23
2010-11-01,24
2010-11-02,24
2010-11-03,25
2010-11-04,25
2010-11-05,26
2010-11-06,26
2010-11-07,27
2010-11-08,27
2010-11-09,28
2010-11-10,28
2010-11-11,29
2010-11-12,29
2010-11-13,30
