Date,Energy and Power Solutions
2009-09-01,0
2009-09-02,2
2009-09-03,4
2009-09-04,6
2009-09-05,9
2009-09-06,11
2009-09-07,13
2009-09-08,16
2009-09-09,18
2009-09-10,20
2009-09-11,23
2009-09-12,25
2009-09-13,27
2009-09-14,29
2009-09-15,32
2009-09-16,34
2009-09-17,36
2009-09-18,39
2009-09-19,41
2009-09-20,43
2009-09-21,46
2009-09-22,48
2009-09-23,50
2009-09-24,52
2009-09-25,55
2009-09-26,57
2009-09-27,59
2009-09-28,62
2009-09-29,64
2009-09-30,66
2009-10-01,69
2009-10-02,68
2009-10-03,68
2009-10-04,68
2009-10-05,67
2009-10-06,67
2009-10-07,67
2009-10-08,66
2009-10-09,66
2009-10-10,66
2009-10-11,66
2009-10-12,65
2009-10-13,65
2009-10-14,65
2009-10-15,64
2009-10-16,64
2009-10-17,64
2009-10-18,64
2009-10-19,63
2009-10-20,63
2009-10-21,63
2009-10-22,62
2009-10-23,62
2009-10-24,62
2009-10-25,62
2009-10-26,61
2009-10-27,61
2009-10-28,61
2009-10-29,60
2009-10-30,60
2009-10-31,60
2009-11-01,60
2009-11-02,60
2009-11-03,61
2009-11-04,62
2009-11-05,62
2009-11-06,63
2009-11-07,64
2009-11-08,64
2009-11-09,65
2009-11-10,66
2009-11-11,66
2009-11-12,67
2009-11-13,68
2009-11-14,68
2009-11-15,69
2009-11-16,70
2009-11-17,70
2009-11-18,71
2009-11-19,72
2009-11-20,72
2009-11-21,73
2009-11-22,74
2009-11-23,74
2009-11-24,75
2009-11-25,76
2009-11-26,76
2009-11-27,77
2009-11-28,78
2009-11-29,78
2009-11-30,79
2009-12-01,80
2009-12-02,80
2009-12-03,81
2009-12-04,81
2009-12-05,82
2009-12-06,83
2009-12-07,83
2009-12-08,84
2009-12-09,85
2009-12-10,85
2009-12-11,86
2009-12-12,87
2009-12-13,87
2009-12-14,88
2009-12-15,89
2009-12-16,89
2009-12-17,90
2009-12-18,90
2009-12-19,91
2009-12-20,92
2009-12-21,92
2009-12-22,93
2009-12-23,94
2009-12-24,94
2009-12-25,95
2009-12-26,96
2009-12-27,96
2009-12-28,97
2009-12-29,98
2009-12-30,98
2009-12-31,99
2010-01-01,100
2010-01-02,99
2010-01-03,98
2010-01-04,97
2010-01-05,96
2010-01-06,95
2010-01-07,94
2010-01-08,94
2010-01-09,93
2010-01-10,92
2010-01-11,91
2010-01-12,90
2010-01-13,89
2010-01-14,89
2010-01-15,88
2010-01-16,87
2010-01-17,86
2010-01-18,85
2010-01-19,84
2010-01-20,84
2010-01-21,83
2010-01-22,82
2010-01-23,81
2010-01-24,80
2010-01-25,79
2010-01-26,79
2010-01-27,78
2010-01-28,77
2010-01-29,76
2010-01-30,75
2010-01-31,74
2010-02-01,74
2010-02-02,74
2010-02-03,74
2010-02-04,74
2010-02-05,74
2010-02-06,74
2010-02-07,74
2010-02-08,74
2010-02-09,74
2010-02-10,74
2010-02-11,74
2010-02-12,74
2010-02-13,74
2010-02-14,74
2010-02-15,74
2010-02-16,74
2010-02-17,74
2010-02-18,74
2010-02-19,74
2010-02-20,74
2010-02-21,74
2010-02-22,74
2010-02-23,74
2010-02-24,74
2010-02-25,74
2010-02-26,74
2010-02-27,74
2010-02-28,74
2010-03-01,74
2010-03-02,74
