Date,Fortress Investment
2006-05-07,0
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-13,0
2006-05-14,0
2006-05-15,0
2006-05-16,0
2006-05-17,0
2006-05-18,0
2006-05-19,0
2006-05-20,0
2006-05-21,2
2006-05-22,5
2006-05-23,8
2006-05-24,11
2006-05-25,13
2006-05-26,16
2006-05-27,19
2006-05-28,18
2006-05-29,17
2006-05-30,16
2006-05-31,15
2006-06-01,14
2006-06-02,13
2006-06-03,12
2006-06-04,12
2006-06-05,12
2006-06-06,12
2006-06-07,12
2006-06-08,12
2006-06-09,12
2006-06-10,12
2006-06-11,12
2006-06-12,12
2006-06-13,12
2006-06-14,12
2006-06-15,12
2006-06-16,12
2006-06-17,13
2006-06-18,10
2006-06-19,8
2006-06-20,6
2006-06-21,5
2006-06-22,3
2006-06-23,1
2006-06-24,0
2006-06-25,0
2006-06-26,0
2006-06-27,0
2006-06-28,0
2006-06-29,0
2006-06-30,0
2006-07-01,0
2006-07-02,0
2006-07-03,0
2006-07-04,0
2006-07-05,0
2006-07-06,0
2006-07-07,0
2006-07-08,0
2006-07-09,0
2006-07-10,0
2006-07-11,0
2006-07-12,0
2006-07-13,0
2006-07-14,0
2006-07-15,0
2006-07-16,0
2006-07-17,0
2006-07-18,0
2006-07-19,0
2006-07-20,0
2006-07-21,0
2006-07-22,0
2006-07-23,1
2006-07-24,2
2006-07-25,4
2006-07-26,5
2006-07-27,7
2006-07-28,8
2006-07-29,10
2006-07-30,11
2006-08-06,23
2006-08-07,25
2006-08-08,27
2006-08-09,29
2006-08-10,31
2006-08-11,32
2006-08-12,34
2006-08-13,33
2006-08-14,30
2006-08-15,29
2006-08-16,27
2006-08-17,25
2006-08-18,23
2006-08-19,22
2006-08-20,20
2006-08-21,19
2006-08-22,17
2006-08-23,16
2006-08-24,14
2006-08-25,13
2006-08-26,12
2006-08-27,11
2006-08-28,11
2006-08-29,11
2006-08-30,10
2006-08-31,10
2006-09-01,10
2006-09-02,10
2006-09-03,10
2006-09-04,10
2006-09-05,10
2006-09-06,10
2006-09-07,10
2006-09-08,10
2006-09-09,10
2006-09-10,10
2006-09-11,10
2006-09-12,11
2006-09-13,11
2006-09-14,12
2006-09-15,12
2006-09-16,13
2006-09-17,13
2006-09-18,12
2006-09-19,12
2006-09-20,12
2006-09-21,12
2006-09-22,12
2006-09-23,12
2006-09-24,12
2006-09-25,12
2006-09-26,12
2006-09-27,12
2006-09-28,12
2006-09-29,12
2006-09-30,12
2006-10-01,12
2006-10-02,13
2006-10-03,13
2006-10-04,13
2006-10-05,14
2006-10-06,14
2006-10-07,15
2006-10-08,14
2006-10-09,14
2006-10-10,13
2006-10-11,13
2006-10-12,12
2006-10-13,12
2006-10-14,12
2006-10-15,12
2006-10-16,12
2006-10-17,12
2006-10-18,12
2006-10-19,12
2006-10-20,12
2006-10-21,12
2006-10-22,12
2006-10-23,12
2006-10-24,12
2006-10-25,12
2006-10-26,12
2006-10-27,12
2006-10-28,12
2006-10-29,13
2006-11-05,23
2006-11-06,24
2006-11-07,25
2006-11-08,27
2006-11-09,28
2006-11-10,29
2006-11-11,31
2006-11-12,30
2006-11-13,29
2006-11-14,28
2006-11-15,27
2006-11-16,26
2006-11-17,25
2006-11-18,24
2006-11-19,23
2006-11-20,20
2006-11-21,19
2006-11-22,17
2006-11-23,16
2006-11-24,14
2006-11-25,13
2006-11-26,13
2006-11-27,13
2006-11-28,13
2006-11-29,13
2006-11-30,13
2006-12-01,13
2006-12-02,13
2006-12-03,13
2006-12-04,13
2006-12-05,14
2006-12-06,14
2006-12-07,14
2006-12-08,14
2006-12-09,15
2006-12-10,14
2006-12-11,13
2006-12-12,12
2006-12-13,12
2006-12-14,11
2006-12-15,10
