Date,Accretive Health
2009-03-07,0
2009-03-08,0
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,0
2009-03-13,0
2009-03-14,0
2009-03-15,0
2009-03-16,0
2009-03-17,0
2009-03-18,0
2009-03-19,0
2009-03-20,0
2009-03-21,0
2009-03-22,0
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-28,0
2009-03-29,0
2009-03-30,0
2009-03-31,0
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,3
2009-04-06,6
2009-04-07,10
2009-04-08,13
2009-04-09,17
2009-04-10,20
2009-04-11,24
2009-04-12,20
2009-04-13,17
2009-04-14,13
2009-04-15,10
2009-04-16,6
2009-04-17,3
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0
2009-05-02,0
2009-05-03,0
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,3
2009-05-25,7
2009-05-26,11
2009-05-27,15
2009-05-28,19
2009-05-29,23
2009-05-30,27
2009-05-31,27
2009-06-01,28
2009-06-02,28
2009-06-03,29
2009-06-04,29
2009-06-05,30
2009-06-06,31
2009-06-07,29
2009-06-08,28
2009-06-09,27
2009-06-10,25
2009-06-11,24
2009-06-12,23
2009-06-13,22
2009-06-14,22
2009-06-15,22
2009-06-16,22
2009-06-17,22
2009-06-18,22
2009-06-19,22
2009-06-20,22
2009-06-21,18
2009-06-22,15
2009-06-23,12
2009-06-24,9
2009-06-25,6
2009-06-26,3
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,3
2009-08-03,7
2009-08-04,11
2009-08-05,15
2009-08-06,19
2009-08-07,23
2009-08-08,27
2009-08-09,27
2009-08-10,27
2009-08-11,27
2009-08-12,27
2009-08-13,27
2009-08-14,27
2009-08-15,27
2009-08-16,26
2009-08-17,26
2009-08-18,26
2009-08-19,25
2009-08-20,25
2009-08-21,25
2009-08-22,25
2009-08-23,25
2009-08-24,25
2009-08-25,25
2009-08-26,25
2009-08-27,25
2009-08-28,25
2009-08-29,25
2009-08-30,25
2009-08-31,25
2009-09-06,25
2009-09-07,31
2009-09-08,25
2009-09-09,25
2009-09-10,25
2009-09-11,25
2009-09-12,25
2009-09-13,25
2009-09-14,25
2009-09-15,25
2009-09-16,25
2009-09-17,25
2009-09-18,25
2009-09-19,25
2009-09-20,24
2009-09-21,23
2009-09-22,23
2009-09-23,22
2009-09-24,22
2009-09-25,21
2009-09-26,21
2009-09-27,24
2009-09-28,28
2009-09-29,32
2009-09-30,35
2009-10-01,39
2009-10-02,43
2009-10-03,46
2009-10-04,43
2009-10-05,39
2009-10-06,36
2009-10-07,33
2009-10-08,30
2009-10-09,27
2009-10-10,24
2009-10-11,24
2009-10-12,24
2009-10-13,24
2009-10-14,24
2009-10-15,24
2009-10-16,24
2009-10-17,24
2009-10-18,23
2009-10-19,22
2009-10-20,22
2009-10-21,21
2009-10-22,21
2009-10-23,20
2009-10-24,20
2009-10-25,19
2009-10-26,19
2009-10-27,19
2009-10-28,19
2009-10-29,19
2009-10-30,19
2009-10-31,19
2009-11-01,19
2009-11-02,20
2009-11-03,20
2009-11-04,21
2009-11-05,21
2009-11-06,22
2009-11-07,23
2009-11-08,23
2009-11-09,24
2009-11-10,24
2009-11-11,25
2009-11-12,25
2009-11-13,26
2009-11-14,27
2009-11-15,27
2009-11-16,27
2009-11-17,27
2009-11-18,28
2009-11-19,28
2009-11-20,28
2009-11-21,29
2009-11-22,29
2009-11-23,29
2009-11-24,29
2009-11-25,30
2009-11-26,30
2009-11-27,30
2009-11-28,31
2009-11-29,31
2009-12-06,34
2009-12-07,34
2009-12-08,34
2009-12-09,35
2009-12-10,35
2009-12-11,35
2009-12-12,36
2009-12-13,33
2009-12-14,30
2009-12-15,28
2009-12-16,25
2009-12-17,23
2009-12-18,20
2009-12-19,18
2009-12-20,18
2009-12-21,18
2009-12-22,18
2009-12-23,18
2009-12-24,18
2009-12-25,18
2009-12-26,18
2009-12-27,18
2009-12-28,18
2009-12-29,18
2009-12-30,18
2009-12-31,18
2010-01-01,18
2010-01-02,18
2010-01-03,18
2010-01-04,18
2010-01-05,18
2010-01-06,18
2010-01-07,18
2010-01-08,18
2010-01-09,18
2010-01-10,18
2010-01-11,18
2010-01-12,18
2010-01-13,18
2010-01-14,18
2010-01-15,18
2010-01-16,18
2010-01-17,18
2010-01-18,18
2010-01-19,18
2010-01-20,18
2010-01-21,18
2010-01-22,18
2010-01-23,18
2010-01-24,18
2010-01-25,18
2010-01-26,18
2010-01-27,18
2010-01-28,18
2010-01-29,18
2010-01-30,19
2010-01-31,19
2010-02-01,19
2010-02-02,19
2010-02-03,19
2010-02-04,19
2010-02-05,19
2010-02-06,19
2010-02-07,20
2010-02-08,22
2010-02-09,24
2010-02-10,26
2010-02-11,28
2010-02-12,30
2010-02-13,32
2010-02-14,31
2010-02-15,31
2010-02-16,31
2010-02-17,30
2010-02-18,30
2010-02-19,29
2010-02-20,29
2010-02-21,29
2010-02-22,28
2010-02-23,27
2010-02-24,27
2010-02-25,26
2010-02-26,26
2010-02-27,26
2010-02-28,26
