Date,FXCM
2010-03-01,83
2010-03-02,85
2010-03-03,84
2010-03-04,88
2010-03-05,86
2010-03-06,87
2010-03-07,92
2010-03-08,89
2010-03-09,90
2010-03-10,94
2010-03-11,92
2010-03-12,97
2010-03-13,94
2010-03-14,92
2010-03-15,91
2010-03-16,91
2010-03-17,89
2010-03-18,88
2010-03-19,93
2010-03-20,90
2010-03-21,85
2010-03-22,85
2010-03-23,89
2010-03-24,84
2010-03-25,86
2010-03-26,83
2010-03-27,83
2010-03-28,88
2010-03-29,81
2010-03-30,82
2010-03-31,80
2010-04-01,84
2010-04-02,79
2010-04-03,84
2010-04-04,80
2010-04-05,81
2010-04-06,90
2010-04-07,83
2010-04-08,84
2010-04-09,87
2010-04-10,88
2010-04-11,86
2010-04-12,86
2010-04-13,89
2010-04-14,86
2010-04-15,89
2010-04-16,86
2010-04-17,97
2010-04-18,83
2010-04-19,81
2010-04-20,86
2010-04-21,77
2010-04-22,78
2010-04-23,73
2010-04-24,78
2010-04-25,72
2010-04-26,73
2010-04-27,75
2010-04-28,76
2010-04-29,82
2010-04-30,78
2010-05-01,80
2010-05-02,82
2010-05-03,89
2010-05-04,88
2010-05-05,91
2010-05-06,97
2010-05-07,97
2010-05-08,109
2010-05-09,98
2010-05-10,97
2010-05-11,100
2010-05-12,94
2010-05-13,98
2010-05-14,91
2010-05-15,92
2010-05-16,90
2010-05-17,92
2010-05-18,92
2010-05-19,91
2010-05-20,94
2010-05-21,97
2010-05-22,96
2010-05-23,94
2010-05-24,95
2010-05-25,102
2010-05-26,97
2010-05-27,98
2010-05-28,100
2010-05-29,107
2010-05-30,99
2010-05-31,96
2010-06-01,94
2010-06-02,92
2010-06-03,95
2010-06-04,94
2010-06-05,87
2010-06-06,86
2010-06-07,86
2010-06-08,92
2010-06-09,86
2010-06-10,85
2010-06-11,85
2010-06-12,95
2010-06-13,85
2010-06-14,88
2010-06-15,85
2010-06-16,87
2010-06-17,86
2010-06-18,86
2010-06-19,88
2010-06-20,85
2010-06-21,83
2010-06-22,84
2010-06-23,82
2010-06-24,78
2010-06-25,76
2010-06-26,75
2010-06-27,76
2010-06-28,78
2010-06-29,80
2010-06-30,83
2010-07-01,87
2010-07-02,86
2010-07-03,92
2010-07-04,86
2010-07-05,81
2010-07-06,80
2010-07-07,74
2010-07-08,70
2010-07-09,73
2010-07-10,64
2010-07-11,65
2010-07-12,68
2010-07-13,68
2010-07-14,69
2010-07-15,71
2010-07-16,78
2010-07-17,74
2010-07-18,76
2010-07-19,78
2010-07-20,81
2010-07-21,85
2010-07-22,86
2010-07-23,90
2010-07-24,97
2010-07-25,91
2010-07-26,93
2010-07-27,93
2010-07-28,101
2010-07-29,94
2010-07-30,96
2010-07-31,97
2010-08-01,100
2010-08-02,93
2010-08-03,92
2010-08-04,95
2010-08-05,90
2010-08-06,93
2010-08-07,88
2010-08-08,88
2010-08-09,92
2010-08-10,88
2010-08-11,90
2010-08-12,88
2010-08-13,93
2010-08-14,95
2010-08-15,89
2010-08-16,88
2010-08-17,89
2010-08-18,88
2010-08-19,93
2010-08-20,88
2010-08-21,102
2010-08-22,87
2010-08-23,86
2010-08-24,85
2010-08-25,85
