Date,AVEO Pharmaceuticals
2009-06-01,55
2009-06-02,54
2009-06-03,54
2009-06-04,54
2009-06-05,53
2009-06-06,53
2009-06-07,53
2009-06-08,53
2009-06-09,52
2009-06-10,52
2009-06-11,52
2009-06-12,52
2009-06-13,51
2009-06-14,51
2009-06-15,51
2009-06-16,51
2009-06-17,50
2009-06-18,50
2009-06-19,50
2009-06-20,49
2009-06-21,49
2009-06-22,49
2009-06-23,49
2009-06-24,48
2009-06-25,48
2009-06-26,48
2009-06-27,48
2009-06-28,47
2009-06-29,47
2009-06-30,47
2009-07-01,47
2009-07-02,46
2009-07-03,46
2009-07-04,46
2009-07-05,46
2009-07-06,46
2009-07-07,46
2009-07-08,45
2009-07-09,45
2009-07-10,45
2009-07-11,45
2009-07-12,45
2009-07-13,45
2009-07-14,44
2009-07-15,44
2009-07-16,44
2009-07-17,44
2009-07-18,44
2009-07-19,44
2009-07-20,43
2009-07-21,43
2009-07-22,43
2009-07-23,43
2009-07-24,43
2009-07-25,43
2009-07-26,42
2009-07-27,42
2009-07-28,42
2009-07-29,42
2009-07-30,42
2009-07-31,42
2009-08-01,42
2009-08-02,41
2009-08-03,41
2009-08-04,40
2009-08-05,40
2009-08-06,40
2009-08-07,39
2009-08-08,39
2009-08-09,39
2009-08-10,38
2009-08-11,38
2009-08-12,38
2009-08-13,37
2009-08-14,37
2009-08-15,37
2009-08-16,36
2009-08-17,36
2009-08-18,35
2009-08-19,35
2009-08-20,35
2009-08-21,34
2009-08-22,34
2009-08-23,34
2009-08-24,33
2009-08-25,33
2009-08-26,33
2009-08-27,32
2009-08-28,32
2009-08-29,32
2009-08-30,31
2009-08-31,31
2009-09-01,31
2009-09-02,30
2009-09-03,30
2009-09-04,30
2009-09-05,30
2009-09-06,30
2009-09-07,30
2009-09-08,30
2009-09-09,30
2009-09-10,30
2009-09-11,30
2009-09-12,30
2009-09-13,30
2009-09-14,30
2009-09-15,30
2009-09-16,30
2009-09-17,29
2009-09-18,29
2009-09-19,29
2009-09-20,29
2009-09-21,29
2009-09-22,29
2009-09-23,29
2009-09-24,29
2009-09-25,29
2009-09-26,29
2009-09-27,29
2009-09-28,29
2009-09-29,29
2009-09-30,29
2009-10-01,29
2009-10-02,29
2009-10-03,29
2009-10-04,30
2009-10-05,30
2009-10-06,31
2009-10-07,31
2009-10-08,31
2009-10-09,32
2009-10-10,32
2009-10-11,33
2009-10-12,33
2009-10-13,34
2009-10-14,34
2009-10-15,34
2009-10-16,35
2009-10-17,35
2009-10-18,36
2009-10-19,36
2009-10-20,36
2009-10-21,37
2009-10-22,37
2009-10-23,38
2009-10-24,38
2009-10-25,39
2009-10-26,39
2009-10-27,39
2009-10-28,40
2009-10-29,40
2009-10-30,41
2009-10-31,41
2009-11-01,42
2009-11-02,42
2009-11-03,42
2009-11-04,43
2009-11-05,43
2009-11-06,44
2009-11-07,44
2009-11-08,45
2009-11-09,45
2009-11-10,45
2009-11-11,46
2009-11-12,46
2009-11-13,47
2009-11-14,47
2009-11-15,48
2009-11-16,48
2009-11-17,48
2009-11-18,49
2009-11-19,49
2009-11-20,50
2009-11-21,50
2009-11-22,51
2009-11-23,51
2009-11-24,51
2009-11-25,52
2009-11-26,52
2009-11-27,53
2009-11-28,53
2009-11-29,54
2009-11-30,54
2009-12-01,55
2009-12-02,54
2009-12-03,54
2009-12-04,54
2009-12-05,54
2009-12-06,54
2009-12-07,54
2009-12-08,53
2009-12-09,53
2009-12-10,53
2009-12-11,53
2009-12-12,53
2009-12-13,53
2009-12-14,52
2009-12-15,52
2009-12-16,52
2009-12-17,52
2009-12-18,52
2009-12-19,52
2009-12-20,51
2009-12-21,51
2009-12-22,51
2009-12-23,51
2009-12-24,51
2009-12-25,51
2009-12-26,50
2009-12-27,50
2009-12-28,50
2009-12-29,50
2009-12-30,50
2009-12-31,50
2010-01-01,50
2010-01-02,50
2010-01-03,50
2010-01-04,51
2010-01-05,51
2010-01-06,52
2010-01-07,52
2010-01-08,52
2010-01-09,53
2010-01-10,53
2010-01-11,54
2010-01-12,54
2010-01-13,55
2010-01-14,55
2010-01-15,55
2010-01-16,56
2010-01-17,56
2010-01-18,57
2010-01-19,57
2010-01-20,57
2010-01-21,58
2010-01-22,58
2010-01-23,59
2010-01-24,59
2010-01-25,60
2010-01-26,60
2010-01-27,60
2010-01-28,61
2010-01-29,61
2010-01-30,62
2010-01-31,62
2010-02-01,63
2010-02-02,63
2010-02-03,64
2010-02-04,65
2010-02-05,66
2010-02-06,67
2010-02-07,68
2010-02-08,69
2010-02-09,70
2010-02-10,71
2010-02-11,72
2010-02-12,73
2010-02-13,74
2010-02-14,75
2010-02-15,76
2010-02-16,77
2010-02-17,78
2010-02-18,79
2010-02-19,80
2010-02-20,81
2010-02-21,82
2010-02-22,83
2010-02-23,84
2010-02-24,85
2010-02-25,86
2010-02-26,87
2010-02-27,88
2010-02-28,89
2010-03-01,90
2010-03-02,88
2010-03-03,87
2010-03-04,86
2010-03-05,84
2010-03-06,83
2010-03-07,82
2010-03-08,80
2010-03-09,79
2010-03-10,78
2010-03-11,77
2010-03-12,75
2010-03-13,74
2010-03-14,73
2010-03-15,71
2010-03-16,70
2010-03-17,69
2010-03-18,68
2010-03-19,66
2010-03-20,65
2010-03-21,64
2010-03-22,62
2010-03-23,61
2010-03-24,60
2010-03-25,59
2010-03-26,57
2010-03-27,56
2010-03-28,55
2010-03-29,53
2010-03-30,52
2010-03-31,51
2010-04-01,50
2010-04-02,49
2010-04-03,48
2010-04-04,48
2010-04-05,47
2010-04-06,46
2010-04-07,46
2010-04-08,45
2010-04-09,44
2010-04-10,44
2010-04-11,43
2010-04-12,43
2010-04-13,42
2010-04-14,41
2010-04-15,41
2010-04-16,40
2010-04-17,39
2010-04-18,39
2010-04-19,38
2010-04-20,37
2010-04-21,37
2010-04-22,36
2010-04-23,36
2010-04-24,35
2010-04-25,34
2010-04-26,34
2010-04-27,33
2010-04-28,32
2010-04-29,32
2010-04-30,31
2010-05-01,31
2010-05-02,31
2010-05-03,31
2010-05-04,31
2010-05-05,32
2010-05-06,32
2010-05-07,32
2010-05-08,33
2010-05-09,33
2010-05-10,33
2010-05-11,34
2010-05-12,34
2010-05-13,34
2010-05-14,35
2010-05-15,35
2010-05-16,35
2010-05-17,36
2010-05-18,36
2010-05-19,36
2010-05-20,37
2010-05-21,37
2010-05-22,37
2010-05-23,38
2010-05-24,38
2010-05-25,38
2010-05-26,39
2010-05-27,39
2010-05-28,39
2010-05-29,40
2010-05-30,40
2010-05-31,40
2010-06-01,41
2010-06-02,41
2010-06-03,41
2010-06-04,41
2010-06-05,41
2010-06-06,41
2010-06-07,41
2010-06-08,41
2010-06-09,41
2010-06-10,41
2010-06-11,41
2010-06-12,41
2010-06-13,41
2010-06-14,41
2010-06-15,41
2010-06-16,42
2010-06-17,42
2010-06-18,42
2010-06-19,42
2010-06-20,42
2010-06-21,42
2010-06-22,42
2010-06-23,42
2010-06-24,42
2010-06-25,42
2010-06-26,42
2010-06-27,42
2010-06-28,42
2010-06-29,42
2010-06-30,42
2010-07-01,43
2010-07-02,43
2010-07-03,43
2010-07-04,44
2010-07-05,44
2010-07-06,44
2010-07-07,45
2010-07-08,45
2010-07-09,45
2010-07-10,46
2010-07-11,46
