Date,Greenway Medical
2011-01-08,42
2011-01-09,40
2011-01-10,38
2011-01-11,36
2011-01-12,34
2011-01-13,32
2011-01-14,30
2011-01-15,29
2011-01-16,29
2011-01-17,30
2011-01-18,31
2011-01-19,32
2011-01-20,33
2011-01-21,34
2011-01-22,35
2011-01-23,33
2011-01-24,31
2011-01-25,30
2011-01-26,28
2011-01-27,27
2011-01-28,25
2011-01-29,24
2011-01-30,24
2011-01-31,25
2011-02-01,26
2011-02-02,26
2011-02-03,27
2011-02-04,28
2011-02-05,29
2011-02-06,31
2011-02-07,33
2011-02-08,35
2011-02-09,38
2011-02-10,40
2011-02-11,42
2011-02-12,45
2011-02-13,42
2011-02-14,39
2011-02-15,36
2011-02-16,33
2011-02-17,31
2011-02-18,28
2011-02-19,25
2011-02-20,26
2011-02-21,27
2011-02-22,28
2011-02-23,29
2011-02-24,30
2011-02-25,31
2011-02-26,32
2011-02-27,32
2011-02-28,33
2011-03-01,34
2011-03-02,35
2011-03-03,36
2011-03-04,37
2011-03-05,38
2011-03-06,37
2011-03-07,35
2011-03-08,34
2011-03-09,33
2011-03-10,32
2011-03-11,31
2011-03-12,30
2011-03-13,30
2011-03-14,30
2011-03-15,30
2011-03-16,30
2011-03-17,30
2011-03-18,30
2011-03-19,30
2011-03-20,29
2011-03-21,29
2011-03-22,29
2011-03-23,29
2011-03-24,29
2011-03-25,29
2011-03-26,29
2011-03-27,29
2011-04-03,31
2011-04-04,30
2011-04-05,30
2011-04-06,29
2011-04-07,29
2011-04-08,28
2011-04-09,28
2011-04-10,29
2011-04-11,31
2011-04-12,32
2011-04-13,34
2011-04-14,36
2011-04-15,37
2011-04-16,39
2011-04-17,37
2011-04-18,35
2011-04-19,33
2011-04-20,31
2011-04-21,29
2011-04-22,27
2011-04-23,25
2011-04-24,27
2011-04-25,30
2011-04-26,33
2011-04-27,36
2011-04-28,39
2011-04-29,42
2011-04-30,44
2011-05-01,41
2011-05-02,37
2011-05-03,34
2011-05-04,30
2011-05-05,27
2011-05-06,24
2011-05-07,21
2011-05-08,21
2011-05-09,21
2011-05-10,21
2011-05-11,21
2011-05-12,21
2011-05-13,21
2011-05-14,21
2011-05-15,22
2011-05-16,24
2011-05-17,26
2011-05-18,28
2011-05-19,30
2011-05-20,32
2011-05-21,34
2011-05-22,34
2011-05-23,34
2011-05-24,35
2011-05-25,35
2011-05-26,36
2011-05-27,36
2011-05-28,37
2011-05-29,37
2011-05-30,38
2011-05-31,39
2011-06-01,39
2011-06-02,40
2011-06-03,40
2011-06-04,41
2011-06-05,41
2011-06-06,40
2011-06-07,40
2011-06-08,39
2011-06-09,39
2011-06-10,39
2011-06-11,39
2011-06-12,37
2011-06-13,36
2011-06-14,35
2011-06-15,34
2011-06-16,33
2011-06-17,32
2011-06-18,31
2011-06-19,31
2011-06-20,32
2011-06-21,33
2011-06-22,33
2011-06-23,34
2011-06-24,35
2011-06-25,36
2011-06-26,40
2011-07-03,59
2011-07-04,55
2011-07-05,51
2011-07-06,46
2011-07-07,42
2011-07-08,38
2011-07-09,34
2011-07-10,35
2011-07-11,36
2011-07-12,37
2011-07-13,39
2011-07-14,40
2011-07-15,41
2011-07-16,43
2011-07-17,42
2011-07-18,42
2011-07-19,41
2011-07-20,41
2011-07-21,41
2011-07-22,40
2011-07-23,40
2011-07-24,40
2011-07-25,41
2011-07-26,41
2011-07-27,42
2011-07-28,42
2011-07-29,43
2011-07-30,44
2011-07-31,44
2011-08-01,46
2011-08-02,46
2011-08-03,47
2011-08-04,48
2011-08-05,49
2011-08-06,49
2011-08-07,46
2011-08-08,41
2011-08-09,37
2011-08-10,34
2011-08-11,30
2011-08-12,26
2011-08-13,23
2011-08-14,26
2011-08-15,30
2011-08-16,33
2011-08-17,37
2011-08-18,41
2011-08-19,44
2011-08-20,48
2011-08-21,45
2011-08-22,41
2011-08-23,38
2011-08-24,35
2011-08-25,32
2011-08-26,29
2011-08-27,26
2011-08-28,28
2011-08-29,31
2011-08-30,33
2011-08-31,35
2011-09-01,38
2011-09-02,40
2011-09-03,43
2011-09-04,43
2011-09-05,42
2011-09-06,42
2011-09-07,41
2011-09-08,41
2011-09-09,41
2011-09-10,41
2011-09-11,39
2011-09-12,38
2011-09-13,36
2011-09-14,35
2011-09-15,33
2011-09-16,32
2011-09-17,31
2011-09-18,34
2011-09-19,38
2011-09-20,42
2011-09-21,46
2011-09-22,49
2011-09-23,53
2011-09-24,57
2011-09-25,56
2011-10-02,50
2011-10-03,50
2011-10-04,51
2011-10-05,51
2011-10-06,51
2011-10-07,51
2011-10-08,51
2011-10-09,49
2011-10-10,47
2011-10-11,44
2011-10-12,42
2011-10-13,40
2011-10-14,37
2011-10-15,35
2011-10-16,33
2011-10-17,31
2011-10-18,29
2011-10-19,27
2011-10-20,25
2011-10-21,23
2011-10-22,22
2011-10-23,23
2011-10-24,24
2011-10-25,26
2011-10-26,27
2011-10-27,29
2011-10-28,30
2011-10-29,32
2011-10-30,33
2011-10-31,34
2011-11-01,36
2011-11-02,37
2011-11-03,38
2011-11-04,40
2011-11-05,41
2011-11-06,40
2011-11-07,38
2011-11-08,36
2011-11-09,35
2011-11-10,33
2011-11-11,32
2011-11-12,31
2011-11-13,32
2011-11-14,34
2011-11-15,36
2011-11-16,38
2011-11-17,40
2011-11-18,42
2011-11-19,44
2011-11-20,41
2011-11-21,38
2011-11-22,36
2011-11-23,33
2011-11-24,31
2011-11-25,28
2011-11-26,26
2011-11-27,26
2011-11-28,27
2011-11-29,27
2011-11-30,27
2011-12-01,28
2011-12-02,28
2011-12-03,29
2011-12-04,28
2011-12-05,27
2011-12-06,26
2011-12-07,25
2011-12-08,24
2011-12-09,23
2011-12-10,23
2011-12-11,24
2011-12-12,26
2011-12-13,27
2011-12-14,29
2011-12-15,31
2011-12-16,32
2011-12-17,34
2011-12-18,32
2011-12-19,31
