Date,Vera Bradley
2010-01-01,50
2010-01-02,50
2010-01-03,48
2010-01-04,49
2010-01-05,46
2010-01-06,46
2010-01-07,44
2010-01-08,42
2010-01-09,41
2010-01-10,40
2010-01-11,41
2010-01-12,40
2010-01-13,38
2010-01-14,38
2010-01-15,38
2010-01-16,37
2010-01-17,36
2010-01-18,37
2010-01-19,36
2010-01-20,35
2010-01-21,35
2010-01-22,35
2010-01-23,35
2010-01-24,35
2010-01-25,34
2010-01-26,34
2010-01-27,33
2010-01-28,33
2010-01-29,32
2010-01-30,32
2010-01-31,32
2010-02-01,33
2010-02-02,33
2010-02-03,33
2010-02-04,34
2010-02-05,34
2010-02-06,35
2010-02-07,34
2010-02-08,34
2010-02-09,33
2010-02-10,33
2010-02-11,33
2010-02-12,32
2010-02-13,32
2010-02-14,32
2010-02-15,31
2010-02-16,32
2010-02-17,31
2010-02-18,30
2010-02-19,30
2010-02-20,30
2010-02-21,30
2010-02-22,31
2010-02-23,32
2010-02-24,31
2010-02-25,31
2010-02-26,31
2010-02-27,32
2010-02-28,32
2010-03-01,32
2010-03-02,33
2010-03-03,33
2010-03-04,32
2010-03-05,32
2010-03-06,33
2010-03-07,33
2010-03-08,35
2010-03-09,33
2010-03-10,33
2010-03-11,33
2010-03-12,33
2010-03-13,33
2010-03-14,33
2010-03-15,34
2010-03-16,33
2010-03-17,33
2010-03-18,34
2010-03-19,33
2010-03-20,33
2010-03-21,33
2010-03-22,33
2010-03-23,33
2010-03-24,34
2010-03-25,34
2010-03-26,36
2010-03-27,35
2010-03-28,35
2010-03-29,36
2010-03-30,36
2010-03-31,37
2010-04-01,37
2010-04-02,37
2010-04-03,38
2010-04-04,38
2010-04-05,36
2010-04-06,37
2010-04-07,36
2010-04-08,35
2010-04-09,34
2010-04-10,34
2010-04-11,34
2010-04-12,34
2010-04-13,35
2010-04-14,34
2010-04-15,34
2010-04-16,34
2010-04-17,34
2010-04-18,35
2010-04-19,38
2010-04-20,38
2010-04-21,39
2010-04-22,41
2010-04-23,42
2010-04-24,44
2010-04-25,45
2010-04-26,48
2010-04-27,49
2010-04-28,51
2010-04-29,53
2010-04-30,55
2010-05-01,57
2010-05-02,56
2010-05-03,55
2010-05-04,55
2010-05-05,52
2010-05-06,50
2010-05-07,49
2010-05-08,48
2010-05-09,47
2010-05-10,47
2010-05-11,45
2010-05-12,44
2010-05-13,43
2010-05-14,43
2010-05-15,42
2010-05-16,41
2010-05-17,40
2010-05-18,41
2010-05-19,40
2010-05-20,39
2010-05-21,38
2010-05-22,38
2010-05-23,38
2010-05-24,39
2010-05-25,40
2010-05-26,39
2010-05-27,40
2010-05-28,40
2010-05-29,41
2010-05-30,42
2010-05-31,40
2010-06-01,41
2010-06-02,40
2010-06-03,40
2010-06-04,40
2010-06-05,40
2010-06-06,40
2010-06-07,40
2010-06-08,40
2010-06-09,40
2010-06-10,40
2010-06-11,42
2010-06-12,41
2010-06-13,41
2010-06-14,41
2010-06-15,40
2010-06-16,40
2010-06-17,40
2010-06-18,40
