Date,Splunk
2011-07-01,28
2011-07-02,33
2011-07-03,27
2011-07-04,26
2011-07-05,25
2011-07-06,25
2011-07-07,26
2011-07-08,23
2011-07-09,23
2011-07-10,23
2011-07-11,23
2011-07-12,23
2011-07-13,23
2011-07-14,23
2011-07-15,23
2011-07-16,26
2011-07-17,23
2011-07-18,23
2011-07-19,23
2011-07-20,24
2011-07-21,25
2011-07-22,24
2011-07-23,29
2011-07-24,25
2011-07-25,25
2011-07-26,26
2011-07-27,26
2011-07-28,27
2011-07-29,27
2011-07-30,31
2011-07-31,27
2011-08-01,26
2011-08-02,25
2011-08-03,25
2011-08-04,26
2011-08-05,25
2011-08-06,23
2011-08-07,23
2011-08-08,24
2011-08-09,24
2011-08-10,26
2011-08-11,25
2011-08-12,26
2011-08-13,31
2011-08-14,28
2011-08-15,27
2011-08-16,27
2011-08-17,27
2011-08-18,27
2011-08-19,29
2011-08-20,30
2011-08-21,27
2011-08-22,27
2011-08-23,28
2011-08-24,28
2011-08-25,29
2011-08-26,28
2011-08-27,29
2011-08-28,29
2011-08-29,29
2011-08-30,29
2011-08-31,30
2011-09-01,30
2011-09-02,33
2011-09-03,35
2011-09-04,29
2011-09-05,28
2011-09-06,27
2011-09-07,25
2011-09-08,24
2011-09-09,24
2011-09-10,25
2011-09-11,22
2011-09-12,23
2011-09-13,24
2011-09-14,25
2011-09-15,25
2011-09-16,27
2011-09-17,31
2011-09-18,27
2011-09-19,27
2011-09-20,28
2011-09-21,28
2011-09-22,29
2011-09-23,31
2011-09-24,34
2011-09-25,29
2011-09-26,28
2011-09-27,28
2011-09-28,28
2011-09-29,27
2011-09-30,27
2011-10-01,26
2011-10-02,28
2011-10-03,27
2011-10-04,28
2011-10-05,28
2011-10-06,30
2011-10-07,31
2011-10-08,33
2011-10-09,30
2011-10-10,30
2011-10-11,30
2011-10-12,30
2011-10-13,29
2011-10-14,30
2011-10-15,34
2011-10-16,29
2011-10-17,29
2011-10-18,30
2011-10-19,30
2011-10-20,30
2011-10-21,32
2011-10-22,35
2011-10-23,32
2011-10-24,30
2011-10-25,30
2011-10-26,32
2011-10-27,30
2011-10-28,30
2011-10-29,34
2011-10-30,29
2011-10-31,29
2011-11-01,29
2011-11-02,28
2011-11-03,29
2011-11-04,28
2011-11-05,34
2011-11-06,28
2011-11-07,28
2011-11-08,28
2011-11-09,29
2011-11-10,29
2011-11-11,32
2011-11-12,34
2011-11-13,30
2011-11-14,30
2011-11-15,30
2011-11-16,30
2011-11-17,30
2011-11-18,31
2011-11-19,35
2011-11-20,29
2011-11-21,27
2011-11-22,28
2011-11-23,25
2011-11-24,24
2011-11-25,23
2011-11-26,25
2011-11-27,23
2011-11-28,23
2011-11-29,24
2011-11-30,26
2011-12-01,26
2011-12-02,27
2011-12-03,31
2011-12-04,29
2011-12-05,28
2011-12-06,28
2011-12-07,28
2011-12-08,28
2011-12-09,28
2011-12-10,33
2011-12-11,28
2011-12-12,28
2011-12-13,28
2011-12-14,28
2011-12-15,28
2011-12-16,30
2011-12-17,33
2011-12-18,30
2011-12-19,27
2011-12-20,27
2011-12-21,26
2011-12-22,25
2011-12-23,28
2011-12-24,24
2011-12-25,23
2011-12-26,22
2011-12-27,23
2011-12-28,21
2011-12-29,21
2011-12-30,22
2011-12-31,20
2012-01-01,20
2012-01-02,24
2012-01-03,22
2012-01-04,22
2012-01-05,23
2012-01-06,24
2012-01-07,29
2012-01-08,27
2012-01-09,29
2012-01-10,31
2012-01-11,33
2012-01-12,35
2012-01-13,37
2012-01-14,47
2012-01-15,42
2012-01-16,39
2012-01-17,39
2012-01-18,40
2012-01-19,38
2012-01-20,38
2012-01-21,45
2012-01-22,40
2012-01-23,37
