Date,Mobitv
2012-01-01,48
2012-01-02,48
2012-01-03,49
2012-01-04,49
2012-01-05,49
2012-01-06,49
2012-01-07,50
2012-01-08,51
2012-01-09,52
2012-01-10,56
2012-01-11,54
2012-01-12,59
2012-01-13,56
2012-01-14,57
2012-01-15,55
2012-01-16,55
2012-01-17,53
2012-01-18,53
2012-01-19,50
2012-01-20,49
2012-01-21,50
2012-01-22,46
2012-01-23,45
2012-01-24,44
2012-01-25,43
2012-01-26,42
2012-01-27,41
2012-01-28,40
2012-01-29,41
2012-01-30,46
2012-01-31,45
2012-02-01,45
2012-02-02,47
2012-02-03,53
2012-02-04,50
2012-02-05,50
2012-02-06,51
2012-02-07,52
2012-02-08,52
2012-02-09,56
2012-02-10,54
2012-02-11,55
2012-02-12,55
2012-02-13,55
2012-02-14,55
2012-02-15,56
2012-02-16,55
2012-02-17,55
2012-02-18,55
2012-02-19,58
2012-02-20,58
2012-02-21,58
2012-02-22,59
2012-02-23,63
2012-02-24,61
2012-02-25,63
2012-02-26,59
2012-02-27,61
2012-02-28,52
2012-02-29,49
2012-03-01,45
2012-03-02,42
2012-03-03,39
2012-03-04,40
2012-03-05,41
2012-03-06,42
2012-03-07,47
2012-03-08,44
2012-03-09,46
2012-03-10,47
2012-03-11,48
2012-03-12,46
2012-03-13,46
2012-03-14,46
2012-03-15,46
2012-03-16,46
2012-03-17,46
2012-03-18,47
2012-03-19,44
2012-03-20,44
2012-03-21,43
2012-03-22,46
2012-03-23,42
2012-03-24,42
2012-03-25,42
2012-03-26,43
2012-03-27,44
2012-03-28,48
2012-03-29,46
2012-03-30,47
2012-03-31,48
2012-04-01,49
2012-04-02,55
2012-04-03,53
2012-04-04,54
2012-04-05,57
2012-04-06,60
2012-04-07,60
2012-04-08,66
2012-04-09,65
2012-04-10,68
2012-04-11,71
2012-04-12,84
2012-04-13,77
2012-04-14,79
2012-04-15,76
2012-04-16,79
2012-04-17,71
2012-04-18,68
2012-04-19,70
2012-04-20,67
2012-04-21,61
2012-04-22,63
2012-04-23,66
2012-04-24,63
2012-04-25,63
2012-04-26,73
2012-04-27,66
2012-04-28,66
2012-04-29,66
2012-04-30,60
2012-05-01,59
2012-05-02,55
2012-05-03,53
2012-05-04,50
2012-05-05,49
2012-05-06,48
2012-05-07,47
2012-05-08,51
2012-05-09,47
2012-05-10,47
2012-05-11,47
2012-05-12,47
2012-05-13,49
2012-05-14,48
2012-05-15,49
2012-05-16,50
2012-05-17,51
2012-05-18,52
2012-05-19,53
2012-05-20,54
2012-05-21,53
2012-05-22,53
2012-05-23,53
2012-05-24,55
2012-05-25,53
2012-05-26,53
2012-05-27,57
2012-05-28,52
2012-05-29,51
2012-05-30,51
2012-05-31,50
2012-06-01,51
2012-06-02,50
2012-06-03,52
2012-06-04,50
2012-06-05,51
2012-06-06,53
2012-06-07,52
2012-06-08,52
2012-06-09,53
2012-06-10,59
2012-06-11,66
2012-06-12,74
2012-06-13,82
2012-06-14,89
2012-06-15,93
2012-06-16,105
2012-06-17,95
2012-06-18,93
2012-06-19,86
2012-06-20,81
2012-06-21,77
2012-06-22,80
2012-06-23,68
2012-06-24,66
2012-06-25,67
2012-06-26,62
2012-06-27,61
2012-06-28,59
2012-06-29,60
2012-06-30,56
2012-07-01,55
2012-07-02,63
2012-07-03,54
2012-07-04,54
2012-07-05,53
2012-07-06,53
2012-07-07,53
2012-07-08,52
2012-07-09,51
2012-07-10,50
2012-07-11,53
2012-07-12,49
2012-07-13,48
2012-07-14,48
2012-07-15,52
2012-07-16,52
2012-07-17,55
2012-07-18,62
2012-07-19,60
2012-07-20,67
2012-07-21,65
2012-07-22,65
2012-07-23,65
2012-07-24,71
2012-07-25,65
2012-07-26,65
2012-07-27,65
2012-07-28,65
2012-07-29,64
2012-07-30,69
2012-07-31,62
2012-08-01,61
2012-08-02,60
2012-08-03,63
2012-08-04,58
2012-08-05,55
2012-08-06,53
2012-08-07,54
2012-08-08,48
2012-08-09,46
2012-08-10,44
2012-08-11,42
2012-08-12,44
2012-08-13,47
2012-08-14,49
2012-08-15,53
2012-08-16,56
2012-08-17,56
2012-08-18,59
2012-08-19,62
2012-08-20,59
2012-08-21,68
2012-08-22,60
2012-08-23,61
2012-08-24,61
2012-08-25,65
2012-08-26,60
2012-08-27,61
2012-08-28,56
2012-08-29,54
2012-08-30,54
2012-08-31,50
2012-09-01,49
2012-09-02,49
2012-09-03,55
2012-09-04,51
2012-09-05,51
2012-09-06,52
2012-09-07,53
2012-09-08,54
2012-09-09,55
2012-09-10,51
2012-09-11,51
2012-09-12,49
2012-09-13,50
2012-09-14,47
2012-09-15,46
2012-09-16,46
2012-09-17,46
2012-09-18,46
2012-09-19,47
2012-09-20,47
2012-09-21,47
2012-09-22,50
2012-09-23,48
2012-09-24,52
2012-09-25,49
2012-09-26,53
2012-09-27,50
2012-09-28,50
2012-09-29,51
2012-09-30,53
2012-10-01,50
2012-10-02,50
2012-10-03,50
2012-10-04,51
2012-10-05,49
2012-10-06,49
2012-10-07,47
2012-10-08,49
2012-10-09,44
2012-10-10,43
2012-10-11,41
2012-10-12,40
2012-10-13,39
2012-10-14,41
2012-10-15,43
2012-10-16,49
2012-10-17,48
2012-10-18,53
2012-10-19,53
2012-10-20,56
2012-10-21,60
2012-10-22,52
2012-10-23,50
2012-10-24,49
2012-10-25,49
2012-10-26,45
2012-10-27,44
2012-10-28,44
2012-10-29,43
2012-10-30,43
2012-10-31,42
2012-11-01,42
2012-11-02,42
2012-11-03,42
2012-11-04,42
2012-11-05,42
2012-11-06,42
2012-11-07,46
2012-11-08,43
2012-11-09,43
2012-11-10,44
2012-11-11,45
2012-11-12,51
2012-11-13,47
2012-11-14,50
2012-11-15,50
2012-11-16,51
2012-11-17,53
2012-11-18,52
2012-11-19,56
2012-11-20,52
2012-11-21,51
2012-11-22,55
2012-11-23,51
2012-11-24,51
2012-11-25,50
2012-11-26,53
2012-11-27,51
2012-11-28,49
2012-11-29,52
2012-11-30,49
2012-12-01,53
2012-12-02,46
2012-12-03,44
2012-12-04,41
2012-12-05,42
2012-12-06,36
2012-12-07,33
2012-12-08,31
2012-12-09,32
2012-12-10,33
2012-12-11,34
2012-12-12,35
2012-12-13,36
2012-12-14,37
2012-12-15,38
2012-12-16,38
2012-12-17,37
2012-12-18,37
2012-12-19,37
2012-12-20,36
