Date,Jive Software
2012-03-02,24
2012-03-03,25
2012-03-04,24
2012-03-05,23
2012-03-06,22
2012-03-07,24
2012-03-08,21
2012-03-09,21
2012-03-10,20
2012-03-11,20
2012-03-12,21
2012-03-13,22
2012-03-14,24
2012-03-15,24
2012-03-16,25
2012-03-17,26
2012-03-18,25
2012-03-19,25
2012-03-20,25
2012-03-21,27
2012-03-22,24
2012-03-23,24
2012-03-24,24
2012-03-25,24
2012-03-26,24
2012-03-27,25
2012-03-28,25
2012-03-29,25
2012-03-30,24
2012-03-31,25
2012-04-01,24
2012-04-02,24
2012-04-03,24
2012-04-04,23
2012-04-05,22
2012-04-06,24
2012-04-07,22
2012-04-08,21
2012-04-09,21
2012-04-10,21
2012-04-11,21
2012-04-12,21
2012-04-13,22
2012-04-14,22
2012-04-15,21
2012-04-16,21
2012-04-17,21
2012-04-18,21
2012-04-19,21
2012-04-20,23
2012-04-21,21
2012-04-22,20
2012-04-23,20
2012-04-24,20
2012-04-25,21
2012-04-26,20
2012-04-27,20
2012-04-28,20
2012-04-29,20
2012-04-30,21
2012-05-01,22
2012-05-02,23
2012-05-03,24
2012-05-04,27
2012-05-05,27
2012-05-06,25
2012-05-07,25
2012-05-08,25
2012-05-09,25
2012-05-10,28
2012-05-11,25
2012-05-12,25
2012-05-13,24
2012-05-14,23
2012-05-15,22
2012-05-16,23
2012-05-17,21
2012-05-18,20
2012-05-19,20
2012-05-20,20
2012-05-21,21
2012-05-22,22
2012-05-23,22
2012-05-24,24
2012-05-25,23
2012-05-26,24
2012-05-27,23
2012-05-28,23
2012-05-29,23
2012-05-30,25
2012-05-31,23
2012-06-01,24
2012-06-02,23
2012-06-03,22
2012-06-04,22
2012-06-05,22
2012-06-06,21
2012-06-07,21
2012-06-08,23
2012-06-09,21
2012-06-10,21
2012-06-11,22
2012-06-12,22
2012-06-13,23
2012-06-14,24
2012-06-15,24
2012-06-16,26
2012-06-17,24
2012-06-18,23
2012-06-19,22
2012-06-20,21
2012-06-21,20
2012-06-22,20
2012-06-23,18
2012-06-24,18
2012-06-25,19
2012-06-26,20
2012-06-27,22
2012-06-28,22
2012-06-29,24
2012-06-30,24
2012-07-01,23
2012-07-02,22
2012-07-03,21
2012-07-04,21
2012-07-05,20
2012-07-06,19
2012-07-07,19
2012-07-08,20
2012-07-09,21
2012-07-10,23
2012-07-11,24
2012-07-12,28
2012-07-13,27
2012-07-14,29
2012-07-15,29
2012-07-16,29
2012-07-17,29
2012-07-18,29
2012-07-19,29
2012-07-20,31
2012-07-21,29
2012-07-22,28
2012-07-23,27
2012-07-24,27
2012-07-25,28
2012-07-26,25
2012-07-27,25
2012-07-28,24
2012-07-29,23
2012-07-30,22
2012-07-31,22
2012-08-01,21
2012-08-02,21
2012-08-03,20
2012-08-04,20
2012-08-05,20
2012-08-06,21
2012-08-07,21
2012-08-08,22
2012-08-09,23
2012-08-10,23
2012-08-11,24
2012-08-12,23
2012-08-13,23
2012-08-14,22
2012-08-15,22
2012-08-16,22
2012-08-17,21
2012-08-18,21
2012-08-19,20
2012-08-20,20
2012-08-21,21
