Date,Kosmos Energy
2010-07-04,40
2010-07-05,49
2010-07-06,40
2010-07-07,40
2010-07-08,40
2010-07-09,40
2010-07-10,41
2010-07-11,41
2010-07-12,41
2010-07-13,41
2010-07-14,42
2010-07-15,42
2010-07-16,42
2010-07-17,43
2010-07-18,44
2010-07-19,45
2010-07-20,46
2010-07-21,48
2010-07-22,49
2010-07-23,50
2010-07-24,52
2010-07-25,50
2010-07-26,49
2010-07-27,48
2010-07-28,47
2010-07-29,45
2010-07-30,44
2010-07-31,43
2010-08-01,42
2010-08-02,41
2010-08-03,40
2010-08-04,39
2010-08-05,38
2010-08-06,37
2010-08-07,36
2010-08-08,36
2010-08-09,36
2010-08-10,36
2010-08-11,36
2010-08-12,36
2010-08-13,36
2010-08-14,36
2010-08-15,35
2010-08-16,35
2010-08-17,35
2010-08-18,34
2010-08-19,34
2010-08-20,34
2010-08-21,34
2010-08-22,33
2010-08-23,32
2010-08-24,31
2010-08-25,31
2010-08-26,30
2010-08-27,29
2010-08-28,29
2010-08-29,29
2010-08-30,29
2010-08-31,30
2010-09-01,30
2010-09-02,31
2010-09-03,31
2010-09-04,32
2010-09-05,32
2010-09-06,32
2010-09-07,32
2010-09-08,32
2010-09-09,32
2010-09-10,32
2010-09-11,33
2010-09-12,33
2010-09-13,33
2010-09-14,33
2010-09-15,33
2010-09-16,33
2010-09-17,33
2010-09-18,34
2010-09-19,34
2010-09-20,35
2010-09-21,36
2010-09-22,36
2010-09-23,37
2010-09-24,38
2010-09-25,39
2010-09-26,36
2010-10-03,37
2010-10-04,37
2010-10-05,37
2010-10-06,37
2010-10-07,37
2010-10-08,37
2010-10-09,38
2010-10-10,37
2010-10-11,36
2010-10-12,35
2010-10-13,34
2010-10-14,33
2010-10-15,32
2010-10-16,32
2010-10-17,32
2010-10-18,32
2010-10-19,32
2010-10-20,32
2010-10-21,32
2010-10-22,32
2010-10-23,32
2010-10-24,33
2010-10-25,34
2010-10-26,35
2010-10-27,36
2010-10-28,37
2010-10-29,38
2010-10-30,40
2010-10-31,40
2010-11-01,40
2010-11-02,40
2010-11-03,41
2010-11-04,41
2010-11-05,41
2010-11-06,42
2010-11-07,40
2010-11-08,39
2010-11-09,37
2010-11-10,36
2010-11-11,34
2010-11-12,33
2010-11-13,32
2010-11-14,32
2010-11-15,32
2010-11-16,32
2010-11-17,32
2010-11-18,32
2010-11-19,32
2010-11-20,32
2010-11-21,32
2010-11-22,32
2010-11-23,32
2010-11-24,32
2010-11-25,32
2010-11-26,32
2010-11-27,33
2010-11-28,33
2010-11-29,33
2010-11-30,34
2010-12-01,34
2010-12-02,34
2010-12-03,35
2010-12-04,35
2010-12-05,35
2010-12-06,35
2010-12-07,35
2010-12-08,35
2010-12-09,35
2010-12-10,35
2010-12-11,36
2010-12-12,40
2010-12-13,45
2010-12-14,49
2010-12-15,54
2010-12-16,58
2010-12-17,63
2010-12-18,68
2010-12-19,62
2010-12-20,58
2010-12-21,52
2010-12-22,47
2010-12-23,42
2010-12-24,36
2010-12-25,32
2010-12-26,29
2011-01-02,34
2011-01-03,35
2011-01-04,36
2011-01-05,36
2011-01-06,37
2011-01-07,38
2011-01-08,39
2011-01-09,40
2011-01-10,41
2011-01-11,42
2011-01-12,43
2011-01-13,44
2011-01-14,45
2011-01-15,47
2011-01-16,47
2011-01-17,48
2011-01-18,48
2011-01-19,49
2011-01-20,49
2011-01-21,50
2011-01-22,51
2011-01-23,50
2011-01-24,50
2011-01-25,50
2011-01-26,50
2011-01-27,49
2011-01-28,49
2011-01-29,49
2011-01-30,48
2011-01-31,47
2011-02-01,46
2011-02-02,46
2011-02-03,45
2011-02-04,45
2011-02-05,45
2011-02-06,45
2011-02-07,45
2011-02-08,45
2011-02-09,45
2011-02-10,45
2011-02-11,45
2011-02-12,45
2011-02-13,44
2011-02-14,43
2011-02-15,42
2011-02-16,42
2011-02-17,41
2011-02-18,40
2011-02-19,40
2011-02-20,38
2011-02-21,36
2011-02-22,34
2011-02-23,32
2011-02-24,30
2011-02-25,28
2011-02-26,26
2011-02-27,28
2011-02-28,30
2011-03-01,32
2011-03-02,35
2011-03-03,37
2011-03-04,39
2011-03-05,42
2011-03-06,40
2011-03-07,38
2011-03-08,36
2011-03-09,34
2011-03-10,32
2011-03-11,30
2011-03-12,28
2011-03-13,27
2011-03-14,26
2011-03-15,26
2011-03-16,25
2011-03-17,25
2011-03-18,24
2011-03-19,24
2011-03-20,25
2011-03-21,26
2011-03-22,27
2011-03-23,29
2011-03-24,30
2011-03-25,31
2011-03-26,33
2011-03-27,35
2011-04-03,47
2011-04-04,44
2011-04-05,41
2011-04-06,39
2011-04-07,36
2011-04-08,33
2011-04-09,31
2011-04-10,30
2011-04-11,30
2011-04-12,30
2011-04-13,29
2011-04-14,29
2011-04-15,29
2011-04-16,29
2011-04-17,30
2011-04-18,32
2011-04-19,34
2011-04-20,36
2011-04-21,38
2011-04-22,40
2011-04-23,42
2011-04-24,44
2011-04-25,46
2011-04-26,48
2011-04-27,50
2011-04-28,52
2011-04-29,54
2011-04-30,56
2011-05-01,52
2011-05-02,48
2011-05-03,44
2011-05-04,40
2011-05-05,36
2011-05-06,32
2011-05-07,28
2011-05-08,38
2011-05-09,49
2011-05-10,59
2011-05-11,70
2011-05-12,80
2011-05-13,91
2011-05-14,101
2011-05-15,95
2011-05-16,87
2011-05-17,81
2011-05-18,74
2011-05-19,68
2011-05-20,61
2011-05-21,54
2011-05-22,52
2011-05-23,48
2011-05-24,45
2011-05-25,43
2011-05-26,40
2011-05-27,37
2011-05-28,35
2011-05-29,33
2011-05-30,32
2011-05-31,31
2011-06-01,29
2011-06-02,28
2011-06-03,27
2011-06-04,26
2011-06-05,27
2011-06-06,29
2011-06-07,31
2011-06-08,33
2011-06-09,35
2011-06-10,37
2011-06-11,39
2011-06-12,38
2011-06-13,38
2011-06-14,38
2011-06-15,38
2011-06-16,37
2011-06-17,37
2011-06-18,37
2011-06-19,37
2011-06-20,38
2011-06-21,38
2011-06-22,38
2011-06-23,39
2011-06-24,39
2011-06-25,40
2011-06-26,38
2011-07-03,28
2011-07-04,30
2011-07-05,33
2011-07-06,35
2011-07-07,37
2011-07-08,40
2011-07-09,42
2011-07-10,41
2011-07-11,39
2011-07-12,38
2011-07-13,37
2011-07-14,36
2011-07-15,35
2011-07-16,34
2011-07-17,36
2011-07-18,38
2011-07-19,40
2011-07-20,43
2011-07-21,45
2011-07-22,47
2011-07-23,49
2011-07-24,47
2011-07-25,43
2011-07-26,41
2011-07-27,38
2011-07-28,36
2011-07-29,33
2011-07-30,31
2011-07-31,33
2011-08-01,35
2011-08-02,37
2011-08-03,40
2011-08-04,42
2011-08-05,44
2011-08-06,47
2011-08-07,49
2011-08-08,52
2011-08-09,54
2011-08-10,57
2011-08-11,60
2011-08-12,62
2011-08-13,65
2011-08-14,62
2011-08-15,59
2011-08-16,56
2011-08-17,53
2011-08-18,50
2011-08-19,47
2011-08-20,44
2011-08-21,44
2011-08-22,45
2011-08-23,45
2011-08-24,46
2011-08-25,46
2011-08-26,47
2011-08-27,47
2011-08-28,45
2011-08-29,43
2011-08-30,41
2011-08-31,40
2011-09-01,38
2011-09-02,36
2011-09-03,35
2011-09-04,33
2011-09-05,32
2011-09-06,31
2011-09-07,29
2011-09-08,28
2011-09-09,27
2011-09-10,26
2011-09-11,27
2011-09-12,29
2011-09-13,30
2011-09-14,32
2011-09-15,33
2011-09-16,35
2011-09-17,37
2011-09-18,34
2011-09-19,32
2011-09-20,30
2011-09-21,27
2011-09-22,25
2011-09-23,23
2011-09-24,21
2011-09-25,23
2011-10-02,34
2011-10-03,32
2011-10-04,30
2011-10-05,28
2011-10-06,26
2011-10-07,24
2011-10-08,23
2011-10-09,24
2011-10-10,25
2011-10-11,26
2011-10-12,27
2011-10-13,28
2011-10-14,29
2011-10-15,30
2011-10-16,29
2011-10-17,29
2011-10-18,28
2011-10-19,28
2011-10-20,27
2011-10-21,27
2011-10-22,27
2011-10-23,28
2011-10-24,30
2011-10-25,31
2011-10-26,32
2011-10-27,34
2011-10-28,35
2011-10-29,37
2011-10-30,35
2011-10-31,33
2011-11-01,31
2011-11-02,29
2011-11-03,27
2011-11-04,25
2011-11-05,23
2011-11-06,23
2011-11-07,23
2011-11-08,23
2011-11-09,23
2011-11-10,23
2011-11-11,23
2011-11-12,23
2011-11-13,24
2011-11-14,26
2011-11-15,28
2011-11-16,30
2011-11-17,32
2011-11-18,34
2011-11-19,36
2011-11-20,34
2011-11-21,32
2011-11-22,30
2011-11-23,29
2011-11-24,27
2011-11-25,25
2011-11-26,24
2011-11-27,24
2011-11-28,24
2011-11-29,24
2011-11-30,24
2011-12-01,24
2011-12-02,24
2011-12-03,24
2011-12-04,25
2011-12-05,26
2011-12-06,27
2011-12-07,28
2011-12-08,29
2011-12-09,30
2011-12-10,32
2011-12-11,33
2011-12-12,35
2011-12-13,36
2011-12-14,38
2011-12-15,39
2011-12-16,40
2011-12-17,42
2011-12-18,41
2011-12-19,41
2011-12-20,40
2011-12-21,39
2011-12-22,38
2011-12-23,38
2011-12-24,38
2011-12-25,35
2012-01-01,35
2012-01-02,35
2012-01-03,35
2012-01-04,35
2012-01-05,35
2012-01-06,35
2012-01-07,35
2012-01-08,35
2012-01-09,35
2012-01-10,35
2012-01-11,35
2012-01-12,35
2012-01-13,35
2012-01-14,35
2012-01-15,35
2012-01-16,36
2012-01-17,37
2012-01-18,38
2012-01-19,39
2012-01-20,40
2012-01-21,41
2012-01-22,39
2012-01-23,36
2012-01-24,34
2012-01-25,32
2012-01-26,30
2012-01-27,28
2012-01-28,26
2012-01-29,27
2012-01-30,28
2012-01-31,29
2012-02-01,30
2012-02-02,31
2012-02-03,32
2012-02-04,34
2012-02-05,35
2012-02-06,37
2012-02-07,39
2012-02-08,40
2012-02-09,42
2012-02-10,44
2012-02-11,46
2012-02-12,45
2012-02-13,46
2012-02-14,45
2012-02-15,45
2012-02-16,45
2012-02-17,45
2012-02-18,45
2012-02-19,42
2012-02-20,39
2012-02-21,36
2012-02-22,34
2012-02-23,31
2012-02-24,28
2012-02-25,26
2012-02-26,27
2012-02-27,29
2012-02-28,30
2012-02-29,32
2012-03-01,33
2012-03-02,35
2012-03-03,37
2012-03-04,37
2012-03-05,38
2012-03-06,39
2012-03-07,40
2012-03-08,40
2012-03-09,41
2012-03-10,42
2012-03-11,40
2012-03-12,38
2012-03-13,36
2012-03-14,34
2012-03-15,32
2012-03-16,30
2012-03-17,28
2012-03-18,26
2012-03-19,25
2012-03-20,23
2012-03-21,22
