Date,Infonxx
2008-09-07,96
2008-09-08,95
2008-09-09,94
2008-09-10,94
2008-09-11,93
2008-09-12,93
2008-09-13,92
2008-09-14,91
2008-09-15,91
2008-09-16,90
2008-09-17,89
2008-09-18,89
2008-09-19,88
2008-09-20,87
2008-09-21,87
2008-09-22,86
2008-09-23,86
2008-09-24,85
2008-09-25,84
2008-09-26,84
2008-09-27,83
2008-09-28,82
2008-09-29,82
2008-09-30,82
2008-10-01,81
2008-10-02,81
2008-10-03,80
2008-10-04,80
2008-10-05,80
2008-10-06,79
2008-10-07,79
2008-10-08,78
2008-10-09,78
2008-10-10,78
2008-10-11,77
2008-10-12,77
2008-10-13,76
2008-10-14,76
2008-10-15,76
2008-10-16,75
2008-10-17,75
2008-10-18,74
2008-10-19,74
2008-10-20,74
2008-10-21,73
2008-10-22,73
2008-10-23,73
2008-10-24,72
2008-10-25,72
2008-10-26,72
2008-10-27,73
2008-10-28,73
2008-10-29,73
2008-10-30,74
2008-10-31,75
2008-11-01,77
2008-11-02,69
2008-11-03,68
2008-11-04,67
2008-11-05,66
2008-11-06,66
2008-11-07,65
2008-11-08,64
2008-11-09,63
2008-11-10,63
2008-11-11,62
2008-11-12,61
2008-11-13,60
2008-11-14,60
2008-11-15,59
2008-11-16,58
2008-11-17,57
2008-11-18,56
2008-11-19,56
2008-11-20,55
2008-11-21,54
2008-11-22,53
2008-11-23,53
2008-11-24,52
2008-11-25,51
2008-11-26,50
2008-11-27,50
2008-11-28,49
2008-11-29,48
2008-11-30,47
2008-12-01,47
2008-12-02,48
2008-12-03,49
2008-12-04,50
2008-12-05,52
2008-12-06,53
2008-12-07,54
2008-12-08,55
2008-12-09,57
2008-12-10,58
2008-12-11,59
2008-12-12,60
2008-12-13,62
2008-12-14,63
2008-12-15,64
2008-12-16,65
2008-12-17,67
2008-12-18,68
2008-12-19,69
2008-12-20,70
2008-12-21,72
2008-12-22,73
2008-12-23,74
2008-12-24,75
2008-12-25,77
2008-12-26,78
2008-12-27,79
2008-12-28,80
2008-12-29,82
2008-12-30,83
2008-12-31,84
2009-01-01,86
2009-01-02,84
2009-01-03,82
2009-01-04,81
2009-01-05,79
2009-01-06,77
2009-01-07,76
2009-01-08,74
2009-01-09,72
2009-01-10,71
2009-01-11,69
2009-01-12,67
2009-01-13,66
2009-01-14,64
2009-01-15,62
2009-01-16,61
2009-01-17,59
2009-01-18,58
2009-01-19,56
2009-01-20,54
2009-01-21,53
2009-01-22,51
2009-01-23,49
2009-01-24,48
2009-01-25,46
2009-01-26,44
2009-01-27,43
2009-01-28,41
2009-01-29,39
2009-01-30,38
2009-01-31,36
2009-02-01,35
2009-02-02,35
2009-02-03,35
2009-02-04,36
2009-02-05,36
2009-02-06,36
2009-02-07,37
2009-02-08,37
2009-02-09,37
2009-02-10,38
2009-02-11,38
2009-02-12,38
2009-02-13,39
2009-02-14,39
2009-02-15,40
2009-02-16,40
2009-02-17,40
2009-02-18,41
2009-02-19,41
2009-02-20,41
2009-02-21,42
2009-02-22,42
2009-02-23,42
2009-02-24,43
2009-02-25,43
2009-02-26,43
2009-02-27,44
2009-02-28,44
2009-03-01,45
2009-03-02,44
2009-03-03,44
2009-03-04,44
2009-03-05,44
2009-03-06,44
2009-03-07,44
2009-03-08,44
2009-03-09,43
2009-03-10,43
2009-03-11,43
2009-03-12,43
2009-03-13,43
2009-03-14,43
2009-03-15,43
2009-03-16,43
2009-03-17,42
