Date,Hyperion
2011-10-01,73
2011-10-02,72
2011-10-03,72
2011-10-04,72
2011-10-05,72
2011-10-06,72
2011-10-07,73
2011-10-08,75
2011-10-09,72
2011-10-10,72
2011-10-11,73
2011-10-12,73
2011-10-13,76
2011-10-14,76
2011-10-15,78
2011-10-16,75
2011-10-17,73
2011-10-18,72
2011-10-19,73
2011-10-20,70
2011-10-21,73
2011-10-22,70
2011-10-23,69
2011-10-24,69
2011-10-25,70
2011-10-26,72
2011-10-27,71
2011-10-28,71
2011-10-29,75
2011-10-30,72
2011-10-31,72
2011-11-01,73
2011-11-02,73
2011-11-03,76
2011-11-04,74
2011-11-05,76
2011-11-06,75
2011-11-07,77
2011-11-08,79
2011-11-09,81
2011-11-10,83
2011-11-11,85
2011-11-12,87
2011-11-13,87
2011-11-14,90
2011-11-15,88
2011-11-16,90
2011-11-17,89
2011-11-18,91
2011-11-19,94
2011-11-20,89
2011-11-21,88
2011-11-22,88
2011-11-23,86
2011-11-24,88
2011-11-25,84
2011-11-26,84
2011-11-27,82
2011-11-28,82
2011-11-29,82
2011-11-30,81
2011-12-01,81
2011-12-02,80
2011-12-03,84
2011-12-04,79
2011-12-05,78
2011-12-06,77
2011-12-07,76
2011-12-08,76
2011-12-09,78
2011-12-10,74
2011-12-11,73
2011-12-12,72
2011-12-13,73
2011-12-14,71
2011-12-15,71
2011-12-16,71
2011-12-17,73
2011-12-18,69
2011-12-19,66
2011-12-20,65
2011-12-21,65
2011-12-22,62
2011-12-23,63
2011-12-24,59
2011-12-25,59
2011-12-26,59
2011-12-27,60
2011-12-28,60
2011-12-29,59
2011-12-30,61
2011-12-31,63
2012-01-01,60
2012-01-02,60
2012-01-03,61
2012-01-04,63
2012-01-05,62
2012-01-06,65
2012-01-07,65
2012-01-08,64
2012-01-09,65
2012-01-10,68
2012-01-11,68
2012-01-12,71
2012-01-13,73
2012-01-14,74
2012-01-15,73
2012-01-16,72
2012-01-17,71
2012-01-18,73
2012-01-19,70
2012-01-20,71
2012-01-21,74
2012-01-22,70
2012-01-23,70
2012-01-24,70
2012-01-25,72
2012-01-26,73
2012-01-27,71
2012-01-28,74
2012-01-29,71
2012-01-30,71
2012-01-31,70
2012-02-01,70
2012-02-02,71
2012-02-03,70
2012-02-04,70
2012-02-05,69
2012-02-06,68
2012-02-07,68
2012-02-08,67
2012-02-09,69
2012-02-10,67
2012-02-11,70
2012-02-12,67
2012-02-13,68
2012-02-14,68
2012-02-15,69
2012-02-16,69
2012-02-17,70
2012-02-18,77
2012-02-19,71
2012-02-20,72
2012-02-21,73
2012-02-22,74
2012-02-23,76
2012-02-24,76
2012-02-25,81
2012-02-26,77
2012-02-27,76
2012-02-28,76
2012-02-29,78
2012-03-01,76
2012-03-02,76
2012-03-03,81
2012-03-04,77
2012-03-05,78
2012-03-06,82
2012-03-07,80
2012-03-08,83
2012-03-09,82
2012-03-10,86
2012-03-11,83
2012-03-12,82
2012-03-13,81
2012-03-14,81
2012-03-15,82
2012-03-16,80
2012-03-17,83
2012-03-18,78
2012-03-19,77
2012-03-20,77
2012-03-21,75
2012-03-22,74
2012-03-23,74
2012-03-24,74
2012-03-25,72
2012-03-26,73
2012-03-27,73
2012-03-28,74
2012-03-29,74
2012-03-30,75
2012-03-31,79
2012-04-01,75
2012-04-02,75
2012-04-03,75
2012-04-04,78
2012-04-05,74
2012-04-06,75
2012-04-07,76
2012-04-08,73
2012-04-09,73
2012-04-10,73
2012-04-11,72
2012-04-12,71
2012-04-13,74
2012-04-14,73
2012-04-15,70
2012-04-16,69
2012-04-17,68
2012-04-18,68
2012-04-19,67
2012-04-20,68
2012-04-21,66
2012-04-22,65
2012-04-23,66
2012-04-24,67
2012-04-25,67
2012-04-26,68
2012-04-27,70
2012-04-28,75
2012-04-29,69
2012-04-30,68
2012-05-01,68
2012-05-02,67
2012-05-03,68
2012-05-04,68
2012-05-05,68
2012-05-06,66
2012-05-07,66
2012-05-08,68
2012-05-09,66
2012-05-10,66
2012-05-11,69
2012-05-12,68
2012-05-13,66
2012-05-14,67
2012-05-15,70
2012-05-16,69
2012-05-17,71
2012-05-18,71
2012-05-19,76
2012-05-20,71
2012-05-21,71
2012-05-22,71
2012-05-23,72
2012-05-24,69
2012-05-25,71
2012-05-26,71
2012-05-27,69
2012-05-28,67
2012-05-29,66
2012-05-30,67
2012-05-31,65
2012-06-01,66
2012-06-02,67
2012-06-03,63
2012-06-04,63
2012-06-05,63
2012-06-06,63
2012-06-07,64
2012-06-08,63
2012-06-09,66
2012-06-10,62
2012-06-11,62
2012-06-12,61
2012-06-13,61
2012-06-14,61
2012-06-15,60
2012-06-16,65
2012-06-17,60
2012-06-18,61
2012-06-19,62
2012-06-20,63
2012-06-21,64
2012-06-22,64
2012-06-23,67
2012-06-24,66
2012-06-25,64
2012-06-26,64
2012-06-27,64
2012-06-28,64
2012-06-29,65
2012-06-30,68
2012-07-01,63
2012-07-02,63
2012-07-03,63
2012-07-04,65
2012-07-05,63
2012-07-06,63
2012-07-07,63
2012-07-08,64
2012-07-09,65
2012-07-10,66
2012-07-11,67
2012-07-12,68
2012-07-13,69
2012-07-14,75
2012-07-15,69
2012-07-16,68
2012-07-17,67
2012-07-18,67
2012-07-19,66
2012-07-20,65
2012-07-21,70
2012-07-22,66
2012-07-23,67
2012-07-24,69
2012-07-25,69
2012-07-26,70
2012-07-27,73
2012-07-28,78
2012-07-29,71
2012-07-30,70
2012-07-31,69
2012-08-01,67
2012-08-02,65
2012-08-03,64
2012-08-04,68
2012-08-05,63
2012-08-06,64
2012-08-07,64
2012-08-08,65
2012-08-09,68
2012-08-10,67
2012-08-11,71
2012-08-12,67
2012-08-13,68
2012-08-14,72
2012-08-15,72
2012-08-16,71
2012-08-17,72
2012-08-18,77
2012-08-19,72
2012-08-20,71
2012-08-21,71
2012-08-22,70
2012-08-23,70
2012-08-24,70
2012-08-25,71
2012-08-26,70
2012-08-27,69
2012-08-28,69
2012-08-29,69
2012-08-30,69
2012-08-31,69
2012-09-01,72
2012-09-02,68
2012-09-03,67
2012-09-04,66
2012-09-05,66
2012-09-06,65
2012-09-07,64
2012-09-08,67
2012-09-09,65
2012-09-10,66
2012-09-11,69
2012-09-12,69
2012-09-13,72
2012-09-14,74
2012-09-15,76
2012-09-16,75
2012-09-17,73
2012-09-18,75
2012-09-19,73
2012-09-20,72
2012-09-21,72
2012-09-22,75
2012-09-23,76
2012-09-24,80
2012-09-25,85
2012-09-26,88
2012-09-27,92
2012-09-28,99
2012-09-29,102
2012-09-30,101
2012-10-01,98
2012-10-02,97
2012-10-03,98
2012-10-04,96
2012-10-05,94
2012-10-06,100
2012-10-07,92
2012-10-08,90
2012-10-09,89
2012-10-10,87
2012-10-11,85
2012-10-12,86
2012-10-13,83
2012-10-14,81
2012-10-15,81
2012-10-16,80
2012-10-17,81
2012-10-18,79
2012-10-19,79
2012-10-20,82
2012-10-21,78
2012-10-22,78
2012-10-23,78
2012-10-24,78
2012-10-25,80
2012-10-26,78
2012-10-27,80
2012-10-28,78
2012-10-29,76
2012-10-30,75
2012-10-31,75
2012-11-01,75
2012-11-02,73
2012-11-03,77
2012-11-04,72
2012-11-05,72
2012-11-06,72
2012-11-07,71
2012-11-08,71
2012-11-09,70
2012-11-10,72
2012-11-11,70
2012-11-12,69
2012-11-13,69
2012-11-14,69
2012-11-15,70
2012-11-16,69
2012-11-17,71
2012-11-18,68
2012-11-19,67
2012-11-20,67
2012-11-21,66
2012-11-22,68
2012-11-23,66
2012-11-24,67
2012-11-25,65
2012-11-26,66
2012-11-27,67
2012-11-28,67
2012-11-29,68
2012-11-30,69
2012-12-01,74
2012-12-02,70
2012-12-03,70
2012-12-04,70
2012-12-05,71
2012-12-06,70
2012-12-07,73
2012-12-08,71
2012-12-09,70
2012-12-10,68
2012-12-11,67
2012-12-12,67
2012-12-13,67
2012-12-14,67
2012-12-15,66
2012-12-16,64
2012-12-17,64
2012-12-18,63
2012-12-19,65
2012-12-20,62
2012-12-21,63
2012-12-22,64
2012-12-23,61
2012-12-24,59
2012-12-25,57
2012-12-26,56
2012-12-27,54
2012-12-28,53
2012-12-29,53
2012-12-30,53
2012-12-31,55
2013-01-01,57
2013-01-02,59
2013-01-03,61
2013-01-04,64
2013-01-05,65
2013-01-06,65
2013-01-07,66
2013-01-08,67
2013-01-09,67
2013-01-10,69
2013-01-11,69
2013-01-12,74
2013-01-13,69
2013-01-14,69
2013-01-15,69
2013-01-16,69
2013-01-17,70
2013-01-18,71
2013-01-19,71
2013-01-20,69
2013-01-21,69
2013-01-22,69
2013-01-23,69
2013-01-24,69
