Date,Demandware
2011-01-08,8
2011-01-09,8
2011-01-10,8
2011-01-11,8
2011-01-12,9
2011-01-13,9
2011-01-14,9
2011-01-15,10
2011-01-16,9
2011-01-17,9
2011-01-18,8
2011-01-19,8
2011-01-20,7
2011-01-21,7
2011-01-22,7
2011-01-23,7
2011-01-24,7
2011-01-25,7
2011-01-26,8
2011-01-27,8
2011-01-28,8
2011-01-29,9
2011-01-30,9
2011-01-31,9
2011-02-01,9
2011-02-02,9
2011-02-03,9
2011-02-04,9
2011-02-05,9
2011-02-06,9
2011-02-07,8
2011-02-08,8
2011-02-09,8
2011-02-10,8
2011-02-11,8
2011-02-12,8
2011-02-13,7
2011-02-14,7
2011-02-15,7
2011-02-16,6
2011-02-17,6
2011-02-18,6
2011-02-19,6
2011-02-20,6
2011-02-21,6
2011-02-22,6
2011-02-23,6
2011-02-24,6
2011-02-25,6
2011-02-26,6
2011-02-27,5
2011-02-28,5
2011-03-01,5
2011-03-02,5
2011-03-03,5
2011-03-04,5
2011-03-05,5
2011-03-06,5
2011-03-07,6
2011-03-08,6
2011-03-09,7
2011-03-10,7
2011-03-11,8
2011-03-12,9
2011-03-13,8
2011-03-14,8
2011-03-15,8
2011-03-16,7
2011-03-17,7
2011-03-18,7
2011-03-19,7
2011-03-20,7
2011-03-21,7
2011-03-22,7
2011-03-23,7
2011-03-24,7
2011-03-25,7
2011-03-26,7
2011-03-27,7
2011-04-03,7
2011-04-04,7
2011-04-05,7
2011-04-06,7
2011-04-07,7
2011-04-08,7
2011-04-09,8
2011-04-10,7
2011-04-11,7
2011-04-12,6
2011-04-13,6
2011-04-14,5
2011-04-15,5
2011-04-16,5
2011-04-17,5
2011-04-18,5
2011-04-19,5
2011-04-20,5
2011-04-21,5
2011-04-22,5
2011-04-23,6
2011-04-24,6
2011-04-25,6
2011-04-26,6
2011-04-27,7
2011-04-28,7
2011-04-29,7
2011-04-30,8
2011-05-01,7
2011-05-02,7
2011-05-03,7
2011-05-04,6
2011-05-05,6
2011-05-06,6
2011-05-07,6
2011-05-08,6
2011-05-09,6
2011-05-10,6
2011-05-11,6
2011-05-12,6
2011-05-13,6
2011-05-14,6
2011-05-15,6
2011-05-16,6
2011-05-17,6
2011-05-18,7
2011-05-19,7
2011-05-20,7
2011-05-21,8
2011-05-22,7
2011-05-23,7
2011-05-24,7
2011-05-25,6
2011-05-26,6
2011-05-27,6
2011-05-28,6
2011-05-29,6
2011-05-30,6
2011-05-31,6
2011-06-01,6
2011-06-02,6
2011-06-03,6
2011-06-04,7
2011-06-05,7
2011-06-06,7
2011-06-07,7
2011-06-08,8
2011-06-09,8
2011-06-10,8
2011-06-11,9
2011-06-12,9
2011-06-13,9
2011-06-14,9
2011-06-15,9
2011-06-16,9
2011-06-17,9
2011-06-18,9
2011-06-19,9
2011-06-20,9
2011-06-21,9
2011-06-22,9
2011-06-23,9
2011-06-24,9
2011-06-25,9
2011-06-26,9
2011-07-03,9
2011-07-04,9
2011-07-05,9
2011-07-06,9
2011-07-07,9
2011-07-08,9
2011-07-09,10
2011-07-10,10
2011-07-11,10
2011-07-12,10
2011-07-13,10
2011-07-14,10
2011-07-15,10
2011-07-16,11
2011-07-17,10
2011-07-18,10
2011-07-19,10
2011-07-20,10
2011-07-21,10
2011-07-22,10
2011-07-23,10
2011-07-24,10
2011-07-25,11
2011-07-26,11
2011-07-27,12
2011-07-28,13
2011-07-29,13
2011-07-30,14
2011-07-31,13
2011-08-01,12
2011-08-02,11
2011-08-03,11
2011-08-04,10
2011-08-05,9
2011-08-06,9
2011-08-07,9
2011-08-08,9
2011-08-09,9
2011-08-10,9
2011-08-11,9
2011-08-12,9
2011-08-13,10
2011-08-14,9
2011-08-15,9
2011-08-16,9
2011-08-17,9
2011-08-18,9
2011-08-19,9
2011-08-20,9
2011-08-21,9
2011-08-22,9
2011-08-23,9
2011-08-24,9
2011-08-25,9
2011-08-26,9
2011-08-27,9
2011-08-28,8
2011-08-29,7
2011-08-30,7
2011-08-31,6
2011-09-01,6
2011-09-02,5
2011-09-03,5
2011-09-04,5
2011-09-05,5
2011-09-06,5
2011-09-07,6
2011-09-08,6
2011-09-09,6
2011-09-10,7
2011-09-11,7
2011-09-12,8
2011-09-13,9
2011-09-14,9
2011-09-15,10
2011-09-16,11
2011-09-17,12
2011-09-18,11
2011-09-19,10
2011-09-20,9
2011-09-21,9
2011-09-22,8
2011-09-23,7
2011-09-24,7
2011-09-25,7
2011-10-02,7
2011-10-03,7
2011-10-04,7
2011-10-05,7
2011-10-06,7
2011-10-07,7
2011-10-08,7
2011-10-09,7
2011-10-10,7
2011-10-11,7
2011-10-12,7
2011-10-13,7
2011-10-14,7
2011-10-15,7
2011-10-16,7
2011-10-17,8
2011-10-18,8
2011-10-19,9
2011-10-20,9
2011-10-21,10
2011-10-22,11
2011-10-23,10
2011-10-24,10
2011-10-25,10
2011-10-26,10
2011-10-27,10
2011-10-28,10
2011-10-29,10
2011-10-30,10
2011-10-31,10
2011-11-01,10
2011-11-02,11
2011-11-03,11
2011-11-04,11
2011-11-05,12
2011-11-06,11
2011-11-07,11
2011-11-08,10
2011-11-09,10
2011-11-10,9
2011-11-11,9
2011-11-12,9
2011-11-13,8
2011-11-14,8
2011-11-15,8
2011-11-16,7
2011-11-17,7
2011-11-18,7
2011-11-19,7
2011-11-20,7
2011-11-21,7
2011-11-22,7
2011-11-23,7
2011-11-24,7
2011-11-25,7
2011-11-26,8
2011-11-27,8
2011-11-28,8
2011-11-29,8
2011-11-30,8
2011-12-01,8
2011-12-02,8
2011-12-03,8
2011-12-04,8
2011-12-05,9
2011-12-06,9
2011-12-07,10
2011-12-08,10
2011-12-09,11
2011-12-10,12
2011-12-11,11
2011-12-12,10
2011-12-13,10
2011-12-14,9
2011-12-15,9
2011-12-16,8
2011-12-17,8
2011-12-18,7
2011-12-19,7
2011-12-20,6
2011-12-21,6
2011-12-22,5
2011-12-23,5
2011-12-24,5
2011-12-25,5
2012-01-01,6
2012-01-02,7
2012-01-03,7
2012-01-04,8
2012-01-05,8
2012-01-06,9
2012-01-07,10
2012-01-08,9
2012-01-09,9
2012-01-10,8
2012-01-11,8
2012-01-12,7
2012-01-13,7
2012-01-14,7
2012-01-15,7
2012-01-16,7
2012-01-17,7
2012-01-18,8
2012-01-19,8
2012-01-20,8
2012-01-21,9
2012-01-22,9
2012-01-23,9
2012-01-24,9
2012-01-25,9
2012-01-26,9
2012-01-27,9
2012-01-28,10
2012-01-29,10
2012-01-30,10
2012-01-31,10
2012-02-01,10
2012-02-02,10
2012-02-03,10
2012-02-04,11
2012-02-05,10
2012-02-06,10
2012-02-07,10
2012-02-08,9
2012-02-09,9
2012-02-10,9
2012-02-11,9
2012-02-12,9
2012-02-13,9
2012-02-14,9
2012-02-15,9
2012-02-16,9
2012-02-17,9
2012-02-18,9
2012-02-19,8
2012-02-20,8
2012-02-21,8
2012-02-22,7
2012-02-23,7
2012-02-24,7
2012-02-25,7
2012-02-26,8
2012-02-27,9
2012-02-28,11
2012-02-29,12
2012-03-01,14
2012-03-02,15
2012-03-03,17
2012-03-04,18
2012-03-05,19
2012-03-06,20
2012-03-07,22
2012-03-08,23
2012-03-09,24
2012-03-10,26
2012-03-11,36
2012-03-12,48
2012-03-13,59
2012-03-14,70
2012-03-15,81
2012-03-16,92
2012-03-17,104
2012-03-18,93
2012-03-19,77
2012-03-20,65
2012-03-21,54
2012-03-22,42
2012-03-23,30
2012-03-24,19
2012-03-25,18
2012-04-01,14
2012-04-02,14
2012-04-03,13
2012-04-04,13
2012-04-05,12
2012-04-06,12
2012-04-07,12
2012-04-08,11
2012-04-09,11
2012-04-10,11
2012-04-11,10
2012-04-12,10
2012-04-13,10
2012-04-14,10
2012-04-15,10
2012-04-16,10
2012-04-17,11
2012-04-18,11
2012-04-19,12
2012-04-20,12
2012-04-21,13
2012-04-22,12
2012-04-23,12
2012-04-24,12
2012-04-25,11
2012-04-26,11
2012-04-27,11
2012-04-28,11
2012-04-29,11
2012-04-30,11
2012-05-01,11
2012-05-02,12
2012-05-03,12
2012-05-04,12
2012-05-05,13
2012-05-06,13
2012-05-07,14
2012-05-08,15
2012-05-09,16
2012-05-10,16
2012-05-11,17
2012-05-12,18
2012-05-13,16
2012-05-14,15
2012-05-15,14
2012-05-16,12
2012-05-17,11
2012-05-18,10
2012-05-19,9
2012-05-20,9
2012-05-21,9
2012-05-22,9
2012-05-23,10
2012-05-24,10
2012-05-25,10
2012-05-26,11
2012-05-27,11
2012-05-28,11
2012-05-29,11
2012-05-30,12
2012-05-31,12
2012-06-01,12
2012-06-02,13
2012-06-03,12
2012-06-04,11
2012-06-05,11
2012-06-06,10
2012-06-07,10
2012-06-08,9
2012-06-09,9
2012-06-10,9
2012-06-11,10
2012-06-12,10
2012-06-13,11
2012-06-14,11
2012-06-15,12
2012-06-16,13
2012-06-17,12
2012-06-18,12
2012-06-19,12
2012-06-20,12
2012-06-21,12
2012-06-22,12
2012-06-23,12
2012-06-24,12
2012-07-01,12
2012-07-02,11
2012-07-03,11
2012-07-04,10
2012-07-05,10
2012-07-06,9
2012-07-07,9
2012-07-08,9
2012-07-09,9
2012-07-10,9
2012-07-11,9
2012-07-12,9
2012-07-13,9
2012-07-14,9
2012-07-15,9
2012-07-16,9
2012-07-17,10
2012-07-18,10
2012-07-19,11
2012-07-20,11
2012-07-21,12
2012-07-22,12
2012-07-23,12
2012-07-24,12
2012-07-25,13
2012-07-26,13
2012-07-27,13
2012-07-28,14
2012-07-29,14
2012-07-30,14
2012-07-31,14
2012-08-01,14
2012-08-02,14
2012-08-03,14
2012-08-04,15
2012-08-05,14
2012-08-06,14
2012-08-07,14
2012-08-08,14
2012-08-09,14
2012-08-10,14
2012-08-11,14
2012-08-12,13
2012-08-13,13
2012-08-14,12
2012-08-15,12
2012-08-16,11
2012-08-17,11
2012-08-18,11
2012-08-19,10
2012-08-20,10
2012-08-21,10
2012-08-22,10
2012-08-23,10
2012-08-24,10
2012-08-25,10
2012-08-26,10
2012-08-27,10
2012-08-28,10
2012-08-29,10
2012-08-30,10
2012-08-31,10
2012-09-01,10
2012-09-02,10
2012-09-03,10
2012-09-04,10
2012-09-05,11
2012-09-06,11
2012-09-07,11
2012-09-08,12
2012-09-09,12
2012-09-10,12
2012-09-11,12
2012-09-12,13
2012-09-13,13
2012-09-14,13
2012-09-15,14
2012-09-16,13
2012-09-17,13
2012-09-18,12
2012-09-19,12
2012-09-20,11
2012-09-21,11
2012-09-22,11
2012-09-23,11
2012-09-24,12
2012-09-25,13
2012-09-26,13
2012-09-27,14
2012-09-28,15
2012-09-29,16
2012-09-30,15
2012-10-01,15
2012-10-02,14
2012-10-03,14
2012-10-04,13
2012-10-05,13
2012-10-06,13
2012-10-07,13
2012-10-08,13
2012-10-09,13
