Date,Netezza
2007-01-21,32
2007-01-22,31
2007-01-23,30
2007-01-24,30
2007-01-25,29
2007-01-26,28
2007-01-27,28
2007-01-28,28
2007-01-29,29
2007-01-30,30
2007-01-31,30
2007-02-01,31
2007-02-02,31
2007-02-03,32
2007-02-04,31
2007-02-05,30
2007-02-06,29
2007-02-07,29
2007-02-08,28
2007-02-09,27
2007-02-10,27
2007-02-11,26
2007-02-12,26
2007-02-13,26
2007-02-14,26
2007-02-15,26
2007-02-16,26
2007-02-17,26
2007-02-18,27
2007-02-19,28
2007-02-20,29
2007-02-21,30
2007-02-22,31
2007-02-23,33
2007-02-24,34
2007-02-25,33
2007-03-04,28
2007-03-05,27
2007-03-06,26
2007-03-07,26
2007-03-08,25
2007-03-09,24
2007-03-10,24
2007-03-11,24
2007-03-12,25
2007-03-13,26
2007-03-14,27
2007-03-15,28
2007-03-16,29
2007-03-17,30
2007-03-18,29
2007-03-19,28
2007-03-20,28
2007-03-21,27
2007-03-22,27
2007-03-23,26
2007-03-24,26
2007-03-25,28
2007-03-26,31
2007-03-27,33
2007-03-28,36
2007-03-29,38
2007-03-30,41
2007-03-31,44
2007-04-01,42
2007-04-02,41
2007-04-03,40
2007-04-04,39
2007-04-05,38
2007-04-06,37
2007-04-07,36
2007-04-08,34
2007-04-09,33
2007-04-10,32
2007-04-11,30
2007-04-12,29
2007-04-13,28
2007-04-14,27
2007-04-15,30
2007-04-16,34
2007-04-17,38
2007-04-18,42
2007-04-19,45
2007-04-20,49
2007-04-21,53
2007-04-22,48
2007-04-23,41
2007-04-24,36
2007-04-25,31
2007-04-26,26
2007-04-27,21
2007-04-28,16
2007-04-29,18
2007-04-30,20
2007-05-01,22
2007-05-02,25
2007-05-03,27
2007-05-04,29
2007-05-05,32
2007-05-06,31
2007-05-07,31
2007-05-08,30
2007-05-09,30
2007-05-10,29
2007-05-11,29
2007-05-12,29
2007-05-13,30
2007-05-14,32
2007-05-15,33
2007-05-16,35
2007-05-17,36
2007-05-18,38
2007-05-19,40
2007-05-20,39
2007-05-21,38
2007-05-22,37
2007-05-23,36
2007-05-24,35
2007-05-25,34
2007-05-26,33
2007-05-27,32
2007-06-03,25
2007-06-04,25
2007-06-05,26
2007-06-06,26
2007-06-07,27
2007-06-08,27
2007-06-09,28
2007-06-10,27
2007-06-11,26
2007-06-12,25
2007-06-13,24
2007-06-14,23
2007-06-15,22
2007-06-16,21
2007-06-17,22
2007-06-18,23
2007-06-19,25
2007-06-20,26
2007-06-21,28
2007-06-22,29
2007-06-23,31
2007-06-24,32
2007-06-25,34
2007-06-26,35
2007-06-27,37
2007-06-28,38
2007-06-29,39
2007-06-30,41
2007-07-01,39
2007-07-02,38
2007-07-03,36
2007-07-04,35
2007-07-05,33
2007-07-06,32
2007-07-07,31
2007-07-08,33
2007-07-09,35
2007-07-10,38
2007-07-11,40
2007-07-12,43
2007-07-13,45
2007-07-14,48
2007-07-15,55
2007-07-16,63
2007-07-17,71
2007-07-18,79
2007-07-19,86
2007-07-20,94
2007-07-21,102
2007-07-22,94
2007-07-23,83
2007-07-24,74
2007-07-25,66
2007-07-26,57
2007-07-27,48
2007-07-28,39
2007-07-29,38
2007-07-30,37
2007-07-31,36
2007-08-01,35
2007-08-02,34
2007-08-03,33
2007-08-04,32
2007-08-05,32
2007-08-06,33
2007-08-07,33
2007-08-08,34
2007-08-09,34
2007-08-10,35
2007-08-11,36
2007-08-12,36
2007-08-13,36
2007-08-14,36
2007-08-15,36
2007-08-16,36
2007-08-17,36
2007-08-18,37
2007-08-19,36
2007-08-20,35
2007-08-21,34
2007-08-22,33
2007-08-23,32
2007-08-24,31
2007-08-25,30
2007-08-26,31
2007-09-02,38
2007-09-03,36
2007-09-04,34
2007-09-05,33
2007-09-06,31
2007-09-07,29
2007-09-08,28
2007-09-09,27
2007-09-10,27
2007-09-11,27
2007-09-12,27
2007-09-13,27
2007-09-14,27
2007-09-15,27
2007-09-16,28
2007-09-17,29
2007-09-18,31
2007-09-19,32
2007-09-20,34
2007-09-21,35
2007-09-22,37
2007-09-23,38
2007-09-24,39
2007-09-25,40
2007-09-26,41
2007-09-27,42
2007-09-28,43
2007-09-29,44
2007-09-30,42
2007-10-01,40
2007-10-02,38
2007-10-03,36
2007-10-04,35
2007-10-05,33
2007-10-06,31
2007-10-07,31
2007-10-08,30
2007-10-09,30
2007-10-10,30
2007-10-11,30
2007-10-12,30
2007-10-13,30
2007-10-14,29
2007-10-15,29
2007-10-16,28
2007-10-17,28
2007-10-18,27
2007-10-19,27
2007-10-20,27
2007-10-21,27
2007-10-22,28
2007-10-23,29
2007-10-24,30
2007-10-25,30
2007-10-26,31
2007-10-27,32
2007-10-28,32
2007-10-29,31
2007-10-30,31
2007-10-31,31
2007-11-01,31
2007-11-02,31
2007-11-03,31
2007-11-04,31
2007-11-05,31
2007-11-06,31
2007-11-07,31
2007-11-08,31
2007-11-09,31
2007-11-10,32
2007-11-11,31
2007-11-12,30
2007-11-13,29
2007-11-14,28
2007-11-15,27
2007-11-16,26
2007-11-17,26
2007-11-18,27
2007-11-19,29
2007-11-20,31
2007-11-21,32
2007-11-22,34
2007-11-23,35
2007-11-24,37
2007-11-25,36
2007-12-02,30
2007-12-03,33
2007-12-04,35
2007-12-05,38
2007-12-06,40
2007-12-07,43
2007-12-08,45
2007-12-09,43
2007-12-10,41
2007-12-11,40
2007-12-12,38
2007-12-13,37
2007-12-14,35
2007-12-15,34
2007-12-16,32
2007-12-17,31
2007-12-18,29
2007-12-19,28
2007-12-20,26
2007-12-21,24
2007-12-22,23
2007-12-23,22
2007-12-24,20
2007-12-25,19
2007-12-26,18
2007-12-27,17
2007-12-28,16
2007-12-29,15
2007-12-30,15
2007-12-31,16
2008-01-01,17
2008-01-02,17
2008-01-03,18
2008-01-04,19
2008-01-05,20
2008-01-06,20
2008-01-07,20
2008-01-08,21
2008-01-09,21
2008-01-10,22
2008-01-11,22
2008-01-12,23
2008-01-13,26
2008-01-14,29
2008-01-15,33
2008-01-16,36
2008-01-17,39
2008-01-18,42
2008-01-19,46
2008-01-20,44
2008-01-21,41
2008-01-22,39
2008-01-23,37
2008-01-24,35
2008-01-25,33
2008-01-26,31
2008-01-27,31
2008-01-28,31
2008-01-29,31
2008-01-30,31
2008-01-31,31
2008-02-01,31
2008-02-02,32
2008-02-03,31
2008-02-04,31
2008-02-05,31
2008-02-06,31
2008-02-07,31
2008-02-08,31
2008-02-09,31
2008-02-10,30
2008-02-11,30
2008-02-12,30
2008-02-13,30
2008-02-14,30
2008-02-15,30
2008-02-16,30
2008-02-17,29
2008-02-18,28
2008-02-19,27
2008-02-20,26
2008-02-21,25
2008-02-22,24
2008-02-23,23
2008-02-24,25
2008-03-02,40
2008-03-03,40
2008-03-04,40
2008-03-05,39
2008-03-06,39
2008-03-07,38
2008-03-08,38
2008-03-09,36
2008-03-10,34
2008-03-11,32
2008-03-12,31
2008-03-13,29
2008-03-14,27
2008-03-15,26
2008-03-16,27
2008-03-17,28
2008-03-18,29
2008-03-19,30
2008-03-20,31
2008-03-21,33
2008-03-22,34
2008-03-23,31
2008-03-24,29
2008-03-25,27
2008-03-26,25
2008-03-27,22
2008-03-28,20
2008-03-29,18
2008-03-30,18
2008-03-31,18
2008-04-01,18
2008-04-02,19
2008-04-03,19
2008-04-04,19
2008-04-05,20
2008-04-06,20
2008-04-07,21
2008-04-08,21
2008-04-09,22
2008-04-10,23
2008-04-11,23
2008-04-12,24
2008-04-13,23
2008-04-14,23
2008-04-15,23
2008-04-16,22
2008-04-17,22
2008-04-18,22
2008-04-19,22
2008-04-20,23
2008-04-21,25
2008-04-22,27
2008-04-23,28
2008-04-24,30
2008-04-25,32
2008-04-26,34
2008-04-27,32
2008-04-28,31
2008-04-29,30
2008-04-30,28
2008-05-01,27
2008-05-02,26
2008-05-03,25
2008-05-04,25
2008-05-05,25
2008-05-06,25
2008-05-07,26
2008-05-08,26
2008-05-09,26
2008-05-10,27
2008-05-11,27
2008-05-12,28
2008-05-13,28
2008-05-14,29
2008-05-15,29
2008-05-16,30
2008-05-17,30
2008-05-18,28
2008-05-19,26
2008-05-20,24
2008-05-21,23
2008-05-22,21
2008-05-23,19
2008-05-24,18
2008-05-25,19
2008-06-01,31
2008-06-02,31
2008-06-03,31
2008-06-04,31
2008-06-05,31
2008-06-06,31
2008-06-07,31
2008-06-08,31
2008-06-09,32
2008-06-10,32
2008-06-11,33
2008-06-12,33
2008-06-13,34
2008-06-14,35
2008-06-15,35
2008-06-16,35
2008-06-17,35
2008-06-18,35
2008-06-19,35
2008-06-20,35
2008-06-21,36
2008-06-22,35
2008-06-23,35
2008-06-24,35
2008-06-25,34
2008-06-26,34
2008-06-27,34
2008-06-28,34
2008-06-29,33
2008-06-30,33
2008-07-01,33
2008-07-02,32
2008-07-03,32
2008-07-04,32
2008-07-05,32
2008-07-06,32
2008-07-07,33
2008-07-08,33
2008-07-09,33
2008-07-10,34
2008-07-11,34
2008-07-12,35
2008-07-13,34
2008-07-14,33
2008-07-15,32
2008-07-16,31
2008-07-17,30
2008-07-18,29
2008-07-19,28
2008-07-20,28
2008-07-21,28
2008-07-22,28
2008-07-23,28
2008-07-24,28
2008-07-25,28
2008-07-26,29
2008-07-27,29
2008-07-28,30
2008-07-29,31
2008-07-30,32
2008-07-31,33
2008-08-01,34
2008-08-02,35
2008-08-03,33
2008-08-04,31
2008-08-05,30
2008-08-06,28
2008-08-07,27
2008-08-08,25
2008-08-09,24
2008-08-10,24
2008-08-11,24
2008-08-12,25
2008-08-13,25
2008-08-14,26
2008-08-15,26
2008-08-16,27
2008-08-17,28
2008-08-18,29
2008-08-19,30
2008-08-20,31
2008-08-21,32
2008-08-22,33
2008-08-23,34
2008-08-24,34
2008-08-25,35
2008-08-26,36
2008-08-27,37
2008-08-28,38
2008-08-29,38
2008-08-30,39
2008-08-31,36
