Date,Tremor Video
2012-11-10,20
2012-11-11,19
2012-11-12,19
2012-11-13,19
2012-11-14,19
2012-11-15,19
2012-11-16,19
2012-11-17,19
2012-11-18,18
2012-11-19,17
2012-11-20,16
2012-11-21,16
2012-11-22,15
2012-11-23,14
2012-11-24,14
2012-11-25,15
2012-11-26,16
2012-11-27,17
2012-11-28,18
2012-11-29,19
2012-11-30,20
2012-12-01,21
2012-12-02,22
2012-12-03,23
2012-12-04,24
2012-12-05,25
2012-12-06,26
2012-12-07,27
2012-12-08,28
2012-12-09,26
2012-12-10,24
2012-12-11,23
2012-12-12,21
2012-12-13,20
2012-12-14,18
2012-12-15,17
2012-12-16,17
2012-12-17,17
2012-12-18,17
2012-12-19,17
2012-12-20,17
2012-12-21,17
2012-12-22,17
2012-12-23,16
2012-12-24,16
2012-12-25,16
2012-12-26,16
2012-12-27,16
2012-12-28,16
2012-12-29,16
2012-12-30,17
2012-12-31,18
2013-01-01,19
2013-01-02,20
2013-01-03,21
2013-01-04,22
2013-01-05,24
2013-01-06,24
2013-01-07,25
2013-01-08,25
2013-01-09,26
2013-01-10,26
2013-01-11,27
2013-01-12,28
2013-01-13,27
2013-01-14,26
2013-01-15,25
2013-01-16,24
2013-01-17,23
2013-01-18,22
2013-01-19,21
2013-01-20,20
2013-01-21,19
2013-01-22,18
2013-01-23,18
2013-01-24,17
2013-01-25,16
2013-01-26,16
2013-01-27,16
2013-02-03,22
2013-02-04,23
2013-02-05,24
2013-02-06,24
2013-02-07,25
2013-02-08,26
2013-02-09,27
2013-02-10,27
2013-02-11,28
2013-02-12,29
2013-02-13,30
2013-02-14,31
2013-02-15,32
2013-02-16,33
2013-02-17,31
2013-02-18,29
2013-02-19,27
2013-02-20,25
2013-02-21,23
2013-02-22,21
2013-02-23,19
2013-02-24,19
2013-02-25,20
2013-02-26,20
2013-02-27,21
2013-02-28,21
2013-03-01,22
2013-03-02,23
2013-03-03,23
2013-03-04,24
2013-03-05,24
2013-03-06,25
2013-03-07,25
2013-03-08,26
2013-03-09,27
2013-03-10,27
2013-03-11,27
2013-03-12,27
2013-03-13,27
2013-03-14,27
2013-03-15,27
2013-03-16,27
2013-03-17,26
