Date,Deltek
2006-11-05,54
2006-11-06,53
2006-11-07,52
2006-11-08,52
2006-11-09,51
2006-11-10,50
2006-11-11,50
2006-11-12,47
2006-11-13,45
2006-11-14,43
2006-11-15,41
2006-11-16,38
2006-11-17,36
2006-11-18,34
2006-11-19,35
2006-11-20,36
2006-11-21,38
2006-11-22,39
2006-11-23,41
2006-11-24,42
2006-11-25,44
2006-11-26,45
2006-11-27,46
2006-11-28,47
2006-11-29,49
2006-11-30,50
2006-12-01,51
2006-12-02,53
2006-12-03,53
2006-12-04,53
2006-12-05,53
2006-12-06,53
2006-12-07,53
2006-12-08,53
2006-12-09,53
2006-12-10,53
2006-12-11,53
2006-12-12,53
2006-12-13,53
2006-12-14,53
2006-12-15,53
2006-12-16,54
2006-12-17,58
2006-12-18,62
2006-12-19,66
2006-12-20,70
2006-12-21,75
2006-12-22,79
2006-12-23,83
2006-12-24,77
2006-12-25,70
2006-12-26,65
2006-12-27,59
2006-12-28,54
2006-12-29,48
2006-12-30,43
2006-12-31,49
2007-01-01,55
2007-01-02,61
2007-01-03,67
2007-01-04,73
2007-01-05,79
2007-01-06,86
2007-01-07,83
2007-01-08,81
2007-01-09,79
2007-01-10,76
2007-01-11,74
2007-01-12,71
2007-01-13,69
2007-01-14,69
2007-01-15,68
2007-01-16,68
2007-01-17,68
2007-01-18,68
2007-01-19,68
2007-01-20,68
2007-01-21,65
2007-01-22,63
2007-01-23,61
2007-01-24,59
2007-01-25,57
2007-01-26,55
2007-01-27,53
2007-01-28,56
2007-02-01,71
2007-02-02,75
2007-02-03,79
2007-02-04,79
2007-02-05,79
2007-02-06,79
2007-02-07,80
2007-02-08,80
2007-02-09,80
2007-02-10,81
2007-02-11,78
2007-02-12,76
2007-02-13,74
2007-02-14,71
2007-02-15,69
2007-02-16,67
2007-02-17,65
2007-02-18,63
2007-02-19,61
2007-02-20,59
2007-02-21,58
2007-02-22,56
2007-02-23,54
2007-02-24,53
2007-02-25,53
2007-02-26,53
2007-02-27,53
2007-02-28,53
2007-03-01,54
2007-03-02,53
2007-03-03,54
2007-03-04,57
2007-03-05,60
2007-03-06,63
2007-03-07,67
2007-03-08,70
2007-03-09,73
2007-03-10,77
2007-03-11,77
2007-03-12,77
2007-03-13,78
2007-03-14,78
2007-03-15,79
2007-03-16,79
2007-03-17,80
2007-03-18,78
2007-03-19,76
2007-03-20,74
2007-03-21,72
2007-03-22,73
2007-03-23,68
2007-03-24,66
2007-03-25,69
2007-03-26,72
2007-03-27,75
2007-03-28,79
2007-03-29,85
2007-03-30,85
2007-03-31,89
2007-05-06,95
2007-05-07,90
2007-05-08,86
2007-05-09,81
2007-05-10,77
2007-05-11,72
2007-05-12,68
2007-05-13,69
2007-05-14,71
2007-05-15,73
2007-05-16,75
2007-05-17,76
2007-05-18,78
2007-05-19,80
2007-05-20,77
2007-05-21,74
2007-05-22,71
2007-05-23,69
2007-05-24,66
2007-05-25,63
2007-05-26,61
2007-05-27,59
2007-05-28,58
2007-05-29,56
2007-05-30,55
2007-05-31,53
2007-06-01,52
2007-06-02,51
2007-06-03,52
2007-06-04,54
2007-06-05,55
2007-06-06,56
2007-06-07,58
2007-06-08,59
2007-06-09,61
2007-06-10,60
2007-06-11,60
2007-06-12,60
2007-06-13,59
2007-06-14,59
2007-06-15,59
2007-06-16,59
2007-06-17,58
2007-06-18,58
2007-06-19,58
2007-06-20,58
2007-06-21,58
2007-06-22,58
2007-06-23,58
2007-06-24,56
2007-06-25,55
2007-06-26,54
2007-06-27,52
2007-06-28,51
2007-06-29,49
2007-06-30,48
2007-07-01,48
2007-07-02,48
2007-07-03,48
2007-07-04,49
2007-07-05,49
2007-07-06,49
2007-07-07,50
2007-07-08,50
2007-07-09,52
2007-07-10,52
2007-07-11,53
2007-07-12,54
2007-07-13,55
2007-07-14,56
2007-07-15,55
2007-07-16,54
2007-07-17,54
2007-07-18,53
2007-07-19,53
2007-07-20,52
2007-07-21,52
2007-07-22,52
2007-07-23,52
2007-07-24,52
2007-07-25,52
2007-07-26,52
2007-07-27,52
2007-07-28,53
2007-07-29,54
2007-08-05,61
2007-08-06,60
2007-08-07,60
2007-08-08,59
2007-08-09,59
2007-08-10,58
2007-08-11,58
2007-08-12,57
2007-08-13,56
2007-08-14,55
2007-08-15,54
2007-08-16,53
2007-08-17,52
2007-08-18,52
2007-08-19,53
2007-08-20,54
2007-08-21,55
2007-08-22,57
2007-08-23,58
2007-08-24,59
2007-08-25,60
2007-08-26,59
2007-08-27,58
2007-08-28,57
2007-08-29,57
2007-08-30,56
2007-08-31,55
2007-09-01,55
2007-09-02,55
2007-09-03,56
2007-09-04,56
2007-09-05,57
2007-09-06,57
2007-09-07,58
2007-09-08,59
2007-09-09,60
2007-09-10,62
2007-09-11,63
2007-09-12,64
2007-09-13,65
2007-09-14,67
2007-09-15,68
2007-09-16,70
2007-09-17,71
2007-09-18,72
2007-09-19,73
2007-09-20,75
2007-09-21,76
2007-09-22,78
2007-09-23,75
2007-09-24,73
2007-09-25,71
2007-09-26,68
2007-09-27,66
2007-09-28,63
2007-09-29,61
2007-09-30,59
2007-10-01,58
2007-10-02,56
2007-10-03,55
2007-10-04,53
2007-10-05,52
2007-10-06,51
2007-10-07,52
2007-10-08,53
2007-10-09,54
2007-10-10,55
2007-10-11,56
2007-10-12,57
2007-10-13,59
2007-10-14,62
2007-10-15,65
2007-10-16,69
2007-10-17,72
2007-10-18,76
2007-10-19,79
2007-10-20,83
2007-10-21,83
2007-10-22,85
2007-10-23,85
2007-10-24,86
2007-10-25,87
2007-10-26,88
2007-10-27,89
2007-10-28,88
2007-11-01,84
2007-11-02,83
2007-11-03,83
2007-11-04,80
2007-11-05,77
2007-11-06,74
2007-11-07,77
2007-11-08,68
2007-11-09,65
2007-11-10,63
2007-11-11,61
2007-11-12,59
2007-11-13,57
2007-11-14,58
2007-11-15,53
2007-11-16,51
2007-11-17,49
2007-11-18,51
2007-11-19,53
2007-11-20,56
2007-11-21,61
2007-11-22,61
2007-11-23,63
2007-11-24,66
2007-11-25,64
2007-11-26,63
2007-11-27,61
2007-11-28,60
2007-11-29,58
2007-11-30,57
2007-12-01,56
2007-12-02,55
2007-12-03,54
2007-12-04,53
2007-12-05,52
2007-12-06,51
2007-12-07,50
2007-12-08,49
2007-12-09,50
2007-12-10,51
2007-12-11,52
2007-12-12,53
2007-12-13,54
2007-12-14,55
2007-12-15,57
2007-12-16,61
2007-12-17,65
2007-12-18,70
2007-12-19,74
2007-12-20,80
2007-12-21,83
2007-12-22,88
2007-12-23,83
2007-12-24,78
2007-12-25,73
2007-12-26,68
2007-12-27,66
2007-12-28,58
2007-12-29,54
2007-12-30,54
2007-12-31,54
2008-01-01,55
2008-01-02,55
2008-01-03,56
2008-01-04,56
2008-01-05,57
2008-01-06,58
2008-01-07,59
2008-01-08,60
2008-01-09,61
2008-01-10,62
2008-01-11,63
2008-01-12,64
2008-01-13,64
2008-01-14,64
2008-01-15,69
2008-01-16,65
2008-01-17,64
2008-01-18,64
2008-01-19,68
2008-01-20,63
2008-01-21,62
2008-01-22,61
2008-01-23,60
2008-01-24,59
2008-01-25,58
2008-01-26,57
2008-01-27,59
2008-01-28,61
2008-01-29,63
2008-01-30,65
2008-01-31,67
2008-02-01,69
2008-02-02,71
2008-02-03,73
2008-02-04,75
2008-02-05,77
2008-02-06,80
2008-02-07,82
2008-02-08,84
2008-02-09,87
2008-02-10,83
2008-02-11,79
2008-02-12,75
2008-02-13,72
2008-02-14,68
2008-02-15,64
2008-02-16,61
2008-02-17,62
2008-02-18,64
2008-02-19,66
2008-02-20,71
2008-02-21,69
2008-02-22,71
2008-02-23,77
2008-02-24,72
2008-02-25,71
2008-02-26,70
2008-02-27,69
2008-02-28,68
2008-02-29,70
2008-03-01,66
2008-03-02,67
2008-03-03,69
2008-03-04,71
2008-03-05,73
2008-03-06,76
2008-03-07,77
2008-03-08,80
2008-03-09,79
2008-03-10,79
2008-03-11,79
2008-03-12,79
2008-03-13,79
2008-03-14,83
2008-03-15,79
2008-03-16,78
2008-03-17,78
2008-03-18,78
2008-03-19,78
2008-03-20,77
2008-03-21,77
2008-03-22,77
2008-03-23,76
2008-03-24,75
2008-03-25,75
2008-03-26,77
2008-03-27,75
2008-03-28,73
2008-03-29,73
2008-03-30,75
2008-03-31,77
2008-04-01,79
2008-04-02,93
2008-04-03,84
2008-04-04,91
2008-04-05,89
2008-04-06,84
2008-04-07,79
2008-04-08,74
2008-04-09,69
2008-04-10,64
2008-04-11,59
2008-04-12,55
2008-04-13,56
2008-04-14,58
2008-04-15,60
2008-04-16,61
2008-04-17,63
2008-04-18,65
2008-04-19,67
2008-04-20,68
2008-04-21,70
2008-04-22,72
2008-04-23,78
2008-04-24,77
2008-04-25,77
2008-04-26,79
2008-04-27,76
2008-04-28,73
2008-04-29,70
2008-04-30,68
2008-05-01,65
2008-05-02,65
2008-05-03,60
2008-05-04,62
2008-05-05,64
2008-05-06,66
2008-05-07,72
2008-05-08,70
2008-05-09,73
2008-05-10,74
2008-05-11,74
2008-05-12,75
2008-05-13,79
2008-05-14,78
2008-05-15,77
2008-05-16,78
2008-05-17,79
2008-05-18,78
2008-05-19,77
2008-05-20,85
2008-05-21,76
2008-05-22,76
2008-05-23,75
2008-05-24,75
2008-05-25,72
2008-05-26,70
2008-05-27,68
2008-05-28,66
2008-05-29,65
2008-05-30,62
2008-05-31,61
2008-06-01,61
2008-06-02,62
2008-06-03,63
2008-06-04,64
2008-06-05,65
2008-06-06,68
2008-06-07,67
2008-06-08,68
2008-06-09,69
2008-06-10,70
2008-06-11,71
2008-06-12,72
2008-06-13,73
2008-06-14,75
2008-06-15,71
2008-06-16,67
2008-06-17,63
2008-06-18,59
2008-06-19,56
2008-06-20,51
2008-06-21,47
2008-06-22,48
2008-06-23,50
2008-06-24,52
2008-06-25,54
2008-06-26,56
2008-06-27,58
2008-06-28,60
2008-06-29,59
2008-06-30,58
2008-07-01,57
2008-07-02,59
2008-07-03,55
2008-07-04,54
2008-07-05,53
2008-07-06,54
2008-07-07,55
2008-07-08,57
2008-07-09,62
2008-07-10,60
2008-07-11,61
2008-07-12,63
2008-07-13,63
2008-07-14,64
2008-07-15,64
2008-07-16,65
2008-07-17,68
2008-07-18,66
2008-07-19,68
2008-07-20,67
2008-07-21,68
2008-07-22,69
2008-07-23,69
2008-07-24,69
2008-07-25,70
2008-07-26,71
2008-07-27,72
2008-07-28,73
2008-07-29,76
2008-07-30,75
2008-07-31,76
2008-08-01,77
2008-08-02,79
