Date,Era Group
2012-04-01,96
2012-04-02,93
2012-04-03,90
2012-04-04,86
2012-04-05,86
2012-04-06,80
2012-04-07,77
2012-04-08,76
2012-04-09,76
2012-04-10,76
2012-04-11,77
2012-04-12,76
2012-04-13,76
2012-04-14,76
2012-04-15,77
2012-04-16,78
2012-04-17,84
2012-04-18,81
2012-04-19,87
2012-04-20,85
2012-04-21,85
2012-04-22,84
2012-04-23,83
2012-04-24,87
2012-04-25,81
2012-04-26,80
2012-04-27,79
2012-04-28,78
2012-04-29,80
2012-04-30,86
2012-05-01,84
2012-05-02,88
2012-05-03,90
2012-05-04,90
2012-05-05,98
2012-05-06,90
2012-05-07,89
2012-05-08,88
2012-05-09,90
2012-05-10,90
2012-05-11,84
2012-05-12,83
2012-05-13,82
2012-05-14,82
2012-05-15,82
2012-05-16,85
2012-05-17,82
2012-05-18,86
2012-05-19,82
2012-05-20,80
2012-05-21,78
2012-05-22,77
2012-05-23,75
2012-05-24,76
2012-05-25,72
2012-05-26,74
2012-05-27,70
2012-05-28,69
2012-05-29,68
2012-05-30,67
2012-05-31,66
2012-06-01,65
2012-06-02,65
2012-06-03,65
2012-06-04,66
2012-06-05,67
2012-06-06,75
2012-06-07,69
2012-06-08,70
2012-06-09,71
2012-06-10,71
2012-06-11,76
2012-06-12,72
2012-06-13,75
2012-06-14,73
2012-06-15,74
2012-06-16,75
2012-06-17,78
2012-06-18,76
2012-06-19,77
2012-06-20,77
2012-06-21,78
2012-06-22,83
2012-06-23,80
2012-06-24,78
2012-06-25,77
2012-06-26,76
2012-06-27,75
2012-06-28,78
2012-06-29,73
2012-06-30,72
2012-07-01,71
2012-07-02,72
2012-07-03,71
2012-07-04,71
2012-07-05,71
2012-07-06,71
2012-07-07,72
2012-07-08,72
2012-07-09,72
2012-07-10,71
2012-07-11,71
2012-07-12,71
2012-07-13,73
2012-07-14,71
2012-07-15,70
2012-07-16,74
2012-07-17,68
2012-07-18,69
2012-07-19,67
2012-07-20,66
2012-07-21,66
2012-07-22,70
2012-07-23,68
2012-07-24,69
2012-07-25,70
2012-07-26,71
2012-07-27,72
2012-07-28,78
2012-07-29,70
2012-07-30,67
2012-07-31,64
2012-08-01,62
2012-08-02,58
2012-08-03,55
2012-08-04,52
2012-08-05,54
2012-08-06,56
2012-08-07,61
2012-08-08,61
2012-08-09,67
2012-08-10,65
2012-08-11,68
2012-08-12,64
2012-08-13,61
2012-08-14,58
2012-08-15,54
2012-08-16,51
2012-08-17,48
2012-08-18,45
2012-08-19,48
2012-08-20,51
2012-08-21,54
2012-08-22,60
2012-08-23,60
2012-08-24,63
2012-08-25,67
2012-08-26,65
2012-08-27,64
2012-08-28,62
2012-08-29,63
2012-08-30,59
2012-08-31,58
2012-09-01,57
2012-09-02,59
2012-09-03,61
2012-09-04,63
2012-09-05,65
2012-09-06,72
2012-09-07,69
2012-09-08,73
2012-09-09,75
2012-09-10,71
2012-09-11,71
2012-09-12,71
2012-09-13,71
2012-09-14,73
2012-09-15,71
2012-09-16,68
2012-09-17,66
2012-09-18,64
2012-09-19,61
2012-09-20,59
2012-09-21,57
2012-09-22,55
2012-09-23,55
2012-09-24,55
2012-09-25,55
2012-09-26,56
2012-09-27,56
2012-09-28,57
2012-09-29,57
2012-09-30,59
2012-10-01,61
2012-10-02,63
2012-10-03,65
2012-10-04,70
2012-10-05,69
2012-10-06,71
2012-10-07,74
2012-10-08,70
2012-10-09,71
2012-10-10,70
2012-10-11,73
2012-10-12,70
2012-10-13,70
2012-10-14,67
2012-10-15,64
2012-10-16,61
2012-10-17,64
2012-10-18,56
2012-10-19,52
2012-10-20,50
2012-10-21,52
2012-10-22,54
2012-10-23,56
2012-10-24,58
2012-10-25,60
2012-10-26,66
2012-10-27,65
2012-10-28,62
2012-10-29,59
2012-10-30,56
2012-10-31,53
2012-11-01,50
2012-11-02,47
2012-11-03,44
2012-11-04,45
2012-11-05,46
2012-11-06,48
2012-11-07,49
2012-11-08,53
2012-11-09,52
2012-11-10,54
2012-11-11,54
2012-11-12,55
2012-11-13,55
2012-11-14,56
2012-11-15,59
2012-11-16,57
2012-11-17,58
2012-11-18,56
2012-11-19,55
2012-11-20,54
2012-11-21,53
2012-11-22,52
2012-11-23,51
2012-11-24,50
2012-11-25,51
2012-11-26,53
2012-11-27,55
2012-11-28,56
2012-11-29,57
2012-11-30,61
2012-12-01,61
2012-12-02,59
2012-12-03,58
2012-12-04,57
2012-12-05,55
2012-12-06,55
2012-12-07,53
2012-12-08,52
2012-12-09,52
2012-12-10,53
2012-12-11,55
2012-12-12,57
2012-12-13,55
2012-12-14,56
2012-12-15,57
2012-12-16,58
2012-12-17,61
2012-12-18,61
2012-12-19,67
2012-12-20,64
2012-12-21,66
2012-12-22,69
2012-12-23,65
2012-12-24,62
2012-12-25,59
2012-12-26,56
2012-12-27,53
2012-12-28,51
2012-12-29,47
2012-12-30,47
2012-12-31,47
2013-01-01,47
2013-01-02,48
2013-01-03,49
2013-01-04,48
2013-01-05,49
2013-01-06,51
2013-01-07,53
2013-01-08,56
2013-01-09,58
2013-01-10,61
2013-01-11,63
2013-01-12,67
2013-01-13,70
2013-01-14,65
2013-01-15,64
2013-01-16,67
2013-01-17,63
2013-01-18,68
2013-01-19,63
2013-01-20,64
2013-01-21,68
2013-01-22,66
2013-01-23,73
2013-01-24,68
2013-01-25,69
2013-01-26,73
2013-01-27,70
2013-01-28,69
2013-01-29,68
2013-01-30,68
2013-01-31,66
2013-02-01,65
2013-02-02,64
2013-02-03,65
2013-02-04,66
2013-02-05,69
2013-02-06,68
2013-02-07,71
2013-02-08,70
2013-02-09,71
2013-02-10,71
2013-02-11,71
2013-02-12,71
2013-02-13,75
2013-02-14,71
2013-02-15,71
2013-02-16,71
2013-02-17,70
2013-02-18,70
2013-02-19,70
2013-02-20,74
2013-02-21,72
2013-02-22,69
2013-02-23,69
2013-02-24,68
2013-02-25,67
2013-02-26,70
2013-02-27,66
2013-02-28,66
2013-03-01,66
2013-03-02,64
2013-03-03,65
2013-03-04,66
2013-03-05,71
2013-03-06,68
2013-03-07,69
2013-03-08,72
2013-03-09,71
2013-03-10,69
2013-03-11,67
2013-03-12,66
2013-03-13,64
2013-03-14,61
2013-03-15,59
2013-03-16,57
2013-03-17,56
2013-03-18,56
2013-03-19,59
2013-03-20,55
2013-03-21,57
2013-03-22,55
2013-03-23,56
2013-03-24,56
2013-03-25,58
2013-03-26,59
2013-03-27,61
2013-03-28,62
2013-03-29,66
2013-03-30,66
2013-03-31,64
2013-04-01,62
2013-04-02,60
2013-04-03,59
2013-04-04,57
2013-04-05,57
2013-04-06,54
2013-04-07,55
2013-04-08,56
2013-04-09,57
2013-04-10,62
2013-04-11,60
2013-04-12,64
2013-04-13,63
2013-04-14,61
2013-04-15,60
2013-04-16,61
2013-04-17,57
2013-04-18,57
2013-04-19,55
2013-04-20,54
2013-04-21,56
2013-04-22,58
2013-04-23,63
2013-04-24,65
2013-04-25,66
2013-04-26,75
2013-04-27,71
2013-04-28,69
2013-04-29,68
2013-04-30,66
2013-05-01,65
2013-05-02,66
2013-05-03,62
2013-05-04,61
2013-05-05,60
2013-05-06,60
2013-05-07,67
2013-05-08,59
2013-05-09,59
2013-05-10,59
2013-05-11,59
2013-05-12,58
2013-05-13,57
2013-05-14,56
2013-05-15,55
2013-05-16,54
2013-05-17,53
2013-05-18,52
2013-05-19,52
2013-05-20,53
2013-05-21,55
2013-05-22,55
2013-05-23,59
2013-05-24,57
2013-05-25,58
2013-05-26,57
2013-05-27,56
2013-05-28,55
2013-05-29,56
2013-05-30,54
2013-05-31,56
2013-06-01,53
2013-06-02,54
2013-06-03,55
2013-06-04,56
2013-06-05,58
2013-06-06,58
2013-06-07,59
2013-06-08,64
2013-06-09,60
2013-06-10,60
2013-06-11,61
2013-06-12,61
2013-06-13,62
2013-06-14,62
2013-06-15,64
2013-06-16,61
2013-06-17,60
2013-06-18,59
2013-06-19,57
2013-06-20,55
2013-06-21,55
2013-06-22,53
2013-06-23,53
2013-06-24,53
2013-06-25,58
2013-06-26,54
2013-06-27,55
2013-06-28,55
2013-06-29,56
2013-06-30,55
2013-07-01,55
2013-07-02,55
2013-07-03,54
2013-07-04,56
2013-07-05,54
2013-07-06,54
2013-07-07,54
2013-07-08,55
2013-07-09,57
2013-07-10,56
2013-07-11,57
2013-07-12,58
2013-07-13,58
2013-07-14,60
2013-07-15,62
2013-07-16,66
2013-07-17,66
2013-07-18,72
2013-07-19,70
2013-07-20,80
2013-07-21,70
2013-07-22,68
2013-07-23,66
2013-07-24,64
2013-07-25,62
2013-07-26,61
2013-07-27,59
2013-07-28,56
2013-07-29,54
2013-07-30,53
2013-07-31,51
2013-08-01,50
2013-08-02,48
2013-08-03,47
2013-08-04,45
2013-08-05,43
2013-08-06,43
2013-08-07,40
2013-08-08,39
2013-08-09,37
2013-08-10,36
2013-08-11,37
2013-08-12,38
2013-08-13,40
2013-08-14,43
2013-08-15,43
2013-08-16,44
2013-08-17,46
2013-08-18,46
2013-08-19,46
2013-08-20,47
2013-08-21,47
2013-08-22,49
2013-08-23,49
2013-08-24,49
2013-08-25,49
2013-08-26,49
2013-08-27,49
2013-08-28,49
2013-08-29,49
2013-08-30,49
2013-08-31,49
2013-09-01,51
2013-09-02,49
2013-09-03,49
2013-09-04,49
2013-09-05,49
2013-09-06,49
2013-09-07,49
2013-09-08,49
2013-09-09,49
2013-09-10,49
2013-09-11,53
2013-09-12,50
2013-09-13,50
2013-09-14,52
2013-09-15,51
2013-09-16,51
2013-09-17,54
2013-09-18,52
2013-09-19,58
2013-09-20,53
2013-09-21,54
2013-09-22,53
2013-09-23,53
2013-09-24,57
2013-09-25,52
2013-09-26,51
2013-09-27,52
2013-09-28,51
2013-09-29,51
2013-09-30,52
2013-10-01,53
2013-10-02,53
2013-10-03,54
2013-10-04,55
2013-10-05,56
2013-10-06,55
2013-10-07,54
2013-10-08,54
2013-10-09,56
2013-10-10,53
2013-10-11,52
2013-10-12,52
2013-10-13,53
2013-10-14,55
2013-10-15,57
2013-10-16,60
2013-10-17,61
2013-10-18,65
2013-10-19,65
2013-10-20,68
2013-10-21,62
2013-10-22,66
2013-10-23,59
2013-10-24,58
2013-10-25,59
2013-10-26,56
2013-10-27,55
2013-10-28,55
2013-10-29,55
2013-10-30,54
2013-10-31,56
2013-11-01,54
2013-11-02,54
2013-11-03,53
2013-11-04,52
2013-11-05,51
2013-11-06,51
2013-11-07,50
2013-11-08,52
2013-11-09,49
2013-11-10,50
2013-11-11,51
2013-11-12,52
2013-11-13,53
2013-11-14,54
2013-11-15,55
2013-11-16,56
2013-11-17,55
2013-11-18,54
2013-11-19,54
2013-11-20,55
2013-11-21,54
2013-11-22,52
2013-11-23,52
2013-11-24,51
2013-11-25,50
2013-11-26,49
2013-11-27,48
2013-11-28,47
2013-11-29,46
2013-11-30,46
2013-12-01,46
2013-12-02,52
2013-12-03,48
2013-12-04,51
2013-12-05,50
2013-12-06,51
2013-12-07,52
2013-12-08,52
2013-12-09,52
2013-12-10,52
2013-12-11,54
2013-12-12,56
2013-12-13,52
2013-12-14,53
2013-12-15,51
2013-12-16,50
2013-12-17,50
2013-12-18,47
2013-12-19,46
2013-12-20,46
2013-12-21,44
2013-12-22,41
2013-12-23,39
2013-12-24,36
2013-12-25,34
2013-12-26,31
2013-12-27,29
2013-12-28,27
2013-12-29,28
2013-12-30,29
2013-12-31,30
2014-01-01,31
2014-01-02,32
2014-01-03,34
2014-01-04,35
2014-01-05,37
2014-01-06,39
2014-01-07,43
2014-01-08,43
2014-01-09,45
2014-01-10,49
2014-01-11,50
2014-01-12,49
2014-01-13,48
2014-01-14,47
2014-01-15,47
2014-01-16,51
2014-01-17,45
2014-01-18,45
2014-01-19,45
2014-01-20,45
2014-01-21,45
2014-01-22,50
2014-01-23,46
2014-01-24,46
2014-01-25,47
2014-01-26,47
2014-01-27,47
2014-01-28,50
2014-01-29,48
2014-01-30,49
2014-01-31,49
2014-02-01,50
2014-02-02,50
2014-02-03,50
2014-02-04,52
2014-02-05,54
2014-02-06,52
2014-02-07,52
2014-02-08,54
2014-02-09,52
2014-02-10,52
2014-02-11,52
2014-02-12,52
2014-02-13,52
2014-02-14,52
2014-02-15,52
2014-02-16,54
2014-02-17,52
2014-02-18,52
2014-02-19,52
2014-02-20,55
2014-02-21,54
2014-02-22,52
2014-02-23,53
2014-02-24,55
2014-02-25,57
2014-02-26,58
2014-02-27,60
2014-02-28,62
2014-03-01,68
