Date,Turner Investments
2009-03-21,63
2009-03-22,64
2009-03-23,64
2009-03-24,65
2009-03-25,65
2009-03-26,66
2009-03-27,67
2009-03-28,67
2009-03-29,68
2009-03-30,68
2009-03-31,69
2009-04-01,70
2009-04-02,70
2009-04-03,70
2009-04-04,70
2009-04-05,70
2009-04-06,70
2009-04-07,70
2009-04-08,70
2009-04-09,70
2009-04-10,70
2009-04-11,71
2009-04-12,71
2009-04-13,71
2009-04-14,71
2009-04-15,71
2009-04-16,71
2009-04-17,71
2009-04-18,71
2009-04-19,71
2009-04-20,71
2009-04-21,72
2009-04-22,72
2009-04-23,72
2009-04-24,72
2009-04-25,72
2009-04-26,72
2009-04-27,72
2009-04-28,72
2009-04-29,72
2009-04-30,72
2009-05-01,73
2009-05-02,72
2009-05-03,71
2009-05-04,70
2009-05-05,70
2009-05-06,69
2009-05-07,68
2009-05-08,67
2009-05-09,67
2009-05-10,66
2009-05-11,65
2009-05-12,64
2009-05-13,64
2009-05-14,63
2009-05-15,62
2009-05-16,61
2009-05-17,61
2009-05-18,60
2009-05-19,59
2009-05-20,58
2009-05-21,58
2009-05-22,57
2009-05-23,56
2009-05-24,55
2009-05-25,55
2009-05-26,54
2009-05-27,53
2009-05-28,52
2009-05-29,52
2009-05-30,51
2009-05-31,50
2009-06-01,50
2009-06-02,50
2009-06-03,50
2009-06-04,51
2009-06-05,51
2009-06-06,51
2009-06-07,52
2009-06-08,52
2009-06-09,52
2009-06-10,53
2009-06-11,53
2009-06-12,54
2009-06-13,54
2009-06-14,54
2009-06-15,55
2009-06-16,55
2009-06-17,55
2009-06-18,56
2009-06-19,56
2009-06-20,56
2009-06-21,57
2009-06-22,57
2009-06-23,58
2009-06-24,58
2009-06-25,58
2009-06-26,59
2009-06-27,59
2009-06-28,59
2009-06-29,60
2009-06-30,60
2009-07-01,61
2009-07-02,61
2009-07-03,61
2009-07-04,61
2009-07-05,61
2009-07-06,61
2009-07-07,61
2009-07-08,62
2009-07-09,62
2009-07-10,62
2009-07-11,62
2009-07-12,62
2009-07-13,62
2009-07-14,63
2009-07-15,63
2009-07-16,63
2009-07-17,63
2009-07-18,63
2009-07-19,63
2009-07-20,64
2009-07-21,64
2009-07-22,64
2009-07-23,64
2009-07-24,64
2009-07-25,64
2009-07-26,65
2009-07-27,65
2009-07-28,65
2009-07-29,65
2009-07-30,65
2009-07-31,65
2009-08-01,66
2009-08-02,65
2009-08-03,65
2009-08-04,64
2009-08-05,64
2009-08-06,63
2009-08-07,63
2009-08-08,62
2009-08-09,62
2009-08-10,61
2009-08-11,61
2009-08-12,61
2009-08-13,60
2009-08-14,60
2009-08-15,59
2009-08-16,59
2009-08-17,58
2009-08-18,58
2009-08-19,57
2009-08-20,57
2009-08-21,56
2009-08-22,56
2009-08-23,56
2009-08-24,55
2009-08-25,55
2009-08-26,54
2009-08-27,54
2009-08-28,53
2009-08-29,53
2009-08-30,52
2009-08-31,52
2009-09-01,52
2009-09-02,52
2009-09-03,52
2009-09-04,53
2009-09-05,53
2009-09-06,53
2009-09-07,54
2009-09-08,54
2009-09-09,54
2009-09-10,55
2009-09-11,55
2009-09-12,56
2009-09-13,56
2009-09-14,56
2009-09-15,57
2009-09-16,57
2009-09-17,57
2009-09-18,58
2009-09-19,58
2009-09-20,58
2009-09-21,59
2009-09-22,59
2009-09-23,60
2009-09-24,60
2009-09-25,60
2009-09-26,61
2009-09-27,61
2009-09-28,61
2009-09-29,62
2009-09-30,62
2009-10-01,63
2009-10-02,62
2009-10-03,62
2009-10-04,62
2009-10-05,61
2009-10-06,61
2009-10-07,61
2009-10-08,60
2009-10-09,60
2009-10-10,60
2009-10-11,60
2009-10-12,59
2009-10-13,59
2009-10-14,59
2009-10-15,58
2009-10-16,58
2009-10-17,58
2009-10-18,58
2009-10-19,57
2009-10-20,57
2009-10-21,57
2009-10-22,56
2009-10-23,56
2009-10-24,56
2009-10-25,56
2009-10-26,55
2009-10-27,55
2009-10-28,55
2009-10-29,54
2009-10-30,54
2009-10-31,54
2009-11-01,54
2009-11-02,55
2009-11-03,56
2009-11-04,58
2009-11-05,59
2009-11-06,60
2009-11-07,62
2009-11-08,63
2009-11-09,64
2009-11-10,66
2009-11-11,67
2009-11-12,69
2009-11-13,70
2009-11-14,71
2009-11-15,73
2009-11-16,74
2009-11-17,75
2009-11-18,77
2009-11-19,78
2009-11-20,79
2009-11-21,81
2009-11-22,82
2009-11-23,84
2009-11-24,85
2009-11-25,86
2009-11-26,88
2009-11-27,89
2009-11-28,90
2009-11-29,92
2009-11-30,93
2009-12-01,95
2009-12-02,95
2009-12-03,95
2009-12-04,95
2009-12-05,95
2009-12-06,95
2009-12-07,95
2009-12-08,96
2009-12-09,96
2009-12-10,96
2009-12-11,96
2009-12-12,96
2009-12-13,96
2009-12-14,97
2009-12-15,97
2009-12-16,97
2009-12-17,97
2009-12-18,97
2009-12-19,97
2009-12-20,98
2009-12-21,98
2009-12-22,98
2009-12-23,98
2009-12-24,98
2009-12-25,98
2009-12-26,99
2009-12-27,99
2009-12-28,99
2009-12-29,99
2009-12-30,99
2009-12-31,99
2010-01-01,100
2010-01-02,98
2010-01-03,97
2010-01-04,96
2010-01-05,95
2010-01-06,93
2010-01-07,92
2010-01-08,91
2010-01-09,90
2010-01-10,88
2010-01-11,87
2010-01-12,86
2010-01-13,85
2010-01-14,84
2010-01-15,82
2010-01-16,81
2010-01-17,80
2010-01-18,79
2010-01-19,77
2010-01-20,76
2010-01-21,75
2010-01-22,74
2010-01-23,73
2010-01-24,71
2010-01-25,70
2010-01-26,69
2010-01-27,68
2010-01-28,66
2010-01-29,65
2010-01-30,64
2010-01-31,63
2010-02-01,62
2010-02-02,62
2010-02-03,62
2010-02-04,62
2010-02-05,62
2010-02-06,62
2010-02-07,62
2010-02-08,63
2010-02-09,63
2010-02-10,63
2010-02-11,63
2010-02-12,63
2010-02-13,63
2010-02-14,63
2010-02-15,64
2010-02-16,64
2010-02-17,64
2010-02-18,64
2010-02-19,64
2010-02-20,64
2010-02-21,64
2010-02-22,65
2010-02-23,65
2010-02-24,65
2010-02-25,65
2010-02-26,65
2010-02-27,65
2010-02-28,65
2010-03-01,66
2010-03-02,67
2010-03-03,68
2010-03-04,69
2010-03-05,70
2010-03-06,71
2010-03-07,72
2010-03-08,73
2010-03-09,74
2010-03-10,75
2010-03-11,76
2010-03-12,77
2010-03-13,78
2010-03-14,79
2010-03-15,80
2010-03-16,81
2010-03-17,83
2010-03-18,84
2010-03-19,85
2010-03-20,86
2010-03-21,87
2010-03-22,88
2010-03-23,89
2010-03-24,90
2010-03-25,91
2010-03-26,92
2010-03-27,93
2010-03-28,94
2010-03-29,95
2010-03-30,96
2010-03-31,97
