Date,Model N
2012-08-01,24
2012-08-02,24
2012-08-03,24
2012-08-04,24
2012-08-05,25
2012-08-06,27
2012-08-07,28
2012-08-08,30
2012-08-09,32
2012-08-10,33
2012-08-11,35
2012-08-12,34
2012-08-13,33
2012-08-14,34
2012-08-15,32
2012-08-16,31
2012-08-17,31
2012-08-18,30
2012-08-19,30
2012-08-20,30
2012-08-21,31
2012-08-22,32
2012-08-23,32
2012-08-24,33
2012-08-25,35
2012-08-26,31
2012-08-27,29
2012-08-28,27
2012-08-29,27
2012-08-30,24
2012-08-31,22
2012-09-01,21
2012-09-02,22
2012-09-03,22
2012-09-04,23
2012-09-05,25
2012-09-06,24
2012-09-07,25
2012-09-08,26
2012-09-09,26
2012-09-10,27
2012-09-11,29
2012-09-12,29
2012-09-13,33
2012-09-14,31
2012-09-15,32
2012-09-16,32
2012-09-17,32
2012-09-18,33
2012-09-19,33
2012-09-20,33
2012-09-21,33
2012-09-22,34
2012-09-23,33
2012-09-24,32
2012-09-25,33
2012-09-26,31
2012-09-27,29
2012-09-28,28
2012-09-29,28
2012-09-30,27
2012-10-01,27
2012-10-02,27
2012-10-03,27
2012-10-04,27
2012-10-05,27
2012-10-06,27
2012-10-07,27
2012-10-08,27
2012-10-09,27
2012-10-10,28
2012-10-11,27
2012-10-12,27
2012-10-13,27
2012-10-14,26
2012-10-15,27
2012-10-16,26
2012-10-17,25
2012-10-18,25
2012-10-19,25
2012-10-20,25
2012-10-21,25
2012-10-22,25
2012-10-23,25
2012-10-24,25
2012-10-25,25
2012-10-26,25
2012-10-27,27
2012-10-28,25
2012-10-29,25
2012-10-30,25
2012-10-31,26
2012-11-01,26
2012-11-02,26
2012-11-03,28
2012-11-04,26
2012-11-05,26
2012-11-06,26
2012-11-07,26
2012-11-08,26
2012-11-09,26
2012-11-10,26
2012-11-11,25
2012-11-12,24
2012-11-13,24
2012-11-14,24
2012-11-15,23
2012-11-16,22
2012-11-17,22
2012-11-18,22
2012-11-19,23
2012-11-20,23
2012-11-21,26
2012-11-22,24
2012-11-23,25
2012-11-24,26
2012-11-25,26
2012-11-26,26
2012-11-27,27
2012-11-28,28
2012-11-29,28
2012-11-30,28
2012-12-01,29
2012-12-02,28
2012-12-03,28
2012-12-04,28
2012-12-05,27
2012-12-06,27
2012-12-07,27
2012-12-08,27
2012-12-09,27
2012-12-10,28
2012-12-11,27
2012-12-12,27
2012-12-13,30
2012-12-14,28
2012-12-15,28
2012-12-16,26
2012-12-17,25
2012-12-18,24
2012-12-19,22
2012-12-20,22
2012-12-21,20
2012-12-22,19
2012-12-23,19
2012-12-24,19
2012-12-25,19
2012-12-26,19
2012-12-27,19
2012-12-28,19
2012-12-29,20
2012-12-30,21
2012-12-31,22
2013-01-01,23
2013-01-02,24
2013-01-03,26
2013-01-04,26
2013-01-05,28
2013-01-06,27
2013-01-07,26
2013-01-08,28
2013-01-09,25
2013-01-10,25
2013-01-11,24
2013-01-12,25
2013-01-13,23
2013-01-14,23
2013-01-15,23
2013-01-16,23
2013-01-17,22
2013-01-18,22
2013-01-19,22
2013-01-20,22
2013-01-21,24
2013-01-22,24
2013-01-23,24
2013-01-24,25
2013-01-25,26
2013-01-26,27
2013-01-27,27
2013-01-28,27
2013-01-29,27
2013-01-30,27
2013-01-31,28
2013-02-01,27
2013-02-02,29
2013-02-03,27
2013-02-04,27
2013-02-05,27
2013-02-06,27
2013-02-07,28
2013-02-08,27
2013-02-09,27
2013-02-10,28
2013-02-11,27
2013-02-12,28
2013-02-13,28
2013-02-14,29
2013-02-15,29
2013-02-16,30
2013-02-17,30
2013-02-18,30
2013-02-19,32
2013-02-20,31
2013-02-21,32
2013-02-22,31
2013-02-23,32
2013-02-24,31
2013-02-25,31
2013-02-26,31
2013-02-27,31
2013-02-28,30
2013-03-01,30
2013-03-02,30
2013-03-03,31
2013-03-04,35
2013-03-05,33
2013-03-06,35
2013-03-07,36
2013-03-08,37
2013-03-09,39
2013-03-10,39
2013-03-11,38
2013-03-12,39
2013-03-13,37
2013-03-14,36
2013-03-15,38
2013-03-16,36
2013-03-17,45
2013-03-18,55
2013-03-19,63
2013-03-20,72
2013-03-21,97
2013-03-22,99
2013-03-23,102
2013-03-24,95
2013-03-25,85
2013-03-26,73
2013-03-27,65
2013-03-28,59
2013-03-29,46
2013-03-30,38
2013-03-31,36
2013-05-01,22
2013-05-02,21
2013-05-03,20
2013-05-04,19
2013-05-05,20
2013-05-06,22
2013-05-07,26
2013-05-08,25
2013-05-09,27
2013-05-10,29
2013-05-11,31
2013-05-12,30
2013-05-13,30
2013-05-14,33
2013-05-15,30
2013-05-16,30
2013-05-17,30
2013-05-18,30
2013-05-19,30
2013-05-20,30
2013-05-21,30
2013-05-22,30
2013-05-23,30
2013-05-24,30
2013-05-25,31
2013-05-26,31
2013-05-27,35
2013-05-28,31
2013-05-29,31
2013-05-30,33
2013-05-31,31
2013-06-01,31
2013-06-02,30
2013-06-03,30
2013-06-04,28
2013-06-05,28
2013-06-06,27
2013-06-07,27
2013-06-08,26
2013-06-09,26
2013-06-10,24
2013-06-11,23
2013-06-12,23
2013-06-13,22
2013-06-14,21
2013-06-15,21
2013-06-16,21
2013-06-17,22
2013-06-18,23
2013-06-19,24
2013-06-20,24
2013-06-21,25
2013-06-22,27
2013-06-23,25
2013-06-24,25
2013-06-25,25
