Date,BigBand Networks
2006-06-01,0
2006-06-02,0
2006-06-03,1
2006-06-04,2
2006-06-05,3
2006-06-06,4
2006-06-07,5
2006-06-08,6
2006-06-09,6
2006-06-10,7
2006-06-11,8
2006-06-12,9
2006-06-13,10
2006-06-14,11
2006-06-15,12
2006-06-16,13
2006-06-17,13
2006-06-18,14
2006-06-19,15
2006-06-20,16
2006-06-21,17
2006-06-22,18
2006-06-23,19
2006-06-24,19
2006-06-25,20
2006-06-26,21
2006-06-27,22
2006-06-28,23
2006-06-29,24
2006-06-30,25
2006-07-01,26
2006-07-02,25
2006-07-03,25
2006-07-04,25
2006-07-05,25
2006-07-06,25
2006-07-07,25
2006-07-08,25
2006-07-09,25
2006-07-10,25
2006-07-11,25
2006-07-12,25
2006-07-13,25
2006-07-14,25
2006-07-15,25
2006-07-16,25
2006-07-17,24
2006-07-18,24
2006-07-19,24
2006-07-20,24
2006-07-21,24
2006-07-22,24
2006-07-23,24
2006-07-24,24
2006-07-25,24
2006-07-26,24
2006-07-27,24
2006-07-28,24
2006-07-29,24
2006-07-30,24
2006-07-31,24
2006-08-01,24
2006-08-02,24
2006-08-03,25
2006-08-04,25
2006-08-05,26
2006-08-06,27
2006-08-07,27
2006-08-08,28
2006-08-09,29
2006-08-10,29
2006-08-11,30
2006-08-12,31
2006-08-13,31
2006-08-14,32
2006-08-15,33
2006-08-16,33
2006-08-17,34
2006-08-18,34
2006-08-19,35
2006-08-20,36
2006-08-21,36
2006-08-22,37
2006-08-23,38
2006-08-24,38
2006-08-25,39
2006-08-26,40
2006-08-27,40
2006-08-28,41
2006-08-29,42
2006-08-30,42
2006-08-31,43
2006-09-01,44
2006-09-02,43
2006-09-03,43
2006-09-04,43
2006-09-05,43
2006-09-06,43
2006-09-07,42
2006-09-08,42
2006-09-09,42
2006-09-10,42
2006-09-11,42
2006-09-12,41
2006-09-13,41
2006-09-14,41
2006-09-15,41
2006-09-16,41
2006-09-17,40
2006-09-18,40
2006-09-19,40
2006-09-20,40
2006-09-21,40
2006-09-22,39
2006-09-23,39
2006-09-24,39
2006-09-25,39
2006-09-26,39
2006-09-27,38
2006-09-28,38
2006-09-29,38
2006-09-30,38
2006-10-01,38
2006-10-02,38
2006-10-03,38
2006-10-04,38
2006-10-05,38
2006-10-06,38
2006-10-07,38
2006-10-08,38
2006-10-09,38
2006-10-10,38
2006-10-11,38
2006-10-12,38
2006-10-13,38
2006-10-14,38
2006-10-15,38
2006-10-16,38
2006-10-17,38
2006-10-18,38
2006-10-19,38
2006-10-20,38
2006-10-21,38
2006-10-22,38
2006-10-23,38
2006-10-24,38
2006-10-25,38
2006-10-26,38
2006-10-27,38
2006-10-28,38
2006-10-29,38
2006-10-30,38
2006-10-31,38
2006-11-01,38
2006-11-02,38
2006-11-03,38
2006-11-04,38
2006-11-05,38
2006-11-06,38
2006-11-07,38
2006-11-08,38
2006-11-09,38
2006-11-10,38
2006-11-11,38
2006-11-12,38
2006-11-13,38
2006-11-14,38
2006-11-15,38
2006-11-16,38
2006-11-17,38
2006-11-18,38
2006-11-19,38
2006-11-20,38
2006-11-21,38
2006-11-22,38
2006-11-23,38
2006-11-24,38
2006-11-25,38
2006-11-26,38
2006-11-27,38
2006-11-28,38
2006-11-29,38
2006-11-30,38
2006-12-01,38
2006-12-02,38
2006-12-03,38
2006-12-04,38
2006-12-05,39
2006-12-06,39
2006-12-07,39
2006-12-08,39
2006-12-09,40
2006-12-10,40
2006-12-11,40
2006-12-12,40
2006-12-13,41
2006-12-14,41
2006-12-15,41
2006-12-16,41
2006-12-17,42
2006-12-18,42
2006-12-19,42
2006-12-20,42
2006-12-21,43
2006-12-22,43
2006-12-23,43
2006-12-24,43
2006-12-25,44
2006-12-26,44
2006-12-27,44
2006-12-28,44
2006-12-29,45
2006-12-30,45
2006-12-31,45
2007-01-01,46
2007-01-02,45
2007-01-03,44
2007-01-04,43
2007-01-05,43
2007-01-06,42
2007-01-07,41
2007-01-08,41
2007-01-09,40
2007-01-10,39
2007-01-11,39
2007-01-12,38
2007-01-13,37
2007-01-14,37
2007-01-15,36
2007-01-16,35
2007-01-17,35
2007-01-18,34
2007-01-19,33
2007-01-20,33
2007-01-21,32
2007-01-22,31
2007-01-23,31
2007-01-24,30
2007-01-25,29
2007-01-26,29
2007-01-27,28
2007-01-28,27
2007-01-29,27
2007-01-30,26
2007-01-31,25
2007-02-01,25
2007-02-02,27
2007-02-03,30
2007-02-04,33
2007-02-05,35
2007-02-06,38
2007-02-07,41
2007-02-08,43
2007-02-09,46
2007-02-10,49
2007-02-11,51
2007-02-12,54
2007-02-13,57
2007-02-14,59
2007-02-15,62
2007-02-16,65
2007-02-17,67
2007-02-18,70
2007-02-19,73
2007-02-20,75
2007-02-21,78
2007-02-22,81
2007-02-23,83
2007-02-24,86
2007-02-25,89
2007-02-26,91
2007-02-27,94
2007-02-28,97
2007-03-04,94
2007-03-05,92
2007-03-06,90
2007-03-07,88
2007-03-08,86
2007-03-09,84
2007-03-10,82
2007-03-11,80
2007-03-12,79
2007-03-13,77
2007-03-14,75
2007-03-15,74
2007-03-16,72
2007-03-17,70
2007-03-18,69
2007-03-19,64
2007-03-20,62
2007-03-21,60
2007-03-22,58
2007-03-23,56
2007-03-24,54
2007-03-25,52
2007-03-26,52
2007-03-27,50
2007-03-28,48
2007-03-29,47
2007-03-30,45
2007-03-31,45
2007-04-01,39
2007-04-02,39
2007-04-03,39
2007-04-04,39
2007-04-05,39
2007-04-06,39
2007-04-07,39
2007-04-08,39
2007-04-09,39
2007-04-10,39
2007-04-11,40
2007-04-12,40
2007-04-13,40
2007-04-14,40
2007-04-15,40
2007-04-16,40
2007-04-17,40
2007-04-18,40
2007-04-19,40
2007-04-20,40
2007-04-21,41
2007-04-22,41
2007-04-23,41
2007-04-24,41
2007-04-25,41
2007-04-26,41
2007-04-27,41
2007-04-28,41
2007-04-29,41
2007-04-30,41
2007-05-01,42
2007-05-02,41
2007-05-03,40
2007-05-04,40
2007-05-05,39
2007-05-06,39
2007-05-07,38
2007-05-08,38
2007-05-09,37
2007-05-10,37
2007-05-11,36
2007-05-12,35
2007-05-13,35
2007-05-14,34
2007-05-15,34
2007-05-16,33
2007-05-17,33
2007-05-18,32
2007-05-19,32
2007-05-20,31
2007-05-21,31
2007-05-22,30
2007-05-23,29
2007-05-24,29
2007-05-25,28
2007-05-26,28
2007-05-27,27
2007-06-01,25
